game,2012,6,20121014,201210140was,min,"Minnesota Vikings",26,was,"Washington Redskins",38
team,201210140was,min,First Downs,27,,,,,,
team,201210140was,was,First Downs,20,,,,,,
team,201210140was,min,Rush-Yds-TDs,24-94-0,,,,,,
team,201210140was,was,Rush-Yds-TDs,32-183-3,,,,,,
team,201210140was,min,Cmp-Att-Yd-TD-INT,35-52-352-2-2,,,,,,
team,201210140was,was,Cmp-Att-Yd-TD-INT,17-22-182-1-1,,,,,,
team,201210140was,min,Sacked-Yards,4-25,,,,,,
team,201210140was,was,Sacked-Yards,1-4,,,,,,
team,201210140was,min,Net Pass Yards,327,,,,,,
team,201210140was,was,Net Pass Yards,178,,,,,,
team,201210140was,min,Total Yards,421,,,,,,
team,201210140was,was,Total Yards,361,,,,,,
team,201210140was,min,Fumbles-Lost,2-1,,,,,,
team,201210140was,was,Fumbles-Lost,1-0,,,,,,
team,201210140was,min,Turnovers,3,,,,,,
team,201210140was,was,Turnovers,1,,,,,,
team,201210140was,min,Penalties-Yards,5-29,,,,,,
team,201210140was,was,Penalties-Yards,7-66,,,,,,
team,201210140was,min,Third Down Conv.,8-17,,,,,,
team,201210140was,was,Third Down Conv.,6-12,,,,,,
team,201210140was,min,Fourth Down Conv.,1-1,,,,,,
team,201210140was,was,Fourth Down Conv.,1-1,,,,,,
team,201210140was,min,Time of Possession,31:32,,,,,,
team,201210140was,was,Time of Possession,28:28,,,,,,
player,201210140was,min,PondCh00,pass_cmp,35,,,,,
player,201210140was,min,PondCh00,pass_att,52,,,,,
player,201210140was,min,PondCh00,pass_yds,352,,,,,
player,201210140was,min,PondCh00,pass_td,2,,,,,
player,201210140was,min,PondCh00,pass_int,2,,,,,
player,201210140was,min,PondCh00,pass_sacked,4,,,,,
player,201210140was,min,PondCh00,pass_sacked_yds,25,,,,,
player,201210140was,min,PondCh00,pass_long,23,,,,,
player,201210140was,min,PondCh00,pass_rating,83.2,,,,,
player,201210140was,min,PondCh00,rush_att,4,,,,,
player,201210140was,min,PondCh00,rush_yds,13,,,,,
player,201210140was,min,PondCh00,rush_td,0,,,,,
player,201210140was,min,PondCh00,rush_long,7,,,,,
player,201210140was,min,PondCh00,targets,0,,,,,
player,201210140was,min,PondCh00,rec,0,,,,,
player,201210140was,min,PondCh00,rec_yds,0,,,,,
player,201210140was,min,PondCh00,rec_td,0,,,,,
player,201210140was,min,PondCh00,rec_long,0,,,,,
player,201210140was,min,PondCh00,fumbles,1,,,,,
player,201210140was,min,PondCh00,fumbles_lost,1,,,,,
player,201210140was,min,PeteAd01,pass_cmp,0,,,,,
player,201210140was,min,PeteAd01,pass_att,0,,,,,
player,201210140was,min,PeteAd01,pass_yds,0,,,,,
player,201210140was,min,PeteAd01,pass_td,0,,,,,
player,201210140was,min,PeteAd01,pass_int,0,,,,,
player,201210140was,min,PeteAd01,pass_sacked,0,,,,,
player,201210140was,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201210140was,min,PeteAd01,pass_long,0,,,,,
player,201210140was,min,PeteAd01,pass_rating,,,,,,
player,201210140was,min,PeteAd01,rush_att,17,,,,,
player,201210140was,min,PeteAd01,rush_yds,79,,,,,
player,201210140was,min,PeteAd01,rush_td,0,,,,,
player,201210140was,min,PeteAd01,rush_long,32,,,,,
player,201210140was,min,PeteAd01,targets,8,,,,,
player,201210140was,min,PeteAd01,rec,7,,,,,
player,201210140was,min,PeteAd01,rec_yds,50,,,,,
player,201210140was,min,PeteAd01,rec_td,0,,,,,
player,201210140was,min,PeteAd01,rec_long,18,,,,,
player,201210140was,min,PeteAd01,fumbles,0,,,,,
player,201210140was,min,PeteAd01,fumbles_lost,0,,,,,
player,201210140was,min,HarvPe00,pass_cmp,0,,,,,
player,201210140was,min,HarvPe00,pass_att,0,,,,,
player,201210140was,min,HarvPe00,pass_yds,0,,,,,
player,201210140was,min,HarvPe00,pass_td,0,,,,,
player,201210140was,min,HarvPe00,pass_int,0,,,,,
player,201210140was,min,HarvPe00,pass_sacked,0,,,,,
player,201210140was,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201210140was,min,HarvPe00,pass_long,0,,,,,
player,201210140was,min,HarvPe00,pass_rating,,,,,,
player,201210140was,min,HarvPe00,rush_att,2,,,,,
player,201210140was,min,HarvPe00,rush_yds,1,,,,,
player,201210140was,min,HarvPe00,rush_td,0,,,,,
player,201210140was,min,HarvPe00,rush_long,2,,,,,
player,201210140was,min,HarvPe00,targets,14,,,,,
player,201210140was,min,HarvPe00,rec,11,,,,,
player,201210140was,min,HarvPe00,rec_yds,133,,,,,
player,201210140was,min,HarvPe00,rec_td,0,,,,,
player,201210140was,min,HarvPe00,rec_long,23,,,,,
player,201210140was,min,HarvPe00,fumbles,1,,,,,
player,201210140was,min,HarvPe00,fumbles_lost,0,,,,,
player,201210140was,min,GerhTo00,pass_cmp,0,,,,,
player,201210140was,min,GerhTo00,pass_att,0,,,,,
player,201210140was,min,GerhTo00,pass_yds,0,,,,,
player,201210140was,min,GerhTo00,pass_td,0,,,,,
player,201210140was,min,GerhTo00,pass_int,0,,,,,
player,201210140was,min,GerhTo00,pass_sacked,0,,,,,
player,201210140was,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201210140was,min,GerhTo00,pass_long,0,,,,,
player,201210140was,min,GerhTo00,pass_rating,,,,,,
player,201210140was,min,GerhTo00,rush_att,1,,,,,
player,201210140was,min,GerhTo00,rush_yds,1,,,,,
player,201210140was,min,GerhTo00,rush_td,0,,,,,
player,201210140was,min,GerhTo00,rush_long,1,,,,,
player,201210140was,min,GerhTo00,targets,3,,,,,
player,201210140was,min,GerhTo00,rec,2,,,,,
player,201210140was,min,GerhTo00,rec_yds,10,,,,,
player,201210140was,min,GerhTo00,rec_td,0,,,,,
player,201210140was,min,GerhTo00,rec_long,7,,,,,
player,201210140was,min,GerhTo00,fumbles,0,,,,,
player,201210140was,min,GerhTo00,fumbles_lost,0,,,,,
player,201210140was,min,JenkMi00,pass_cmp,0,,,,,
player,201210140was,min,JenkMi00,pass_att,0,,,,,
player,201210140was,min,JenkMi00,pass_yds,0,,,,,
player,201210140was,min,JenkMi00,pass_td,0,,,,,
player,201210140was,min,JenkMi00,pass_int,0,,,,,
player,201210140was,min,JenkMi00,pass_sacked,0,,,,,
player,201210140was,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201210140was,min,JenkMi00,pass_long,0,,,,,
player,201210140was,min,JenkMi00,pass_rating,,,,,,
player,201210140was,min,JenkMi00,rush_att,0,,,,,
player,201210140was,min,JenkMi00,rush_yds,0,,,,,
player,201210140was,min,JenkMi00,rush_td,0,,,,,
player,201210140was,min,JenkMi00,rush_long,0,,,,,
player,201210140was,min,JenkMi00,targets,10,,,,,
player,201210140was,min,JenkMi00,rec,6,,,,,
player,201210140was,min,JenkMi00,rec_yds,67,,,,,
player,201210140was,min,JenkMi00,rec_td,1,,,,,
player,201210140was,min,JenkMi00,rec_long,19,,,,,
player,201210140was,min,JenkMi00,fumbles,0,,,,,
player,201210140was,min,JenkMi00,fumbles_lost,0,,,,,
player,201210140was,min,RudoKy00,pass_cmp,0,,,,,
player,201210140was,min,RudoKy00,pass_att,0,,,,,
player,201210140was,min,RudoKy00,pass_yds,0,,,,,
player,201210140was,min,RudoKy00,pass_td,0,,,,,
player,201210140was,min,RudoKy00,pass_int,0,,,,,
player,201210140was,min,RudoKy00,pass_sacked,0,,,,,
player,201210140was,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201210140was,min,RudoKy00,pass_long,0,,,,,
player,201210140was,min,RudoKy00,pass_rating,,,,,,
player,201210140was,min,RudoKy00,rush_att,0,,,,,
player,201210140was,min,RudoKy00,rush_yds,0,,,,,
player,201210140was,min,RudoKy00,rush_td,0,,,,,
player,201210140was,min,RudoKy00,rush_long,0,,,,,
player,201210140was,min,RudoKy00,targets,11,,,,,
player,201210140was,min,RudoKy00,rec,6,,,,,
player,201210140was,min,RudoKy00,rec_yds,56,,,,,
player,201210140was,min,RudoKy00,rec_td,1,,,,,
player,201210140was,min,RudoKy00,rec_long,18,,,,,
player,201210140was,min,RudoKy00,fumbles,0,,,,,
player,201210140was,min,RudoKy00,fumbles_lost,0,,,,,
player,201210140was,min,ElliRh00,pass_cmp,0,,,,,
