game,2012,10,20121111,201211110chi,htx,"Houston Texans",13,chi,"Chicago Bears",6
team,201211110chi,htx,First Downs,13,,,,,,
team,201211110chi,chi,First Downs,8,,,,,,
team,201211110chi,htx,Rush-Yds-TDs,35-127-0,,,,,,
team,201211110chi,chi,Rush-Yds-TDs,23-115-0,,,,,,
team,201211110chi,htx,Cmp-Att-Yd-TD-INT,14-26-95-1-2,,,,,,
team,201211110chi,chi,Cmp-Att-Yd-TD-INT,18-33-134-0-2,,,,,,
team,201211110chi,htx,Sacked-Yards,1-7,,,,,,
team,201211110chi,chi,Sacked-Yards,0-0,,,,,,
team,201211110chi,htx,Net Pass Yards,88,,,,,,
team,201211110chi,chi,Net Pass Yards,134,,,,,,
team,201211110chi,htx,Total Yards,215,,,,,,
team,201211110chi,chi,Total Yards,249,,,,,,
team,201211110chi,htx,Fumbles-Lost,0-0,,,,,,
team,201211110chi,chi,Fumbles-Lost,2-2,,,,,,
team,201211110chi,htx,Turnovers,2,,,,,,
team,201211110chi,chi,Turnovers,4,,,,,,
team,201211110chi,htx,Penalties-Yards,3-35,,,,,,
team,201211110chi,chi,Penalties-Yards,5-49,,,,,,
team,201211110chi,htx,Third Down Conv.,3-14,,,,,,
team,201211110chi,chi,Third Down Conv.,2-13,,,,,,
team,201211110chi,htx,Fourth Down Conv.,0-0,,,,,,
team,201211110chi,chi,Fourth Down Conv.,0-2,,,,,,
team,201211110chi,htx,Time of Possession,31:08,,,,,,
team,201211110chi,chi,Time of Possession,28:52,,,,,,
player,201211110chi,htx,SchaMa00,pass_cmp,14,,,,,
player,201211110chi,htx,SchaMa00,pass_att,26,,,,,
player,201211110chi,htx,SchaMa00,pass_yds,95,,,,,
player,201211110chi,htx,SchaMa00,pass_td,1,,,,,
player,201211110chi,htx,SchaMa00,pass_int,2,,,,,
player,201211110chi,htx,SchaMa00,pass_sacked,1,,,,,
player,201211110chi,htx,SchaMa00,pass_sacked_yds,7,,,,,
player,201211110chi,htx,SchaMa00,pass_long,23,,,,,
player,201211110chi,htx,SchaMa00,pass_rating,42.9,,,,,
player,201211110chi,htx,SchaMa00,rush_att,2,,,,,
player,201211110chi,htx,SchaMa00,rush_yds,-2,,,,,
player,201211110chi,htx,SchaMa00,rush_td,0,,,,,
player,201211110chi,htx,SchaMa00,rush_long,-1,,,,,
player,201211110chi,htx,SchaMa00,targets,0,,,,,
player,201211110chi,htx,SchaMa00,rec,0,,,,,
player,201211110chi,htx,SchaMa00,rec_yds,0,,,,,
player,201211110chi,htx,SchaMa00,rec_td,0,,,,,
player,201211110chi,htx,SchaMa00,rec_long,0,,,,,
player,201211110chi,htx,SchaMa00,fumbles,0,,,,,
player,201211110chi,htx,SchaMa00,fumbles_lost,0,,,,,
player,201211110chi,htx,FostAr00,pass_cmp,0,,,,,
player,201211110chi,htx,FostAr00,pass_att,0,,,,,
player,201211110chi,htx,FostAr00,pass_yds,0,,,,,
player,201211110chi,htx,FostAr00,pass_td,0,,,,,
player,201211110chi,htx,FostAr00,pass_int,0,,,,,
player,201211110chi,htx,FostAr00,pass_sacked,0,,,,,
player,201211110chi,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201211110chi,htx,FostAr00,pass_long,0,,,,,
player,201211110chi,htx,FostAr00,pass_rating,,,,,,
player,201211110chi,htx,FostAr00,rush_att,29,,,,,
player,201211110chi,htx,FostAr00,rush_yds,102,,,,,
player,201211110chi,htx,FostAr00,rush_td,0,,,,,
player,201211110chi,htx,FostAr00,rush_long,21,,,,,
player,201211110chi,htx,FostAr00,targets,5,,,,,
player,201211110chi,htx,FostAr00,rec,5,,,,,
player,201211110chi,htx,FostAr00,rec_yds,15,,,,,
player,201211110chi,htx,FostAr00,rec_td,1,,,,,
player,201211110chi,htx,FostAr00,rec_long,8,,,,,
player,201211110chi,htx,FostAr00,fumbles,0,,,,,
player,201211110chi,htx,FostAr00,fumbles_lost,0,,,,,
player,201211110chi,htx,ForsJu00,pass_cmp,0,,,,,
player,201211110chi,htx,ForsJu00,pass_att,0,,,,,
player,201211110chi,htx,ForsJu00,pass_yds,0,,,,,
player,201211110chi,htx,ForsJu00,pass_td,0,,,,,
player,201211110chi,htx,ForsJu00,pass_int,0,,,,,
player,201211110chi,htx,ForsJu00,pass_sacked,0,,,,,
player,201211110chi,htx,ForsJu00,pass_sacked_yds,0,,,,,
player,201211110chi,htx,ForsJu00,pass_long,0,,,,,
player,201211110chi,htx,ForsJu00,pass_rating,,,,,,
player,201211110chi,htx,ForsJu00,rush_att,4,,,,,
player,201211110chi,htx,ForsJu00,rush_yds,27,,,,,
player,201211110chi,htx,ForsJu00,rush_td,0,,,,,
player,201211110chi,htx,ForsJu00,rush_long,25,,,,,
player,201211110chi,htx,ForsJu00,targets,0,,,,,
player,201211110chi,htx,ForsJu00,rec,0,,,,,
player,201211110chi,htx,ForsJu00,rec_yds,0,,,,,
player,201211110chi,htx,ForsJu00,rec_td,0,,,,,
player,201211110chi,htx,ForsJu00,rec_long,0,,,,,
player,201211110chi,htx,ForsJu00,fumbles,0,,,,,
player,201211110chi,htx,ForsJu00,fumbles_lost,0,,,,,
player,201211110chi,htx,JohnAn02,pass_cmp,0,,,,,
player,201211110chi,htx,JohnAn02,pass_att,0,,,,,
player,201211110chi,htx,JohnAn02,pass_yds,0,,,,,
player,201211110chi,htx,JohnAn02,pass_td,0,,,,,
player,201211110chi,htx,JohnAn02,pass_int,0,,,,,
player,201211110chi,htx,JohnAn02,pass_sacked,0,,,,,
player,201211110chi,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201211110chi,htx,JohnAn02,pass_long,0,,,,,
player,201211110chi,htx,JohnAn02,pass_rating,,,,,,
player,201211110chi,htx,JohnAn02,rush_att,0,,,,,
player,201211110chi,htx,JohnAn02,rush_yds,0,,,,,
player,201211110chi,htx,JohnAn02,rush_td,0,,,,,
player,201211110chi,htx,JohnAn02,rush_long,0,,,,,
player,201211110chi,htx,JohnAn02,targets,9,,,,,
player,201211110chi,htx,JohnAn02,rec,4,,,,,
player,201211110chi,htx,JohnAn02,rec_yds,35,,,,,
player,201211110chi,htx,JohnAn02,rec_td,0,,,,,
player,201211110chi,htx,JohnAn02,rec_long,11,,,,,
player,201211110chi,htx,JohnAn02,fumbles,0,,,,,
player,201211110chi,htx,JohnAn02,fumbles_lost,0,,,,,
player,201211110chi,htx,WaltKe00,pass_cmp,0,,,,,
player,201211110chi,htx,WaltKe00,pass_att,0,,,,,
player,201211110chi,htx,WaltKe00,pass_yds,0,,,,,
player,201211110chi,htx,WaltKe00,pass_td,0,,,,,
player,201211110chi,htx,WaltKe00,pass_int,0,,,,,
player,201211110chi,htx,WaltKe00,pass_sacked,0,,,,,
player,201211110chi,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201211110chi,htx,WaltKe00,pass_long,0,,,,,
player,201211110chi,htx,WaltKe00,pass_rating,,,,,,
player,201211110chi,htx,WaltKe00,rush_att,0,,,,,
player,201211110chi,htx,WaltKe00,rush_yds,0,,,,,
player,201211110chi,htx,WaltKe00,rush_td,0,,,,,
player,201211110chi,htx,WaltKe00,rush_long,0,,,,,
player,201211110chi,htx,WaltKe00,targets,3,,,,,
player,201211110chi,htx,WaltKe00,rec,2,,,,,
player,201211110chi,htx,WaltKe00,rec_yds,30,,,,,
player,201211110chi,htx,WaltKe00,rec_td,0,,,,,
player,201211110chi,htx,WaltKe00,rec_long,23,,,,,
player,201211110chi,htx,WaltKe00,fumbles,0,,,,,
player,201211110chi,htx,WaltKe00,fumbles_lost,0,,,,,
