game,2012,5,20121007,201210070nor,sdg,"San Diego Chargers",24,nor,"New Orleans Saints",31
player,201210070nor,sdg,MathRy00,pass_long,0,,,,,
player,201210070nor,sdg,MathRy00,pass_rating,,,,,,
player,201210070nor,sdg,MathRy00,rush_att,12,,,,,
player,201210070nor,sdg,MathRy00,rush_yds,80,,,,,
player,201210070nor,sdg,MathRy00,rush_td,1,,,,,
player,201210070nor,sdg,MathRy00,rush_long,18,,,,,
player,201210070nor,sdg,MathRy00,targets,8,,,,,
player,201210070nor,sdg,MathRy00,rec,6,,,,,
player,201210070nor,sdg,MathRy00,rec_yds,59,,,,,
player,201210070nor,sdg,MathRy00,rec_td,0,,,,,
player,201210070nor,sdg,MathRy00,rec_long,14,,,,,
player,201210070nor,sdg,MathRy00,fumbles,0,,,,,
player,201210070nor,sdg,MathRy00,fumbles_lost,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_cmp,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_att,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_yds,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_td,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_int,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_sacked,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_long,0,,,,,
player,201210070nor,sdg,BrowRo05,pass_rating,,,,,,
player,201210070nor,sdg,BrowRo05,rush_att,2,,,,,
player,201210070nor,sdg,BrowRo05,rush_yds,27,,,,,
player,201210070nor,sdg,BrowRo05,rush_td,0,,,,,
player,201210070nor,sdg,BrowRo05,rush_long,21,,,,,
player,201210070nor,sdg,BrowRo05,targets,5,,,,,
player,201210070nor,sdg,BrowRo05,rec,5,,,,,
player,201210070nor,sdg,BrowRo05,rec_yds,47,,,,,
player,201210070nor,sdg,BrowRo05,rec_td,0,,,,,
player,201210070nor,sdg,BrowRo05,rec_long,11,,,,,
player,201210070nor,sdg,BrowRo05,fumbles,0,,,,,
player,201210070nor,sdg,BrowRo05,fumbles_lost,0,,,,,
player,201210070nor,sdg,BattJa00,pass_cmp,0,,,,,
player,201210070nor,sdg,BattJa00,pass_att,0,,,,,
player,201210070nor,sdg,BattJa00,pass_yds,0,,,,,
player,201210070nor,sdg,BattJa00,pass_td,0,,,,,
player,201210070nor,sdg,BattJa00,pass_int,0,,,,,
player,201210070nor,sdg,BattJa00,pass_sacked,0,,,,,
player,201210070nor,sdg,BattJa00,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,BattJa00,pass_long,0,,,,,
player,201210070nor,sdg,BattJa00,pass_rating,,,,,,
player,201210070nor,sdg,BattJa00,rush_att,4,,,,,
player,201210070nor,sdg,BattJa00,rush_yds,10,,,,,
player,201210070nor,sdg,BattJa00,rush_td,0,,,,,
player,201210070nor,sdg,BattJa00,rush_long,4,,,,,
player,201210070nor,sdg,BattJa00,targets,2,,,,,
player,201210070nor,sdg,BattJa00,rec,2,,,,,
player,201210070nor,sdg,BattJa00,rec_yds,7,,,,,
player,201210070nor,sdg,BattJa00,rec_td,0,,,,,
player,201210070nor,sdg,BattJa00,rec_long,4,,,,,
player,201210070nor,sdg,BattJa00,fumbles,0,,,,,
player,201210070nor,sdg,BattJa00,fumbles_lost,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_cmp,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_att,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_yds,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_td,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_int,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_sacked,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_long,0,,,,,
player,201210070nor,sdg,FloyMa00,pass_rating,,,,,,
player,201210070nor,sdg,FloyMa00,rush_att,0,,,,,
player,201210070nor,sdg,FloyMa00,rush_yds,0,,,,,
player,201210070nor,sdg,FloyMa00,rush_td,0,,,,,
player,201210070nor,sdg,FloyMa00,rush_long,0,,,,,
player,201210070nor,sdg,FloyMa00,targets,8,,,,,
player,201210070nor,sdg,FloyMa00,rec,5,,,,,
player,201210070nor,sdg,FloyMa00,rec_yds,108,,,,,
player,201210070nor,sdg,FloyMa00,rec_td,0,,,,,
player,201210070nor,sdg,FloyMa00,rec_long,39,,,,,
player,201210070nor,sdg,FloyMa00,fumbles,0,,,,,
player,201210070nor,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_cmp,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_att,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_yds,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_td,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_int,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_sacked,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_long,0,,,,,
player,201210070nor,sdg,MeacRo00,pass_rating,,,,,,
player,201210070nor,sdg,MeacRo00,rush_att,0,,,,,
player,201210070nor,sdg,MeacRo00,rush_yds,0,,,,,
player,201210070nor,sdg,MeacRo00,rush_td,0,,,,,
player,201210070nor,sdg,MeacRo00,rush_long,0,,,,,
player,201210070nor,sdg,MeacRo00,targets,4,,,,,
player,201210070nor,sdg,MeacRo00,rec,3,,,,,
player,201210070nor,sdg,MeacRo00,rec_yds,67,,,,,
player,201210070nor,sdg,MeacRo00,rec_td,2,,,,,
player,201210070nor,sdg,MeacRo00,rec_long,44,,,,,
player,201210070nor,sdg,MeacRo00,fumbles,0,,,,,
player,201210070nor,sdg,MeacRo00,fumbles_lost,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_att,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_yds,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_td,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_int,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_long,0,,,,,
player,201210070nor,sdg,RoyaEd00,pass_rating,,,,,,
player,201210070nor,sdg,RoyaEd00,rush_att,0,,,,,
player,201210070nor,sdg,RoyaEd00,rush_yds,0,,,,,
player,201210070nor,sdg,RoyaEd00,rush_td,0,,,,,
player,201210070nor,sdg,RoyaEd00,rush_long,0,,,,,
player,201210070nor,sdg,RoyaEd00,targets,5,,,,,
player,201210070nor,sdg,RoyaEd00,rec,2,,,,,
player,201210070nor,sdg,RoyaEd00,rec_yds,31,,,,,
player,201210070nor,sdg,RoyaEd00,rec_td,0,,,,,
player,201210070nor,sdg,RoyaEd00,rec_long,20,,,,,
player,201210070nor,sdg,RoyaEd00,fumbles,0,,,,,
player,201210070nor,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201210070nor,sdg,GateAn00,pass_cmp,0,,,,,
player,201210070nor,sdg,GateAn00,pass_att,0,,,,,
player,201210070nor,sdg,GateAn00,pass_yds,0,,,,,
player,201210070nor,sdg,GateAn00,pass_td,0,,,,,
player,201210070nor,sdg,GateAn00,pass_int,0,,,,,
player,201210070nor,sdg,GateAn00,pass_sacked,0,,,,,
player,201210070nor,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,GateAn00,pass_long,0,,,,,
player,201210070nor,sdg,GateAn00,pass_rating,,,,,,
player,201210070nor,sdg,GateAn00,rush_att,0,,,,,
player,201210070nor,sdg,GateAn00,rush_yds,0,,,,,
player,201210070nor,sdg,GateAn00,rush_td,0,,,,,
player,201210070nor,sdg,GateAn00,rush_long,0,,,,,
player,201210070nor,sdg,GateAn00,targets,7,,,,,
player,201210070nor,sdg,GateAn00,rec,3,,,,,
player,201210070nor,sdg,GateAn00,rec_yds,19,,,,,
player,201210070nor,sdg,GateAn00,rec_td,0,,,,,
player,201210070nor,sdg,GateAn00,rec_long,13,,,,,
player,201210070nor,sdg,GateAn00,fumbles,0,,,,,
