game,2012,2,20120916,201209160phi,rav,"Baltimore Ravens",23,phi,"Philadelphia Eagles",24
team,201209160phi,rav,First Downs,17,,,,,,
team,201209160phi,phi,First Downs,26,,,,,,
team,201209160phi,rav,Rush-Yds-TDs,21-111-1,,,,,,
team,201209160phi,phi,Rush-Yds-TDs,41-129-2,,,,,,
team,201209160phi,rav,Cmp-Att-Yd-TD-INT,22-42-232-1-1,,,,,,
team,201209160phi,phi,Cmp-Att-Yd-TD-INT,23-32-371-1-2,,,,,,
team,201209160phi,rav,Sacked-Yards,2-18,,,,,,
team,201209160phi,phi,Sacked-Yards,2-14,,,,,,
team,201209160phi,rav,Net Pass Yards,214,,,,,,
team,201209160phi,phi,Net Pass Yards,357,,,,,,
team,201209160phi,rav,Total Yards,325,,,,,,
team,201209160phi,phi,Total Yards,486,,,,,,
team,201209160phi,rav,Fumbles-Lost,1-1,,,,,,
team,201209160phi,phi,Fumbles-Lost,2-2,,,,,,
team,201209160phi,rav,Turnovers,2,,,,,,
team,201209160phi,phi,Turnovers,4,,,,,,
team,201209160phi,rav,Penalties-Yards,6-45,,,,,,
team,201209160phi,phi,Penalties-Yards,7-58,,,,,,
team,201209160phi,rav,Third Down Conv.,4-14,,,,,,
team,201209160phi,phi,Third Down Conv.,7-15,,,,,,
team,201209160phi,rav,Fourth Down Conv.,0-2,,,,,,
team,201209160phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201209160phi,rav,Time of Possession,25:39,,,,,,
team,201209160phi,phi,Time of Possession,34:21,,,,,,
player,201209160phi,rav,FlacJo00,pass_cmp,22,,,,,
player,201209160phi,rav,FlacJo00,pass_att,42,,,,,
player,201209160phi,rav,FlacJo00,pass_yds,232,,,,,
player,201209160phi,rav,FlacJo00,pass_td,1,,,,,
player,201209160phi,rav,FlacJo00,pass_int,1,,,,,
player,201209160phi,rav,FlacJo00,pass_sacked,2,,,,,
player,201209160phi,rav,FlacJo00,pass_sacked_yds,18,,,,,
player,201209160phi,rav,FlacJo00,pass_long,40,,,,,
player,201209160phi,rav,FlacJo00,pass_rating,66.8,,,,,
player,201209160phi,rav,FlacJo00,rush_att,0,,,,,
player,201209160phi,rav,FlacJo00,rush_yds,0,,,,,
player,201209160phi,rav,FlacJo00,rush_td,0,,,,,
player,201209160phi,rav,FlacJo00,rush_long,0,,,,,
player,201209160phi,rav,FlacJo00,targets,0,,,,,
player,201209160phi,rav,FlacJo00,rec,0,,,,,
player,201209160phi,rav,FlacJo00,rec_yds,0,,,,,
