game,2012,11,20121118,201211180nwe,clt,"Indianapolis Colts",24,nwe,"New England Patriots",59
team,201211180nwe,clt,First Downs,28,,,,,,
team,201211180nwe,nwe,First Downs,25,,,,,,
team,201211180nwe,clt,Rush-Yds-TDs,24-119-1,,,,,,
team,201211180nwe,nwe,Rush-Yds-TDs,25-115-2,,,,,,
team,201211180nwe,clt,Cmp-Att-Yd-TD-INT,27-50-334-2-3,,,,,,
team,201211180nwe,nwe,Cmp-Att-Yd-TD-INT,24-35-331-3-0,,,,,,
team,201211180nwe,clt,Sacked-Yards,1-5,,,,,,
team,201211180nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201211180nwe,clt,Net Pass Yards,329,,,,,,
team,201211180nwe,nwe,Net Pass Yards,331,,,,,,
team,201211180nwe,clt,Total Yards,448,,,,,,
team,201211180nwe,nwe,Total Yards,446,,,,,,
team,201211180nwe,clt,Fumbles-Lost,3-1,,,,,,
team,201211180nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201211180nwe,clt,Turnovers,4,,,,,,
team,201211180nwe,nwe,Turnovers,0,,,,,,
team,201211180nwe,clt,Penalties-Yards,1-5,,,,,,
team,201211180nwe,nwe,Penalties-Yards,4-70,,,,,,
team,201211180nwe,clt,Third Down Conv.,8-14,,,,,,
team,201211180nwe,nwe,Third Down Conv.,8-12,,,,,,
team,201211180nwe,clt,Fourth Down Conv.,0-0,,,,,,
team,201211180nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201211180nwe,clt,Time of Possession,32:55,,,,,,
team,201211180nwe,nwe,Time of Possession,27:05,,,,,,
player,201211180nwe,clt,LuckAn00,pass_cmp,27,,,,,
player,201211180nwe,clt,LuckAn00,pass_att,50,,,,,
player,201211180nwe,clt,LuckAn00,pass_yds,334,,,,,
player,201211180nwe,clt,LuckAn00,pass_td,2,,,,,
player,201211180nwe,clt,LuckAn00,pass_int,3,,,,,
player,201211180nwe,clt,LuckAn00,pass_sacked,1,,,,,
player,201211180nwe,clt,LuckAn00,pass_sacked_yds,5,,,,,
player,201211180nwe,clt,LuckAn00,pass_long,43,,,,,
player,201211180nwe,clt,LuckAn00,pass_rating,63.2,,,,,
player,201211180nwe,clt,LuckAn00,rush_att,1,,,,,
player,201211180nwe,clt,LuckAn00,rush_yds,4,,,,,
player,201211180nwe,clt,LuckAn00,rush_td,0,,,,,
player,201211180nwe,clt,LuckAn00,rush_long,4,,,,,
player,201211180nwe,clt,LuckAn00,targets,0,,,,,
player,201211180nwe,clt,LuckAn00,rec,0,,,,,
player,201211180nwe,clt,LuckAn00,rec_yds,0,,,,,
player,201211180nwe,clt,LuckAn00,rec_td,0,,,,,
player,201211180nwe,clt,LuckAn00,rec_long,0,,,,,
player,201211180nwe,clt,LuckAn00,fumbles,1,,,,,
player,201211180nwe,clt,LuckAn00,fumbles_lost,1,,,,,
player,201211180nwe,clt,BallVi00,pass_cmp,0,,,,,
player,201211180nwe,clt,BallVi00,pass_att,0,,,,,
player,201211180nwe,clt,BallVi00,pass_yds,0,,,,,
player,201211180nwe,clt,BallVi00,pass_td,0,,,,,
player,201211180nwe,clt,BallVi00,pass_int,0,,,,,
player,201211180nwe,clt,BallVi00,pass_sacked,0,,,,,
player,201211180nwe,clt,BallVi00,pass_sacked_yds,0,,,,,
player,201211180nwe,clt,BallVi00,pass_long,0,,,,,
player,201211180nwe,clt,BallVi00,pass_rating,,,,,,
player,201211180nwe,clt,BallVi00,rush_att,16,,,,,
player,201211180nwe,clt,BallVi00,rush_yds,72,,,,,
player,201211180nwe,clt,BallVi00,rush_td,0,,,,,
player,201211180nwe,clt,BallVi00,rush_long,20,,,,,
player,201211180nwe,clt,BallVi00,targets,1,,,,,
player,201211180nwe,clt,BallVi00,rec,1,,,,,
player,201211180nwe,clt,BallVi00,rec_yds,7,,,,,
player,201211180nwe,clt,BallVi00,rec_td,0,,,,,
player,201211180nwe,clt,BallVi00,rec_long,7,,,,,
player,201211180nwe,clt,BallVi00,fumbles,1,,,,,
player,201211180nwe,clt,BallVi00,fumbles_lost,0,,,,,
player,201211180nwe,clt,CartDe01,pass_cmp,0,,,,,
player,201211180nwe,clt,CartDe01,pass_att,0,,,,,
player,201211180nwe,clt,CartDe01,pass_yds,0,,,,,
player,201211180nwe,clt,CartDe01,pass_td,0,,,,,
player,201211180nwe,clt,CartDe01,pass_int,0,,,,,
player,201211180nwe,clt,CartDe01,pass_sacked,0,,,,,
player,201211180nwe,clt,CartDe01,pass_sacked_yds,0,,,,,
player,201211180nwe,clt,CartDe01,pass_long,0,,,,,
player,201211180nwe,clt,CartDe01,pass_rating,,,,,,
player,201211180nwe,clt,CartDe01,rush_att,2,,,,,
player,201211180nwe,clt,CartDe01,rush_yds,21,,,,,
player,201211180nwe,clt,CartDe01,rush_td,1,,,,,
player,201211180nwe,clt,CartDe01,rush_long,20,,,,,
player,201211180nwe,clt,CartDe01,targets,0,,,,,
player,201211180nwe,clt,CartDe01,rec,0,,,,,
