game,2012,2,20120916,201209160clt,min,"Minnesota Vikings",20,clt,"Indianapolis Colts",23
team,201209160clt,min,First Downs,19,,,,,,
team,201209160clt,clt,First Downs,17,,,,,,
team,201209160clt,min,Rush-Yds-TDs,26-95-0,,,,,,
team,201209160clt,clt,Rush-Yds-TDs,30-84-0,,,,,,
team,201209160clt,min,Cmp-Att-Yd-TD-INT,27-35-245-2-0,,,,,,
team,201209160clt,clt,Cmp-Att-Yd-TD-INT,20-31-224-2-0,,,,,,
team,201209160clt,min,Sacked-Yards,4-13,,,,,,
team,201209160clt,clt,Sacked-Yards,2-30,,,,,,
team,201209160clt,min,Net Pass Yards,232,,,,,,
team,201209160clt,clt,Net Pass Yards,194,,,,,,
team,201209160clt,min,Total Yards,327,,,,,,
team,201209160clt,clt,Total Yards,278,,,,,,
team,201209160clt,min,Fumbles-Lost,2-1,,,,,,
team,201209160clt,clt,Fumbles-Lost,0-0,,,,,,
team,201209160clt,min,Turnovers,1,,,,,,
team,201209160clt,clt,Turnovers,0,,,,,,
team,201209160clt,min,Penalties-Yards,11-105,,,,,,
team,201209160clt,clt,Penalties-Yards,7-51,,,,,,
team,201209160clt,min,Third Down Conv.,7-15,,,,,,
team,201209160clt,clt,Third Down Conv.,7-16,,,,,,
team,201209160clt,min,Fourth Down Conv.,1-1,,,,,,
team,201209160clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201209160clt,min,Time of Possession,30:22,,,,,,
team,201209160clt,clt,Time of Possession,29:38,,,,,,
player,201209160clt,min,PondCh00,pass_cmp,27,,,,,
player,201209160clt,min,PondCh00,pass_att,35,,,,,
player,201209160clt,min,PondCh00,pass_yds,245,,,,,
player,201209160clt,min,PondCh00,pass_td,2,,,,,
player,201209160clt,min,PondCh00,pass_int,0,,,,,
player,201209160clt,min,PondCh00,pass_sacked,4,,,,,
player,201209160clt,min,PondCh00,pass_sacked_yds,13,,,,,
player,201209160clt,min,PondCh00,pass_long,20,,,,,
player,201209160clt,min,PondCh00,pass_rating,114.6,,,,,
player,201209160clt,min,PondCh00,rush_att,3,,,,,
player,201209160clt,min,PondCh00,rush_yds,7,,,,,
player,201209160clt,min,PondCh00,rush_td,0,,,,,
player,201209160clt,min,PondCh00,rush_long,5,,,,,
player,201209160clt,min,PondCh00,targets,0,,,,,
player,201209160clt,min,PondCh00,rec,0,,,,,
player,201209160clt,min,PondCh00,rec_yds,0,,,,,
player,201209160clt,min,PondCh00,rec_td,0,,,,,
player,201209160clt,min,PondCh00,rec_long,0,,,,,
player,201209160clt,min,PondCh00,fumbles,1,,,,,
player,201209160clt,min,PondCh00,fumbles_lost,1,,,,,
player,201209160clt,min,PeteAd01,pass_cmp,0,,,,,
player,201209160clt,min,PeteAd01,pass_att,0,,,,,
player,201209160clt,min,PeteAd01,pass_yds,0,,,,,
player,201209160clt,min,PeteAd01,pass_td,0,,,,,
player,201209160clt,min,PeteAd01,pass_int,0,,,,,
player,201209160clt,min,PeteAd01,pass_sacked,0,,,,,
player,201209160clt,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201209160clt,min,PeteAd01,pass_long,0,,,,,
player,201209160clt,min,PeteAd01,pass_rating,,,,,,
player,201209160clt,min,PeteAd01,rush_att,16,,,,,
player,201209160clt,min,PeteAd01,rush_yds,60,,,,,
