game,2012,10,20121111,201211110sfo,ram,"St. Louis Rams",24,sfo,"San Francisco 49ers",24
team,201211110sfo,ram,First Downs,27,,,,,,
team,201211110sfo,sfo,First Downs,25,,,,,,
team,201211110sfo,ram,Rush-Yds-TDs,37-159-1,,,,,,
team,201211110sfo,sfo,Rush-Yds-TDs,34-183-2,,,,,,
team,201211110sfo,ram,Cmp-Att-Yd-TD-INT,28-41-315-2-0,,,,,,
team,201211110sfo,sfo,Cmp-Att-Yd-TD-INT,18-25-189-1-0,,,,,,
team,201211110sfo,ram,Sacked-Yards,2-16,,,,,,
team,201211110sfo,sfo,Sacked-Yards,5-31,,,,,,
team,201211110sfo,ram,Net Pass Yards,299,,,,,,
team,201211110sfo,sfo,Net Pass Yards,158,,,,,,
team,201211110sfo,ram,Total Yards,458,,,,,,
team,201211110sfo,sfo,Total Yards,341,,,,,,
team,201211110sfo,ram,Fumbles-Lost,3-1,,,,,,
team,201211110sfo,sfo,Fumbles-Lost,4-0,,,,,,
team,201211110sfo,ram,Turnovers,1,,,,,,
team,201211110sfo,sfo,Turnovers,0,,,,,,
team,201211110sfo,ram,Penalties-Yards,13-85,,,,,,
team,201211110sfo,sfo,Penalties-Yards,7-66,,,,,,
team,201211110sfo,ram,Third Down Conv.,7-16,,,,,,
team,201211110sfo,sfo,Third Down Conv.,2-11,,,,,,
team,201211110sfo,ram,Fourth Down Conv.,2-2,,,,,,
team,201211110sfo,sfo,Fourth Down Conv.,2-2,,,,,,
team,201211110sfo,ram,Time of Possession,40:45,,,,,,
team,201211110sfo,sfo,Time of Possession,34:15,,,,,,
player,201211110sfo,ram,BradSa00,pass_cmp,26,,,,,
player,201211110sfo,ram,BradSa00,pass_att,39,,,,,
player,201211110sfo,ram,BradSa00,pass_yds,275,,,,,
player,201211110sfo,ram,BradSa00,pass_td,2,,,,,
player,201211110sfo,ram,BradSa00,pass_int,0,,,,,
player,201211110sfo,ram,BradSa00,pass_sacked,2,,,,,
player,201211110sfo,ram,BradSa00,pass_sacked_yds,16,,,,,
player,201211110sfo,ram,BradSa00,pass_long,36,,,,,
player,201211110sfo,ram,BradSa00,pass_rating,104.1,,,,,
player,201211110sfo,ram,BradSa00,rush_att,1,,,,,
player,201211110sfo,ram,BradSa00,rush_yds,0,,,,,
player,201211110sfo,ram,BradSa00,rush_td,0,,,,,
player,201211110sfo,ram,BradSa00,rush_long,0,,,,,
player,201211110sfo,ram,BradSa00,targets,0,,,,,
player,201211110sfo,ram,BradSa00,rec,0,,,,,
player,201211110sfo,ram,BradSa00,rec_yds,0,,,,,
player,201211110sfo,ram,BradSa00,rec_td,0,,,,,
player,201211110sfo,ram,BradSa00,rec_long,0,,,,,
player,201211110sfo,ram,BradSa00,fumbles,1,,,,,
player,201211110sfo,ram,BradSa00,fumbles_lost,0,,,,,
player,201211110sfo,ram,HekkJo00,pass_cmp,2,,,,,
player,201211110sfo,ram,HekkJo00,pass_att,2,,,,,
player,201211110sfo,ram,HekkJo00,pass_yds,40,,,,,
player,201211110sfo,ram,HekkJo00,pass_td,0,,,,,
player,201211110sfo,ram,HekkJo00,pass_int,0,,,,,
player,201211110sfo,ram,HekkJo00,pass_sacked,0,,,,,
player,201211110sfo,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201211110sfo,ram,HekkJo00,pass_long,21,,,,,
player,201211110sfo,ram,HekkJo00,pass_rating,118.7,,,,,
player,201211110sfo,ram,HekkJo00,rush_att,0,,,,,
player,201211110sfo,ram,HekkJo00,rush_yds,0,,,,,
player,201211110sfo,ram,HekkJo00,rush_td,0,,,,,
player,201211110sfo,ram,HekkJo00,rush_long,0,,,,,
player,201211110sfo,ram,HekkJo00,targets,0,,,,,
player,201211110sfo,ram,HekkJo00,rec,0,,,,,
player,201211110sfo,ram,HekkJo00,rec_yds,0,,,,,
player,201211110sfo,ram,HekkJo00,rec_td,0,,,,,
player,201211110sfo,ram,HekkJo00,rec_long,0,,,,,
player,201211110sfo,ram,HekkJo00,fumbles,0,,,,,
player,201211110sfo,ram,HekkJo00,fumbles_lost,0,,,,,
player,201211110sfo,ram,JackSt00,pass_cmp,0,,,,,
player,201211110sfo,ram,JackSt00,pass_att,0,,,,,
player,201211110sfo,ram,JackSt00,pass_yds,0,,,,,
player,201211110sfo,ram,JackSt00,pass_td,0,,,,,
player,201211110sfo,ram,JackSt00,pass_int,0,,,,,
player,201211110sfo,ram,JackSt00,pass_sacked,0,,,,,
player,201211110sfo,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201211110sfo,ram,JackSt00,pass_long,0,,,,,
player,201211110sfo,ram,JackSt00,pass_rating,,,,,,
player,201211110sfo,ram,JackSt00,rush_att,29,,,,,
player,201211110sfo,ram,JackSt00,rush_yds,101,,,,,
player,201211110sfo,ram,JackSt00,rush_td,1,,,,,
player,201211110sfo,ram,JackSt00,rush_long,10,,,,,
player,201211110sfo,ram,JackSt00,targets,3,,,,,
player,201211110sfo,ram,JackSt00,rec,2,,,,,
