game,2012,5,20121007,201210070nwe,den,"Denver Broncos",21,nwe,"New England Patriots",31
team,201210070nwe,den,First Downs,22,,,,,,
team,201210070nwe,nwe,First Downs,35,,,,,,
team,201210070nwe,den,Rush-Yds-TDs,20-70-0,,,,,,
team,201210070nwe,nwe,Rush-Yds-TDs,54-251-3,,,,,,
team,201210070nwe,den,Cmp-Att-Yd-TD-INT,31-44-337-3-0,,,,,,
team,201210070nwe,nwe,Cmp-Att-Yd-TD-INT,23-31-223-1-0,,,,,,
team,201210070nwe,den,Sacked-Yards,2-13,,,,,,
team,201210070nwe,nwe,Sacked-Yards,4-30,,,,,,
team,201210070nwe,den,Net Pass Yards,324,,,,,,
team,201210070nwe,nwe,Net Pass Yards,193,,,,,,
team,201210070nwe,den,Total Yards,394,,,,,,
team,201210070nwe,nwe,Total Yards,444,,,,,,
team,201210070nwe,den,Fumbles-Lost,3-3,,,,,,
team,201210070nwe,nwe,Fumbles-Lost,2-1,,,,,,
team,201210070nwe,den,Turnovers,3,,,,,,
team,201210070nwe,nwe,Turnovers,1,,,,,,
team,201210070nwe,den,Penalties-Yards,4-21,,,,,,
team,201210070nwe,nwe,Penalties-Yards,6-59,,,,,,
team,201210070nwe,den,Third Down Conv.,7-13,,,,,,
team,201210070nwe,nwe,Third Down Conv.,11-17,,,,,,
team,201210070nwe,den,Fourth Down Conv.,1-2,,,,,,
team,201210070nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201210070nwe,den,Time of Possession,24:11,,,,,,
team,201210070nwe,nwe,Time of Possession,35:49,,,,,,
player,201210070nwe,den,MannPe00,pass_cmp,31,,,,,
player,201210070nwe,den,MannPe00,pass_att,44,,,,,
player,201210070nwe,den,MannPe00,pass_yds,337,,,,,
player,201210070nwe,den,MannPe00,pass_td,3,,,,,
player,201210070nwe,den,MannPe00,pass_int,0,,,,,
player,201210070nwe,den,MannPe00,pass_sacked,2,,,,,
player,201210070nwe,den,MannPe00,pass_sacked_yds,13,,,,,
player,201210070nwe,den,MannPe00,pass_long,38,,,,,
player,201210070nwe,den,MannPe00,pass_rating,115.4,,,,,
player,201210070nwe,den,MannPe00,rush_att,2,,,,,
player,201210070nwe,den,MannPe00,rush_yds,9,,,,,
player,201210070nwe,den,MannPe00,rush_td,0,,,,,
player,201210070nwe,den,MannPe00,rush_long,10,,,,,
player,201210070nwe,den,MannPe00,targets,0,,,,,
player,201210070nwe,den,MannPe00,rec,0,,,,,
player,201210070nwe,den,MannPe00,rec_yds,0,,,,,
player,201210070nwe,den,MannPe00,rec_td,0,,,,,
player,201210070nwe,den,MannPe00,rec_long,0,,,,,
player,201210070nwe,den,MannPe00,fumbles,1,,,,,
player,201210070nwe,den,MannPe00,fumbles_lost,1,,,,,
player,201210070nwe,den,McGaWi00,pass_cmp,0,,,,,
player,201210070nwe,den,McGaWi00,pass_att,0,,,,,
player,201210070nwe,den,McGaWi00,pass_yds,0,,,,,
player,201210070nwe,den,McGaWi00,pass_td,0,,,,,
player,201210070nwe,den,McGaWi00,pass_int,0,,,,,
player,201210070nwe,den,McGaWi00,pass_sacked,0,,,,,
player,201210070nwe,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201210070nwe,den,McGaWi00,pass_long,0,,,,,
player,201210070nwe,den,McGaWi00,pass_rating,,,,,,
player,201210070nwe,den,McGaWi00,rush_att,14,,,,,
player,201210070nwe,den,McGaWi00,rush_yds,51,,,,,
player,201210070nwe,den,McGaWi00,rush_td,0,,,,,
player,201210070nwe,den,McGaWi00,rush_long,11,,,,,
player,201210070nwe,den,McGaWi00,targets,6,,,,,
player,201210070nwe,den,McGaWi00,rec,5,,,,,
player,201210070nwe,den,McGaWi00,rec_yds,51,,,,,
player,201210070nwe,den,McGaWi00,rec_td,0,,,,,
