game,2012,8,20121028,201210280chi,car,"Carolina Panthers",22,chi,"Chicago Bears",23
team,201210280chi,car,First Downs,21,,,,,,
team,201210280chi,chi,First Downs,18,,,,,,
team,201210280chi,car,Rush-Yds-TDs,36-119-0,,,,,,
team,201210280chi,chi,Rush-Yds-TDs,19-79-1,,,,,,
team,201210280chi,car,Cmp-Att-Yd-TD-INT,20-39-314-0-2,,,,,,
team,201210280chi,chi,Cmp-Att-Yd-TD-INT,19-28-186-1-1,,,,,,
team,201210280chi,car,Sacked-Yards,2-17,,,,,,
team,201210280chi,chi,Sacked-Yards,6-55,,,,,,
team,201210280chi,car,Net Pass Yards,297,,,,,,
team,201210280chi,chi,Net Pass Yards,131,,,,,,
team,201210280chi,car,Total Yards,416,,,,,,
team,201210280chi,chi,Total Yards,210,,,,,,
team,201210280chi,car,Fumbles-Lost,2-0,,,,,,
team,201210280chi,chi,Fumbles-Lost,2-2,,,,,,
team,201210280chi,car,Turnovers,2,,,,,,
team,201210280chi,chi,Turnovers,3,,,,,,
team,201210280chi,car,Penalties-Yards,3-21,,,,,,
team,201210280chi,chi,Penalties-Yards,5-40,,,,,,
team,201210280chi,car,Third Down Conv.,10-19,,,,,,
team,201210280chi,chi,Third Down Conv.,2-8,,,,,,
team,201210280chi,car,Fourth Down Conv.,1-1,,,,,,
team,201210280chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201210280chi,car,Time of Possession,36:38,,,,,,
team,201210280chi,chi,Time of Possession,23:22,,,,,,
player,201210280chi,car,NewtCa00,pass_cmp,20,,,,,
player,201210280chi,car,NewtCa00,pass_att,39,,,,,
player,201210280chi,car,NewtCa00,pass_yds,314,,,,,
player,201210280chi,car,NewtCa00,pass_td,0,,,,,
player,201210280chi,car,NewtCa00,pass_int,2,,,,,
player,201210280chi,car,NewtCa00,pass_sacked,2,,,,,
player,201210280chi,car,NewtCa00,pass_sacked_yds,17,,,,,
player,201210280chi,car,NewtCa00,pass_long,62,,,,,
player,201210280chi,car,NewtCa00,pass_rating,57.0,,,,,
player,201210280chi,car,NewtCa00,rush_att,5,,,,,
player,201210280chi,car,NewtCa00,rush_yds,37,,,,,
player,201210280chi,car,NewtCa00,rush_td,0,,,,,
player,201210280chi,car,NewtCa00,rush_long,16,,,,,
player,201210280chi,car,NewtCa00,targets,0,,,,,
player,201210280chi,car,NewtCa00,rec,0,,,,,
player,201210280chi,car,NewtCa00,rec_yds,0,,,,,
player,201210280chi,car,NewtCa00,rec_td,0,,,,,
player,201210280chi,car,NewtCa00,rec_long,0,,,,,
player,201210280chi,car,NewtCa00,fumbles,2,,,,,
player,201210280chi,car,NewtCa00,fumbles_lost,0,,,,,
player,201210280chi,car,StewJo00,pass_cmp,0,,,,,
player,201210280chi,car,StewJo00,pass_att,0,,,,,
player,201210280chi,car,StewJo00,pass_yds,0,,,,,
player,201210280chi,car,StewJo00,pass_td,0,,,,,
player,201210280chi,car,StewJo00,pass_int,0,,,,,
player,201210280chi,car,StewJo00,pass_sacked,0,,,,,
player,201210280chi,car,StewJo00,pass_sacked_yds,0,,,,,
player,201210280chi,car,StewJo00,pass_long,0,,,,,
player,201210280chi,car,StewJo00,pass_rating,,,,,,
player,201210280chi,car,StewJo00,rush_att,17,,,,,
player,201210280chi,car,StewJo00,rush_yds,42,,,,,
player,201210280chi,car,StewJo00,rush_td,0,,,,,
player,201210280chi,car,StewJo00,rush_long,13,,,,,
player,201210280chi,car,StewJo00,targets,6,,,,,
player,201210280chi,car,StewJo00,rec,4,,,,,
player,201210280chi,car,StewJo00,rec_yds,38,,,,,
player,201210280chi,car,StewJo00,rec_td,0,,,,,
player,201210280chi,car,StewJo00,rec_long,15,,,,,
player,201210280chi,car,StewJo00,fumbles,0,,,,,
player,201210280chi,car,StewJo00,fumbles_lost,0,,,,,
player,201210280chi,car,WillDe02,pass_cmp,0,,,,,
player,201210280chi,car,WillDe02,pass_att,0,,,,,
player,201210280chi,car,WillDe02,pass_yds,0,,,,,
player,201210280chi,car,WillDe02,pass_td,0,,,,,
player,201210280chi,car,WillDe02,pass_int,0,,,,,
player,201210280chi,car,WillDe02,pass_sacked,0,,,,,
player,201210280chi,car,WillDe02,pass_sacked_yds,0,,,,,
player,201210280chi,car,WillDe02,pass_long,0,,,,,
player,201210280chi,car,WillDe02,pass_rating,,,,,,
player,201210280chi,car,WillDe02,rush_att,11,,,,,
player,201210280chi,car,WillDe02,rush_yds,33,,,,,
player,201210280chi,car,WillDe02,rush_td,0,,,,,
player,201210280chi,car,WillDe02,rush_long,17,,,,,
player,201210280chi,car,WillDe02,targets,0,,,,,
player,201210280chi,car,WillDe02,rec,0,,,,,
player,201210280chi,car,WillDe02,rec_yds,0,,,,,
player,201210280chi,car,WillDe02,rec_td,0,,,,,
player,201210280chi,car,WillDe02,rec_long,0,,,,,
player,201210280chi,car,WillDe02,fumbles,0,,,,,
player,201210280chi,car,WillDe02,fumbles_lost,0,,,,,
player,201210280chi,car,TolbMi00,pass_cmp,0,,,,,
player,201210280chi,car,TolbMi00,pass_att,0,,,,,
player,201210280chi,car,TolbMi00,pass_yds,0,,,,,
player,201210280chi,car,TolbMi00,pass_td,0,,,,,
player,201210280chi,car,TolbMi00,pass_int,0,,,,,
player,201210280chi,car,TolbMi00,pass_sacked,0,,,,,
player,201210280chi,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201210280chi,car,TolbMi00,pass_long,0,,,,,
player,201210280chi,car,TolbMi00,pass_rating,,,,,,
player,201210280chi,car,TolbMi00,rush_att,3,,,,,
player,201210280chi,car,TolbMi00,rush_yds,7,,,,,
player,201210280chi,car,TolbMi00,rush_td,0,,,,,
player,201210280chi,car,TolbMi00,rush_long,4,,,,,
player,201210280chi,car,TolbMi00,targets,1,,,,,
player,201210280chi,car,TolbMi00,rec,1,,,,,
player,201210280chi,car,TolbMi00,rec_yds,15,,,,,
player,201210280chi,car,TolbMi00,rec_td,0,,,,,
player,201210280chi,car,TolbMi00,rec_long,15,,,,,
player,201210280chi,car,TolbMi00,fumbles,0,,,,,
player,201210280chi,car,TolbMi00,fumbles_lost,0,,,,,
player,201210280chi,car,SmitSt01,pass_cmp,0,,,,,
player,201210280chi,car,SmitSt01,pass_att,0,,,,,
player,201210280chi,car,SmitSt01,pass_yds,0,,,,,
player,201210280chi,car,SmitSt01,pass_td,0,,,,,
player,201210280chi,car,SmitSt01,pass_int,0,,,,,
player,201210280chi,car,SmitSt01,pass_sacked,0,,,,,
player,201210280chi,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201210280chi,car,SmitSt01,pass_long,0,,,,,
player,201210280chi,car,SmitSt01,pass_rating,,,,,,
player,201210280chi,car,SmitSt01,rush_att,0,,,,,
player,201210280chi,car,SmitSt01,rush_yds,0,,,,,
player,201210280chi,car,SmitSt01,rush_td,0,,,,,
player,201210280chi,car,SmitSt01,rush_long,0,,,,,
player,201210280chi,car,SmitSt01,targets,15,,,,,
player,201210280chi,car,SmitSt01,rec,7,,,,,
player,201210280chi,car,SmitSt01,rec_yds,118,,,,,
player,201210280chi,car,SmitSt01,rec_td,0,,,,,
player,201210280chi,car,SmitSt01,rec_long,47,,,,,
player,201210280chi,car,SmitSt01,fumbles,0,,,,,
