game,2012,9,20121101,201211010sdg,kan,"Kansas City Chiefs",13,sdg,"San Diego Chargers",31
team,201211010sdg,kan,First Downs,21,,,,,,
team,201211010sdg,sdg,First Downs,18,,,,,,
team,201211010sdg,kan,Rush-Yds-TDs,30-113-1,,,,,,
team,201211010sdg,sdg,Rush-Yds-TDs,26-123-0,,,,,,
team,201211010sdg,kan,Cmp-Att-Yd-TD-INT,19-29-181-0-1,,,,,,
team,201211010sdg,sdg,Cmp-Att-Yd-TD-INT,18-20-220-2-1,,,,,,
team,201211010sdg,kan,Sacked-Yards,1-5,,,,,,
team,201211010sdg,sdg,Sacked-Yards,1-4,,,,,,
team,201211010sdg,kan,Net Pass Yards,176,,,,,,
team,201211010sdg,sdg,Net Pass Yards,216,,,,,,
team,201211010sdg,kan,Total Yards,289,,,,,,
team,201211010sdg,sdg,Total Yards,339,,,,,,
team,201211010sdg,kan,Fumbles-Lost,3-3,,,,,,
team,201211010sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201211010sdg,kan,Turnovers,4,,,,,,
team,201211010sdg,sdg,Turnovers,2,,,,,,
team,201211010sdg,kan,Penalties-Yards,5-37,,,,,,
team,201211010sdg,sdg,Penalties-Yards,8-54,,,,,,
team,201211010sdg,kan,Third Down Conv.,7-12,,,,,,
team,201211010sdg,sdg,Third Down Conv.,4-9,,,,,,
team,201211010sdg,kan,Fourth Down Conv.,0-0,,,,,,
team,201211010sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201211010sdg,kan,Time of Possession,31:31,,,,,,
team,201211010sdg,sdg,Time of Possession,28:29,,,,,,
player,201211010sdg,kan,CassMa00,pass_cmp,19,,,,,
player,201211010sdg,kan,CassMa00,pass_att,29,,,,,
player,201211010sdg,kan,CassMa00,pass_yds,181,,,,,
player,201211010sdg,kan,CassMa00,pass_td,0,,,,,
player,201211010sdg,kan,CassMa00,pass_int,1,,,,,
player,201211010sdg,kan,CassMa00,pass_sacked,1,,,,,
player,201211010sdg,kan,CassMa00,pass_sacked_yds,5,,,,,
player,201211010sdg,kan,CassMa00,pass_long,22,,,,,
player,201211010sdg,kan,CassMa00,pass_rating,68.3,,,,,
player,201211010sdg,kan,CassMa00,rush_att,6,,,,,
player,201211010sdg,kan,CassMa00,rush_yds,37,,,,,
player,201211010sdg,kan,CassMa00,rush_td,0,,,,,
player,201211010sdg,kan,CassMa00,rush_long,14,,,,,
player,201211010sdg,kan,CassMa00,targets,0,,,,,
player,201211010sdg,kan,CassMa00,rec,0,,,,,
player,201211010sdg,kan,CassMa00,rec_yds,0,,,,,
player,201211010sdg,kan,CassMa00,rec_td,0,,,,,
player,201211010sdg,kan,CassMa00,rec_long,0,,,,,
player,201211010sdg,kan,CassMa00,fumbles,1,,,,,
player,201211010sdg,kan,CassMa00,fumbles_lost,1,,,,,
player,201211010sdg,kan,CharJa00,pass_cmp,0,,,,,
player,201211010sdg,kan,CharJa00,pass_att,0,,,,,
player,201211010sdg,kan,CharJa00,pass_yds,0,,,,,
player,201211010sdg,kan,CharJa00,pass_td,0,,,,,
player,201211010sdg,kan,CharJa00,pass_int,0,,,,,
player,201211010sdg,kan,CharJa00,pass_sacked,0,,,,,
player,201211010sdg,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201211010sdg,kan,CharJa00,pass_long,0,,,,,
player,201211010sdg,kan,CharJa00,pass_rating,,,,,,
player,201211010sdg,kan,CharJa00,rush_att,12,,,,,
player,201211010sdg,kan,CharJa00,rush_yds,39,,,,,
player,201211010sdg,kan,CharJa00,rush_td,0,,,,,
player,201211010sdg,kan,CharJa00,rush_long,15,,,,,
player,201211010sdg,kan,CharJa00,targets,4,,,,,
player,201211010sdg,kan,CharJa00,rec,3,,,,,
player,201211010sdg,kan,CharJa00,rec_yds,27,,,,,
player,201211010sdg,kan,CharJa00,rec_td,0,,,,,
player,201211010sdg,kan,CharJa00,rec_long,22,,,,,
player,201211010sdg,kan,CharJa00,fumbles,0,,,,,
player,201211010sdg,kan,CharJa00,fumbles_lost,0,,,,,
player,201211010sdg,kan,McClDe00,pass_cmp,0,,,,,
player,201211010sdg,kan,McClDe00,pass_att,0,,,,,
player,201211010sdg,kan,McClDe00,pass_yds,0,,,,,
