game,2012,9,20121104,201211040rai,tam,"Tampa Bay Buccaneers",42,rai,"Oakland Raiders",32
team,201211040rai,tam,First Downs,23,,,,,,
team,201211040rai,rai,First Downs,25,,,,,,
team,201211040rai,tam,Rush-Yds-TDs,32-278-4,,,,,,
team,201211040rai,rai,Rush-Yds-TDs,11-22-0,,,,,,
team,201211040rai,tam,Cmp-Att-Yd-TD-INT,18-30-247-2-0,,,,,,
team,201211040rai,rai,Cmp-Att-Yd-TD-INT,40-62-418-4-3,,,,,,
team,201211040rai,tam,Sacked-Yards,1-10,,,,,,
team,201211040rai,rai,Sacked-Yards,2-16,,,,,,
team,201211040rai,tam,Net Pass Yards,237,,,,,,
team,201211040rai,rai,Net Pass Yards,402,,,,,,
team,201211040rai,tam,Total Yards,515,,,,,,
team,201211040rai,rai,Total Yards,424,,,,,,
team,201211040rai,tam,Fumbles-Lost,2-1,,,,,,
team,201211040rai,rai,Fumbles-Lost,2-0,,,,,,
team,201211040rai,tam,Turnovers,1,,,,,,
team,201211040rai,rai,Turnovers,3,,,,,,
team,201211040rai,tam,Penalties-Yards,14-116,,,,,,
team,201211040rai,rai,Penalties-Yards,9-80,,,,,,
team,201211040rai,tam,Third Down Conv.,5-12,,,,,,
team,201211040rai,rai,Third Down Conv.,5-14,,,,,,
team,201211040rai,tam,Fourth Down Conv.,0-1,,,,,,
team,201211040rai,rai,Fourth Down Conv.,1-2,,,,,,
team,201211040rai,tam,Time of Possession,28:04,,,,,,
team,201211040rai,rai,Time of Possession,31:56,,,,,,
player,201211040rai,tam,FreeJo00,pass_cmp,18,,,,,
player,201211040rai,tam,FreeJo00,pass_att,30,,,,,
player,201211040rai,tam,FreeJo00,pass_yds,247,,,,,
player,201211040rai,tam,FreeJo00,pass_td,2,,,,,
player,201211040rai,tam,FreeJo00,pass_int,0,,,,,
player,201211040rai,tam,FreeJo00,pass_sacked,1,,,,,
player,201211040rai,tam,FreeJo00,pass_sacked_yds,10,,,,,
player,201211040rai,tam,FreeJo00,pass_long,64,,,,,
player,201211040rai,tam,FreeJo00,pass_rating,108.6,,,,,
player,201211040rai,tam,FreeJo00,rush_att,5,,,,,
player,201211040rai,tam,FreeJo00,rush_yds,22,,,,,
