game,2012,3,20120924,201209240sea,gnb,"Green Bay Packers",12,sea,"Seattle Seahawks",14
team,201209240sea,gnb,First Downs,22,,,,,,
team,201209240sea,sea,First Downs,14,,,,,,
team,201209240sea,gnb,Rush-Yds-TDs,21-84-1,,,,,,
team,201209240sea,sea,Rush-Yds-TDs,29-127-0,,,,,,
team,201209240sea,gnb,Cmp-Att-Yd-TD-INT,26-39-223-0-0,,,,,,
team,201209240sea,sea,Cmp-Att-Yd-TD-INT,10-21-130-2-0,,,,,,
team,201209240sea,gnb,Sacked-Yards,8-39,,,,,,
team,201209240sea,sea,Sacked-Yards,1-19,,,,,,
team,201209240sea,gnb,Net Pass Yards,184,,,,,,
team,201209240sea,sea,Net Pass Yards,111,,,,,,
team,201209240sea,gnb,Total Yards,268,,,,,,
team,201209240sea,sea,Total Yards,238,,,,,,
team,201209240sea,gnb,Fumbles-Lost,2-0,,,,,,
team,201209240sea,sea,Fumbles-Lost,0-0,,,,,,
team,201209240sea,gnb,Turnovers,0,,,,,,
team,201209240sea,sea,Turnovers,0,,,,,,
team,201209240sea,gnb,Penalties-Yards,10-127,,,,,,
team,201209240sea,sea,Penalties-Yards,14-118,,,,,,
team,201209240sea,gnb,Third Down Conv.,7-15,,,,,,
team,201209240sea,sea,Third Down Conv.,2-11,,,,,,
team,201209240sea,gnb,Fourth Down Conv.,0-0,,,,,,
team,201209240sea,sea,Fourth Down Conv.,2-3,,,,,,
team,201209240sea,gnb,Time of Possession,33:39,,,,,,
team,201209240sea,sea,Time of Possession,26:21,,,,,,
player,201209240sea,gnb,RodgAa00,pass_cmp,26,,,,,
player,201209240sea,gnb,RodgAa00,pass_att,39,,,,,
player,201209240sea,gnb,RodgAa00,pass_yds,223,,,,,
player,201209240sea,gnb,RodgAa00,pass_td,0,,,,,
player,201209240sea,gnb,RodgAa00,pass_int,0,,,,,
player,201209240sea,gnb,RodgAa00,pass_sacked,8,,,,,
player,201209240sea,gnb,RodgAa00,pass_sacked_yds,39,,,,,
player,201209240sea,gnb,RodgAa00,pass_long,31,,,,,
player,201209240sea,gnb,RodgAa00,pass_rating,81.5,,,,,
player,201209240sea,gnb,RodgAa00,rush_att,2,,,,,
player,201209240sea,gnb,RodgAa00,rush_yds,17,,,,,
player,201209240sea,gnb,RodgAa00,rush_td,0,,,,,
player,201209240sea,gnb,RodgAa00,rush_long,16,,,,,
player,201209240sea,gnb,RodgAa00,targets,0,,,,,
player,201209240sea,gnb,RodgAa00,rec,0,,,,,
player,201209240sea,gnb,RodgAa00,rec_yds,0,,,,,
player,201209240sea,gnb,RodgAa00,rec_td,0,,,,,
player,201209240sea,gnb,RodgAa00,rec_long,0,,,,,
player,201209240sea,gnb,RodgAa00,fumbles,0,,,,,
player,201209240sea,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201209240sea,gnb,BensCe00,pass_cmp,0,,,,,
player,201209240sea,gnb,BensCe00,pass_att,0,,,,,
player,201209240sea,gnb,BensCe00,pass_yds,0,,,,,
player,201209240sea,gnb,BensCe00,pass_td,0,,,,,
player,201209240sea,gnb,BensCe00,pass_int,0,,,,,
player,201209240sea,gnb,BensCe00,pass_sacked,0,,,,,
player,201209240sea,gnb,BensCe00,pass_sacked_yds,0,,,,,
player,201209240sea,gnb,BensCe00,pass_long,0,,,,,
player,201209240sea,gnb,BensCe00,pass_rating,,,,,,
player,201209240sea,gnb,BensCe00,rush_att,17,,,,,
player,201209240sea,gnb,BensCe00,rush_yds,45,,,,,
player,201209240sea,gnb,BensCe00,rush_td,1,,,,,
player,201209240sea,gnb,BensCe00,rush_long,9,,,,,
player,201209240sea,gnb,BensCe00,targets,5,,,,,
player,201209240sea,gnb,BensCe00,rec,4,,,,,
player,201209240sea,gnb,BensCe00,rec_yds,19,,,,,
player,201209240sea,gnb,BensCe00,rec_td,0,,,,,
player,201209240sea,gnb,BensCe00,rec_long,8,,,,,
player,201209240sea,gnb,BensCe00,fumbles,1,,,,,
player,201209240sea,gnb,BensCe00,fumbles_lost,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_cmp,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_att,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_yds,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_td,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_int,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_sacked,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_long,0,,,,,
player,201209240sea,gnb,CobbRa00,pass_rating,,,,,,
player,201209240sea,gnb,CobbRa00,rush_att,1,,,,,
player,201209240sea,gnb,CobbRa00,rush_yds,20,,,,,
player,201209240sea,gnb,CobbRa00,rush_td,0,,,,,
player,201209240sea,gnb,CobbRa00,rush_long,20,,,,,
player,201209240sea,gnb,CobbRa00,targets,2,,,,,
player,201209240sea,gnb,CobbRa00,rec,1,,,,,
player,201209240sea,gnb,CobbRa00,rec_yds,-1,,,,,
player,201209240sea,gnb,CobbRa00,rec_td,0,,,,,
player,201209240sea,gnb,CobbRa00,rec_long,-1,,,,,
player,201209240sea,gnb,CobbRa00,fumbles,1,,,,,
player,201209240sea,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_att,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_yds,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_td,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_int,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_long,0,,,,,
player,201209240sea,gnb,KuhnJo00,pass_rating,,,,,,
player,201209240sea,gnb,KuhnJo00,rush_att,1,,,,,
player,201209240sea,gnb,KuhnJo00,rush_yds,2,,,,,
player,201209240sea,gnb,KuhnJo00,rush_td,0,,,,,
player,201209240sea,gnb,KuhnJo00,rush_long,2,,,,,
player,201209240sea,gnb,KuhnJo00,targets,4,,,,,
player,201209240sea,gnb,KuhnJo00,rec,3,,,,,
player,201209240sea,gnb,KuhnJo00,rec_yds,25,,,,,
player,201209240sea,gnb,KuhnJo00,rec_td,0,,,,,
player,201209240sea,gnb,KuhnJo00,rec_long,10,,,,,
player,201209240sea,gnb,KuhnJo00,fumbles,0,,,,,
player,201209240sea,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_cmp,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_att,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_yds,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_td,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_int,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_sacked,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_sacked_yds,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_long,0,,,,,
player,201209240sea,gnb,FinlJe00,pass_rating,,,,,,
player,201209240sea,gnb,FinlJe00,rush_att,0,,,,,
player,201209240sea,gnb,FinlJe00,rush_yds,0,,,,,
player,201209240sea,gnb,FinlJe00,rush_td,0,,,,,
player,201209240sea,gnb,FinlJe00,rush_long,0,,,,,
player,201209240sea,gnb,FinlJe00,targets,5,,,,,
player,201209240sea,gnb,FinlJe00,rec,4,,,,,
player,201209240sea,gnb,FinlJe00,rec_yds,60,,,,,
player,201209240sea,gnb,FinlJe00,rec_td,0,,,,,
player,201209240sea,gnb,FinlJe00,rec_long,31,,,,,
player,201209240sea,gnb,FinlJe00,fumbles,0,,,,,
player,201209240sea,gnb,FinlJe00,fumbles_lost,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_cmp,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_att,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_yds,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_td,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_int,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_sacked,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_long,0,,,,,
player,201209240sea,gnb,JoneJa04,pass_rating,,,,,,
player,201209240sea,gnb,JoneJa04,rush_att,0,,,,,
player,201209240sea,gnb,JoneJa04,rush_yds,0,,,,,
player,201209240sea,gnb,JoneJa04,rush_td,0,,,,,
player,201209240sea,gnb,JoneJa04,rush_long,0,,,,,
player,201209240sea,gnb,JoneJa04,targets,6,,,,,
player,201209240sea,gnb,JoneJa04,rec,5,,,,,
player,201209240sea,gnb,JoneJa04,rec_yds,55,,,,,
player,201209240sea,gnb,JoneJa04,rec_td,0,,,,,
player,201209240sea,gnb,JoneJa04,rec_long,14,,,,,
player,201209240sea,gnb,JoneJa04,fumbles,0,,,,,
player,201209240sea,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201209240sea,gnb,JennGr00,pass_cmp,0,,,,,
player,201209240sea,gnb,JennGr00,pass_att,0,,,,,
player,201209240sea,gnb,JennGr00,pass_yds,0,,,,,
player,201209240sea,gnb,JennGr00,pass_td,0,,,,,
player,201209240sea,gnb,JennGr00,pass_int,0,,,,,
player,201209240sea,gnb,JennGr00,pass_sacked,0,,,,,
