game,2012,8,20121028,201210280cle,sdg,"San Diego Chargers",6,cle,"Cleveland Browns",7
team,201210280cle,sdg,First Downs,17,,,,,,
team,201210280cle,cle,First Downs,15,,,,,,
team,201210280cle,sdg,Rush-Yds-TDs,34-117-0,,,,,,
team,201210280cle,cle,Rush-Yds-TDs,33-133-1,,,,,,
team,201210280cle,sdg,Cmp-Att-Yd-TD-INT,18-34-154-0-0,,,,,,
team,201210280cle,cle,Cmp-Att-Yd-TD-INT,11-27-129-0-0,,,,,,
team,201210280cle,sdg,Sacked-Yards,1-6,,,,,,
team,201210280cle,cle,Sacked-Yards,2-12,,,,,,
team,201210280cle,sdg,Net Pass Yards,148,,,,,,
team,201210280cle,cle,Net Pass Yards,117,,,,,,
team,201210280cle,sdg,Total Yards,265,,,,,,
team,201210280cle,cle,Total Yards,250,,,,,,
team,201210280cle,sdg,Fumbles-Lost,2-1,,,,,,
team,201210280cle,cle,Fumbles-Lost,2-0,,,,,,
team,201210280cle,sdg,Turnovers,1,,,,,,
team,201210280cle,cle,Turnovers,0,,,,,,
team,201210280cle,sdg,Penalties-Yards,3-15,,,,,,
team,201210280cle,cle,Penalties-Yards,4-35,,,,,,
team,201210280cle,sdg,Third Down Conv.,6-16,,,,,,
team,201210280cle,cle,Third Down Conv.,4-15,,,,,,
team,201210280cle,sdg,Fourth Down Conv.,0-2,,,,,,
team,201210280cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201210280cle,sdg,Time of Possession,30:52,,,,,,
team,201210280cle,cle,Time of Possession,29:08,,,,,,
player,201210280cle,sdg,RivePh00,pass_cmp,18,,,,,
player,201210280cle,sdg,RivePh00,pass_att,34,,,,,
player,201210280cle,sdg,RivePh00,pass_yds,154,,,,,
player,201210280cle,sdg,RivePh00,pass_td,0,,,,,
player,201210280cle,sdg,RivePh00,pass_int,0,,,,,
player,201210280cle,sdg,RivePh00,pass_sacked,1,,,,,
player,201210280cle,sdg,RivePh00,pass_sacked_yds,6,,,,,
player,201210280cle,sdg,RivePh00,pass_long,25,,,,,
player,201210280cle,sdg,RivePh00,pass_rating,65.1,,,,,
player,201210280cle,sdg,RivePh00,rush_att,0,,,,,
player,201210280cle,sdg,RivePh00,rush_yds,0,,,,,
player,201210280cle,sdg,RivePh00,rush_td,0,,,,,
player,201210280cle,sdg,RivePh00,rush_long,0,,,,,
player,201210280cle,sdg,RivePh00,targets,0,,,,,
player,201210280cle,sdg,RivePh00,rec,0,,,,,
player,201210280cle,sdg,RivePh00,rec_yds,0,,,,,
player,201210280cle,sdg,RivePh00,rec_td,0,,,,,
player,201210280cle,sdg,RivePh00,rec_long,0,,,,,
player,201210280cle,sdg,RivePh00,fumbles,0,,,,,
player,201210280cle,sdg,RivePh00,fumbles_lost,0,,,,,
player,201210280cle,sdg,MathRy00,pass_cmp,0,,,,,
player,201210280cle,sdg,MathRy00,pass_att,0,,,,,
player,201210280cle,sdg,MathRy00,pass_yds,0,,,,,
player,201210280cle,sdg,MathRy00,pass_td,0,,,,,
player,201210280cle,sdg,MathRy00,pass_int,0,,,,,
player,201210280cle,sdg,MathRy00,pass_sacked,0,,,,,
player,201210280cle,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201210280cle,sdg,MathRy00,pass_long,0,,,,,
player,201210280cle,sdg,MathRy00,pass_rating,,,,,,
player,201210280cle,sdg,MathRy00,rush_att,24,,,,,
player,201210280cle,sdg,MathRy00,rush_yds,95,,,,,
player,201210280cle,sdg,MathRy00,rush_td,0,,,,,
player,201210280cle,sdg,MathRy00,rush_long,11,,,,,
player,201210280cle,sdg,MathRy00,targets,4,,,,,
player,201210280cle,sdg,MathRy00,rec,2,,,,,
player,201210280cle,sdg,MathRy00,rec_yds,9,,,,,
player,201210280cle,sdg,MathRy00,rec_td,0,,,,,
player,201210280cle,sdg,MathRy00,rec_long,6,,,,,
player,201210280cle,sdg,MathRy00,fumbles,1,,,,,
player,201210280cle,sdg,MathRy00,fumbles_lost,1,,,,,
player,201210280cle,sdg,BrowRo05,pass_cmp,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_att,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_yds,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_td,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_int,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_sacked,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_sacked_yds,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_long,0,,,,,
player,201210280cle,sdg,BrowRo05,pass_rating,,,,,,
player,201210280cle,sdg,BrowRo05,rush_att,4,,,,,
player,201210280cle,sdg,BrowRo05,rush_yds,17,,,,,
player,201210280cle,sdg,BrowRo05,rush_td,0,,,,,
player,201210280cle,sdg,BrowRo05,rush_long,7,,,,,
player,201210280cle,sdg,BrowRo05,targets,8,,,,,
player,201210280cle,sdg,BrowRo05,rec,7,,,,,
player,201210280cle,sdg,BrowRo05,rec_yds,85,,,,,
player,201210280cle,sdg,BrowRo05,rec_td,0,,,,,
player,201210280cle,sdg,BrowRo05,rec_long,25,,,,,
player,201210280cle,sdg,BrowRo05,fumbles,0,,,,,
player,201210280cle,sdg,BrowRo05,fumbles_lost,0,,,,,
player,201210280cle,sdg,BattJa00,pass_cmp,0,,,,,
player,201210280cle,sdg,BattJa00,pass_att,0,,,,,
player,201210280cle,sdg,BattJa00,pass_yds,0,,,,,
player,201210280cle,sdg,BattJa00,pass_td,0,,,,,
player,201210280cle,sdg,BattJa00,pass_int,0,,,,,
player,201210280cle,sdg,BattJa00,pass_sacked,0,,,,,
player,201210280cle,sdg,BattJa00,pass_sacked_yds,0,,,,,
player,201210280cle,sdg,BattJa00,pass_long,0,,,,,
player,201210280cle,sdg,BattJa00,pass_rating,,,,,,
player,201210280cle,sdg,BattJa00,rush_att,3,,,,,
player,201210280cle,sdg,BattJa00,rush_yds,6,,,,,
player,201210280cle,sdg,BattJa00,rush_td,0,,,,,
player,201210280cle,sdg,BattJa00,rush_long,6,,,,,
player,201210280cle,sdg,BattJa00,targets,0,,,,,
player,201210280cle,sdg,BattJa00,rec,0,,,,,
player,201210280cle,sdg,BattJa00,rec_yds,0,,,,,
player,201210280cle,sdg,BattJa00,rec_td,0,,,,,
player,201210280cle,sdg,BattJa00,rec_long,0,,,,,
player,201210280cle,sdg,BattJa00,fumbles,0,,,,,
player,201210280cle,sdg,BattJa00,fumbles_lost,0,,,,,
player,201210280cle,sdg,McClLe00,pass_cmp,0,,,,,
player,201210280cle,sdg,McClLe00,pass_att,0,,,,,
player,201210280cle,sdg,McClLe00,pass_yds,0,,,,,
player,201210280cle,sdg,McClLe00,pass_td,0,,,,,
player,201210280cle,sdg,McClLe00,pass_int,0,,,,,
player,201210280cle,sdg,McClLe00,pass_sacked,0,,,,,
