game,2012,15,20121216,201212160atl,nyg,"New York Giants",0,atl,"Atlanta Falcons",34
team,201212160atl,nyg,First Downs,10,,,,,,
team,201212160atl,atl,First Downs,22,,,,,,
team,201212160atl,nyg,Rush-Yds-TDs,21-97-0,,,,,,
team,201212160atl,atl,Rush-Yds-TDs,38-129-1,,,,,,
team,201212160atl,nyg,Cmp-Att-Yd-TD-INT,13-25-161-0-2,,,,,,
team,201212160atl,atl,Cmp-Att-Yd-TD-INT,23-28-270-3-0,,,,,,
team,201212160atl,nyg,Sacked-Yards,1-2,,,,,,
team,201212160atl,atl,Sacked-Yards,1-5,,,,,,
team,201212160atl,nyg,Net Pass Yards,159,,,,,,
team,201212160atl,atl,Net Pass Yards,265,,,,,,
team,201212160atl,nyg,Total Yards,256,,,,,,
team,201212160atl,atl,Total Yards,394,,,,,,
team,201212160atl,nyg,Fumbles-Lost,1-1,,,,,,
team,201212160atl,atl,Fumbles-Lost,0-0,,,,,,
team,201212160atl,nyg,Turnovers,3,,,,,,
team,201212160atl,atl,Turnovers,0,,,,,,
team,201212160atl,nyg,Penalties-Yards,2-25,,,,,,
team,201212160atl,atl,Penalties-Yards,3-30,,,,,,
team,201212160atl,nyg,Third Down Conv.,4-10,,,,,,
team,201212160atl,atl,Third Down Conv.,9-13,,,,,,
team,201212160atl,nyg,Fourth Down Conv.,0-3,,,,,,
team,201212160atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201212160atl,nyg,Time of Possession,21:03,,,,,,
team,201212160atl,atl,Time of Possession,38:57,,,,,,
player,201212160atl,nyg,MannEl00,pass_cmp,13,,,,,
player,201212160atl,nyg,MannEl00,pass_att,25,,,,,
player,201212160atl,nyg,MannEl00,pass_yds,161,,,,,
player,201212160atl,nyg,MannEl00,pass_td,0,,,,,
player,201212160atl,nyg,MannEl00,pass_int,2,,,,,
player,201212160atl,nyg,MannEl00,pass_sacked,1,,,,,
player,201212160atl,nyg,MannEl00,pass_sacked_yds,2,,,,,
player,201212160atl,nyg,MannEl00,pass_long,37,,,,,
player,201212160atl,nyg,MannEl00,pass_rating,38.9,,,,,
player,201212160atl,nyg,MannEl00,rush_att,0,,,,,
player,201212160atl,nyg,MannEl00,rush_yds,0,,,,,
player,201212160atl,nyg,MannEl00,rush_td,0,,,,,
player,201212160atl,nyg,MannEl00,rush_long,0,,,,,
player,201212160atl,nyg,MannEl00,targets,0,,,,,
player,201212160atl,nyg,MannEl00,rec,0,,,,,
player,201212160atl,nyg,MannEl00,rec_yds,0,,,,,
player,201212160atl,nyg,MannEl00,rec_td,0,,,,,
player,201212160atl,nyg,MannEl00,rec_long,0,,,,,
player,201212160atl,nyg,MannEl00,fumbles,0,,,,,
player,201212160atl,nyg,MannEl00,fumbles_lost,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_cmp,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_att,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_yds,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_td,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_int,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_sacked,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_long,0,,,,,
player,201212160atl,nyg,WilsDa01,pass_rating,,,,,,
player,201212160atl,nyg,WilsDa01,rush_att,12,,,,,
player,201212160atl,nyg,WilsDa01,rush_yds,55,,,,,
player,201212160atl,nyg,WilsDa01,rush_td,0,,,,,
player,201212160atl,nyg,WilsDa01,rush_long,25,,,,,
player,201212160atl,nyg,WilsDa01,targets,3,,,,,
player,201212160atl,nyg,WilsDa01,rec,1,,,,,
player,201212160atl,nyg,WilsDa01,rec_yds,11,,,,,
player,201212160atl,nyg,WilsDa01,rec_td,0,,,,,
player,201212160atl,nyg,WilsDa01,rec_long,11,,,,,
player,201212160atl,nyg,WilsDa01,fumbles,0,,,,,
player,201212160atl,nyg,WilsDa01,fumbles_lost,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_cmp,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_att,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_yds,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_td,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_int,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_sacked,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_long,0,,,,,
player,201212160atl,nyg,LumpKr00,pass_rating,,,,,,
player,201212160atl,nyg,LumpKr00,rush_att,9,,,,,
player,201212160atl,nyg,LumpKr00,rush_yds,42,,,,,
player,201212160atl,nyg,LumpKr00,rush_td,0,,,,,
player,201212160atl,nyg,LumpKr00,rush_long,22,,,,,
player,201212160atl,nyg,LumpKr00,targets,1,,,,,
player,201212160atl,nyg,LumpKr00,rec,0,,,,,
player,201212160atl,nyg,LumpKr00,rec_yds,0,,,,,
player,201212160atl,nyg,LumpKr00,rec_td,0,,,,,
player,201212160atl,nyg,LumpKr00,rec_long,0,,,,,
player,201212160atl,nyg,LumpKr00,fumbles,1,,,,,
player,201212160atl,nyg,LumpKr00,fumbles_lost,1,,,,,
player,201212160atl,nyg,HixoDo00,pass_cmp,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_att,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_yds,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_td,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_int,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_sacked,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_long,0,,,,,
player,201212160atl,nyg,HixoDo00,pass_rating,,,,,,
player,201212160atl,nyg,HixoDo00,rush_att,0,,,,,
player,201212160atl,nyg,HixoDo00,rush_yds,0,,,,,
player,201212160atl,nyg,HixoDo00,rush_td,0,,,,,
player,201212160atl,nyg,HixoDo00,rush_long,0,,,,,
player,201212160atl,nyg,HixoDo00,targets,6,,,,,
player,201212160atl,nyg,HixoDo00,rec,5,,,,,
player,201212160atl,nyg,HixoDo00,rec_yds,80,,,,,
player,201212160atl,nyg,HixoDo00,rec_td,0,,,,,
player,201212160atl,nyg,HixoDo00,rec_long,37,,,,,
player,201212160atl,nyg,HixoDo00,fumbles,0,,,,,
player,201212160atl,nyg,HixoDo00,fumbles_lost,0,,,,,
player,201212160atl,nyg,NickHa01,pass_cmp,0,,,,,
player,201212160atl,nyg,NickHa01,pass_att,0,,,,,
player,201212160atl,nyg,NickHa01,pass_yds,0,,,,,
player,201212160atl,nyg,NickHa01,pass_td,0,,,,,
player,201212160atl,nyg,NickHa01,pass_int,0,,,,,
player,201212160atl,nyg,NickHa01,pass_sacked,0,,,,,
player,201212160atl,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,NickHa01,pass_long,0,,,,,
player,201212160atl,nyg,NickHa01,pass_rating,,,,,,
player,201212160atl,nyg,NickHa01,rush_att,0,,,,,
player,201212160atl,nyg,NickHa01,rush_yds,0,,,,,
player,201212160atl,nyg,NickHa01,rush_td,0,,,,,
player,201212160atl,nyg,NickHa01,rush_long,0,,,,,
player,201212160atl,nyg,NickHa01,targets,7,,,,,
player,201212160atl,nyg,NickHa01,rec,3,,,,,
player,201212160atl,nyg,NickHa01,rec_yds,40,,,,,
player,201212160atl,nyg,NickHa01,rec_td,0,,,,,
player,201212160atl,nyg,NickHa01,rec_long,24,,,,,
player,201212160atl,nyg,NickHa01,fumbles,0,,,,,
player,201212160atl,nyg,NickHa01,fumbles_lost,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_cmp,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_att,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_yds,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_td,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_int,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_sacked,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_long,0,,,,,
player,201212160atl,nyg,CruzVi00,pass_rating,,,,,,
player,201212160atl,nyg,CruzVi00,rush_att,0,,,,,
player,201212160atl,nyg,CruzVi00,rush_yds,0,,,,,
player,201212160atl,nyg,CruzVi00,rush_td,0,,,,,
player,201212160atl,nyg,CruzVi00,rush_long,0,,,,,
player,201212160atl,nyg,CruzVi00,targets,5,,,,,
player,201212160atl,nyg,CruzVi00,rec,3,,,,,
player,201212160atl,nyg,CruzVi00,rec_yds,15,,,,,
player,201212160atl,nyg,CruzVi00,rec_td,0,,,,,
player,201212160atl,nyg,CruzVi00,rec_long,7,,,,,
player,201212160atl,nyg,CruzVi00,fumbles,0,,,,,
player,201212160atl,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201212160atl,nyg,BennMa00,pass_cmp,0,,,,,
player,201212160atl,nyg,BennMa00,pass_att,0,,,,,
player,201212160atl,nyg,BennMa00,pass_yds,0,,,,,
player,201212160atl,nyg,BennMa00,pass_td,0,,,,,
player,201212160atl,nyg,BennMa00,pass_int,0,,,,,
player,201212160atl,nyg,BennMa00,pass_sacked,0,,,,,
player,201212160atl,nyg,BennMa00,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,BennMa00,pass_long,0,,,,,
player,201212160atl,nyg,BennMa00,pass_rating,,,,,,
player,201212160atl,nyg,BennMa00,rush_att,0,,,,,
player,201212160atl,nyg,BennMa00,rush_yds,0,,,,,
player,201212160atl,nyg,BennMa00,rush_td,0,,,,,
player,201212160atl,nyg,BennMa00,rush_long,0,,,,,
player,201212160atl,nyg,BennMa00,targets,2,,,,,
player,201212160atl,nyg,BennMa00,rec,1,,,,,
player,201212160atl,nyg,BennMa00,rec_yds,15,,,,,
player,201212160atl,nyg,BennMa00,rec_td,0,,,,,
player,201212160atl,nyg,BennMa00,rec_long,15,,,,,
player,201212160atl,nyg,BennMa00,fumbles,0,,,,,
player,201212160atl,nyg,BennMa00,fumbles_lost,0,,,,,
player,201212160atl,nyg,JernJe00,pass_cmp,0,,,,,
player,201212160atl,nyg,JernJe00,pass_att,0,,,,,
player,201212160atl,nyg,JernJe00,pass_yds,0,,,,,
player,201212160atl,nyg,JernJe00,pass_td,0,,,,,
player,201212160atl,nyg,JernJe00,pass_int,0,,,,,
player,201212160atl,nyg,JernJe00,pass_sacked,0,,,,,
player,201212160atl,nyg,JernJe00,pass_sacked_yds,0,,,,,
player,201212160atl,nyg,JernJe00,pass_long,0,,,,,
player,201212160atl,nyg,JernJe00,pass_rating,,,,,,
player,201212160atl,nyg,JernJe00,rush_att,0,,,,,
player,201212160atl,nyg,JernJe00,rush_yds,0,,,,,
player,201212160atl,nyg,JernJe00,rush_td,0,,,,,
player,201212160atl,nyg,JernJe00,rush_long,0,,,,,
player,201212160atl,nyg,JernJe00,targets,1,,,,,
player,201212160atl,nyg,JernJe00,rec,0,,,,,
player,201212160atl,nyg,JernJe00,rec_yds,0,,,,,
player,201212160atl,nyg,JernJe00,rec_td,0,,,,,
player,201212160atl,nyg,JernJe00,rec_long,0,,,,,
player,201212160atl,nyg,JernJe00,fumbles,0,,,,,
player,201212160atl,nyg,JernJe00,fumbles_lost,0,,,,,
player,201212160atl,atl,RyanMa00,pass_cmp,23,,,,,
player,201212160atl,atl,RyanMa00,pass_att,28,,,,,
player,201212160atl,atl,RyanMa00,pass_yds,270,,,,,
player,201212160atl,atl,RyanMa00,pass_td,3,,,,,
player,201212160atl,atl,RyanMa00,pass_int,0,,,,,
player,201212160atl,atl,RyanMa00,pass_sacked,1,,,,,
player,201212160atl,atl,RyanMa00,pass_sacked_yds,5,,,,,
player,201212160atl,atl,RyanMa00,pass_long,40,,,,,
player,201212160atl,atl,RyanMa00,pass_rating,142.6,,,,,
player,201212160atl,atl,RyanMa00,rush_att,1,,,,,
player,201212160atl,atl,RyanMa00,rush_yds,-1,,,,,
player,201212160atl,atl,RyanMa00,rush_td,0,,,,,
player,201212160atl,atl,RyanMa00,rush_long,-1,,,,,
player,201212160atl,atl,RyanMa00,targets,0,,,,,
player,201212160atl,atl,RyanMa00,rec,0,,,,,
player,201212160atl,atl,RyanMa00,rec_yds,0,,,,,
player,201212160atl,atl,RyanMa00,rec_td,0,,,,,
player,201212160atl,atl,RyanMa00,rec_long,0,,,,,
player,201212160atl,atl,RyanMa00,fumbles,0,,,,,
player,201212160atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201212160atl,atl,TurnMi00,pass_cmp,0,,,,,
player,201212160atl,atl,TurnMi00,pass_att,0,,,,,
player,201212160atl,atl,TurnMi00,pass_yds,0,,,,,
player,201212160atl,atl,TurnMi00,pass_td,0,,,,,
player,201212160atl,atl,TurnMi00,pass_int,0,,,,,
player,201212160atl,atl,TurnMi00,pass_sacked,0,,,,,
player,201212160atl,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201212160atl,atl,TurnMi00,pass_long,0,,,,,
player,201212160atl,atl,TurnMi00,pass_rating,,,,,,
player,201212160atl,atl,TurnMi00,rush_att,16,,,,,
player,201212160atl,atl,TurnMi00,rush_yds,52,,,,,
player,201212160atl,atl,TurnMi00,rush_td,1,,,,,
player,201212160atl,atl,TurnMi00,rush_long,14,,,,,
player,201212160atl,atl,TurnMi00,targets,2,,,,,
player,201212160atl,atl,TurnMi00,rec,1,,,,,
player,201212160atl,atl,TurnMi00,rec_yds,9,,,,,
player,201212160atl,atl,TurnMi00,rec_td,0,,,,,
player,201212160atl,atl,TurnMi00,rec_long,9,,,,,
player,201212160atl,atl,TurnMi00,fumbles,0,,,,,
player,201212160atl,atl,TurnMi00,fumbles_lost,0,,,,,
player,201212160atl,atl,SnelJa00,pass_cmp,0,,,,,
player,201212160atl,atl,SnelJa00,pass_att,0,,,,,
player,201212160atl,atl,SnelJa00,pass_yds,0,,,,,
player,201212160atl,atl,SnelJa00,pass_td,0,,,,,
player,201212160atl,atl,SnelJa00,pass_int,0,,,,,
player,201212160atl,atl,SnelJa00,pass_sacked,0,,,,,
player,201212160atl,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201212160atl,atl,SnelJa00,pass_long,0,,,,,
player,201212160atl,atl,SnelJa00,pass_rating,,,,,,
player,201212160atl,atl,SnelJa00,rush_att,6,,,,,
player,201212160atl,atl,SnelJa00,rush_yds,39,,,,,
player,201212160atl,atl,SnelJa00,rush_td,0,,,,,
player,201212160atl,atl,SnelJa00,rush_long,11,,,,,
player,201212160atl,atl,SnelJa00,targets,3,,,,,
player,201212160atl,atl,SnelJa00,rec,3,,,,,
player,201212160atl,atl,SnelJa00,rec_yds,14,,,,,
player,201212160atl,atl,SnelJa00,rec_td,0,,,,,
player,201212160atl,atl,SnelJa00,rec_long,14,,,,,
player,201212160atl,atl,SnelJa00,fumbles,0,,,,,
player,201212160atl,atl,SnelJa00,fumbles_lost,0,,,,,
player,201212160atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201212160atl,atl,RodgJa00,pass_att,0,,,,,
player,201212160atl,atl,RodgJa00,pass_yds,0,,,,,
player,201212160atl,atl,RodgJa00,pass_td,0,,,,,
player,201212160atl,atl,RodgJa00,pass_int,0,,,,,
player,201212160atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201212160atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201212160atl,atl,RodgJa00,pass_long,0,,,,,
player,201212160atl,atl,RodgJa00,pass_rating,,,,,,
player,201212160atl,atl,RodgJa00,rush_att,11,,,,,
player,201212160atl,atl,RodgJa00,rush_yds,25,,,,,
player,201212160atl,atl,RodgJa00,rush_td,0,,,,,
player,201212160atl,atl,RodgJa00,rush_long,6,,,,,
player,201212160atl,atl,RodgJa00,targets,1,,,,,
player,201212160atl,atl,RodgJa00,rec,1,,,,,
player,201212160atl,atl,RodgJa00,rec_yds,14,,,,,
player,201212160atl,atl,RodgJa00,rec_td,0,,,,,
player,201212160atl,atl,RodgJa00,rec_long,14,,,,,
player,201212160atl,atl,RodgJa00,fumbles,0,,,,,
player,201212160atl,atl,RodgJa00,fumbles_lost,0,,,,,
player,201212160atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201212160atl,atl,JoneJu02,pass_att,0,,,,,
player,201212160atl,atl,JoneJu02,pass_yds,0,,,,,
player,201212160atl,atl,JoneJu02,pass_td,0,,,,,
player,201212160atl,atl,JoneJu02,pass_int,0,,,,,
player,201212160atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201212160atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201212160atl,atl,JoneJu02,pass_long,0,,,,,
player,201212160atl,atl,JoneJu02,pass_rating,,,,,,
player,201212160atl,atl,JoneJu02,rush_att,1,,,,,
player,201212160atl,atl,JoneJu02,rush_yds,18,,,,,
player,201212160atl,atl,JoneJu02,rush_td,0,,,,,
player,201212160atl,atl,JoneJu02,rush_long,18,,,,,
player,201212160atl,atl,JoneJu02,targets,6,,,,,
player,201212160atl,atl,JoneJu02,rec,6,,,,,
player,201212160atl,atl,JoneJu02,rec_yds,74,,,,,
player,201212160atl,atl,JoneJu02,rec_td,2,,,,,
player,201212160atl,atl,JoneJu02,rec_long,40,,,,,
player,201212160atl,atl,JoneJu02,fumbles,0,,,,,
player,201212160atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201212160atl,atl,GonzTo00,pass_cmp,0,,,,,
player,201212160atl,atl,GonzTo00,pass_att,0,,,,,
player,201212160atl,atl,GonzTo00,pass_yds,0,,,,,
player,201212160atl,atl,GonzTo00,pass_td,0,,,,,
player,201212160atl,atl,GonzTo00,pass_int,0,,,,,
player,201212160atl,atl,GonzTo00,pass_sacked,0,,,,,
player,201212160atl,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201212160atl,atl,GonzTo00,pass_long,0,,,,,
