game,2012,12,20121125,201211250nor,sfo,"San Francisco 49ers",31,nor,"New Orleans Saints",21
team,201211250nor,sfo,First Downs,18,,,,,,
team,201211250nor,nor,First Downs,19,,,,,,
team,201211250nor,sfo,Rush-Yds-TDs,31-144-1,,,,,,
team,201211250nor,nor,Rush-Yds-TDs,21-59-0,,,,,,
team,201211250nor,sfo,Cmp-Att-Yd-TD-INT,16-25-231-1-1,,,,,,
team,201211250nor,nor,Cmp-Att-Yd-TD-INT,26-41-267-3-2,,,,,,
team,201211250nor,sfo,Sacked-Yards,0-0,,,,,,
team,201211250nor,nor,Sacked-Yards,5-36,,,,,,
team,201211250nor,sfo,Net Pass Yards,231,,,,,,
team,201211250nor,nor,Net Pass Yards,231,,,,,,
team,201211250nor,sfo,Total Yards,375,,,,,,
team,201211250nor,nor,Total Yards,290,,,,,,
team,201211250nor,sfo,Fumbles-Lost,1-1,,,,,,
team,201211250nor,nor,Fumbles-Lost,0-0,,,,,,
team,201211250nor,sfo,Turnovers,2,,,,,,
team,201211250nor,nor,Turnovers,2,,,,,,
team,201211250nor,sfo,Penalties-Yards,10-68,,,,,,
team,201211250nor,nor,Penalties-Yards,4-53,,,,,,
team,201211250nor,sfo,Third Down Conv.,6-13,,,,,,
team,201211250nor,nor,Third Down Conv.,3-11,,,,,,
team,201211250nor,sfo,Fourth Down Conv.,0-0,,,,,,
team,201211250nor,nor,Fourth Down Conv.,1-3,,,,,,
team,201211250nor,sfo,Time of Possession,30:06,,,,,,
team,201211250nor,nor,Time of Possession,29:54,,,,,,
player,201211250nor,sfo,KaepCo00,pass_cmp,16,,,,,
player,201211250nor,sfo,KaepCo00,pass_att,25,,,,,
player,201211250nor,sfo,KaepCo00,pass_yds,231,,,,,
player,201211250nor,sfo,KaepCo00,pass_td,1,,,,,
player,201211250nor,sfo,KaepCo00,pass_int,1,,,,,
player,201211250nor,sfo,KaepCo00,pass_sacked,0,,,,,
player,201211250nor,sfo,KaepCo00,pass_sacked_yds,0,,,,,
player,201211250nor,sfo,KaepCo00,pass_long,45,,,,,
player,201211250nor,sfo,KaepCo00,pass_rating,90.6,,,,,
player,201211250nor,sfo,KaepCo00,rush_att,6,,,,,
player,201211250nor,sfo,KaepCo00,rush_yds,27,,,,,
player,201211250nor,sfo,KaepCo00,rush_td,1,,,,,
player,201211250nor,sfo,KaepCo00,rush_long,15,,,,,
player,201211250nor,sfo,KaepCo00,targets,0,,,,,
player,201211250nor,sfo,KaepCo00,rec,0,,,,,
player,201211250nor,sfo,KaepCo00,rec_yds,0,,,,,
player,201211250nor,sfo,KaepCo00,rec_td,0,,,,,
player,201211250nor,sfo,KaepCo00,rec_long,0,,,,,
player,201211250nor,sfo,KaepCo00,fumbles,0,,,,,
player,201211250nor,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_cmp,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_att,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_yds,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_td,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_int,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_sacked,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_long,0,,,,,
player,201211250nor,sfo,GoreFr00,pass_rating,,,,,,
player,201211250nor,sfo,GoreFr00,rush_att,19,,,,,
player,201211250nor,sfo,GoreFr00,rush_yds,83,,,,,
player,201211250nor,sfo,GoreFr00,rush_td,0,,,,,
player,201211250nor,sfo,GoreFr00,rush_long,14,,,,,
player,201211250nor,sfo,GoreFr00,targets,3,,,,,
player,201211250nor,sfo,GoreFr00,rec,2,,,,,
player,201211250nor,sfo,GoreFr00,rec_yds,18,,,,,
player,201211250nor,sfo,GoreFr00,rec_td,1,,,,,
player,201211250nor,sfo,GoreFr00,rec_long,12,,,,,
player,201211250nor,sfo,GoreFr00,fumbles,0,,,,,
player,201211250nor,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_cmp,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_att,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_yds,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_td,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_int,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_sacked,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_long,0,,,,,
player,201211250nor,sfo,HuntKe00,pass_rating,,,,,,
player,201211250nor,sfo,HuntKe00,rush_att,4,,,,,
player,201211250nor,sfo,HuntKe00,rush_yds,28,,,,,
player,201211250nor,sfo,HuntKe00,rush_td,0,,,,,
player,201211250nor,sfo,HuntKe00,rush_long,21,,,,,
player,201211250nor,sfo,HuntKe00,targets,1,,,,,
player,201211250nor,sfo,HuntKe00,rec,0,,,,,
player,201211250nor,sfo,HuntKe00,rec_yds,0,,,,,
player,201211250nor,sfo,HuntKe00,rec_td,0,,,,,
player,201211250nor,sfo,HuntKe00,rec_long,0,,,,,
player,201211250nor,sfo,HuntKe00,fumbles,0,,,,,
player,201211250nor,sfo,HuntKe00,fumbles_lost,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_cmp,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_att,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_yds,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_td,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_int,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_sacked,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_long,0,,,,,
player,201211250nor,sfo,DixoAn00,pass_rating,,,,,,
player,201211250nor,sfo,DixoAn00,rush_att,1,,,,,
player,201211250nor,sfo,DixoAn00,rush_yds,5,,,,,
player,201211250nor,sfo,DixoAn00,rush_td,0,,,,,
player,201211250nor,sfo,DixoAn00,rush_long,5,,,,,
player,201211250nor,sfo,DixoAn00,targets,0,,,,,
player,201211250nor,sfo,DixoAn00,rec,0,,,,,
player,201211250nor,sfo,DixoAn00,rec_yds,0,,,,,
player,201211250nor,sfo,DixoAn00,rec_td,0,,,,,
player,201211250nor,sfo,DixoAn00,rec_long,0,,,,,
player,201211250nor,sfo,DixoAn00,fumbles,0,,,,,
player,201211250nor,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_cmp,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_att,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_yds,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_td,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_int,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_sacked,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_sacked_yds,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_long,0,,,,,
player,201211250nor,sfo,JacoBr00,pass_rating,,,,,,
player,201211250nor,sfo,JacoBr00,rush_att,1,,,,,
player,201211250nor,sfo,JacoBr00,rush_yds,1,,,,,
player,201211250nor,sfo,JacoBr00,rush_td,0,,,,,
player,201211250nor,sfo,JacoBr00,rush_long,1,,,,,
player,201211250nor,sfo,JacoBr00,targets,0,,,,,
player,201211250nor,sfo,JacoBr00,rec,0,,,,,
player,201211250nor,sfo,JacoBr00,rec_yds,0,,,,,
player,201211250nor,sfo,JacoBr00,rec_td,0,,,,,
player,201211250nor,sfo,JacoBr00,rec_long,0,,,,,
player,201211250nor,sfo,JacoBr00,fumbles,0,,,,,
player,201211250nor,sfo,JacoBr00,fumbles_lost,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_cmp,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_att,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_yds,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_td,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_int,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_sacked,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_long,0,,,,,
player,201211250nor,sfo,WalkHu00,pass_rating,,,,,,
player,201211250nor,sfo,WalkHu00,rush_att,0,,,,,
player,201211250nor,sfo,WalkHu00,rush_yds,0,,,,,
player,201211250nor,sfo,WalkHu00,rush_td,0,,,,,
player,201211250nor,sfo,WalkHu00,rush_long,0,,,,,
player,201211250nor,sfo,WalkHu00,targets,3,,,,,
player,201211250nor,sfo,WalkHu00,rec,3,,,,,
player,201211250nor,sfo,WalkHu00,rec_yds,81,,,,,
player,201211250nor,sfo,WalkHu00,rec_td,0,,,,,
player,201211250nor,sfo,WalkHu00,rec_long,45,,,,,
player,201211250nor,sfo,WalkHu00,fumbles,0,,,,,
player,201211250nor,sfo,WalkHu00,fumbles_lost,0,,,,,
player,201211250nor,sfo,MannMa01,pass_cmp,0,,,,,
player,201211250nor,sfo,MannMa01,pass_att,0,,,,,
