game,2012,10,20121111,201211110car,den,"Denver Broncos",36,car,"Carolina Panthers",14
team,201211110car,den,First Downs,18,,,,,,
team,201211110car,car,First Downs,19,,,,,,
team,201211110car,den,Rush-Yds-TDs,22-65-1,,,,,,
team,201211110car,car,Rush-Yds-TDs,21-52-0,,,,,,
team,201211110car,den,Cmp-Att-Yd-TD-INT,27-38-301-1-0,,,,,,
team,201211110car,car,Cmp-Att-Yd-TD-INT,21-36-241-2-2,,,,,,
team,201211110car,den,Sacked-Yards,1-6,,,,,,
team,201211110car,car,Sacked-Yards,7-43,,,,,,
team,201211110car,den,Net Pass Yards,295,,,,,,
team,201211110car,car,Net Pass Yards,198,,,,,,
team,201211110car,den,Total Yards,360,,,,,,
team,201211110car,car,Total Yards,250,,,,,,
team,201211110car,den,Fumbles-Lost,3-2,,,,,,
team,201211110car,car,Fumbles-Lost,2-0,,,,,,
team,201211110car,den,Turnovers,2,,,,,,
team,201211110car,car,Turnovers,2,,,,,,
team,201211110car,den,Penalties-Yards,7-60,,,,,,
team,201211110car,car,Penalties-Yards,7-45,,,,,,
team,201211110car,den,Third Down Conv.,3-13,,,,,,
team,201211110car,car,Third Down Conv.,0-12,,,,,,
team,201211110car,den,Fourth Down Conv.,0-0,,,,,,
team,201211110car,car,Fourth Down Conv.,0-0,,,,,,
team,201211110car,den,Time of Possession,28:26,,,,,,
team,201211110car,car,Time of Possession,31:34,,,,,,
player,201211110car,den,MannPe00,pass_cmp,27,,,,,
player,201211110car,den,MannPe00,pass_att,38,,,,,
player,201211110car,den,MannPe00,pass_yds,301,,,,,
player,201211110car,den,MannPe00,pass_td,1,,,,,
player,201211110car,den,MannPe00,pass_int,0,,,,,
player,201211110car,den,MannPe00,pass_sacked,1,,,,,
player,201211110car,den,MannPe00,pass_sacked_yds,6,,,,,
player,201211110car,den,MannPe00,pass_long,46,,,,,
player,201211110car,den,MannPe00,pass_rating,103.1,,,,,
player,201211110car,den,MannPe00,rush_att,3,,,,,
player,201211110car,den,MannPe00,rush_yds,4,,,,,
player,201211110car,den,MannPe00,rush_td,0,,,,,
player,201211110car,den,MannPe00,rush_long,6,,,,,
player,201211110car,den,MannPe00,targets,0,,,,,
player,201211110car,den,MannPe00,rec,0,,,,,
player,201211110car,den,MannPe00,rec_yds,0,,,,,
player,201211110car,den,MannPe00,rec_td,0,,,,,
player,201211110car,den,MannPe00,rec_long,0,,,,,
player,201211110car,den,MannPe00,fumbles,1,,,,,
player,201211110car,den,MannPe00,fumbles_lost,1,,,,,
player,201211110car,den,McGaWi00,pass_cmp,0,,,,,
player,201211110car,den,McGaWi00,pass_att,0,,,,,
player,201211110car,den,McGaWi00,pass_yds,0,,,,,
player,201211110car,den,McGaWi00,pass_td,0,,,,,
player,201211110car,den,McGaWi00,pass_int,0,,,,,
player,201211110car,den,McGaWi00,pass_sacked,0,,,,,
player,201211110car,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201211110car,den,McGaWi00,pass_long,0,,,,,
player,201211110car,den,McGaWi00,pass_rating,,,,,,
player,201211110car,den,McGaWi00,rush_att,14,,,,,
player,201211110car,den,McGaWi00,rush_yds,56,,,,,
player,201211110car,den,McGaWi00,rush_td,0,,,,,
player,201211110car,den,McGaWi00,rush_long,13,,,,,
player,201211110car,den,McGaWi00,targets,6,,,,,
player,201211110car,den,McGaWi00,rec,4,,,,,
player,201211110car,den,McGaWi00,rec_yds,33,,,,,
player,201211110car,den,McGaWi00,rec_td,0,,,,,
player,201211110car,den,McGaWi00,rec_long,10,,,,,
player,201211110car,den,McGaWi00,fumbles,2,,,,,
player,201211110car,den,McGaWi00,fumbles_lost,1,,,,,
