game,2012,16,20121223,201212230sea,sfo,"San Francisco 49ers",13,sea,"Seattle Seahawks",42
team,201212230sea,sfo,First Downs,17,,,,,,
team,201212230sea,sea,First Downs,22,,,,,,
team,201212230sea,sfo,Rush-Yds-TDs,19-82-0,,,,,,
team,201212230sea,sea,Rush-Yds-TDs,39-176-1,,,,,,
team,201212230sea,sfo,Cmp-Att-Yd-TD-INT,19-36-244-1-1,,,,,,
team,201212230sea,sea,Cmp-Att-Yd-TD-INT,15-22-171-4-1,,,,,,
team,201212230sea,sfo,Sacked-Yards,1-13,,,,,,
team,201212230sea,sea,Sacked-Yards,1-1,,,,,,
team,201212230sea,sfo,Net Pass Yards,231,,,,,,
team,201212230sea,sea,Net Pass Yards,170,,,,,,
team,201212230sea,sfo,Total Yards,313,,,,,,
team,201212230sea,sea,Total Yards,346,,,,,,
team,201212230sea,sfo,Fumbles-Lost,2-1,,,,,,
team,201212230sea,sea,Fumbles-Lost,0-0,,,,,,
team,201212230sea,sfo,Turnovers,2,,,,,,
team,201212230sea,sea,Turnovers,1,,,,,,
team,201212230sea,sfo,Penalties-Yards,6-58,,,,,,
team,201212230sea,sea,Penalties-Yards,4-45,,,,,,
team,201212230sea,sfo,Third Down Conv.,3-11,,,,,,
team,201212230sea,sea,Third Down Conv.,11-13,,,,,,
team,201212230sea,sfo,Fourth Down Conv.,1-1,,,,,,
team,201212230sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201212230sea,sfo,Time of Possession,24:51,,,,,,
team,201212230sea,sea,Time of Possession,35:09,,,,,,
player,201212230sea,sfo,KaepCo00,pass_cmp,19,,,,,
player,201212230sea,sfo,KaepCo00,pass_att,36,,,,,
player,201212230sea,sfo,KaepCo00,pass_yds,244,,,,,
player,201212230sea,sfo,KaepCo00,pass_td,1,,,,,
player,201212230sea,sfo,KaepCo00,pass_int,1,,,,,
player,201212230sea,sfo,KaepCo00,pass_sacked,1,,,,,
player,201212230sea,sfo,KaepCo00,pass_sacked_yds,13,,,,,
player,201212230sea,sfo,KaepCo00,pass_long,35,,,,,
player,201212230sea,sfo,KaepCo00,pass_rating,72.0,,,,,
player,201212230sea,sfo,KaepCo00,rush_att,7,,,,,
player,201212230sea,sfo,KaepCo00,rush_yds,31,,,,,
player,201212230sea,sfo,KaepCo00,rush_td,0,,,,,
player,201212230sea,sfo,KaepCo00,rush_long,8,,,,,
player,201212230sea,sfo,KaepCo00,targets,0,,,,,
player,201212230sea,sfo,KaepCo00,rec,0,,,,,
player,201212230sea,sfo,KaepCo00,rec_yds,0,,,,,
player,201212230sea,sfo,KaepCo00,rec_td,0,,,,,
player,201212230sea,sfo,KaepCo00,rec_long,0,,,,,
player,201212230sea,sfo,KaepCo00,fumbles,0,,,,,
player,201212230sea,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_cmp,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_att,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_yds,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_td,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_int,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_sacked,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_long,0,,,,,
player,201212230sea,sfo,GoreFr00,pass_rating,,,,,,
player,201212230sea,sfo,GoreFr00,rush_att,6,,,,,
player,201212230sea,sfo,GoreFr00,rush_yds,28,,,,,
player,201212230sea,sfo,GoreFr00,rush_td,0,,,,,
player,201212230sea,sfo,GoreFr00,rush_long,18,,,,,
player,201212230sea,sfo,GoreFr00,targets,1,,,,,
player,201212230sea,sfo,GoreFr00,rec,0,,,,,
player,201212230sea,sfo,GoreFr00,rec_yds,0,,,,,
player,201212230sea,sfo,GoreFr00,rec_td,0,,,,,
player,201212230sea,sfo,GoreFr00,rec_long,0,,,,,
player,201212230sea,sfo,GoreFr00,fumbles,1,,,,,
player,201212230sea,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201212230sea,sfo,JameLa00,pass_cmp,0,,,,,
player,201212230sea,sfo,JameLa00,pass_att,0,,,,,
player,201212230sea,sfo,JameLa00,pass_yds,0,,,,,
player,201212230sea,sfo,JameLa00,pass_td,0,,,,,
player,201212230sea,sfo,JameLa00,pass_int,0,,,,,
player,201212230sea,sfo,JameLa00,pass_sacked,0,,,,,
player,201212230sea,sfo,JameLa00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,JameLa00,pass_long,0,,,,,
player,201212230sea,sfo,JameLa00,pass_rating,,,,,,
player,201212230sea,sfo,JameLa00,rush_att,4,,,,,
player,201212230sea,sfo,JameLa00,rush_yds,15,,,,,
player,201212230sea,sfo,JameLa00,rush_td,0,,,,,
player,201212230sea,sfo,JameLa00,rush_long,6,,,,,
player,201212230sea,sfo,JameLa00,targets,2,,,,,
player,201212230sea,sfo,JameLa00,rec,2,,,,,
player,201212230sea,sfo,JameLa00,rec_yds,14,,,,,
player,201212230sea,sfo,JameLa00,rec_td,0,,,,,
player,201212230sea,sfo,JameLa00,rec_long,7,,,,,
player,201212230sea,sfo,JameLa00,fumbles,0,,,,,
player,201212230sea,sfo,JameLa00,fumbles_lost,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_cmp,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_att,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_yds,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_td,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_int,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_sacked,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_long,0,,,,,
player,201212230sea,sfo,DixoAn00,pass_rating,,,,,,
player,201212230sea,sfo,DixoAn00,rush_att,2,,,,,
player,201212230sea,sfo,DixoAn00,rush_yds,8,,,,,
player,201212230sea,sfo,DixoAn00,rush_td,0,,,,,
player,201212230sea,sfo,DixoAn00,rush_long,6,,,,,
player,201212230sea,sfo,DixoAn00,targets,0,,,,,
player,201212230sea,sfo,DixoAn00,rec,0,,,,,
player,201212230sea,sfo,DixoAn00,rec_yds,0,,,,,
player,201212230sea,sfo,DixoAn00,rec_td,0,,,,,
player,201212230sea,sfo,DixoAn00,rec_long,0,,,,,
player,201212230sea,sfo,DixoAn00,fumbles,0,,,,,
player,201212230sea,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_cmp,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_att,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_yds,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_td,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_int,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_sacked,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_long,0,,,,,
player,201212230sea,sfo,CrabMi00,pass_rating,,,,,,
player,201212230sea,sfo,CrabMi00,rush_att,0,,,,,
player,201212230sea,sfo,CrabMi00,rush_yds,0,,,,,
player,201212230sea,sfo,CrabMi00,rush_td,0,,,,,
player,201212230sea,sfo,CrabMi00,rush_long,0,,,,,
player,201212230sea,sfo,CrabMi00,targets,9,,,,,
player,201212230sea,sfo,CrabMi00,rec,4,,,,,
player,201212230sea,sfo,CrabMi00,rec_yds,65,,,,,
player,201212230sea,sfo,CrabMi00,rec_td,0,,,,,
player,201212230sea,sfo,CrabMi00,rec_long,35,,,,,
player,201212230sea,sfo,CrabMi00,fumbles,0,,,,,
player,201212230sea,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_cmp,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_att,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_yds,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_td,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_int,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_sacked,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_long,0,,,,,
player,201212230sea,sfo,WalkHu00,pass_rating,,,,,,
player,201212230sea,sfo,WalkHu00,rush_att,0,,,,,
player,201212230sea,sfo,WalkHu00,rush_yds,0,,,,,
player,201212230sea,sfo,WalkHu00,rush_td,0,,,,,
player,201212230sea,sfo,WalkHu00,rush_long,0,,,,,
player,201212230sea,sfo,WalkHu00,targets,7,,,,,
player,201212230sea,sfo,WalkHu00,rec,4,,,,,
player,201212230sea,sfo,WalkHu00,rec_yds,54,,,,,
player,201212230sea,sfo,WalkHu00,rec_td,1,,,,,
player,201212230sea,sfo,WalkHu00,rec_long,23,,,,,
player,201212230sea,sfo,WalkHu00,fumbles,0,,,,,
player,201212230sea,sfo,WalkHu00,fumbles_lost,0,,,,,
player,201212230sea,sfo,MossRa00,pass_cmp,0,,,,,
player,201212230sea,sfo,MossRa00,pass_att,0,,,,,
player,201212230sea,sfo,MossRa00,pass_yds,0,,,,,
player,201212230sea,sfo,MossRa00,pass_td,0,,,,,
player,201212230sea,sfo,MossRa00,pass_int,0,,,,,
player,201212230sea,sfo,MossRa00,pass_sacked,0,,,,,
player,201212230sea,sfo,MossRa00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,MossRa00,pass_long,0,,,,,
player,201212230sea,sfo,MossRa00,pass_rating,,,,,,
player,201212230sea,sfo,MossRa00,rush_att,0,,,,,
player,201212230sea,sfo,MossRa00,rush_yds,0,,,,,
player,201212230sea,sfo,MossRa00,rush_td,0,,,,,
player,201212230sea,sfo,MossRa00,rush_long,0,,,,,
player,201212230sea,sfo,MossRa00,targets,6,,,,,
player,201212230sea,sfo,MossRa00,rec,3,,,,,
player,201212230sea,sfo,MossRa00,rec_yds,44,,,,,
player,201212230sea,sfo,MossRa00,rec_td,0,,,,,
player,201212230sea,sfo,MossRa00,rec_long,25,,,,,
player,201212230sea,sfo,MossRa00,fumbles,0,,,,,
player,201212230sea,sfo,MossRa00,fumbles_lost,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_cmp,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_att,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_yds,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_td,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_int,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_sacked,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_long,0,,,,,
player,201212230sea,sfo,CeleGa00,pass_rating,,,,,,
player,201212230sea,sfo,CeleGa00,rush_att,0,,,,,
player,201212230sea,sfo,CeleGa00,rush_yds,0,,,,,
player,201212230sea,sfo,CeleGa00,rush_td,0,,,,,
player,201212230sea,sfo,CeleGa00,rush_long,0,,,,,
player,201212230sea,sfo,CeleGa00,targets,3,,,,,
player,201212230sea,sfo,CeleGa00,rec,2,,,,,
player,201212230sea,sfo,CeleGa00,rec_yds,41,,,,,
player,201212230sea,sfo,CeleGa00,rec_td,0,,,,,
player,201212230sea,sfo,CeleGa00,rec_long,35,,,,,
player,201212230sea,sfo,CeleGa00,fumbles,0,,,,,
player,201212230sea,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_cmp,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_att,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_yds,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_td,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_int,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_sacked,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_long,0,,,,,
player,201212230sea,sfo,DaviVe00,pass_rating,,,,,,
player,201212230sea,sfo,DaviVe00,rush_att,0,,,,,
player,201212230sea,sfo,DaviVe00,rush_yds,0,,,,,
player,201212230sea,sfo,DaviVe00,rush_td,0,,,,,
player,201212230sea,sfo,DaviVe00,rush_long,0,,,,,
player,201212230sea,sfo,DaviVe00,targets,1,,,,,
player,201212230sea,sfo,DaviVe00,rec,1,,,,,
player,201212230sea,sfo,DaviVe00,rec_yds,27,,,,,
player,201212230sea,sfo,DaviVe00,rec_td,0,,,,,
player,201212230sea,sfo,DaviVe00,rec_long,27,,,,,
player,201212230sea,sfo,DaviVe00,fumbles,0,,,,,
player,201212230sea,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201212230sea,sfo,MannMa01,pass_cmp,0,,,,,
player,201212230sea,sfo,MannMa01,pass_att,0,,,,,
player,201212230sea,sfo,MannMa01,pass_yds,0,,,,,
player,201212230sea,sfo,MannMa01,pass_td,0,,,,,
player,201212230sea,sfo,MannMa01,pass_int,0,,,,,
