game,2012,6,20121015,201210150sdg,den,"Denver Broncos",35,sdg,"San Diego Chargers",24
team,201210150sdg,den,First Downs,18,,,,,,
team,201210150sdg,sdg,First Downs,23,,,,,,
team,201210150sdg,den,Rush-Yds-TDs,22-56-0,,,,,,
team,201210150sdg,sdg,Rush-Yds-TDs,27-90-0,,,,,,
team,201210150sdg,den,Cmp-Att-Yd-TD-INT,24-30-309-3-1,,,,,,
team,201210150sdg,sdg,Cmp-Att-Yd-TD-INT,25-41-241-2-4,,,,,,
team,201210150sdg,den,Sacked-Yards,0-0,,,,,,
team,201210150sdg,sdg,Sacked-Yards,4-24,,,,,,
team,201210150sdg,den,Net Pass Yards,309,,,,,,
team,201210150sdg,sdg,Net Pass Yards,217,,,,,,
team,201210150sdg,den,Total Yards,365,,,,,,
team,201210150sdg,sdg,Total Yards,307,,,,,,
team,201210150sdg,den,Fumbles-Lost,2-2,,,,,,
team,201210150sdg,sdg,Fumbles-Lost,4-2,,,,,,
team,201210150sdg,den,Turnovers,3,,,,,,
team,201210150sdg,sdg,Turnovers,6,,,,,,
team,201210150sdg,den,Penalties-Yards,10-81,,,,,,
team,201210150sdg,sdg,Penalties-Yards,9-64,,,,,,
team,201210150sdg,den,Third Down Conv.,2-8,,,,,,
team,201210150sdg,sdg,Third Down Conv.,6-15,,,,,,
team,201210150sdg,den,Fourth Down Conv.,0-0,,,,,,
team,201210150sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201210150sdg,den,Time of Possession,26:25,,,,,,
team,201210150sdg,sdg,Time of Possession,33:35,,,,,,
player,201210150sdg,den,MannPe00,pass_cmp,24,,,,,
player,201210150sdg,den,MannPe00,pass_att,30,,,,,
player,201210150sdg,den,MannPe00,pass_yds,309,,,,,
player,201210150sdg,den,MannPe00,pass_td,3,,,,,
player,201210150sdg,den,MannPe00,pass_int,1,,,,,
player,201210150sdg,den,MannPe00,pass_sacked,0,,,,,
player,201210150sdg,den,MannPe00,pass_sacked_yds,0,,,,,
player,201210150sdg,den,MannPe00,pass_long,55,,,,,
player,201210150sdg,den,MannPe00,pass_rating,129.0,,,,,
player,201210150sdg,den,MannPe00,rush_att,3,,,,,
player,201210150sdg,den,MannPe00,rush_yds,-3,,,,,
player,201210150sdg,den,MannPe00,rush_td,0,,,,,
player,201210150sdg,den,MannPe00,rush_long,0,,,,,
player,201210150sdg,den,MannPe00,targets,0,,,,,
player,201210150sdg,den,MannPe00,rec,0,,,,,
player,201210150sdg,den,MannPe00,rec_yds,0,,,,,
player,201210150sdg,den,MannPe00,rec_td,0,,,,,
player,201210150sdg,den,MannPe00,rec_long,0,,,,,
player,201210150sdg,den,MannPe00,fumbles,0,,,,,
player,201210150sdg,den,MannPe00,fumbles_lost,0,,,,,
player,201210150sdg,den,McGaWi00,pass_cmp,0,,,,,
player,201210150sdg,den,McGaWi00,pass_att,0,,,,,
player,201210150sdg,den,McGaWi00,pass_yds,0,,,,,
player,201210150sdg,den,McGaWi00,pass_td,0,,,,,
player,201210150sdg,den,McGaWi00,pass_int,0,,,,,
player,201210150sdg,den,McGaWi00,pass_sacked,0,,,,,
player,201210150sdg,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201210150sdg,den,McGaWi00,pass_long,0,,,,,
player,201210150sdg,den,McGaWi00,pass_rating,,,,,,
player,201210150sdg,den,McGaWi00,rush_att,17,,,,,
player,201210150sdg,den,McGaWi00,rush_yds,56,,,,,
player,201210150sdg,den,McGaWi00,rush_td,0,,,,,
player,201210150sdg,den,McGaWi00,rush_long,9,,,,,
