game,2012,12,20121125,201211250mia,sea,"Seattle Seahawks",21,mia,"Miami Dolphins",24
team,201211250mia,sea,First Downs,16,,,,,,
team,201211250mia,mia,First Downs,23,,,,,,
team,201211250mia,sea,Rush-Yds-TDs,27-96-0,,,,,,
team,201211250mia,mia,Rush-Yds-TDs,28-189-2,,,,,,
team,201211250mia,sea,Cmp-Att-Yd-TD-INT,21-27-224-2-0,,,,,,
team,201211250mia,mia,Cmp-Att-Yd-TD-INT,18-26-253-1-1,,,,,,
team,201211250mia,sea,Sacked-Yards,2-8,,,,,,
team,201211250mia,mia,Sacked-Yards,1-7,,,,,,
team,201211250mia,sea,Net Pass Yards,216,,,,,,
team,201211250mia,mia,Net Pass Yards,246,,,,,,
team,201211250mia,sea,Total Yards,312,,,,,,
team,201211250mia,mia,Total Yards,435,,,,,,
team,201211250mia,sea,Fumbles-Lost,0-0,,,,,,
team,201211250mia,mia,Fumbles-Lost,0-0,,,,,,
team,201211250mia,sea,Turnovers,0,,,,,,
team,201211250mia,mia,Turnovers,1,,,,,,
team,201211250mia,sea,Penalties-Yards,10-59,,,,,,
team,201211250mia,mia,Penalties-Yards,2-15,,,,,,
team,201211250mia,sea,Third Down Conv.,7-14,,,,,,
team,201211250mia,mia,Third Down Conv.,4-9,,,,,,
team,201211250mia,sea,Fourth Down Conv.,0-0,,,,,,
team,201211250mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201211250mia,sea,Time of Possession,31:59,,,,,,
team,201211250mia,mia,Time of Possession,28:01,,,,,,
player,201211250mia,sea,WilsRu00,pass_cmp,21,,,,,
player,201211250mia,sea,WilsRu00,pass_att,27,,,,,
player,201211250mia,sea,WilsRu00,pass_yds,224,,,,,
player,201211250mia,sea,WilsRu00,pass_td,2,,,,,
player,201211250mia,sea,WilsRu00,pass_int,0,,,,,
player,201211250mia,sea,WilsRu00,pass_sacked,2,,,,,
player,201211250mia,sea,WilsRu00,pass_sacked_yds,8,,,,,
player,201211250mia,sea,WilsRu00,pass_long,32,,,,,
player,201211250mia,sea,WilsRu00,pass_rating,125.9,,,,,
player,201211250mia,sea,WilsRu00,rush_att,5,,,,,
player,201211250mia,sea,WilsRu00,rush_yds,38,,,,,
player,201211250mia,sea,WilsRu00,rush_td,0,,,,,
player,201211250mia,sea,WilsRu00,rush_long,20,,,,,
player,201211250mia,sea,WilsRu00,targets,0,,,,,
player,201211250mia,sea,WilsRu00,rec,0,,,,,
player,201211250mia,sea,WilsRu00,rec_yds,0,,,,,
player,201211250mia,sea,WilsRu00,rec_td,0,,,,,
player,201211250mia,sea,WilsRu00,rec_long,0,,,,,
player,201211250mia,sea,WilsRu00,fumbles,0,,,,,
player,201211250mia,sea,WilsRu00,fumbles_lost,0,,,,,
player,201211250mia,sea,LyncMa00,pass_cmp,0,,,,,
player,201211250mia,sea,LyncMa00,pass_att,0,,,,,
player,201211250mia,sea,LyncMa00,pass_yds,0,,,,,
player,201211250mia,sea,LyncMa00,pass_td,0,,,,,
player,201211250mia,sea,LyncMa00,pass_int,0,,,,,
player,201211250mia,sea,LyncMa00,pass_sacked,0,,,,,
player,201211250mia,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201211250mia,sea,LyncMa00,pass_long,0,,,,,
player,201211250mia,sea,LyncMa00,pass_rating,,,,,,
player,201211250mia,sea,LyncMa00,rush_att,19,,,,,
player,201211250mia,sea,LyncMa00,rush_yds,46,,,,,
player,201211250mia,sea,LyncMa00,rush_td,0,,,,,
player,201211250mia,sea,LyncMa00,rush_long,16,,,,,
player,201211250mia,sea,LyncMa00,targets,3,,,,,
player,201211250mia,sea,LyncMa00,rec,2,,,,,
player,201211250mia,sea,LyncMa00,rec_yds,1,,,,,
player,201211250mia,sea,LyncMa00,rec_td,0,,,,,
player,201211250mia,sea,LyncMa00,rec_long,7,,,,,
player,201211250mia,sea,LyncMa00,fumbles,0,,,,,
player,201211250mia,sea,LyncMa00,fumbles_lost,0,,,,,
player,201211250mia,sea,TurbRo00,pass_cmp,0,,,,,
player,201211250mia,sea,TurbRo00,pass_att,0,,,,,
player,201211250mia,sea,TurbRo00,pass_yds,0,,,,,
player,201211250mia,sea,TurbRo00,pass_td,0,,,,,
player,201211250mia,sea,TurbRo00,pass_int,0,,,,,
player,201211250mia,sea,TurbRo00,pass_sacked,0,,,,,
player,201211250mia,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201211250mia,sea,TurbRo00,pass_long,0,,,,,
player,201211250mia,sea,TurbRo00,pass_rating,,,,,,
player,201211250mia,sea,TurbRo00,rush_att,2,,,,,
player,201211250mia,sea,TurbRo00,rush_yds,9,,,,,
player,201211250mia,sea,TurbRo00,rush_td,0,,,,,
player,201211250mia,sea,TurbRo00,rush_long,10,,,,,
player,201211250mia,sea,TurbRo00,targets,3,,,,,
player,201211250mia,sea,TurbRo00,rec,3,,,,,
player,201211250mia,sea,TurbRo00,rec_yds,47,,,,,
player,201211250mia,sea,TurbRo00,rec_td,0,,,,,
player,201211250mia,sea,TurbRo00,rec_long,20,,,,,
player,201211250mia,sea,TurbRo00,fumbles,0,,,,,
player,201211250mia,sea,TurbRo00,fumbles_lost,0,,,,,
player,201211250mia,sea,RiceSi01,pass_cmp,0,,,,,
player,201211250mia,sea,RiceSi01,pass_att,0,,,,,
player,201211250mia,sea,RiceSi01,pass_yds,0,,,,,
player,201211250mia,sea,RiceSi01,pass_td,0,,,,,
player,201211250mia,sea,RiceSi01,pass_int,0,,,,,
player,201211250mia,sea,RiceSi01,pass_sacked,0,,,,,
player,201211250mia,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201211250mia,sea,RiceSi01,pass_long,0,,,,,
player,201211250mia,sea,RiceSi01,pass_rating,,,,,,
player,201211250mia,sea,RiceSi01,rush_att,1,,,,,
player,201211250mia,sea,RiceSi01,rush_yds,3,,,,,
player,201211250mia,sea,RiceSi01,rush_td,0,,,,,
player,201211250mia,sea,RiceSi01,rush_long,3,,,,,
player,201211250mia,sea,RiceSi01,targets,3,,,,,
player,201211250mia,sea,RiceSi01,rec,3,,,,,
player,201211250mia,sea,RiceSi01,rec_yds,49,,,,,
player,201211250mia,sea,RiceSi01,rec_td,0,,,,,
player,201211250mia,sea,RiceSi01,rec_long,26,,,,,
player,201211250mia,sea,RiceSi01,fumbles,0,,,,,
player,201211250mia,sea,RiceSi01,fumbles_lost,0,,,,,
player,201211250mia,sea,TateGo00,pass_cmp,0,,,,,
player,201211250mia,sea,TateGo00,pass_att,0,,,,,
player,201211250mia,sea,TateGo00,pass_yds,0,,,,,
player,201211250mia,sea,TateGo00,pass_td,0,,,,,
player,201211250mia,sea,TateGo00,pass_int,0,,,,,
player,201211250mia,sea,TateGo00,pass_sacked,0,,,,,
player,201211250mia,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201211250mia,sea,TateGo00,pass_long,0,,,,,
player,201211250mia,sea,TateGo00,pass_rating,,,,,,
player,201211250mia,sea,TateGo00,rush_att,0,,,,,
player,201211250mia,sea,TateGo00,rush_yds,0,,,,,
player,201211250mia,sea,TateGo00,rush_td,0,,,,,
player,201211250mia,sea,TateGo00,rush_long,0,,,,,
player,201211250mia,sea,TateGo00,targets,5,,,,,
player,201211250mia,sea,TateGo00,rec,4,,,,,
player,201211250mia,sea,TateGo00,rec_yds,56,,,,,
player,201211250mia,sea,TateGo00,rec_td,0,,,,,
player,201211250mia,sea,TateGo00,rec_long,32,,,,,
player,201211250mia,sea,TateGo00,fumbles,0,,,,,
player,201211250mia,sea,TateGo00,fumbles_lost,0,,,,,
player,201211250mia,sea,McCoAn00,pass_cmp,0,,,,,
player,201211250mia,sea,McCoAn00,pass_att,0,,,,,
player,201211250mia,sea,McCoAn00,pass_yds,0,,,,,
player,201211250mia,sea,McCoAn00,pass_td,0,,,,,
player,201211250mia,sea,McCoAn00,pass_int,0,,,,,
player,201211250mia,sea,McCoAn00,pass_sacked,0,,,,,
player,201211250mia,sea,McCoAn00,pass_sacked_yds,0,,,,,
player,201211250mia,sea,McCoAn00,pass_long,0,,,,,
player,201211250mia,sea,McCoAn00,pass_rating,,,,,,
player,201211250mia,sea,McCoAn00,rush_att,0,,,,,
player,201211250mia,sea,McCoAn00,rush_yds,0,,,,,
player,201211250mia,sea,McCoAn00,rush_td,0,,,,,
player,201211250mia,sea,McCoAn00,rush_long,0,,,,,
player,201211250mia,sea,McCoAn00,targets,3,,,,,
player,201211250mia,sea,McCoAn00,rec,2,,,,,
player,201211250mia,sea,McCoAn00,rec_yds,23,,,,,
player,201211250mia,sea,McCoAn00,rec_td,1,,,,,
player,201211250mia,sea,McCoAn00,rec_long,20,,,,,
player,201211250mia,sea,McCoAn00,fumbles,0,,,,,
player,201211250mia,sea,McCoAn00,fumbles_lost,0,,,,,
player,201211250mia,sea,MillZa01,pass_cmp,0,,,,,
player,201211250mia,sea,MillZa01,pass_att,0,,,,,
player,201211250mia,sea,MillZa01,pass_yds,0,,,,,
player,201211250mia,sea,MillZa01,pass_td,0,,,,,
player,201211250mia,sea,MillZa01,pass_int,0,,,,,
player,201211250mia,sea,MillZa01,pass_sacked,0,,,,,
player,201211250mia,sea,MillZa01,pass_sacked_yds,0,,,,,
player,201211250mia,sea,MillZa01,pass_long,0,,,,,
player,201211250mia,sea,MillZa01,pass_rating,,,,,,
player,201211250mia,sea,MillZa01,rush_att,0,,,,,
player,201211250mia,sea,MillZa01,rush_yds,0,,,,,
player,201211250mia,sea,MillZa01,rush_td,0,,,,,
player,201211250mia,sea,MillZa01,rush_long,0,,,,,
player,201211250mia,sea,MillZa01,targets,3,,,,,
player,201211250mia,sea,MillZa01,rec,3,,,,,
player,201211250mia,sea,MillZa01,rec_yds,16,,,,,
player,201211250mia,sea,MillZa01,rec_td,0,,,,,
player,201211250mia,sea,MillZa01,rec_long,8,,,,,
player,201211250mia,sea,MillZa01,fumbles,0,,,,,
player,201211250mia,sea,MillZa01,fumbles_lost,0,,,,,
player,201211250mia,sea,BaldDo00,pass_cmp,0,,,,,
player,201211250mia,sea,BaldDo00,pass_att,0,,,,,
player,201211250mia,sea,BaldDo00,pass_yds,0,,,,,
player,201211250mia,sea,BaldDo00,pass_td,0,,,,,
player,201211250mia,sea,BaldDo00,pass_int,0,,,,,
player,201211250mia,sea,BaldDo00,pass_sacked,0,,,,,
player,201211250mia,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201211250mia,sea,BaldDo00,pass_long,0,,,,,
player,201211250mia,sea,BaldDo00,pass_rating,,,,,,
player,201211250mia,sea,BaldDo00,rush_att,0,,,,,
player,201211250mia,sea,BaldDo00,rush_yds,0,,,,,
player,201211250mia,sea,BaldDo00,rush_td,0,,,,,
player,201211250mia,sea,BaldDo00,rush_long,0,,,,,
player,201211250mia,sea,BaldDo00,targets,4,,,,,
player,201211250mia,sea,BaldDo00,rec,1,,,,,
player,201211250mia,sea,BaldDo00,rec_yds,14,,,,,
