game,2012,12,20121122,201211220dal,was,"Washington Redskins",38,dal,"Dallas Cowboys",31
team,201211220dal,was,First Downs,22,,,,,,
team,201211220dal,dal,First Downs,22,,,,,,
team,201211220dal,was,Rush-Yds-TDs,32-149-1,,,,,,
team,201211220dal,dal,Rush-Yds-TDs,11-35-0,,,,,,
team,201211220dal,was,Cmp-Att-Yd-TD-INT,19-27-304-4-1,,,,,,
team,201211220dal,dal,Cmp-Att-Yd-TD-INT,37-62-441-3-2,,,,,,
team,201211220dal,was,Sacked-Yards,3-16,,,,,,
team,201211220dal,dal,Sacked-Yards,2-18,,,,,,
team,201211220dal,was,Net Pass Yards,288,,,,,,
team,201211220dal,dal,Net Pass Yards,423,,,,,,
team,201211220dal,was,Total Yards,437,,,,,,
team,201211220dal,dal,Total Yards,458,,,,,,
team,201211220dal,was,Fumbles-Lost,0-0,,,,,,
team,201211220dal,dal,Fumbles-Lost,1-1,,,,,,
team,201211220dal,was,Turnovers,1,,,,,,
team,201211220dal,dal,Turnovers,3,,,,,,
team,201211220dal,was,Penalties-Yards,5-41,,,,,,
team,201211220dal,dal,Penalties-Yards,7-45,,,,,,
team,201211220dal,was,Third Down Conv.,6-12,,,,,,
team,201211220dal,dal,Third Down Conv.,8-17,,,,,,
team,201211220dal,was,Fourth Down Conv.,0-0,,,,,,
team,201211220dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201211220dal,was,Time of Possession,31:42,,,,,,
team,201211220dal,dal,Time of Possession,28:18,,,,,,
player,201211220dal,was,GrifRo01,pass_cmp,19,,,,,
player,201211220dal,was,GrifRo01,pass_att,27,,,,,
player,201211220dal,was,GrifRo01,pass_yds,304,,,,,
player,201211220dal,was,GrifRo01,pass_td,4,,,,,
player,201211220dal,was,GrifRo01,pass_int,1,,,,,
player,201211220dal,was,GrifRo01,pass_sacked,3,,,,,
player,201211220dal,was,GrifRo01,pass_sacked_yds,16,,,,,
player,201211220dal,was,GrifRo01,pass_long,68,,,,,
player,201211220dal,was,GrifRo01,pass_rating,131.8,,,,,
player,201211220dal,was,GrifRo01,rush_att,7,,,,,
player,201211220dal,was,GrifRo01,rush_yds,29,,,,,
player,201211220dal,was,GrifRo01,rush_td,0,,,,,
player,201211220dal,was,GrifRo01,rush_long,14,,,,,
player,201211220dal,was,GrifRo01,targets,0,,,,,
player,201211220dal,was,GrifRo01,rec,0,,,,,
player,201211220dal,was,GrifRo01,rec_yds,0,,,,,
player,201211220dal,was,GrifRo01,rec_td,0,,,,,
player,201211220dal,was,GrifRo01,rec_long,0,,,,,
player,201211220dal,was,GrifRo01,fumbles,0,,,,,
player,201211220dal,was,GrifRo01,fumbles_lost,0,,,,,
player,201211220dal,was,MorrAl00,pass_cmp,0,,,,,
player,201211220dal,was,MorrAl00,pass_att,0,,,,,
player,201211220dal,was,MorrAl00,pass_yds,0,,,,,
player,201211220dal,was,MorrAl00,pass_td,0,,,,,
player,201211220dal,was,MorrAl00,pass_int,0,,,,,
player,201211220dal,was,MorrAl00,pass_sacked,0,,,,,
player,201211220dal,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201211220dal,was,MorrAl00,pass_long,0,,,,,
player,201211220dal,was,MorrAl00,pass_rating,,,,,,
player,201211220dal,was,MorrAl00,rush_att,24,,,,,
player,201211220dal,was,MorrAl00,rush_yds,113,,,,,
player,201211220dal,was,MorrAl00,rush_td,1,,,,,
player,201211220dal,was,MorrAl00,rush_long,16,,,,,
player,201211220dal,was,MorrAl00,targets,0,,,,,
player,201211220dal,was,MorrAl00,rec,0,,,,,
player,201211220dal,was,MorrAl00,rec_yds,0,,,,,
player,201211220dal,was,MorrAl00,rec_td,0,,,,,
player,201211220dal,was,MorrAl00,rec_long,0,,,,,
player,201211220dal,was,MorrAl00,fumbles,0,,,,,
player,201211220dal,was,MorrAl00,fumbles_lost,0,,,,,
player,201211220dal,was,GarcPi00,pass_cmp,0,,,,,
player,201211220dal,was,GarcPi00,pass_att,0,,,,,
player,201211220dal,was,GarcPi00,pass_yds,0,,,,,
player,201211220dal,was,GarcPi00,pass_td,0,,,,,
player,201211220dal,was,GarcPi00,pass_int,0,,,,,
player,201211220dal,was,GarcPi00,pass_sacked,0,,,,,
player,201211220dal,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201211220dal,was,GarcPi00,pass_long,0,,,,,
player,201211220dal,was,GarcPi00,pass_rating,,,,,,
player,201211220dal,was,GarcPi00,rush_att,1,,,,,
player,201211220dal,was,GarcPi00,rush_yds,7,,,,,
player,201211220dal,was,GarcPi00,rush_td,0,,,,,
player,201211220dal,was,GarcPi00,rush_long,7,,,,,
player,201211220dal,was,GarcPi00,targets,7,,,,,
player,201211220dal,was,GarcPi00,rec,4,,,,,
player,201211220dal,was,GarcPi00,rec_yds,86,,,,,
player,201211220dal,was,GarcPi00,rec_td,1,,,,,
player,201211220dal,was,GarcPi00,rec_long,59,,,,,
player,201211220dal,was,GarcPi00,fumbles,0,,,,,
player,201211220dal,was,GarcPi00,fumbles_lost,0,,,,,
player,201211220dal,was,RobiAl00,pass_cmp,0,,,,,
player,201211220dal,was,RobiAl00,pass_att,0,,,,,
player,201211220dal,was,RobiAl00,pass_yds,0,,,,,
player,201211220dal,was,RobiAl00,pass_td,0,,,,,
player,201211220dal,was,RobiAl00,pass_int,0,,,,,
player,201211220dal,was,RobiAl00,pass_sacked,0,,,,,
player,201211220dal,was,RobiAl00,pass_sacked_yds,0,,,,,
