game,2012,6,20121014,201210140rav,dal,"Dallas Cowboys",29,rav,"Baltimore Ravens",31
team,201210140rav,dal,First Downs,30,,,,,,
team,201210140rav,rav,First Downs,19,,,,,,
team,201210140rav,dal,Rush-Yds-TDs,42-227-1,,,,,,
team,201210140rav,rav,Rush-Yds-TDs,22-86-2,,,,,,
team,201210140rav,dal,Cmp-Att-Yd-TD-INT,25-36-261-2-1,,,,,,
team,201210140rav,rav,Cmp-Att-Yd-TD-INT,17-26-234-1-0,,,,,,
team,201210140rav,dal,Sacked-Yards,1-7,,,,,,
team,201210140rav,rav,Sacked-Yards,1-4,,,,,,
team,201210140rav,dal,Net Pass Yards,254,,,,,,
team,201210140rav,rav,Net Pass Yards,230,,,,,,
team,201210140rav,dal,Total Yards,481,,,,,,
team,201210140rav,rav,Total Yards,316,,,,,,
team,201210140rav,dal,Fumbles-Lost,0-0,,,,,,
team,201210140rav,rav,Fumbles-Lost,0-0,,,,,,
team,201210140rav,dal,Turnovers,1,,,,,,
team,201210140rav,rav,Turnovers,0,,,,,,
team,201210140rav,dal,Penalties-Yards,13-82,,,,,,
team,201210140rav,rav,Penalties-Yards,10-76,,,,,,
team,201210140rav,dal,Third Down Conv.,8-15,,,,,,
team,201210140rav,rav,Third Down Conv.,6-10,,,,,,
team,201210140rav,dal,Fourth Down Conv.,2-2,,,,,,
team,201210140rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201210140rav,dal,Time of Possession,40:03,,,,,,
team,201210140rav,rav,Time of Possession,19:57,,,,,,
player,201210140rav,dal,RomoTo00,pass_cmp,25,,,,,
player,201210140rav,dal,RomoTo00,pass_att,36,,,,,
player,201210140rav,dal,RomoTo00,pass_yds,261,,,,,
player,201210140rav,dal,RomoTo00,pass_td,2,,,,,
player,201210140rav,dal,RomoTo00,pass_int,1,,,,,
player,201210140rav,dal,RomoTo00,pass_sacked,1,,,,,
player,201210140rav,dal,RomoTo00,pass_sacked_yds,7,,,,,
player,201210140rav,dal,RomoTo00,pass_long,35,,,,,
player,201210140rav,dal,RomoTo00,pass_rating,97.1,,,,,
player,201210140rav,dal,RomoTo00,rush_att,0,,,,,
player,201210140rav,dal,RomoTo00,rush_yds,0,,,,,
player,201210140rav,dal,RomoTo00,rush_td,0,,,,,
player,201210140rav,dal,RomoTo00,rush_long,0,,,,,
player,201210140rav,dal,RomoTo00,targets,0,,,,,
player,201210140rav,dal,RomoTo00,rec,0,,,,,
player,201210140rav,dal,RomoTo00,rec_yds,0,,,,,
player,201210140rav,dal,RomoTo00,rec_td,0,,,,,
player,201210140rav,dal,RomoTo00,rec_long,0,,,,,
player,201210140rav,dal,RomoTo00,fumbles,0,,,,,
player,201210140rav,dal,RomoTo00,fumbles_lost,0,,,,,
player,201210140rav,dal,MurrDe00,pass_cmp,0,,,,,
player,201210140rav,dal,MurrDe00,pass_att,0,,,,,
player,201210140rav,dal,MurrDe00,pass_yds,0,,,,,
player,201210140rav,dal,MurrDe00,pass_td,0,,,,,
player,201210140rav,dal,MurrDe00,pass_int,0,,,,,
player,201210140rav,dal,MurrDe00,pass_sacked,0,,,,,
player,201210140rav,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,MurrDe00,pass_long,0,,,,,
player,201210140rav,dal,MurrDe00,pass_rating,,,,,,
player,201210140rav,dal,MurrDe00,rush_att,14,,,,,
player,201210140rav,dal,MurrDe00,rush_yds,93,,,,,
player,201210140rav,dal,MurrDe00,rush_td,0,,,,,
player,201210140rav,dal,MurrDe00,rush_long,28,,,,,
player,201210140rav,dal,MurrDe00,targets,1,,,,,
player,201210140rav,dal,MurrDe00,rec,1,,,,,
player,201210140rav,dal,MurrDe00,rec_yds,4,,,,,
player,201210140rav,dal,MurrDe00,rec_td,0,,,,,
player,201210140rav,dal,MurrDe00,rec_long,4,,,,,
player,201210140rav,dal,MurrDe00,fumbles,0,,,,,
player,201210140rav,dal,MurrDe00,fumbles_lost,0,,,,,
player,201210140rav,dal,JoneFe00,pass_cmp,0,,,,,
player,201210140rav,dal,JoneFe00,pass_att,0,,,,,
player,201210140rav,dal,JoneFe00,pass_yds,0,,,,,
player,201210140rav,dal,JoneFe00,pass_td,0,,,,,
player,201210140rav,dal,JoneFe00,pass_int,0,,,,,
player,201210140rav,dal,JoneFe00,pass_sacked,0,,,,,
player,201210140rav,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,JoneFe00,pass_long,0,,,,,
player,201210140rav,dal,JoneFe00,pass_rating,,,,,,
player,201210140rav,dal,JoneFe00,rush_att,18,,,,,
player,201210140rav,dal,JoneFe00,rush_yds,92,,,,,
player,201210140rav,dal,JoneFe00,rush_td,1,,,,,
player,201210140rav,dal,JoneFe00,rush_long,22,,,,,
player,201210140rav,dal,JoneFe00,targets,1,,,,,
player,201210140rav,dal,JoneFe00,rec,1,,,,,
player,201210140rav,dal,JoneFe00,rec_yds,13,,,,,
player,201210140rav,dal,JoneFe00,rec_td,0,,,,,
player,201210140rav,dal,JoneFe00,rec_long,13,,,,,
