game,2012,5,20121007,201210070clt,gnb,"Green Bay Packers",27,clt,"Indianapolis Colts",30
player,201210070clt,gnb,GreeAl00,pass_long,0,,,,,
player,201210070clt,gnb,GreeAl00,pass_rating,,,,,,
player,201210070clt,gnb,GreeAl00,rush_att,10,,,,,
player,201210070clt,gnb,GreeAl00,rush_yds,63,,,,,
player,201210070clt,gnb,GreeAl00,rush_td,0,,,,,
player,201210070clt,gnb,GreeAl00,rush_long,41,,,,,
player,201210070clt,gnb,GreeAl00,targets,1,,,,,
player,201210070clt,gnb,GreeAl00,rec,0,,,,,
player,201210070clt,gnb,GreeAl00,rec_yds,0,,,,,
player,201210070clt,gnb,GreeAl00,rec_td,0,,,,,
player,201210070clt,gnb,GreeAl00,rec_long,0,,,,,
player,201210070clt,gnb,GreeAl00,fumbles,0,,,,,
player,201210070clt,gnb,GreeAl00,fumbles_lost,0,,,,,
player,201210070clt,gnb,BensCe00,pass_cmp,0,,,,,
player,201210070clt,gnb,BensCe00,pass_att,0,,,,,
player,201210070clt,gnb,BensCe00,pass_yds,0,,,,,
player,201210070clt,gnb,BensCe00,pass_td,0,,,,,
player,201210070clt,gnb,BensCe00,pass_int,0,,,,,
player,201210070clt,gnb,BensCe00,pass_sacked,0,,,,,
player,201210070clt,gnb,BensCe00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,BensCe00,pass_long,0,,,,,
player,201210070clt,gnb,BensCe00,pass_rating,,,,,,
player,201210070clt,gnb,BensCe00,rush_att,7,,,,,
player,201210070clt,gnb,BensCe00,rush_yds,20,,,,,
player,201210070clt,gnb,BensCe00,rush_td,0,,,,,
player,201210070clt,gnb,BensCe00,rush_long,9,,,,,
player,201210070clt,gnb,BensCe00,targets,2,,,,,
player,201210070clt,gnb,BensCe00,rec,2,,,,,
player,201210070clt,gnb,BensCe00,rec_yds,21,,,,,
player,201210070clt,gnb,BensCe00,rec_td,0,,,,,
player,201210070clt,gnb,BensCe00,rec_long,18,,,,,
player,201210070clt,gnb,BensCe00,fumbles,0,,,,,
player,201210070clt,gnb,BensCe00,fumbles_lost,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_att,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_yds,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_td,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_int,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_long,0,,,,,
player,201210070clt,gnb,KuhnJo00,pass_rating,,,,,,
player,201210070clt,gnb,KuhnJo00,rush_att,2,,,,,
player,201210070clt,gnb,KuhnJo00,rush_yds,9,,,,,
player,201210070clt,gnb,KuhnJo00,rush_td,1,,,,,
player,201210070clt,gnb,KuhnJo00,rush_long,7,,,,,
player,201210070clt,gnb,KuhnJo00,targets,1,,,,,
