game,2012,12,20121125,201211250crd,ram,"St. Louis Rams",31,crd,"Arizona Cardinals",17
team,201211250crd,ram,First Downs,15,,,,,,
team,201211250crd,crd,First Downs,24,,,,,,
team,201211250crd,ram,Rush-Yds-TDs,34-173-0,,,,,,
team,201211250crd,crd,Rush-Yds-TDs,23-74-2,,,,,,
team,201211250crd,ram,Cmp-Att-Yd-TD-INT,8-18-205-2-1,,,,,,
team,201211250crd,crd,Cmp-Att-Yd-TD-INT,31-52-312-0-4,,,,,,
team,201211250crd,ram,Sacked-Yards,2-11,,,,,,
team,201211250crd,crd,Sacked-Yards,2-11,,,,,,
team,201211250crd,ram,Net Pass Yards,194,,,,,,
team,201211250crd,crd,Net Pass Yards,301,,,,,,
team,201211250crd,ram,Total Yards,367,,,,,,
team,201211250crd,crd,Total Yards,375,,,,,,
team,201211250crd,ram,Fumbles-Lost,1-0,,,,,,
team,201211250crd,crd,Fumbles-Lost,0-0,,,,,,
team,201211250crd,ram,Turnovers,1,,,,,,
team,201211250crd,crd,Turnovers,4,,,,,,
team,201211250crd,ram,Penalties-Yards,10-84,,,,,,
team,201211250crd,crd,Penalties-Yards,7-56,,,,,,
team,201211250crd,ram,Third Down Conv.,3-11,,,,,,
team,201211250crd,crd,Third Down Conv.,4-13,,,,,,
team,201211250crd,ram,Fourth Down Conv.,0-0,,,,,,
team,201211250crd,crd,Fourth Down Conv.,0-2,,,,,,
team,201211250crd,ram,Time of Possession,28:09,,,,,,
team,201211250crd,crd,Time of Possession,31:51,,,,,,
player,201211250crd,ram,BradSa00,pass_cmp,8,,,,,
player,201211250crd,ram,BradSa00,pass_att,17,,,,,
player,201211250crd,ram,BradSa00,pass_yds,205,,,,,
player,201211250crd,ram,BradSa00,pass_td,2,,,,,
player,201211250crd,ram,BradSa00,pass_int,1,,,,,
player,201211250crd,ram,BradSa00,pass_sacked,2,,,,,
player,201211250crd,ram,BradSa00,pass_sacked_yds,11,,,,,
player,201211250crd,ram,BradSa00,pass_long,38,,,,,
player,201211250crd,ram,BradSa00,pass_rating,106.2,,,,,
player,201211250crd,ram,BradSa00,rush_att,2,,,,,
player,201211250crd,ram,BradSa00,rush_yds,1,,,,,
player,201211250crd,ram,BradSa00,rush_td,0,,,,,
player,201211250crd,ram,BradSa00,rush_long,2,,,,,
player,201211250crd,ram,BradSa00,targets,0,,,,,
player,201211250crd,ram,BradSa00,rec,0,,,,,
player,201211250crd,ram,BradSa00,rec_yds,0,,,,,
player,201211250crd,ram,BradSa00,rec_td,0,,,,,
player,201211250crd,ram,BradSa00,rec_long,0,,,,,
player,201211250crd,ram,BradSa00,fumbles,1,,,,,
player,201211250crd,ram,BradSa00,fumbles_lost,0,,,,,
player,201211250crd,ram,ClemKe00,pass_cmp,0,,,,,
player,201211250crd,ram,ClemKe00,pass_att,1,,,,,
player,201211250crd,ram,ClemKe00,pass_yds,0,,,,,
player,201211250crd,ram,ClemKe00,pass_td,0,,,,,
player,201211250crd,ram,ClemKe00,pass_int,0,,,,,
player,201211250crd,ram,ClemKe00,pass_sacked,0,,,,,
player,201211250crd,ram,ClemKe00,pass_sacked_yds,0,,,,,
player,201211250crd,ram,ClemKe00,pass_long,0,,,,,
player,201211250crd,ram,ClemKe00,pass_rating,39.6,,,,,
player,201211250crd,ram,ClemKe00,rush_att,0,,,,,
player,201211250crd,ram,ClemKe00,rush_yds,0,,,,,
