game,2012,14,20121209,201212090car,atl,"Atlanta Falcons",20,car,"Carolina Panthers",30
player,201212090car,atl,JoneJu02,pass_td,0,,,,,
player,201212090car,atl,JoneJu02,pass_int,0,,,,,
player,201212090car,atl,JoneJu02,pass_sacked,0,,,,,
player,201212090car,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201212090car,atl,JoneJu02,pass_long,0,,,,,
player,201212090car,atl,JoneJu02,pass_rating,,,,,,
player,201212090car,atl,JoneJu02,rush_att,0,,,,,
player,201212090car,atl,JoneJu02,rush_yds,0,,,,,
player,201212090car,atl,JoneJu02,rush_td,0,,,,,
player,201212090car,atl,JoneJu02,rush_long,0,,,,,
player,201212090car,atl,JoneJu02,targets,11,,,,,
player,201212090car,atl,JoneJu02,rec,5,,,,,
player,201212090car,atl,JoneJu02,rec_yds,66,,,,,
player,201212090car,atl,JoneJu02,rec_td,1,,,,,
player,201212090car,atl,JoneJu02,rec_long,21,,,,,
player,201212090car,atl,JoneJu02,fumbles,0,,,,,
player,201212090car,atl,JoneJu02,fumbles_lost,0,,,,,
player,201212090car,atl,GonzTo00,pass_cmp,0,,,,,
player,201212090car,atl,GonzTo00,pass_att,0,,,,,
player,201212090car,atl,GonzTo00,pass_yds,0,,,,,
player,201212090car,atl,GonzTo00,pass_td,0,,,,,
player,201212090car,atl,GonzTo00,pass_int,0,,,,,
player,201212090car,atl,GonzTo00,pass_sacked,0,,,,,
player,201212090car,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201212090car,atl,GonzTo00,pass_long,0,,,,,
player,201212090car,atl,GonzTo00,pass_rating,,,,,,
player,201212090car,atl,GonzTo00,rush_att,0,,,,,
player,201212090car,atl,GonzTo00,rush_yds,0,,,,,
player,201212090car,atl,GonzTo00,rush_td,0,,,,,
player,201212090car,atl,GonzTo00,rush_long,0,,,,,
player,201212090car,atl,GonzTo00,targets,9,,,,,
player,201212090car,atl,GonzTo00,rec,8,,,,,
player,201212090car,atl,GonzTo00,rec_yds,61,,,,,
player,201212090car,atl,GonzTo00,rec_td,0,,,,,
player,201212090car,atl,GonzTo00,rec_long,16,,,,,
player,201212090car,atl,GonzTo00,fumbles,0,,,,,
