game,2012,1,20120909,201209090kan,atl,"Atlanta Falcons",40,kan,"Kansas City Chiefs",24
team,201209090kan,atl,First Downs,21,,,,,,
team,201209090kan,kan,First Downs,22,,,,,,
team,201209090kan,atl,Rush-Yds-TDs,23-84-1,,,,,,
team,201209090kan,kan,Rush-Yds-TDs,33-152-2,,,,,,
team,201209090kan,atl,Cmp-Att-Yd-TD-INT,23-31-299-3-0,,,,,,
team,201209090kan,kan,Cmp-Att-Yd-TD-INT,21-33-258-1-2,,,,,,
team,201209090kan,atl,Sacked-Yards,1-7,,,,,,
team,201209090kan,kan,Sacked-Yards,3-17,,,,,,
team,201209090kan,atl,Net Pass Yards,292,,,,,,
team,201209090kan,kan,Net Pass Yards,241,,,,,,
team,201209090kan,atl,Total Yards,376,,,,,,
team,201209090kan,kan,Total Yards,393,,,,,,
team,201209090kan,atl,Fumbles-Lost,1-0,,,,,,
team,201209090kan,kan,Fumbles-Lost,1-1,,,,,,
team,201209090kan,atl,Turnovers,0,,,,,,
team,201209090kan,kan,Turnovers,3,,,,,,
team,201209090kan,atl,Penalties-Yards,2-12,,,,,,
team,201209090kan,kan,Penalties-Yards,2-25,,,,,,
team,201209090kan,atl,Third Down Conv.,5-10,,,,,,
team,201209090kan,kan,Third Down Conv.,11-16,,,,,,
team,201209090kan,atl,Fourth Down Conv.,0-0,,,,,,
team,201209090kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201209090kan,atl,Time of Possession,28:05,,,,,,
team,201209090kan,kan,Time of Possession,31:55,,,,,,
player,201209090kan,atl,RyanMa00,pass_cmp,23,,,,,
player,201209090kan,atl,RyanMa00,pass_att,31,,,,,
player,201209090kan,atl,RyanMa00,pass_yds,299,,,,,
player,201209090kan,atl,RyanMa00,pass_td,3,,,,,
player,201209090kan,atl,RyanMa00,pass_int,0,,,,,
player,201209090kan,atl,RyanMa00,pass_sacked,1,,,,,
player,201209090kan,atl,RyanMa00,pass_sacked_yds,7,,,,,
player,201209090kan,atl,RyanMa00,pass_long,31,,,,,
player,201209090kan,atl,RyanMa00,pass_rating,136.4,,,,,
player,201209090kan,atl,RyanMa00,rush_att,3,,,,,
player,201209090kan,atl,RyanMa00,rush_yds,25,,,,,
player,201209090kan,atl,RyanMa00,rush_td,1,,,,,
player,201209090kan,atl,RyanMa00,rush_long,11,,,,,
player,201209090kan,atl,RyanMa00,targets,0,,,,,
player,201209090kan,atl,RyanMa00,rec,0,,,,,
player,201209090kan,atl,RyanMa00,rec_yds,0,,,,,
player,201209090kan,atl,RyanMa00,rec_td,0,,,,,
player,201209090kan,atl,RyanMa00,rec_long,0,,,,,
player,201209090kan,atl,RyanMa00,fumbles,0,,,,,
player,201209090kan,atl,RyanMa00,fumbles_lost,0,,,,,
player,201209090kan,atl,TurnMi00,pass_cmp,0,,,,,
player,201209090kan,atl,TurnMi00,pass_att,0,,,,,
player,201209090kan,atl,TurnMi00,pass_yds,0,,,,,
player,201209090kan,atl,TurnMi00,pass_td,0,,,,,
player,201209090kan,atl,TurnMi00,pass_int,0,,,,,
player,201209090kan,atl,TurnMi00,pass_sacked,0,,,,,
player,201209090kan,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,TurnMi00,pass_long,0,,,,,
player,201209090kan,atl,TurnMi00,pass_rating,,,,,,
player,201209090kan,atl,TurnMi00,rush_att,11,,,,,
player,201209090kan,atl,TurnMi00,rush_yds,32,,,,,
player,201209090kan,atl,TurnMi00,rush_td,0,,,,,
player,201209090kan,atl,TurnMi00,rush_long,11,,,,,
player,201209090kan,atl,TurnMi00,targets,0,,,,,
player,201209090kan,atl,TurnMi00,rec,0,,,,,
player,201209090kan,atl,TurnMi00,rec_yds,0,,,,,
player,201209090kan,atl,TurnMi00,rec_td,0,,,,,
player,201209090kan,atl,TurnMi00,rec_long,0,,,,,
player,201209090kan,atl,TurnMi00,fumbles,0,,,,,
player,201209090kan,atl,TurnMi00,fumbles_lost,0,,,,,
player,201209090kan,atl,RodgJa00,pass_cmp,0,,,,,
player,201209090kan,atl,RodgJa00,pass_att,0,,,,,
player,201209090kan,atl,RodgJa00,pass_yds,0,,,,,
player,201209090kan,atl,RodgJa00,pass_td,0,,,,,
player,201209090kan,atl,RodgJa00,pass_int,0,,,,,
player,201209090kan,atl,RodgJa00,pass_sacked,0,,,,,
player,201209090kan,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,RodgJa00,pass_long,0,,,,,
player,201209090kan,atl,RodgJa00,pass_rating,,,,,,
player,201209090kan,atl,RodgJa00,rush_att,7,,,,,
player,201209090kan,atl,RodgJa00,rush_yds,22,,,,,
player,201209090kan,atl,RodgJa00,rush_td,0,,,,,
player,201209090kan,atl,RodgJa00,rush_long,6,,,,,
player,201209090kan,atl,RodgJa00,targets,2,,,,,
player,201209090kan,atl,RodgJa00,rec,2,,,,,
player,201209090kan,atl,RodgJa00,rec_yds,13,,,,,
player,201209090kan,atl,RodgJa00,rec_td,0,,,,,
player,201209090kan,atl,RodgJa00,rec_long,7,,,,,
player,201209090kan,atl,RodgJa00,fumbles,0,,,,,
player,201209090kan,atl,RodgJa00,fumbles_lost,0,,,,,
player,201209090kan,atl,SnelJa00,pass_cmp,0,,,,,
player,201209090kan,atl,SnelJa00,pass_att,0,,,,,
player,201209090kan,atl,SnelJa00,pass_yds,0,,,,,
player,201209090kan,atl,SnelJa00,pass_td,0,,,,,
player,201209090kan,atl,SnelJa00,pass_int,0,,,,,
player,201209090kan,atl,SnelJa00,pass_sacked,0,,,,,
player,201209090kan,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,SnelJa00,pass_long,0,,,,,
player,201209090kan,atl,SnelJa00,pass_rating,,,,,,
