game,2012,13,20121202,201212020chi,sea,"Seattle Seahawks",23,chi,"Chicago Bears",17
team,201212020chi,sea,First Downs,25,,,,,,
team,201212020chi,chi,First Downs,22,,,,,,
team,201212020chi,sea,Rush-Yds-TDs,32-176-1,,,,,,
team,201212020chi,chi,Rush-Yds-TDs,33-132-0,,,,,,
team,201212020chi,sea,Cmp-Att-Yd-TD-INT,23-37-293-2-0,,,,,,
team,201212020chi,chi,Cmp-Att-Yd-TD-INT,17-26-233-2-0,,,,,,
team,201212020chi,sea,Sacked-Yards,2-10,,,,,,
team,201212020chi,chi,Sacked-Yards,0-0,,,,,,
team,201212020chi,sea,Net Pass Yards,283,,,,,,
team,201212020chi,chi,Net Pass Yards,233,,,,,,
team,201212020chi,sea,Total Yards,459,,,,,,
team,201212020chi,chi,Total Yards,365,,,,,,
team,201212020chi,sea,Fumbles-Lost,2-1,,,,,,
team,201212020chi,chi,Fumbles-Lost,3-0,,,,,,
team,201212020chi,sea,Turnovers,1,,,,,,
team,201212020chi,chi,Turnovers,0,,,,,,
team,201212020chi,sea,Penalties-Yards,8-55,,,,,,
team,201212020chi,chi,Penalties-Yards,5-45,,,,,,
team,201212020chi,sea,Third Down Conv.,8-15,,,,,,
team,201212020chi,chi,Third Down Conv.,6-12,,,,,,
team,201212020chi,sea,Fourth Down Conv.,1-1,,,,,,
team,201212020chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201212020chi,sea,Time of Possession,34:35,,,,,,
team,201212020chi,chi,Time of Possession,32:52,,,,,,
player,201212020chi,sea,WilsRu00,pass_cmp,23,,,,,
player,201212020chi,sea,WilsRu00,pass_att,37,,,,,
player,201212020chi,sea,WilsRu00,pass_yds,293,,,,,
player,201212020chi,sea,WilsRu00,pass_td,2,,,,,
player,201212020chi,sea,WilsRu00,pass_int,0,,,,,
player,201212020chi,sea,WilsRu00,pass_sacked,2,,,,,
player,201212020chi,sea,WilsRu00,pass_sacked_yds,10,,,,,
player,201212020chi,sea,WilsRu00,pass_long,49,,,,,
player,201212020chi,sea,WilsRu00,pass_rating,104.9,,,,,
player,201212020chi,sea,WilsRu00,rush_att,9,,,,,
player,201212020chi,sea,WilsRu00,rush_yds,71,,,,,
player,201212020chi,sea,WilsRu00,rush_td,0,,,,,
player,201212020chi,sea,WilsRu00,rush_long,13,,,,,
player,201212020chi,sea,WilsRu00,targets,0,,,,,
player,201212020chi,sea,WilsRu00,rec,0,,,,,
player,201212020chi,sea,WilsRu00,rec_yds,0,,,,,
player,201212020chi,sea,WilsRu00,rec_td,0,,,,,
player,201212020chi,sea,WilsRu00,rec_long,0,,,,,
player,201212020chi,sea,WilsRu00,fumbles,0,,,,,
player,201212020chi,sea,WilsRu00,fumbles_lost,0,,,,,
player,201212020chi,sea,LyncMa00,pass_cmp,0,,,,,
player,201212020chi,sea,LyncMa00,pass_att,0,,,,,
player,201212020chi,sea,LyncMa00,pass_yds,0,,,,,
player,201212020chi,sea,LyncMa00,pass_td,0,,,,,
player,201212020chi,sea,LyncMa00,pass_int,0,,,,,
player,201212020chi,sea,LyncMa00,pass_sacked,0,,,,,
player,201212020chi,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201212020chi,sea,LyncMa00,pass_long,0,,,,,
player,201212020chi,sea,LyncMa00,pass_rating,,,,,,
player,201212020chi,sea,LyncMa00,rush_att,19,,,,,
player,201212020chi,sea,LyncMa00,rush_yds,87,,,,,
player,201212020chi,sea,LyncMa00,rush_td,1,,,,,
player,201212020chi,sea,LyncMa00,rush_long,20,,,,,
player,201212020chi,sea,LyncMa00,targets,3,,,,,
player,201212020chi,sea,LyncMa00,rec,2,,,,,
player,201212020chi,sea,LyncMa00,rec_yds,11,,,,,
player,201212020chi,sea,LyncMa00,rec_td,0,,,,,
player,201212020chi,sea,LyncMa00,rec_long,7,,,,,
player,201212020chi,sea,LyncMa00,fumbles,2,,,,,
player,201212020chi,sea,LyncMa00,fumbles_lost,1,,,,,
player,201212020chi,sea,WashLe00,pass_cmp,0,,,,,
player,201212020chi,sea,WashLe00,pass_att,0,,,,,
player,201212020chi,sea,WashLe00,pass_yds,0,,,,,
player,201212020chi,sea,WashLe00,pass_td,0,,,,,
player,201212020chi,sea,WashLe00,pass_int,0,,,,,
player,201212020chi,sea,WashLe00,pass_sacked,0,,,,,
player,201212020chi,sea,WashLe00,pass_sacked_yds,0,,,,,
player,201212020chi,sea,WashLe00,pass_long,0,,,,,
player,201212020chi,sea,WashLe00,pass_rating,,,,,,
player,201212020chi,sea,WashLe00,rush_att,2,,,,,
player,201212020chi,sea,WashLe00,rush_yds,8,,,,,
player,201212020chi,sea,WashLe00,rush_td,0,,,,,
player,201212020chi,sea,WashLe00,rush_long,6,,,,,
player,201212020chi,sea,WashLe00,targets,2,,,,,
player,201212020chi,sea,WashLe00,rec,1,,,,,
player,201212020chi,sea,WashLe00,rec_yds,6,,,,,
player,201212020chi,sea,WashLe00,rec_td,0,,,,,
player,201212020chi,sea,WashLe00,rec_long,6,,,,,
player,201212020chi,sea,WashLe00,fumbles,0,,,,,
player,201212020chi,sea,WashLe00,fumbles_lost,0,,,,,
player,201212020chi,sea,TurbRo00,pass_cmp,0,,,,,
player,201212020chi,sea,TurbRo00,pass_att,0,,,,,
player,201212020chi,sea,TurbRo00,pass_yds,0,,,,,
player,201212020chi,sea,TurbRo00,pass_td,0,,,,,
player,201212020chi,sea,TurbRo00,pass_int,0,,,,,
player,201212020chi,sea,TurbRo00,pass_sacked,0,,,,,
player,201212020chi,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201212020chi,sea,TurbRo00,pass_long,0,,,,,
player,201212020chi,sea,TurbRo00,pass_rating,,,,,,
player,201212020chi,sea,TurbRo00,rush_att,1,,,,,
player,201212020chi,sea,TurbRo00,rush_yds,6,,,,,
player,201212020chi,sea,TurbRo00,rush_td,0,,,,,
player,201212020chi,sea,TurbRo00,rush_long,6,,,,,
player,201212020chi,sea,TurbRo00,targets,0,,,,,
player,201212020chi,sea,TurbRo00,rec,0,,,,,
player,201212020chi,sea,TurbRo00,rec_yds,0,,,,,
player,201212020chi,sea,TurbRo00,rec_td,0,,,,,
player,201212020chi,sea,TurbRo00,rec_long,0,,,,,
player,201212020chi,sea,TurbRo00,fumbles,0,,,,,
player,201212020chi,sea,TurbRo00,fumbles_lost,0,,,,,
player,201212020chi,sea,RobiMi00,pass_cmp,0,,,,,
player,201212020chi,sea,RobiMi00,pass_att,0,,,,,
player,201212020chi,sea,RobiMi00,pass_yds,0,,,,,
player,201212020chi,sea,RobiMi00,pass_td,0,,,,,
player,201212020chi,sea,RobiMi00,pass_int,0,,,,,
player,201212020chi,sea,RobiMi00,pass_sacked,0,,,,,
player,201212020chi,sea,RobiMi00,pass_sacked_yds,0,,,,,
player,201212020chi,sea,RobiMi00,pass_long,0,,,,,
player,201212020chi,sea,RobiMi00,pass_rating,,,,,,
player,201212020chi,sea,RobiMi00,rush_att,1,,,,,
player,201212020chi,sea,RobiMi00,rush_yds,4,,,,,
player,201212020chi,sea,RobiMi00,rush_td,0,,,,,
player,201212020chi,sea,RobiMi00,rush_long,4,,,,,
player,201212020chi,sea,RobiMi00,targets,2,,,,,
player,201212020chi,sea,RobiMi00,rec,2,,,,,
player,201212020chi,sea,RobiMi00,rec_yds,17,,,,,
player,201212020chi,sea,RobiMi00,rec_td,0,,,,,
player,201212020chi,sea,RobiMi00,rec_long,13,,,,,
player,201212020chi,sea,RobiMi00,fumbles,0,,,,,
player,201212020chi,sea,RobiMi00,fumbles_lost,0,,,,,
player,201212020chi,sea,RiceSi01,pass_cmp,0,,,,,
player,201212020chi,sea,RiceSi01,pass_att,0,,,,,
player,201212020chi,sea,RiceSi01,pass_yds,0,,,,,
player,201212020chi,sea,RiceSi01,pass_td,0,,,,,
player,201212020chi,sea,RiceSi01,pass_int,0,,,,,
player,201212020chi,sea,RiceSi01,pass_sacked,0,,,,,
player,201212020chi,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201212020chi,sea,RiceSi01,pass_long,0,,,,,
player,201212020chi,sea,RiceSi01,pass_rating,,,,,,
player,201212020chi,sea,RiceSi01,rush_att,0,,,,,
player,201212020chi,sea,RiceSi01,rush_yds,0,,,,,
player,201212020chi,sea,RiceSi01,rush_td,0,,,,,
player,201212020chi,sea,RiceSi01,rush_long,0,,,,,
player,201212020chi,sea,RiceSi01,targets,9,,,,,
player,201212020chi,sea,RiceSi01,rec,6,,,,,
player,201212020chi,sea,RiceSi01,rec_yds,99,,,,,
player,201212020chi,sea,RiceSi01,rec_td,1,,,,,
player,201212020chi,sea,RiceSi01,rec_long,28,,,,,
player,201212020chi,sea,RiceSi01,fumbles,0,,,,,
player,201212020chi,sea,RiceSi01,fumbles_lost,0,,,,,
player,201212020chi,sea,TateGo00,pass_cmp,0,,,,,
player,201212020chi,sea,TateGo00,pass_att,0,,,,,
player,201212020chi,sea,TateGo00,pass_yds,0,,,,,
