game,2012,1,20120909,201209090oti,nwe,"New England Patriots",34,oti,"Tennessee Titans",13
team,201209090oti,nwe,First Downs,25,,,,,,
team,201209090oti,oti,First Downs,16,,,,,,
team,201209090oti,nwe,Rush-Yds-TDs,35-162-1,,,,,,
team,201209090oti,oti,Rush-Yds-TDs,16-20-0,,,,,,
team,201209090oti,nwe,Cmp-Att-Yd-TD-INT,23-31-236-2-0,,,,,,
team,201209090oti,oti,Cmp-Att-Yd-TD-INT,29-43-272-1-1,,,,,,
team,201209090oti,nwe,Sacked-Yards,1-8,,,,,,
team,201209090oti,oti,Sacked-Yards,2-8,,,,,,
team,201209090oti,nwe,Net Pass Yards,228,,,,,,
team,201209090oti,oti,Net Pass Yards,264,,,,,,
team,201209090oti,nwe,Total Yards,390,,,,,,
team,201209090oti,oti,Total Yards,284,,,,,,
team,201209090oti,nwe,Fumbles-Lost,0-0,,,,,,
team,201209090oti,oti,Fumbles-Lost,1-1,,,,,,
team,201209090oti,nwe,Turnovers,0,,,,,,
team,201209090oti,oti,Turnovers,2,,,,,,
team,201209090oti,nwe,Penalties-Yards,3-20,,,,,,
team,201209090oti,oti,Penalties-Yards,3-30,,,,,,
team,201209090oti,nwe,Third Down Conv.,6-12,,,,,,
team,201209090oti,oti,Third Down Conv.,5-14,,,,,,
team,201209090oti,nwe,Fourth Down Conv.,0-0,,,,,,
team,201209090oti,oti,Fourth Down Conv.,1-2,,,,,,
team,201209090oti,nwe,Time of Possession,31:01,,,,,,
team,201209090oti,oti,Time of Possession,28:59,,,,,,
player,201209090oti,nwe,BradTo00,pass_cmp,23,,,,,
player,201209090oti,nwe,BradTo00,pass_att,31,,,,,
player,201209090oti,nwe,BradTo00,pass_yds,236,,,,,
player,201209090oti,nwe,BradTo00,pass_td,2,,,,,
player,201209090oti,nwe,BradTo00,pass_int,0,,,,,
player,201209090oti,nwe,BradTo00,pass_sacked,1,,,,,
player,201209090oti,nwe,BradTo00,pass_sacked_yds,8,,,,,
player,201209090oti,nwe,BradTo00,pass_long,28,,,,,
player,201209090oti,nwe,BradTo00,pass_rating,117.1,,,,,
player,201209090oti,nwe,BradTo00,rush_att,2,,,,,
player,201209090oti,nwe,BradTo00,rush_yds,1,,,,,
player,201209090oti,nwe,BradTo00,rush_td,0,,,,,
player,201209090oti,nwe,BradTo00,rush_long,2,,,,,
player,201209090oti,nwe,BradTo00,targets,0,,,,,
player,201209090oti,nwe,BradTo00,rec,0,,,,,
player,201209090oti,nwe,BradTo00,rec_yds,0,,,,,
player,201209090oti,nwe,BradTo00,rec_td,0,,,,,
player,201209090oti,nwe,BradTo00,rec_long,0,,,,,
player,201209090oti,nwe,BradTo00,fumbles,0,,,,,
player,201209090oti,nwe,BradTo00,fumbles_lost,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_cmp,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_att,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_yds,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_td,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_int,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_sacked,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_long,0,,,,,
player,201209090oti,nwe,RidlSt00,pass_rating,,,,,,
player,201209090oti,nwe,RidlSt00,rush_att,21,,,,,
player,201209090oti,nwe,RidlSt00,rush_yds,125,,,,,
player,201209090oti,nwe,RidlSt00,rush_td,1,,,,,
player,201209090oti,nwe,RidlSt00,rush_long,17,,,,,
player,201209090oti,nwe,RidlSt00,targets,3,,,,,
player,201209090oti,nwe,RidlSt00,rec,2,,,,,
player,201209090oti,nwe,RidlSt00,rec_yds,27,,,,,
player,201209090oti,nwe,RidlSt00,rec_td,0,,,,,
player,201209090oti,nwe,RidlSt00,rec_long,20,,,,,
player,201209090oti,nwe,RidlSt00,fumbles,0,,,,,
player,201209090oti,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_cmp,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_att,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_yds,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_td,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_int,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_sacked,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_long,0,,,,,
player,201209090oti,nwe,WoodDa02,pass_rating,,,,,,
player,201209090oti,nwe,WoodDa02,rush_att,6,,,,,
player,201209090oti,nwe,WoodDa02,rush_yds,20,,,,,
player,201209090oti,nwe,WoodDa02,rush_td,0,,,,,
player,201209090oti,nwe,WoodDa02,rush_long,6,,,,,
player,201209090oti,nwe,WoodDa02,targets,0,,,,,
player,201209090oti,nwe,WoodDa02,rec,0,,,,,
player,201209090oti,nwe,WoodDa02,rec_yds,0,,,,,
player,201209090oti,nwe,WoodDa02,rec_td,0,,,,,
player,201209090oti,nwe,WoodDa02,rec_long,0,,,,,
player,201209090oti,nwe,WoodDa02,fumbles,0,,,,,
player,201209090oti,nwe,WoodDa02,fumbles_lost,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_cmp,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_att,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_yds,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_td,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_int,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_sacked,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_sacked_yds,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_long,0,,,,,
player,201209090oti,nwe,BoldBr00,pass_rating,,,,,,
player,201209090oti,nwe,BoldBr00,rush_att,5,,,,,
player,201209090oti,nwe,BoldBr00,rush_yds,11,,,,,
player,201209090oti,nwe,BoldBr00,rush_td,0,,,,,
player,201209090oti,nwe,BoldBr00,rush_long,9,,,,,
player,201209090oti,nwe,BoldBr00,targets,0,,,,,
player,201209090oti,nwe,BoldBr00,rec,0,,,,,
player,201209090oti,nwe,BoldBr00,rec_yds,0,,,,,
player,201209090oti,nwe,BoldBr00,rec_td,0,,,,,
player,201209090oti,nwe,BoldBr00,rec_long,0,,,,,
player,201209090oti,nwe,BoldBr00,fumbles,0,,,,,
player,201209090oti,nwe,BoldBr00,fumbles_lost,0,,,,,
player,201209090oti,nwe,HernAa00,pass_cmp,0,,,,,
player,201209090oti,nwe,HernAa00,pass_att,0,,,,,
player,201209090oti,nwe,HernAa00,pass_yds,0,,,,,
player,201209090oti,nwe,HernAa00,pass_td,0,,,,,
player,201209090oti,nwe,HernAa00,pass_int,0,,,,,
player,201209090oti,nwe,HernAa00,pass_sacked,0,,,,,
player,201209090oti,nwe,HernAa00,pass_sacked_yds,0,,,,,
player,201209090oti,nwe,HernAa00,pass_long,0,,,,,
player,201209090oti,nwe,HernAa00,pass_rating,,,,,,
player,201209090oti,nwe,HernAa00,rush_att,1,,,,,
player,201209090oti,nwe,HernAa00,rush_yds,5,,,,,
player,201209090oti,nwe,HernAa00,rush_td,0,,,,,
player,201209090oti,nwe,HernAa00,rush_long,5,,,,,
player,201209090oti,nwe,HernAa00,targets,7,,,,,
player,201209090oti,nwe,HernAa00,rec,6,,,,,
player,201209090oti,nwe,HernAa00,rec_yds,59,,,,,
player,201209090oti,nwe,HernAa00,rec_td,1,,,,,
player,201209090oti,nwe,HernAa00,rec_long,23,,,,,
player,201209090oti,nwe,HernAa00,fumbles,0,,,,,
player,201209090oti,nwe,HernAa00,fumbles_lost,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_cmp,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_att,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_yds,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_td,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_int,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_sacked,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_sacked_yds,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_long,0,,,,,
player,201209090oti,nwe,LloyBr00,pass_rating,,,,,,
player,201209090oti,nwe,LloyBr00,rush_att,0,,,,,
player,201209090oti,nwe,LloyBr00,rush_yds,0,,,,,
player,201209090oti,nwe,LloyBr00,rush_td,0,,,,,
player,201209090oti,nwe,LloyBr00,rush_long,0,,,,,
player,201209090oti,nwe,LloyBr00,targets,8,,,,,
player,201209090oti,nwe,LloyBr00,rec,5,,,,,
player,201209090oti,nwe,LloyBr00,rec_yds,69,,,,,
player,201209090oti,nwe,LloyBr00,rec_td,0,,,,,
player,201209090oti,nwe,LloyBr00,rec_long,27,,,,,
player,201209090oti,nwe,LloyBr00,fumbles,0,,,,,
player,201209090oti,nwe,LloyBr00,fumbles_lost,0,,,,,
player,201209090oti,nwe,GronRo00,pass_cmp,0,,,,,
player,201209090oti,nwe,GronRo00,pass_att,0,,,,,
player,201209090oti,nwe,GronRo00,pass_yds,0,,,,,
player,201209090oti,nwe,GronRo00,pass_td,0,,,,,
player,201209090oti,nwe,GronRo00,pass_int,0,,,,,
player,201209090oti,nwe,GronRo00,pass_sacked,0,,,,,
player,201209090oti,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201209090oti,nwe,GronRo00,pass_long,0,,,,,
player,201209090oti,nwe,GronRo00,pass_rating,,,,,,
player,201209090oti,nwe,GronRo00,rush_att,0,,,,,
player,201209090oti,nwe,GronRo00,rush_yds,0,,,,,
player,201209090oti,nwe,GronRo00,rush_td,0,,,,,
