game,2012,12,20121125,201211250sdg,rav,"Baltimore Ravens",16,sdg,"San Diego Chargers",13
team,201211250sdg,rav,First Downs,25,,,,,,
team,201211250sdg,sdg,First Downs,16,,,,,,
team,201211250sdg,rav,Rush-Yds-TDs,35-127-0,,,,,,
team,201211250sdg,sdg,Rush-Yds-TDs,23-91-0,,,,,,
team,201211250sdg,rav,Cmp-Att-Yd-TD-INT,30-51-355-1-0,,,,,,
team,201211250sdg,sdg,Cmp-Att-Yd-TD-INT,23-36-228-1-0,,,,,,
team,201211250sdg,rav,Sacked-Yards,5-39,,,,,,
team,201211250sdg,sdg,Sacked-Yards,6-39,,,,,,
team,201211250sdg,rav,Net Pass Yards,316,,,,,,
team,201211250sdg,sdg,Net Pass Yards,189,,,,,,
team,201211250sdg,rav,Total Yards,443,,,,,,
team,201211250sdg,sdg,Total Yards,280,,,,,,
team,201211250sdg,rav,Fumbles-Lost,1-0,,,,,,
team,201211250sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201211250sdg,rav,Turnovers,0,,,,,,
team,201211250sdg,sdg,Turnovers,0,,,,,,
team,201211250sdg,rav,Penalties-Yards,6-60,,,,,,
team,201211250sdg,sdg,Penalties-Yards,5-37,,,,,,
team,201211250sdg,rav,Third Down Conv.,12-24,,,,,,
team,201211250sdg,sdg,Third Down Conv.,3-15,,,,,,
team,201211250sdg,rav,Fourth Down Conv.,1-2,,,,,,
team,201211250sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201211250sdg,rav,Time of Possession,39:02,,,,,,
team,201211250sdg,sdg,Time of Possession,34:51,,,,,,
player,201211250sdg,rav,FlacJo00,pass_cmp,30,,,,,
player,201211250sdg,rav,FlacJo00,pass_att,51,,,,,
player,201211250sdg,rav,FlacJo00,pass_yds,355,,,,,
player,201211250sdg,rav,FlacJo00,pass_td,1,,,,,
player,201211250sdg,rav,FlacJo00,pass_int,0,,,,,
player,201211250sdg,rav,FlacJo00,pass_sacked,5,,,,,
player,201211250sdg,rav,FlacJo00,pass_sacked_yds,39,,,,,
player,201211250sdg,rav,FlacJo00,pass_long,54,,,,,
player,201211250sdg,rav,FlacJo00,pass_rating,86.6,,,,,
player,201211250sdg,rav,FlacJo00,rush_att,4,,,,,
player,201211250sdg,rav,FlacJo00,rush_yds,-4,,,,,
player,201211250sdg,rav,FlacJo00,rush_td,0,,,,,
player,201211250sdg,rav,FlacJo00,rush_long,0,,,,,
player,201211250sdg,rav,FlacJo00,targets,0,,,,,
player,201211250sdg,rav,FlacJo00,rec,0,,,,,
player,201211250sdg,rav,FlacJo00,rec_yds,0,,,,,
player,201211250sdg,rav,FlacJo00,rec_td,0,,,,,
player,201211250sdg,rav,FlacJo00,rec_long,0,,,,,
player,201211250sdg,rav,FlacJo00,fumbles,1,,,,,
player,201211250sdg,rav,FlacJo00,fumbles_lost,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_cmp,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_att,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_yds,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_td,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_int,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_sacked,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_long,0,,,,,
player,201211250sdg,rav,RiceRa00,pass_rating,,,,,,
player,201211250sdg,rav,RiceRa00,rush_att,22,,,,,
player,201211250sdg,rav,RiceRa00,rush_yds,97,,,,,
player,201211250sdg,rav,RiceRa00,rush_td,0,,,,,
player,201211250sdg,rav,RiceRa00,rush_long,16,,,,,
player,201211250sdg,rav,RiceRa00,targets,9,,,,,
player,201211250sdg,rav,RiceRa00,rec,8,,,,,
player,201211250sdg,rav,RiceRa00,rec_yds,67,,,,,
player,201211250sdg,rav,RiceRa00,rec_td,0,,,,,
player,201211250sdg,rav,RiceRa00,rec_long,29,,,,,
player,201211250sdg,rav,RiceRa00,fumbles,0,,,,,
player,201211250sdg,rav,RiceRa00,fumbles_lost,0,,,,,
player,201211250sdg,rav,PierBe00,pass_cmp,0,,,,,
player,201211250sdg,rav,PierBe00,pass_att,0,,,,,
player,201211250sdg,rav,PierBe00,pass_yds,0,,,,,
player,201211250sdg,rav,PierBe00,pass_td,0,,,,,
player,201211250sdg,rav,PierBe00,pass_int,0,,,,,
player,201211250sdg,rav,PierBe00,pass_sacked,0,,,,,
player,201211250sdg,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201211250sdg,rav,PierBe00,pass_long,0,,,,,
player,201211250sdg,rav,PierBe00,pass_rating,,,,,,
player,201211250sdg,rav,PierBe00,rush_att,9,,,,,
player,201211250sdg,rav,PierBe00,rush_yds,34,,,,,
player,201211250sdg,rav,PierBe00,rush_td,0,,,,,
player,201211250sdg,rav,PierBe00,rush_long,18,,,,,
player,201211250sdg,rav,PierBe00,targets,0,,,,,
player,201211250sdg,rav,PierBe00,rec,0,,,,,
player,201211250sdg,rav,PierBe00,rec_yds,0,,,,,
player,201211250sdg,rav,PierBe00,rec_td,0,,,,,
player,201211250sdg,rav,PierBe00,rec_long,0,,,,,
player,201211250sdg,rav,PierBe00,fumbles,0,,,,,
player,201211250sdg,rav,PierBe00,fumbles_lost,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_cmp,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_att,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_yds,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_td,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_int,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_sacked,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_long,0,,,,,
player,201211250sdg,rav,SmitTo02,pass_rating,,,,,,
player,201211250sdg,rav,SmitTo02,rush_att,0,,,,,
player,201211250sdg,rav,SmitTo02,rush_yds,0,,,,,
player,201211250sdg,rav,SmitTo02,rush_td,0,,,,,
player,201211250sdg,rav,SmitTo02,rush_long,0,,,,,
player,201211250sdg,rav,SmitTo02,targets,13,,,,,
player,201211250sdg,rav,SmitTo02,rec,7,,,,,
player,201211250sdg,rav,SmitTo02,rec_yds,144,,,,,
player,201211250sdg,rav,SmitTo02,rec_td,0,,,,,
player,201211250sdg,rav,SmitTo02,rec_long,54,,,,,
player,201211250sdg,rav,SmitTo02,fumbles,0,,,,,
player,201211250sdg,rav,SmitTo02,fumbles_lost,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_cmp,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_att,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_yds,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_td,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_int,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_sacked,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_sacked_yds,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_long,0,,,,,
player,201211250sdg,rav,JoneJa03,pass_rating,,,,,,
player,201211250sdg,rav,JoneJa03,rush_att,0,,,,,
player,201211250sdg,rav,JoneJa03,rush_yds,0,,,,,
player,201211250sdg,rav,JoneJa03,rush_td,0,,,,,
player,201211250sdg,rav,JoneJa03,rush_long,0,,,,,
player,201211250sdg,rav,JoneJa03,targets,7,,,,,
player,201211250sdg,rav,JoneJa03,rec,5,,,,,
player,201211250sdg,rav,JoneJa03,rec_yds,50,,,,,
player,201211250sdg,rav,JoneJa03,rec_td,0,,,,,
player,201211250sdg,rav,JoneJa03,rec_long,24,,,,,
player,201211250sdg,rav,JoneJa03,fumbles,0,,,,,
player,201211250sdg,rav,JoneJa03,fumbles_lost,0,,,,,
player,201211250sdg,rav,PittDe00,pass_cmp,0,,,,,
player,201211250sdg,rav,PittDe00,pass_att,0,,,,,
player,201211250sdg,rav,PittDe00,pass_yds,0,,,,,
player,201211250sdg,rav,PittDe00,pass_td,0,,,,,
player,201211250sdg,rav,PittDe00,pass_int,0,,,,,
player,201211250sdg,rav,PittDe00,pass_sacked,0,,,,,
player,201211250sdg,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201211250sdg,rav,PittDe00,pass_long,0,,,,,
player,201211250sdg,rav,PittDe00,pass_rating,,,,,,
player,201211250sdg,rav,PittDe00,rush_att,0,,,,,
player,201211250sdg,rav,PittDe00,rush_yds,0,,,,,
