game,2012,5,20121007,201210070nyg,cle,"Cleveland Browns",27,nyg,"New York Giants",41
player,201210070nyg,cle,RichTr00,pass_td,0,,,,,
player,201210070nyg,cle,RichTr00,pass_int,0,,,,,
player,201210070nyg,cle,RichTr00,pass_sacked,0,,,,,
player,201210070nyg,cle,RichTr00,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,RichTr00,pass_long,0,,,,,
player,201210070nyg,cle,RichTr00,pass_rating,,,,,,
player,201210070nyg,cle,RichTr00,rush_att,17,,,,,
player,201210070nyg,cle,RichTr00,rush_yds,81,,,,,
player,201210070nyg,cle,RichTr00,rush_td,1,,,,,
player,201210070nyg,cle,RichTr00,rush_long,15,,,,,
player,201210070nyg,cle,RichTr00,targets,7,,,,,
player,201210070nyg,cle,RichTr00,rec,5,,,,,
player,201210070nyg,cle,RichTr00,rec_yds,47,,,,,
player,201210070nyg,cle,RichTr00,rec_td,0,,,,,
player,201210070nyg,cle,RichTr00,rec_long,22,,,,,
player,201210070nyg,cle,RichTr00,fumbles,0,,,,,
player,201210070nyg,cle,RichTr00,fumbles_lost,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_cmp,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_att,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_yds,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_td,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_int,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_sacked,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_long,0,,,,,
player,201210070nyg,cle,NorwJo00,pass_rating,,,,,,
player,201210070nyg,cle,NorwJo00,rush_att,1,,,,,
player,201210070nyg,cle,NorwJo00,rush_yds,1,,,,,
player,201210070nyg,cle,NorwJo00,rush_td,0,,,,,
player,201210070nyg,cle,NorwJo00,rush_long,1,,,,,
player,201210070nyg,cle,NorwJo00,targets,9,,,,,
player,201210070nyg,cle,NorwJo00,rec,9,,,,,
player,201210070nyg,cle,NorwJo00,rec_yds,81,,,,,
player,201210070nyg,cle,NorwJo00,rec_td,0,,,,,
player,201210070nyg,cle,NorwJo00,rec_long,15,,,,,
player,201210070nyg,cle,NorwJo00,fumbles,0,,,,,
player,201210070nyg,cle,NorwJo00,fumbles_lost,0,,,,,
player,201210070nyg,cle,GordJo02,pass_cmp,0,,,,,
player,201210070nyg,cle,GordJo02,pass_att,0,,,,,
player,201210070nyg,cle,GordJo02,pass_yds,0,,,,,
player,201210070nyg,cle,GordJo02,pass_td,0,,,,,
player,201210070nyg,cle,GordJo02,pass_int,0,,,,,
player,201210070nyg,cle,GordJo02,pass_sacked,0,,,,,
player,201210070nyg,cle,GordJo02,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,GordJo02,pass_long,0,,,,,
player,201210070nyg,cle,GordJo02,pass_rating,,,,,,
player,201210070nyg,cle,GordJo02,rush_att,0,,,,,
player,201210070nyg,cle,GordJo02,rush_yds,0,,,,,
player,201210070nyg,cle,GordJo02,rush_td,0,,,,,
player,201210070nyg,cle,GordJo02,rush_long,0,,,,,
player,201210070nyg,cle,GordJo02,targets,8,,,,,
player,201210070nyg,cle,GordJo02,rec,2,,,,,
player,201210070nyg,cle,GordJo02,rec_yds,82,,,,,
player,201210070nyg,cle,GordJo02,rec_td,2,,,,,
player,201210070nyg,cle,GordJo02,rec_long,62,,,,,
player,201210070nyg,cle,GordJo02,fumbles,0,,,,,
player,201210070nyg,cle,GordJo02,fumbles_lost,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_cmp,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_att,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_yds,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_td,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_int,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_sacked,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_long,0,,,,,
player,201210070nyg,cle,OgboCh00,pass_rating,,,,,,
player,201210070nyg,cle,OgboCh00,rush_att,0,,,,,
player,201210070nyg,cle,OgboCh00,rush_yds,0,,,,,
player,201210070nyg,cle,OgboCh00,rush_td,0,,,,,
player,201210070nyg,cle,OgboCh00,rush_long,0,,,,,
player,201210070nyg,cle,OgboCh00,targets,4,,,,,
player,201210070nyg,cle,OgboCh00,rec,3,,,,,
player,201210070nyg,cle,OgboCh00,rec_yds,54,,,,,
player,201210070nyg,cle,OgboCh00,rec_td,0,,,,,
player,201210070nyg,cle,OgboCh00,rec_long,38,,,,,
player,201210070nyg,cle,OgboCh00,fumbles,0,,,,,
player,201210070nyg,cle,OgboCh00,fumbles_lost,0,,,,,
player,201210070nyg,cle,CameJo00,pass_cmp,0,,,,,
player,201210070nyg,cle,CameJo00,pass_att,0,,,,,
player,201210070nyg,cle,CameJo00,pass_yds,0,,,,,
player,201210070nyg,cle,CameJo00,pass_td,0,,,,,
player,201210070nyg,cle,CameJo00,pass_int,0,,,,,
player,201210070nyg,cle,CameJo00,pass_sacked,0,,,,,
player,201210070nyg,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,CameJo00,pass_long,0,,,,,
player,201210070nyg,cle,CameJo00,pass_rating,,,,,,
player,201210070nyg,cle,CameJo00,rush_att,0,,,,,
player,201210070nyg,cle,CameJo00,rush_yds,0,,,,,
player,201210070nyg,cle,CameJo00,rush_td,0,,,,,
player,201210070nyg,cle,CameJo00,rush_long,0,,,,,
player,201210070nyg,cle,CameJo00,targets,2,,,,,
player,201210070nyg,cle,CameJo00,rec,2,,,,,
player,201210070nyg,cle,CameJo00,rec_yds,26,,,,,
player,201210070nyg,cle,CameJo00,rec_td,0,,,,,
player,201210070nyg,cle,CameJo00,rec_long,21,,,,,
player,201210070nyg,cle,CameJo00,fumbles,0,,,,,
player,201210070nyg,cle,CameJo00,fumbles_lost,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_cmp,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_att,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_yds,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_td,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_int,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_sacked,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_long,0,,,,,
player,201210070nyg,cle,WatsBe00,pass_rating,,,,,,
player,201210070nyg,cle,WatsBe00,rush_att,0,,,,,
player,201210070nyg,cle,WatsBe00,rush_yds,0,,,,,
player,201210070nyg,cle,WatsBe00,rush_td,0,,,,,
player,201210070nyg,cle,WatsBe00,rush_long,0,,,,,
player,201210070nyg,cle,WatsBe00,targets,3,,,,,
player,201210070nyg,cle,WatsBe00,rec,1,,,,,
player,201210070nyg,cle,WatsBe00,rec_yds,1,,,,,
player,201210070nyg,cle,WatsBe00,rec_td,0,,,,,
player,201210070nyg,cle,WatsBe00,rec_long,1,,,,,
player,201210070nyg,cle,WatsBe00,fumbles,0,,,,,
player,201210070nyg,cle,WatsBe00,fumbles_lost,0,,,,,
player,201210070nyg,cle,LittGr00,pass_cmp,0,,,,,
player,201210070nyg,cle,LittGr00,pass_att,0,,,,,
player,201210070nyg,cle,LittGr00,pass_yds,0,,,,,
player,201210070nyg,cle,LittGr00,pass_td,0,,,,,
player,201210070nyg,cle,LittGr00,pass_int,0,,,,,
player,201210070nyg,cle,LittGr00,pass_sacked,0,,,,,
player,201210070nyg,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201210070nyg,cle,LittGr00,pass_long,0,,,,,
player,201210070nyg,cle,LittGr00,pass_rating,,,,,,
player,201210070nyg,cle,LittGr00,rush_att,0,,,,,
player,201210070nyg,cle,LittGr00,rush_yds,0,,,,,
player,201210070nyg,cle,LittGr00,rush_td,0,,,,,
player,201210070nyg,cle,LittGr00,rush_long,0,,,,,
player,201210070nyg,cle,LittGr00,targets,2,,,,,
player,201210070nyg,cle,LittGr00,rec,0,,,,,
player,201210070nyg,cle,LittGr00,rec_yds,0,,,,,
player,201210070nyg,cle,LittGr00,rec_td,0,,,,,
player,201210070nyg,cle,LittGr00,rec_long,0,,,,,
player,201210070nyg,cle,LittGr00,fumbles,0,,,,,
player,201210070nyg,cle,LittGr00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,MannEl00,pass_cmp,25,,,,,
player,201210070nyg,nyg,MannEl00,pass_att,37,,,,,
player,201210070nyg,nyg,MannEl00,pass_yds,259,,,,,
player,201210070nyg,nyg,MannEl00,pass_td,3,,,,,
player,201210070nyg,nyg,MannEl00,pass_int,1,,,,,
player,201210070nyg,nyg,MannEl00,pass_sacked,0,,,,,
player,201210070nyg,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,MannEl00,pass_long,36,,,,,
player,201210070nyg,nyg,MannEl00,pass_rating,103.3,,,,,
player,201210070nyg,nyg,MannEl00,rush_att,2,,,,,
player,201210070nyg,nyg,MannEl00,rush_yds,-1,,,,,
player,201210070nyg,nyg,MannEl00,rush_td,0,,,,,
player,201210070nyg,nyg,MannEl00,rush_long,0,,,,,
player,201210070nyg,nyg,MannEl00,targets,0,,,,,
player,201210070nyg,nyg,MannEl00,rec,0,,,,,
player,201210070nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201210070nyg,nyg,MannEl00,rec_td,0,,,,,
player,201210070nyg,nyg,MannEl00,rec_long,0,,,,,
player,201210070nyg,nyg,MannEl00,fumbles,0,,,,,
player,201210070nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_cmp,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_att,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_yds,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_td,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_int,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_sacked,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_long,0,,,,,
player,201210070nyg,nyg,BradAh00,pass_rating,,,,,,
player,201210070nyg,nyg,BradAh00,rush_att,30,,,,,
player,201210070nyg,nyg,BradAh00,rush_yds,200,,,,,
player,201210070nyg,nyg,BradAh00,rush_td,1,,,,,
player,201210070nyg,nyg,BradAh00,rush_long,37,,,,,
player,201210070nyg,nyg,BradAh00,targets,6,,,,,
player,201210070nyg,nyg,BradAh00,rec,4,,,,,
player,201210070nyg,nyg,BradAh00,rec_yds,29,,,,,
player,201210070nyg,nyg,BradAh00,rec_td,0,,,,,
player,201210070nyg,nyg,BradAh00,rec_long,14,,,,,
player,201210070nyg,nyg,BradAh00,fumbles,1,,,,,
player,201210070nyg,nyg,BradAh00,fumbles_lost,1,,,,,
player,201210070nyg,nyg,WilsDa01,pass_cmp,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_att,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_yds,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_td,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_int,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_sacked,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_long,0,,,,,
player,201210070nyg,nyg,WilsDa01,pass_rating,,,,,,
player,201210070nyg,nyg,WilsDa01,rush_att,2,,,,,
player,201210070nyg,nyg,WilsDa01,rush_yds,44,,,,,
player,201210070nyg,nyg,WilsDa01,rush_td,1,,,,,
player,201210070nyg,nyg,WilsDa01,rush_long,40,,,,,
player,201210070nyg,nyg,WilsDa01,targets,0,,,,,
player,201210070nyg,nyg,WilsDa01,rec,0,,,,,
