game,2012,11,20121118,201211180det,gnb,"Green Bay Packers",24,det,"Detroit Lions",20
player,201211180det,gnb,NelsJo00,pass_cmp,0,,,,,
player,201211180det,gnb,NelsJo00,pass_att,0,,,,,
player,201211180det,gnb,NelsJo00,pass_yds,0,,,,,
player,201211180det,gnb,NelsJo00,pass_td,0,,,,,
player,201211180det,gnb,NelsJo00,pass_int,0,,,,,
player,201211180det,gnb,NelsJo00,pass_sacked,0,,,,,
player,201211180det,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201211180det,gnb,NelsJo00,pass_long,0,,,,,
player,201211180det,gnb,NelsJo00,pass_rating,,,,,,
player,201211180det,gnb,NelsJo00,rush_att,0,,,,,
player,201211180det,gnb,NelsJo00,rush_yds,0,,,,,
player,201211180det,gnb,NelsJo00,rush_td,0,,,,,
player,201211180det,gnb,NelsJo00,rush_long,0,,,,,
player,201211180det,gnb,NelsJo00,targets,5,,,,,
player,201211180det,gnb,NelsJo00,rec,3,,,,,
player,201211180det,gnb,NelsJo00,rec_yds,45,,,,,
player,201211180det,gnb,NelsJo00,rec_td,0,,,,,
player,201211180det,gnb,NelsJo00,rec_long,19,,,,,
player,201211180det,gnb,NelsJo00,fumbles,0,,,,,
player,201211180det,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201211180det,gnb,JoneJa04,pass_cmp,0,,,,,
player,201211180det,gnb,JoneJa04,pass_att,0,,,,,
player,201211180det,gnb,JoneJa04,pass_yds,0,,,,,
player,201211180det,gnb,JoneJa04,pass_td,0,,,,,
player,201211180det,gnb,JoneJa04,pass_int,0,,,,,
player,201211180det,gnb,JoneJa04,pass_sacked,0,,,,,
player,201211180det,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201211180det,gnb,JoneJa04,pass_long,0,,,,,
player,201211180det,gnb,JoneJa04,pass_rating,,,,,,
player,201211180det,gnb,JoneJa04,rush_att,0,,,,,
player,201211180det,gnb,JoneJa04,rush_yds,0,,,,,
player,201211180det,gnb,JoneJa04,rush_td,0,,,,,
player,201211180det,gnb,JoneJa04,rush_long,0,,,,,
player,201211180det,gnb,JoneJa04,targets,4,,,,,
player,201211180det,gnb,JoneJa04,rec,2,,,,,
player,201211180det,gnb,JoneJa04,rec_yds,33,,,,,
player,201211180det,gnb,JoneJa04,rec_td,0,,,,,
player,201211180det,gnb,JoneJa04,rec_long,20,,,,,
player,201211180det,gnb,JoneJa04,fumbles,0,,,,,
player,201211180det,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201211180det,gnb,DrivDo00,pass_cmp,0,,,,,
player,201211180det,gnb,DrivDo00,pass_att,0,,,,,
player,201211180det,gnb,DrivDo00,pass_yds,0,,,,,
player,201211180det,gnb,DrivDo00,pass_td,0,,,,,
player,201211180det,gnb,DrivDo00,pass_int,0,,,,,
player,201211180det,gnb,DrivDo00,pass_sacked,0,,,,,
player,201211180det,gnb,DrivDo00,pass_sacked_yds,0,,,,,
player,201211180det,gnb,DrivDo00,pass_long,0,,,,,
player,201211180det,gnb,DrivDo00,pass_rating,,,,,,
player,201211180det,gnb,DrivDo00,rush_att,0,,,,,
player,201211180det,gnb,DrivDo00,rush_yds,0,,,,,
player,201211180det,gnb,DrivDo00,rush_td,0,,,,,
player,201211180det,gnb,DrivDo00,rush_long,0,,,,,
player,201211180det,gnb,DrivDo00,targets,1,,,,,
player,201211180det,gnb,DrivDo00,rec,1,,,,,
player,201211180det,gnb,DrivDo00,rec_yds,12,,,,,
player,201211180det,gnb,DrivDo00,rec_td,0,,,,,
player,201211180det,gnb,DrivDo00,rec_long,12,,,,,
player,201211180det,gnb,DrivDo00,fumbles,0,,,,,
player,201211180det,gnb,DrivDo00,fumbles_lost,0,,,,,
player,201211180det,gnb,GreeAl00,pass_cmp,0,,,,,
player,201211180det,gnb,GreeAl00,pass_att,0,,,,,
player,201211180det,gnb,GreeAl00,pass_yds,0,,,,,
player,201211180det,gnb,GreeAl00,pass_td,0,,,,,
player,201211180det,gnb,GreeAl00,pass_int,0,,,,,
player,201211180det,gnb,GreeAl00,pass_sacked,0,,,,,
player,201211180det,gnb,GreeAl00,pass_sacked_yds,0,,,,,
player,201211180det,gnb,GreeAl00,pass_long,0,,,,,
player,201211180det,gnb,GreeAl00,pass_rating,,,,,,
player,201211180det,gnb,GreeAl00,rush_att,0,,,,,
player,201211180det,gnb,GreeAl00,rush_yds,0,,,,,
player,201211180det,gnb,GreeAl00,rush_td,0,,,,,
player,201211180det,gnb,GreeAl00,rush_long,0,,,,,
player,201211180det,gnb,GreeAl00,targets,1,,,,,
player,201211180det,gnb,GreeAl00,rec,0,,,,,
player,201211180det,gnb,GreeAl00,rec_yds,0,,,,,
player,201211180det,gnb,GreeAl00,rec_td,0,,,,,
player,201211180det,gnb,GreeAl00,rec_long,0,,,,,
player,201211180det,gnb,GreeAl00,fumbles,0,,,,,
player,201211180det,gnb,GreeAl00,fumbles_lost,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_att,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_yds,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_td,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_int,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_long,0,,,,,
player,201211180det,gnb,KuhnJo00,pass_rating,,,,,,
player,201211180det,gnb,KuhnJo00,rush_att,1,,,,,
player,201211180det,gnb,KuhnJo00,rush_yds,-1,,,,,
player,201211180det,gnb,KuhnJo00,rush_td,0,,,,,
player,201211180det,gnb,KuhnJo00,rush_long,-1,,,,,
player,201211180det,gnb,KuhnJo00,targets,0,,,,,
