game,2012,17,20121230,201212300sea,ram,"St. Louis Rams",13,sea,"Seattle Seahawks",20
team,201212300sea,ram,First Downs,20,,,,,,
team,201212300sea,sea,First Downs,17,,,,,,
team,201212300sea,ram,Rush-Yds-TDs,19-79-0,,,,,,
team,201212300sea,sea,Rush-Yds-TDs,30-153-1,,,,,,
team,201212300sea,ram,Cmp-Att-Yd-TD-INT,25-42-252-1-1,,,,,,
team,201212300sea,sea,Cmp-Att-Yd-TD-INT,15-19-250-1-0,,,,,,
team,201212300sea,ram,Sacked-Yards,0-0,,,,,,
team,201212300sea,sea,Sacked-Yards,6-41,,,,,,
team,201212300sea,ram,Net Pass Yards,252,,,,,,
team,201212300sea,sea,Net Pass Yards,209,,,,,,
team,201212300sea,ram,Total Yards,331,,,,,,
team,201212300sea,sea,Total Yards,362,,,,,,
team,201212300sea,ram,Fumbles-Lost,1-0,,,,,,
team,201212300sea,sea,Fumbles-Lost,2-0,,,,,,
team,201212300sea,ram,Turnovers,1,,,,,,
team,201212300sea,sea,Turnovers,0,,,,,,
team,201212300sea,ram,Penalties-Yards,14-98,,,,,,
team,201212300sea,sea,Penalties-Yards,10-80,,,,,,
team,201212300sea,ram,Third Down Conv.,2-11,,,,,,
team,201212300sea,sea,Third Down Conv.,5-12,,,,,,
team,201212300sea,ram,Fourth Down Conv.,1-2,,,,,,
team,201212300sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201212300sea,ram,Time of Possession,27:11,,,,,,
team,201212300sea,sea,Time of Possession,32:49,,,,,,
player,201212300sea,ram,BradSa00,pass_cmp,25,,,,,
player,201212300sea,ram,BradSa00,pass_att,42,,,,,
player,201212300sea,ram,BradSa00,pass_yds,252,,,,,
player,201212300sea,ram,BradSa00,pass_td,1,,,,,
player,201212300sea,ram,BradSa00,pass_int,1,,,,,
player,201212300sea,ram,BradSa00,pass_sacked,0,,,,,
player,201212300sea,ram,BradSa00,pass_sacked_yds,0,,,,,
player,201212300sea,ram,BradSa00,pass_long,37,,,,,
player,201212300sea,ram,BradSa00,pass_rating,74.7,,,,,
player,201212300sea,ram,BradSa00,rush_att,1,,,,,
player,201212300sea,ram,BradSa00,rush_yds,6,,,,,
player,201212300sea,ram,BradSa00,rush_td,0,,,,,
player,201212300sea,ram,BradSa00,rush_long,6,,,,,
player,201212300sea,ram,BradSa00,targets,0,,,,,
player,201212300sea,ram,BradSa00,rec,0,,,,,
player,201212300sea,ram,BradSa00,rec_yds,0,,,,,
player,201212300sea,ram,BradSa00,rec_td,0,,,,,
player,201212300sea,ram,BradSa00,rec_long,0,,,,,
player,201212300sea,ram,BradSa00,fumbles,0,,,,,
player,201212300sea,ram,BradSa00,fumbles_lost,0,,,,,
player,201212300sea,ram,JackSt00,pass_cmp,0,,,,,
player,201212300sea,ram,JackSt00,pass_att,0,,,,,
player,201212300sea,ram,JackSt00,pass_yds,0,,,,,
