game,2012,2,20120916,201209160sdg,oti,"Tennessee Titans",10,sdg,"San Diego Chargers",38
team,201209160sdg,oti,First Downs,9,,,,,,
team,201209160sdg,sdg,First Downs,27,,,,,,
team,201209160sdg,oti,Rush-Yds-TDs,10-38-0,,,,,,
team,201209160sdg,sdg,Rush-Yds-TDs,39-148-2,,,,,,
team,201209160sdg,oti,Cmp-Att-Yd-TD-INT,15-30-174-1-1,,,,,,
team,201209160sdg,sdg,Cmp-Att-Yd-TD-INT,24-32-284-3-1,,,,,,
team,201209160sdg,oti,Sacked-Yards,0-0,,,,,,
team,201209160sdg,sdg,Sacked-Yards,4-16,,,,,,
team,201209160sdg,oti,Net Pass Yards,174,,,,,,
team,201209160sdg,sdg,Net Pass Yards,268,,,,,,
team,201209160sdg,oti,Total Yards,212,,,,,,
team,201209160sdg,sdg,Total Yards,416,,,,,,
team,201209160sdg,oti,Fumbles-Lost,0-0,,,,,,
team,201209160sdg,sdg,Fumbles-Lost,3-0,,,,,,
team,201209160sdg,oti,Turnovers,1,,,,,,
team,201209160sdg,sdg,Turnovers,1,,,,,,
team,201209160sdg,oti,Penalties-Yards,8-59,,,,,,
team,201209160sdg,sdg,Penalties-Yards,4-41,,,,,,
team,201209160sdg,oti,Third Down Conv.,1-9,,,,,,
team,201209160sdg,sdg,Third Down Conv.,10-17,,,,,,
team,201209160sdg,oti,Fourth Down Conv.,0-0,,,,,,
team,201209160sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201209160sdg,oti,Time of Possession,16:21,,,,,,
team,201209160sdg,sdg,Time of Possession,43:39,,,,,,
player,201209160sdg,oti,LockJa00,pass_cmp,15,,,,,
player,201209160sdg,oti,LockJa00,pass_att,30,,,,,
player,201209160sdg,oti,LockJa00,pass_yds,174,,,,,
player,201209160sdg,oti,LockJa00,pass_td,1,,,,,
player,201209160sdg,oti,LockJa00,pass_int,1,,,,,
player,201209160sdg,oti,LockJa00,pass_sacked,0,,,,,
player,201209160sdg,oti,LockJa00,pass_sacked_yds,0,,,,,
player,201209160sdg,oti,LockJa00,pass_long,46,,,,,
player,201209160sdg,oti,LockJa00,pass_rating,65.1,,,,,
player,201209160sdg,oti,LockJa00,rush_att,2,,,,,
player,201209160sdg,oti,LockJa00,rush_yds,21,,,,,
player,201209160sdg,oti,LockJa00,rush_td,0,,,,,
player,201209160sdg,oti,LockJa00,rush_long,20,,,,,
player,201209160sdg,oti,LockJa00,targets,0,,,,,
player,201209160sdg,oti,LockJa00,rec,0,,,,,
player,201209160sdg,oti,LockJa00,rec_yds,0,,,,,
player,201209160sdg,oti,LockJa00,rec_td,0,,,,,
player,201209160sdg,oti,LockJa00,rec_long,0,,,,,
player,201209160sdg,oti,LockJa00,fumbles,0,,,,,
player,201209160sdg,oti,LockJa00,fumbles_lost,0,,,,,
player,201209160sdg,oti,JohnCh04,pass_cmp,0,,,,,
player,201209160sdg,oti,JohnCh04,pass_att,0,,,,,
