game,2012,12,20121125,201211250cle,pit,"Pittsburgh Steelers",14,cle,"Cleveland Browns",20
team,201211250cle,pit,First Downs,13,,,,,,
team,201211250cle,cle,First Downs,14,,,,,,
team,201211250cle,pit,Rush-Yds-TDs,20-49-1,,,,,,
team,201211250cle,cle,Rush-Yds-TDs,34-108-1,,,,,,
team,201211250cle,pit,Cmp-Att-Yd-TD-INT,20-34-199-0-3,,,,,,
team,201211250cle,cle,Cmp-Att-Yd-TD-INT,17-26-158-1-1,,,,,,
team,201211250cle,pit,Sacked-Yards,1-6,,,,,,
team,201211250cle,cle,Sacked-Yards,4-28,,,,,,
team,201211250cle,pit,Net Pass Yards,193,,,,,,
team,201211250cle,cle,Net Pass Yards,130,,,,,,
team,201211250cle,pit,Total Yards,242,,,,,,
team,201211250cle,cle,Total Yards,238,,,,,,
team,201211250cle,pit,Fumbles-Lost,8-5,,,,,,
team,201211250cle,cle,Fumbles-Lost,0-0,,,,,,
team,201211250cle,pit,Turnovers,8,,,,,,
team,201211250cle,cle,Turnovers,1,,,,,,
team,201211250cle,pit,Penalties-Yards,9-68,,,,,,
team,201211250cle,cle,Penalties-Yards,10-90,,,,,,
team,201211250cle,pit,Third Down Conv.,1-9,,,,,,
team,201211250cle,cle,Third Down Conv.,3-16,,,,,,
team,201211250cle,pit,Fourth Down Conv.,0-0,,,,,,
team,201211250cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201211250cle,pit,Time of Possession,26:30,,,,,,
team,201211250cle,cle,Time of Possession,33:30,,,,,,
player,201211250cle,pit,BatcCh00,pass_cmp,20,,,,,
player,201211250cle,pit,BatcCh00,pass_att,34,,,,,
player,201211250cle,pit,BatcCh00,pass_yds,199,,,,,
player,201211250cle,pit,BatcCh00,pass_td,0,,,,,
player,201211250cle,pit,BatcCh00,pass_int,3,,,,,
player,201211250cle,pit,BatcCh00,pass_sacked,1,,,,,
player,201211250cle,pit,BatcCh00,pass_sacked_yds,6,,,,,
player,201211250cle,pit,BatcCh00,pass_long,27,,,,,
player,201211250cle,pit,BatcCh00,pass_rating,38.7,,,,,
player,201211250cle,pit,BatcCh00,rush_att,0,,,,,
player,201211250cle,pit,BatcCh00,rush_yds,0,,,,,
player,201211250cle,pit,BatcCh00,rush_td,0,,,,,
player,201211250cle,pit,BatcCh00,rush_long,0,,,,,
player,201211250cle,pit,BatcCh00,targets,0,,,,,
player,201211250cle,pit,BatcCh00,rec,0,,,,,
player,201211250cle,pit,BatcCh00,rec_yds,0,,,,,
player,201211250cle,pit,BatcCh00,rec_td,0,,,,,
player,201211250cle,pit,BatcCh00,rec_long,0,,,,,
player,201211250cle,pit,BatcCh00,fumbles,0,,,,,
player,201211250cle,pit,BatcCh00,fumbles_lost,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_cmp,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_att,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_yds,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_td,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_int,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_sacked,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_sacked_yds,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_long,0,,,,,
player,201211250cle,pit,DwyeJo00,pass_rating,,,,,,
player,201211250cle,pit,DwyeJo00,rush_att,9,,,,,
player,201211250cle,pit,DwyeJo00,rush_yds,19,,,,,
player,201211250cle,pit,DwyeJo00,rush_td,0,,,,,
player,201211250cle,pit,DwyeJo00,rush_long,8,,,,,
player,201211250cle,pit,DwyeJo00,targets,2,,,,,
player,201211250cle,pit,DwyeJo00,rec,2,,,,,
player,201211250cle,pit,DwyeJo00,rec_yds,9,,,,,
player,201211250cle,pit,DwyeJo00,rec_td,0,,,,,
player,201211250cle,pit,DwyeJo00,rec_long,7,,,,,
player,201211250cle,pit,DwyeJo00,fumbles,1,,,,,
player,201211250cle,pit,DwyeJo00,fumbles_lost,1,,,,,
player,201211250cle,pit,RainCh00,pass_cmp,0,,,,,
player,201211250cle,pit,RainCh00,pass_att,0,,,,,
player,201211250cle,pit,RainCh00,pass_yds,0,,,,,
player,201211250cle,pit,RainCh00,pass_td,0,,,,,
player,201211250cle,pit,RainCh00,pass_int,0,,,,,
player,201211250cle,pit,RainCh00,pass_sacked,0,,,,,
player,201211250cle,pit,RainCh00,pass_sacked_yds,0,,,,,
player,201211250cle,pit,RainCh00,pass_long,0,,,,,
player,201211250cle,pit,RainCh00,pass_rating,,,,,,
player,201211250cle,pit,RainCh00,rush_att,5,,,,,
player,201211250cle,pit,RainCh00,rush_yds,17,,,,,
player,201211250cle,pit,RainCh00,rush_td,1,,,,,
player,201211250cle,pit,RainCh00,rush_long,7,,,,,
player,201211250cle,pit,RainCh00,targets,4,,,,,
player,201211250cle,pit,RainCh00,rec,4,,,,,
player,201211250cle,pit,RainCh00,rec_yds,15,,,,,
player,201211250cle,pit,RainCh00,rec_td,0,,,,,
player,201211250cle,pit,RainCh00,rec_long,11,,,,,
player,201211250cle,pit,RainCh00,fumbles,2,,,,,
player,201211250cle,pit,RainCh00,fumbles_lost,1,,,,,
player,201211250cle,pit,RedmIs20,pass_cmp,0,,,,,
player,201211250cle,pit,RedmIs20,pass_att,0,,,,,
player,201211250cle,pit,RedmIs20,pass_yds,0,,,,,
player,201211250cle,pit,RedmIs20,pass_td,0,,,,,
player,201211250cle,pit,RedmIs20,pass_int,0,,,,,
player,201211250cle,pit,RedmIs20,pass_sacked,0,,,,,
player,201211250cle,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201211250cle,pit,RedmIs20,pass_long,0,,,,,
player,201211250cle,pit,RedmIs20,pass_rating,,,,,,
player,201211250cle,pit,RedmIs20,rush_att,2,,,,,
player,201211250cle,pit,RedmIs20,rush_yds,7,,,,,
player,201211250cle,pit,RedmIs20,rush_td,0,,,,,
player,201211250cle,pit,RedmIs20,rush_long,5,,,,,
player,201211250cle,pit,RedmIs20,targets,1,,,,,
player,201211250cle,pit,RedmIs20,rec,1,,,,,
player,201211250cle,pit,RedmIs20,rec_yds,15,,,,,
player,201211250cle,pit,RedmIs20,rec_td,0,,,,,
player,201211250cle,pit,RedmIs20,rec_long,15,,,,,
player,201211250cle,pit,RedmIs20,fumbles,1,,,,,
player,201211250cle,pit,RedmIs20,fumbles_lost,1,,,,,
player,201211250cle,pit,MendRa00,pass_cmp,0,,,,,
player,201211250cle,pit,MendRa00,pass_att,0,,,,,
