game,2012,9,20121104,201211040was,car,"Carolina Panthers",21,was,"Washington Redskins",13
team,201211040was,car,First Downs,18,,,,,,
team,201211040was,was,First Downs,24,,,,,,
team,201211040was,car,Rush-Yds-TDs,27-129-2,,,,,,
team,201211040was,was,Rush-Yds-TDs,32-151-1,,,,,,
team,201211040was,car,Cmp-Att-Yd-TD-INT,13-23-201-1-0,,,,,,
team,201211040was,was,Cmp-Att-Yd-TD-INT,23-39-215-0-0,,,,,,
team,201211040was,car,Sacked-Yards,0-0,,,,,,
team,201211040was,was,Sacked-Yards,4-29,,,,,,
team,201211040was,car,Net Pass Yards,201,,,,,,
team,201211040was,was,Net Pass Yards,186,,,,,,
team,201211040was,car,Total Yards,330,,,,,,
team,201211040was,was,Total Yards,337,,,,,,
team,201211040was,car,Fumbles-Lost,0-0,,,,,,
team,201211040was,was,Fumbles-Lost,0-0,,,,,,
team,201211040was,car,Turnovers,0,,,,,,
team,201211040was,was,Turnovers,0,,,,,,
team,201211040was,car,Penalties-Yards,7-60,,,,,,
team,201211040was,was,Penalties-Yards,13-97,,,,,,
team,201211040was,car,Third Down Conv.,5-11,,,,,,
team,201211040was,was,Third Down Conv.,3-15,,,,,,
team,201211040was,car,Fourth Down Conv.,0-0,,,,,,
team,201211040was,was,Fourth Down Conv.,3-5,,,,,,
team,201211040was,car,Time of Possession,24:40,,,,,,
team,201211040was,was,Time of Possession,35:20,,,,,,
player,201211040was,car,NewtCa00,pass_cmp,13,,,,,
player,201211040was,car,NewtCa00,pass_att,23,,,,,
player,201211040was,car,NewtCa00,pass_yds,201,,,,,
player,201211040was,car,NewtCa00,pass_td,1,,,,,
player,201211040was,car,NewtCa00,pass_int,0,,,,,
player,201211040was,car,NewtCa00,pass_sacked,0,,,,,
player,201211040was,car,NewtCa00,pass_sacked_yds,0,,,,,
player,201211040was,car,NewtCa00,pass_long,82,,,,,
player,201211040was,car,NewtCa00,pass_rating,100.1,,,,,
player,201211040was,car,NewtCa00,rush_att,8,,,,,
player,201211040was,car,NewtCa00,rush_yds,37,,,,,
player,201211040was,car,NewtCa00,rush_td,1,,,,,
player,201211040was,car,NewtCa00,rush_long,11,,,,,
player,201211040was,car,NewtCa00,targets,0,,,,,
player,201211040was,car,NewtCa00,rec,0,,,,,
player,201211040was,car,NewtCa00,rec_yds,0,,,,,
player,201211040was,car,NewtCa00,rec_td,0,,,,,
player,201211040was,car,NewtCa00,rec_long,0,,,,,
player,201211040was,car,NewtCa00,fumbles,0,,,,,
player,201211040was,car,NewtCa00,fumbles_lost,0,,,,,
player,201211040was,car,StewJo00,pass_cmp,0,,,,,
player,201211040was,car,StewJo00,pass_att,0,,,,,
player,201211040was,car,StewJo00,pass_yds,0,,,,,
player,201211040was,car,StewJo00,pass_td,0,,,,,
player,201211040was,car,StewJo00,pass_int,0,,,,,
player,201211040was,car,StewJo00,pass_sacked,0,,,,,
player,201211040was,car,StewJo00,pass_sacked_yds,0,,,,,
player,201211040was,car,StewJo00,pass_long,0,,,,,
player,201211040was,car,StewJo00,pass_rating,,,,,,
player,201211040was,car,StewJo00,rush_att,10,,,,,
player,201211040was,car,StewJo00,rush_yds,51,,,,,
player,201211040was,car,StewJo00,rush_td,0,,,,,
player,201211040was,car,StewJo00,rush_long,21,,,,,
player,201211040was,car,StewJo00,targets,1,,,,,
player,201211040was,car,StewJo00,rec,1,,,,,
player,201211040was,car,StewJo00,rec_yds,6,,,,,
player,201211040was,car,StewJo00,rec_td,0,,,,,
player,201211040was,car,StewJo00,rec_long,6,,,,,
player,201211040was,car,StewJo00,fumbles,0,,,,,
player,201211040was,car,StewJo00,fumbles_lost,0,,,,,
player,201211040was,car,WillDe02,pass_cmp,0,,,,,
player,201211040was,car,WillDe02,pass_att,0,,,,,
player,201211040was,car,WillDe02,pass_yds,0,,,,,
player,201211040was,car,WillDe02,pass_td,0,,,,,
player,201211040was,car,WillDe02,pass_int,0,,,,,
player,201211040was,car,WillDe02,pass_sacked,0,,,,,
player,201211040was,car,WillDe02,pass_sacked_yds,0,,,,,
player,201211040was,car,WillDe02,pass_long,0,,,,,
player,201211040was,car,WillDe02,pass_rating,,,,,,
player,201211040was,car,WillDe02,rush_att,6,,,,,
player,201211040was,car,WillDe02,rush_yds,37,,,,,
player,201211040was,car,WillDe02,rush_td,1,,,,,
