game,2012,8,20121028,201210280ram,nwe,"New England Patriots",45,ram,"St. Louis Rams",7
player,201210280ram,nwe,VereSh00,pass_td,0,,,,,
player,201210280ram,nwe,VereSh00,pass_int,0,,,,,
player,201210280ram,nwe,VereSh00,pass_sacked,0,,,,,
player,201210280ram,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,VereSh00,pass_long,0,,,,,
player,201210280ram,nwe,VereSh00,pass_rating,,,,,,
player,201210280ram,nwe,VereSh00,rush_att,7,,,,,
player,201210280ram,nwe,VereSh00,rush_yds,22,,,,,
player,201210280ram,nwe,VereSh00,rush_td,1,,,,,
player,201210280ram,nwe,VereSh00,rush_long,14,,,,,
player,201210280ram,nwe,VereSh00,targets,1,,,,,
player,201210280ram,nwe,VereSh00,rec,1,,,,,
player,201210280ram,nwe,VereSh00,rec_yds,17,,,,,
player,201210280ram,nwe,VereSh00,rec_td,0,,,,,
player,201210280ram,nwe,VereSh00,rec_long,17,,,,,
player,201210280ram,nwe,VereSh00,fumbles,0,,,,,
player,201210280ram,nwe,VereSh00,fumbles_lost,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_cmp,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_att,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_yds,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_td,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_int,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_sacked,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_long,0,,,,,
player,201210280ram,nwe,WoodDa02,pass_rating,,,,,,
player,201210280ram,nwe,WoodDa02,rush_att,2,,,,,
player,201210280ram,nwe,WoodDa02,rush_yds,3,,,,,
player,201210280ram,nwe,WoodDa02,rush_td,0,,,,,
player,201210280ram,nwe,WoodDa02,rush_long,2,,,,,
player,201210280ram,nwe,WoodDa02,targets,7,,,,,
player,201210280ram,nwe,WoodDa02,rec,5,,,,,
player,201210280ram,nwe,WoodDa02,rec_yds,56,,,,,
player,201210280ram,nwe,WoodDa02,rec_td,0,,,,,
player,201210280ram,nwe,WoodDa02,rec_long,24,,,,,
player,201210280ram,nwe,WoodDa02,fumbles,0,,,,,
player,201210280ram,nwe,WoodDa02,fumbles_lost,0,,,,,
player,201210280ram,nwe,GronRo00,pass_cmp,0,,,,,
player,201210280ram,nwe,GronRo00,pass_att,0,,,,,
player,201210280ram,nwe,GronRo00,pass_yds,0,,,,,
player,201210280ram,nwe,GronRo00,pass_td,0,,,,,
player,201210280ram,nwe,GronRo00,pass_int,0,,,,,
player,201210280ram,nwe,GronRo00,pass_sacked,0,,,,,
player,201210280ram,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,GronRo00,pass_long,0,,,,,
player,201210280ram,nwe,GronRo00,pass_rating,,,,,,
player,201210280ram,nwe,GronRo00,rush_att,0,,,,,
player,201210280ram,nwe,GronRo00,rush_yds,0,,,,,
player,201210280ram,nwe,GronRo00,rush_td,0,,,,,
player,201210280ram,nwe,GronRo00,rush_long,0,,,,,
player,201210280ram,nwe,GronRo00,targets,13,,,,,
player,201210280ram,nwe,GronRo00,rec,8,,,,,
player,201210280ram,nwe,GronRo00,rec_yds,146,,,,,
player,201210280ram,nwe,GronRo00,rec_td,2,,,,,
player,201210280ram,nwe,GronRo00,rec_long,32,,,,,
player,201210280ram,nwe,GronRo00,fumbles,0,,,,,
player,201210280ram,nwe,GronRo00,fumbles_lost,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_cmp,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_att,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_yds,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_td,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_int,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_sacked,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_long,0,,,,,
player,201210280ram,nwe,WelkWe00,pass_rating,,,,,,
player,201210280ram,nwe,WelkWe00,rush_att,0,,,,,
player,201210280ram,nwe,WelkWe00,rush_yds,0,,,,,
player,201210280ram,nwe,WelkWe00,rush_td,0,,,,,
player,201210280ram,nwe,WelkWe00,rush_long,0,,,,,
player,201210280ram,nwe,WelkWe00,targets,9,,,,,
player,201210280ram,nwe,WelkWe00,rec,6,,,,,
player,201210280ram,nwe,WelkWe00,rec_yds,48,,,,,
player,201210280ram,nwe,WelkWe00,rec_td,0,,,,,
player,201210280ram,nwe,WelkWe00,rec_long,11,,,,,
player,201210280ram,nwe,WelkWe00,fumbles,0,,,,,
player,201210280ram,nwe,WelkWe00,fumbles_lost,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_cmp,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_att,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_yds,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_td,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_int,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_sacked,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_long,0,,,,,
player,201210280ram,nwe,LloyBr00,pass_rating,,,,,,
player,201210280ram,nwe,LloyBr00,rush_att,0,,,,,
player,201210280ram,nwe,LloyBr00,rush_yds,0,,,,,
player,201210280ram,nwe,LloyBr00,rush_td,0,,,,,
player,201210280ram,nwe,LloyBr00,rush_long,0,,,,,
player,201210280ram,nwe,LloyBr00,targets,4,,,,,
player,201210280ram,nwe,LloyBr00,rec,2,,,,,
player,201210280ram,nwe,LloyBr00,rec_yds,28,,,,,
