game,2012,3,20120923,201209230sdg,atl,"Atlanta Falcons",27,sdg,"San Diego Chargers",3
team,201209230sdg,atl,First Downs,25,,,,,,
team,201209230sdg,sdg,First Downs,15,,,,,,
team,201209230sdg,atl,Rush-Yds-TDs,26-119-1,,,,,,
team,201209230sdg,sdg,Rush-Yds-TDs,17-116-0,,,,,,
team,201209230sdg,atl,Cmp-Att-Yd-TD-INT,30-40-275-3-1,,,,,,
team,201209230sdg,sdg,Cmp-Att-Yd-TD-INT,21-38-173-0-2,,,,,,
team,201209230sdg,atl,Sacked-Yards,2-10,,,,,,
team,201209230sdg,sdg,Sacked-Yards,1-9,,,,,,
team,201209230sdg,atl,Net Pass Yards,265,,,,,,
team,201209230sdg,sdg,Net Pass Yards,164,,,,,,
team,201209230sdg,atl,Total Yards,384,,,,,,
team,201209230sdg,sdg,Total Yards,280,,,,,,
team,201209230sdg,atl,Fumbles-Lost,0-0,,,,,,
team,201209230sdg,sdg,Fumbles-Lost,2-2,,,,,,
team,201209230sdg,atl,Turnovers,1,,,,,,
team,201209230sdg,sdg,Turnovers,4,,,,,,
team,201209230sdg,atl,Penalties-Yards,2-15,,,,,,
team,201209230sdg,sdg,Penalties-Yards,4-17,,,,,,
team,201209230sdg,atl,Third Down Conv.,8-13,,,,,,
team,201209230sdg,sdg,Third Down Conv.,5-11,,,,,,
team,201209230sdg,atl,Fourth Down Conv.,0-0,,,,,,
team,201209230sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201209230sdg,atl,Time of Possession,36:14,,,,,,
team,201209230sdg,sdg,Time of Possession,23:46,,,,,,
player,201209230sdg,atl,RyanMa00,pass_cmp,30,,,,,
player,201209230sdg,atl,RyanMa00,pass_att,40,,,,,
player,201209230sdg,atl,RyanMa00,pass_yds,275,,,,,
player,201209230sdg,atl,RyanMa00,pass_td,3,,,,,
player,201209230sdg,atl,RyanMa00,pass_int,1,,,,,
player,201209230sdg,atl,RyanMa00,pass_sacked,2,,,,,
player,201209230sdg,atl,RyanMa00,pass_sacked_yds,10,,,,,
player,201209230sdg,atl,RyanMa00,pass_long,29,,,,,
player,201209230sdg,atl,RyanMa00,pass_rating,107.8,,,,,
player,201209230sdg,atl,RyanMa00,rush_att,1,,,,,
player,201209230sdg,atl,RyanMa00,rush_yds,4,,,,,
player,201209230sdg,atl,RyanMa00,rush_td,0,,,,,
player,201209230sdg,atl,RyanMa00,rush_long,4,,,,,
player,201209230sdg,atl,RyanMa00,targets,0,,,,,
player,201209230sdg,atl,RyanMa00,rec,0,,,,,
player,201209230sdg,atl,RyanMa00,rec_yds,0,,,,,
player,201209230sdg,atl,RyanMa00,rec_td,0,,,,,
player,201209230sdg,atl,RyanMa00,rec_long,0,,,,,
player,201209230sdg,atl,RyanMa00,fumbles,0,,,,,
player,201209230sdg,atl,RyanMa00,fumbles_lost,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_cmp,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_att,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_yds,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_td,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_int,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_sacked,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_long,0,,,,,
player,201209230sdg,atl,TurnMi00,pass_rating,,,,,,
player,201209230sdg,atl,TurnMi00,rush_att,14,,,,,
player,201209230sdg,atl,TurnMi00,rush_yds,80,,,,,
player,201209230sdg,atl,TurnMi00,rush_td,1,,,,,
player,201209230sdg,atl,TurnMi00,rush_long,25,,,,,
player,201209230sdg,atl,TurnMi00,targets,2,,,,,
player,201209230sdg,atl,TurnMi00,rec,2,,,,,
player,201209230sdg,atl,TurnMi00,rec_yds,1,,,,,
player,201209230sdg,atl,TurnMi00,rec_td,0,,,,,
player,201209230sdg,atl,TurnMi00,rec_long,1,,,,,
player,201209230sdg,atl,TurnMi00,fumbles,0,,,,,
player,201209230sdg,atl,TurnMi00,fumbles_lost,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_cmp,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_att,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_yds,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_td,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_int,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_sacked,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_long,0,,,,,
player,201209230sdg,atl,RodgJa00,pass_rating,,,,,,
player,201209230sdg,atl,RodgJa00,rush_att,10,,,,,
player,201209230sdg,atl,RodgJa00,rush_yds,32,,,,,
player,201209230sdg,atl,RodgJa00,rush_td,0,,,,,
player,201209230sdg,atl,RodgJa00,rush_long,9,,,,,
player,201209230sdg,atl,RodgJa00,targets,5,,,,,
player,201209230sdg,atl,RodgJa00,rec,5,,,,,
player,201209230sdg,atl,RodgJa00,rec_yds,35,,,,,
player,201209230sdg,atl,RodgJa00,rec_td,1,,,,,
player,201209230sdg,atl,RodgJa00,rec_long,11,,,,,
player,201209230sdg,atl,RodgJa00,fumbles,0,,,,,
player,201209230sdg,atl,RodgJa00,fumbles_lost,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_cmp,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_att,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_yds,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_td,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_int,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_sacked,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_long,0,,,,,
player,201209230sdg,atl,SnelJa00,pass_rating,,,,,,
player,201209230sdg,atl,SnelJa00,rush_att,1,,,,,
player,201209230sdg,atl,SnelJa00,rush_yds,3,,,,,
player,201209230sdg,atl,SnelJa00,rush_td,0,,,,,
player,201209230sdg,atl,SnelJa00,rush_long,3,,,,,
player,201209230sdg,atl,SnelJa00,targets,1,,,,,
