game,2012,17,20121230,201212300min,gnb,"Green Bay Packers",34,min,"Minnesota Vikings",37
team,201212300min,gnb,First Downs,24,,,,,,
team,201212300min,min,First Downs,25,,,,,,
team,201212300min,gnb,Rush-Yds-TDs,16-72-0,,,,,,
team,201212300min,min,Rush-Yds-TDs,37-217-1,,,,,,
team,201212300min,gnb,Cmp-Att-Yd-TD-INT,28-40-365-4-0,,,,,,
team,201212300min,min,Cmp-Att-Yd-TD-INT,16-28-234-3-0,,,,,,
team,201212300min,gnb,Sacked-Yards,5-32,,,,,,
team,201212300min,min,Sacked-Yards,1-7,,,,,,
team,201212300min,gnb,Net Pass Yards,333,,,,,,
team,201212300min,min,Net Pass Yards,227,,,,,,
team,201212300min,gnb,Total Yards,405,,,,,,
team,201212300min,min,Total Yards,444,,,,,,
team,201212300min,gnb,Fumbles-Lost,1-1,,,,,,
team,201212300min,min,Fumbles-Lost,0-0,,,,,,
team,201212300min,gnb,Turnovers,1,,,,,,
team,201212300min,min,Turnovers,0,,,,,,
team,201212300min,gnb,Penalties-Yards,7-43,,,,,,
team,201212300min,min,Penalties-Yards,10-98,,,,,,
team,201212300min,gnb,Third Down Conv.,6-13,,,,,,
team,201212300min,min,Third Down Conv.,6-12,,,,,,
team,201212300min,gnb,Fourth Down Conv.,1-1,,,,,,
team,201212300min,min,Fourth Down Conv.,1-1,,,,,,
team,201212300min,gnb,Time of Possession,28:05,,,,,,
team,201212300min,min,Time of Possession,31:55,,,,,,
player,201212300min,gnb,RodgAa00,pass_cmp,28,,,,,
player,201212300min,gnb,RodgAa00,pass_att,40,,,,,
player,201212300min,gnb,RodgAa00,pass_yds,365,,,,,
player,201212300min,gnb,RodgAa00,pass_td,4,,,,,
player,201212300min,gnb,RodgAa00,pass_int,0,,,,,
player,201212300min,gnb,RodgAa00,pass_sacked,5,,,,,
player,201212300min,gnb,RodgAa00,pass_sacked_yds,32,,,,,
player,201212300min,gnb,RodgAa00,pass_long,73,,,,,
player,201212300min,gnb,RodgAa00,pass_rating,131.8,,,,,
player,201212300min,gnb,RodgAa00,rush_att,0,,,,,
player,201212300min,gnb,RodgAa00,rush_yds,0,,,,,
player,201212300min,gnb,RodgAa00,rush_td,0,,,,,
player,201212300min,gnb,RodgAa00,rush_long,0,,,,,
player,201212300min,gnb,RodgAa00,targets,0,,,,,
player,201212300min,gnb,RodgAa00,rec,0,,,,,
player,201212300min,gnb,RodgAa00,rec_yds,0,,,,,
player,201212300min,gnb,RodgAa00,rec_td,0,,,,,
player,201212300min,gnb,RodgAa00,rec_long,0,,,,,
player,201212300min,gnb,RodgAa00,fumbles,1,,,,,
player,201212300min,gnb,RodgAa00,fumbles_lost,1,,,,,
player,201212300min,gnb,HarrDu01,pass_cmp,0,,,,,
player,201212300min,gnb,HarrDu01,pass_att,0,,,,,
player,201212300min,gnb,HarrDu01,pass_yds,0,,,,,
player,201212300min,gnb,HarrDu01,pass_td,0,,,,,
player,201212300min,gnb,HarrDu01,pass_int,0,,,,,
player,201212300min,gnb,HarrDu01,pass_sacked,0,,,,,
player,201212300min,gnb,HarrDu01,pass_sacked_yds,0,,,,,
player,201212300min,gnb,HarrDu01,pass_long,0,,,,,
player,201212300min,gnb,HarrDu01,pass_rating,,,,,,
player,201212300min,gnb,HarrDu01,rush_att,14,,,,,
player,201212300min,gnb,HarrDu01,rush_yds,70,,,,,
player,201212300min,gnb,HarrDu01,rush_td,0,,,,,
player,201212300min,gnb,HarrDu01,rush_long,12,,,,,
player,201212300min,gnb,HarrDu01,targets,2,,,,,
player,201212300min,gnb,HarrDu01,rec,2,,,,,
player,201212300min,gnb,HarrDu01,rec_yds,17,,,,,
player,201212300min,gnb,HarrDu01,rec_td,0,,,,,
player,201212300min,gnb,HarrDu01,rec_long,11,,,,,
player,201212300min,gnb,HarrDu01,fumbles,0,,,,,
player,201212300min,gnb,HarrDu01,fumbles_lost,0,,,,,
player,201212300min,gnb,GranRy00,pass_cmp,0,,,,,
player,201212300min,gnb,GranRy00,pass_att,0,,,,,
player,201212300min,gnb,GranRy00,pass_yds,0,,,,,
player,201212300min,gnb,GranRy00,pass_td,0,,,,,
player,201212300min,gnb,GranRy00,pass_int,0,,,,,
player,201212300min,gnb,GranRy00,pass_sacked,0,,,,,
player,201212300min,gnb,GranRy00,pass_sacked_yds,0,,,,,
player,201212300min,gnb,GranRy00,pass_long,0,,,,,
player,201212300min,gnb,GranRy00,pass_rating,,,,,,
player,201212300min,gnb,GranRy00,rush_att,2,,,,,
player,201212300min,gnb,GranRy00,rush_yds,2,,,,,
player,201212300min,gnb,GranRy00,rush_td,0,,,,,
player,201212300min,gnb,GranRy00,rush_long,2,,,,,
player,201212300min,gnb,GranRy00,targets,0,,,,,
player,201212300min,gnb,GranRy00,rec,0,,,,,
player,201212300min,gnb,GranRy00,rec_yds,0,,,,,
player,201212300min,gnb,GranRy00,rec_td,0,,,,,
player,201212300min,gnb,GranRy00,rec_long,0,,,,,
player,201212300min,gnb,GranRy00,fumbles,0,,,,,
player,201212300min,gnb,GranRy00,fumbles_lost,0,,,,,
player,201212300min,gnb,JennGr00,pass_cmp,0,,,,,
player,201212300min,gnb,JennGr00,pass_att,0,,,,,
player,201212300min,gnb,JennGr00,pass_yds,0,,,,,
player,201212300min,gnb,JennGr00,pass_td,0,,,,,
player,201212300min,gnb,JennGr00,pass_int,0,,,,,
player,201212300min,gnb,JennGr00,pass_sacked,0,,,,,
player,201212300min,gnb,JennGr00,pass_sacked_yds,0,,,,,
player,201212300min,gnb,JennGr00,pass_long,0,,,,,
player,201212300min,gnb,JennGr00,pass_rating,,,,,,
player,201212300min,gnb,JennGr00,rush_att,0,,,,,
player,201212300min,gnb,JennGr00,rush_yds,0,,,,,
player,201212300min,gnb,JennGr00,rush_td,0,,,,,
player,201212300min,gnb,JennGr00,rush_long,0,,,,,
player,201212300min,gnb,JennGr00,targets,12,,,,,
player,201212300min,gnb,JennGr00,rec,8,,,,,
player,201212300min,gnb,JennGr00,rec_yds,120,,,,,
player,201212300min,gnb,JennGr00,rec_td,2,,,,,
player,201212300min,gnb,JennGr00,rec_long,45,,,,,
player,201212300min,gnb,JennGr00,fumbles,0,,,,,
player,201212300min,gnb,JennGr00,fumbles_lost,0,,,,,
player,201212300min,gnb,NelsJo00,pass_cmp,0,,,,,
player,201212300min,gnb,NelsJo00,pass_att,0,,,,,
player,201212300min,gnb,NelsJo00,pass_yds,0,,,,,
player,201212300min,gnb,NelsJo00,pass_td,0,,,,,
player,201212300min,gnb,NelsJo00,pass_int,0,,,,,
player,201212300min,gnb,NelsJo00,pass_sacked,0,,,,,
player,201212300min,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201212300min,gnb,NelsJo00,pass_long,0,,,,,
player,201212300min,gnb,NelsJo00,pass_rating,,,,,,
player,201212300min,gnb,NelsJo00,rush_att,0,,,,,
player,201212300min,gnb,NelsJo00,rush_yds,0,,,,,
player,201212300min,gnb,NelsJo00,rush_td,0,,,,,
player,201212300min,gnb,NelsJo00,rush_long,0,,,,,
player,201212300min,gnb,NelsJo00,targets,5,,,,,
player,201212300min,gnb,NelsJo00,rec,3,,,,,
player,201212300min,gnb,NelsJo00,rec_yds,87,,,,,
player,201212300min,gnb,NelsJo00,rec_td,1,,,,,
player,201212300min,gnb,NelsJo00,rec_long,73,,,,,
player,201212300min,gnb,NelsJo00,fumbles,0,,,,,
player,201212300min,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201212300min,gnb,FinlJe00,pass_cmp,0,,,,,
player,201212300min,gnb,FinlJe00,pass_att,0,,,,,
player,201212300min,gnb,FinlJe00,pass_yds,0,,,,,
player,201212300min,gnb,FinlJe00,pass_td,0,,,,,
