game,2012,2,20120916,201209160sfo,det,"Detroit Lions",19,sfo,"San Francisco 49ers",27
player,201209160sfo,det,BurlNa00,fumbles_lost,0,,,,,
player,201209160sfo,det,JohnCa00,pass_cmp,0,,,,,
player,201209160sfo,det,JohnCa00,pass_att,0,,,,,
player,201209160sfo,det,JohnCa00,pass_yds,0,,,,,
player,201209160sfo,det,JohnCa00,pass_td,0,,,,,
player,201209160sfo,det,JohnCa00,pass_int,0,,,,,
player,201209160sfo,det,JohnCa00,pass_sacked,0,,,,,
player,201209160sfo,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201209160sfo,det,JohnCa00,pass_long,0,,,,,
player,201209160sfo,det,JohnCa00,pass_rating,,,,,,
player,201209160sfo,det,JohnCa00,rush_att,0,,,,,
player,201209160sfo,det,JohnCa00,rush_yds,0,,,,,
player,201209160sfo,det,JohnCa00,rush_td,0,,,,,
player,201209160sfo,det,JohnCa00,rush_long,0,,,,,
player,201209160sfo,det,JohnCa00,targets,12,,,,,
player,201209160sfo,det,JohnCa00,rec,8,,,,,
player,201209160sfo,det,JohnCa00,rec_yds,94,,,,,
player,201209160sfo,det,JohnCa00,rec_td,0,,,,,
player,201209160sfo,det,JohnCa00,rec_long,26,,,,,
player,201209160sfo,det,JohnCa00,fumbles,0,,,,,
player,201209160sfo,det,JohnCa00,fumbles_lost,0,,,,,
player,201209160sfo,det,PettBr00,pass_cmp,0,,,,,
player,201209160sfo,det,PettBr00,pass_att,0,,,,,
player,201209160sfo,det,PettBr00,pass_yds,0,,,,,
player,201209160sfo,det,PettBr00,pass_td,0,,,,,
player,201209160sfo,det,PettBr00,pass_int,0,,,,,
player,201209160sfo,det,PettBr00,pass_sacked,0,,,,,
player,201209160sfo,det,PettBr00,pass_sacked_yds,0,,,,,
player,201209160sfo,det,PettBr00,pass_long,0,,,,,
player,201209160sfo,det,PettBr00,pass_rating,,,,,,
player,201209160sfo,det,PettBr00,rush_att,0,,,,,
player,201209160sfo,det,PettBr00,rush_yds,0,,,,,
player,201209160sfo,det,PettBr00,rush_td,0,,,,,
player,201209160sfo,det,PettBr00,rush_long,0,,,,,
player,201209160sfo,det,PettBr00,targets,4,,,,,
player,201209160sfo,det,PettBr00,rec,3,,,,,
player,201209160sfo,det,PettBr00,rec_yds,18,,,,,
player,201209160sfo,det,PettBr00,rec_td,1,,,,,
player,201209160sfo,det,PettBr00,rec_long,9,,,,,
player,201209160sfo,det,PettBr00,fumbles,0,,,,,
player,201209160sfo,det,PettBr00,fumbles_lost,0,,,,,
player,201209160sfo,det,ScheTo00,pass_cmp,0,,,,,
player,201209160sfo,det,ScheTo00,pass_att,0,,,,,
player,201209160sfo,det,ScheTo00,pass_yds,0,,,,,
player,201209160sfo,det,ScheTo00,pass_td,0,,,,,
player,201209160sfo,det,ScheTo00,pass_int,0,,,,,
