game,2012,13,20121202,201212020ram,sfo,"San Francisco 49ers",13,ram,"St. Louis Rams",16
player,201212020ram,sfo,CrabMi00,rec_td,0,,,,,
player,201212020ram,sfo,CrabMi00,rec_long,30,,,,,
player,201212020ram,sfo,CrabMi00,fumbles,0,,,,,
player,201212020ram,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201212020ram,sfo,MannMa01,pass_cmp,0,,,,,
player,201212020ram,sfo,MannMa01,pass_att,0,,,,,
player,201212020ram,sfo,MannMa01,pass_yds,0,,,,,
player,201212020ram,sfo,MannMa01,pass_td,0,,,,,
player,201212020ram,sfo,MannMa01,pass_int,0,,,,,
player,201212020ram,sfo,MannMa01,pass_sacked,0,,,,,
player,201212020ram,sfo,MannMa01,pass_sacked_yds,0,,,,,
player,201212020ram,sfo,MannMa01,pass_long,0,,,,,
player,201212020ram,sfo,MannMa01,pass_rating,,,,,,
player,201212020ram,sfo,MannMa01,rush_att,0,,,,,
player,201212020ram,sfo,MannMa01,rush_yds,0,,,,,
player,201212020ram,sfo,MannMa01,rush_td,0,,,,,
player,201212020ram,sfo,MannMa01,rush_long,0,,,,,
player,201212020ram,sfo,MannMa01,targets,6,,,,,
player,201212020ram,sfo,MannMa01,rec,5,,,,,
player,201212020ram,sfo,MannMa01,rec_yds,37,,,,,
player,201212020ram,sfo,MannMa01,rec_td,0,,,,,
player,201212020ram,sfo,MannMa01,rec_long,14,,,,,
player,201212020ram,sfo,MannMa01,fumbles,0,,,,,
player,201212020ram,sfo,MannMa01,fumbles_lost,0,,,,,
player,201212020ram,sfo,MossRa00,pass_cmp,0,,,,,
player,201212020ram,sfo,MossRa00,pass_att,0,,,,,
player,201212020ram,sfo,MossRa00,pass_yds,0,,,,,
player,201212020ram,sfo,MossRa00,pass_td,0,,,,,
player,201212020ram,sfo,MossRa00,pass_int,0,,,,,
player,201212020ram,sfo,MossRa00,pass_sacked,0,,,,,
player,201212020ram,sfo,MossRa00,pass_sacked_yds,0,,,,,
player,201212020ram,sfo,MossRa00,pass_long,0,,,,,
player,201212020ram,sfo,MossRa00,pass_rating,,,,,,
player,201212020ram,sfo,MossRa00,rush_att,0,,,,,
player,201212020ram,sfo,MossRa00,rush_yds,0,,,,,
player,201212020ram,sfo,MossRa00,rush_td,0,,,,,
player,201212020ram,sfo,MossRa00,rush_long,0,,,,,
player,201212020ram,sfo,MossRa00,targets,5,,,,,
player,201212020ram,sfo,MossRa00,rec,3,,,,,
player,201212020ram,sfo,MossRa00,rec_yds,30,,,,,
player,201212020ram,sfo,MossRa00,rec_td,0,,,,,
player,201212020ram,sfo,MossRa00,rec_long,16,,,,,
player,201212020ram,sfo,MossRa00,fumbles,0,,,,,
player,201212020ram,sfo,MossRa00,fumbles_lost,0,,,,,
player,201212020ram,sfo,MillBr02,pass_cmp,0,,,,,
player,201212020ram,sfo,MillBr02,pass_att,0,,,,,
player,201212020ram,sfo,MillBr02,pass_yds,0,,,,,
player,201212020ram,sfo,MillBr02,pass_td,0,,,,,
player,201212020ram,sfo,MillBr02,pass_int,0,,,,,
player,201212020ram,sfo,MillBr02,pass_sacked,0,,,,,
player,201212020ram,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201212020ram,sfo,MillBr02,pass_long,0,,,,,
player,201212020ram,sfo,MillBr02,pass_rating,,,,,,
player,201212020ram,sfo,MillBr02,rush_att,0,,,,,
player,201212020ram,sfo,MillBr02,rush_yds,0,,,,,
player,201212020ram,sfo,MillBr02,rush_td,0,,,,,
player,201212020ram,sfo,MillBr02,rush_long,0,,,,,
player,201212020ram,sfo,MillBr02,targets,2,,,,,
player,201212020ram,sfo,MillBr02,rec,2,,,,,
player,201212020ram,sfo,MillBr02,rec_yds,17,,,,,
player,201212020ram,sfo,MillBr02,rec_td,0,,,,,
player,201212020ram,sfo,MillBr02,rec_long,11,,,,,
player,201212020ram,sfo,MillBr02,fumbles,0,,,,,
player,201212020ram,sfo,MillBr02,fumbles_lost,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_cmp,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_att,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_yds,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_td,0,,,,,
