game,2012,5,20121004,201210040ram,crd,"Arizona Cardinals",3,ram,"St. Louis Rams",17
team,201210040ram,crd,First Downs,20,,,,,,
team,201210040ram,ram,First Downs,12,,,,,,
team,201210040ram,crd,Rush-Yds-TDs,17-45-0,,,,,,
team,201210040ram,ram,Rush-Yds-TDs,32-111-0,,,,,,
team,201210040ram,crd,Cmp-Att-Yd-TD-INT,28-50-289-0-0,,,,,,
team,201210040ram,ram,Cmp-Att-Yd-TD-INT,7-21-141-2-1,,,,,,
team,201210040ram,crd,Sacked-Yards,9-52,,,,,,
team,201210040ram,ram,Sacked-Yards,1-10,,,,,,
team,201210040ram,crd,Net Pass Yards,237,,,,,,
team,201210040ram,ram,Net Pass Yards,131,,,,,,
team,201210040ram,crd,Total Yards,282,,,,,,
team,201210040ram,ram,Total Yards,242,,,,,,
team,201210040ram,crd,Fumbles-Lost,1-1,,,,,,
team,201210040ram,ram,Fumbles-Lost,0-0,,,,,,
team,201210040ram,crd,Turnovers,1,,,,,,
team,201210040ram,ram,Turnovers,1,,,,,,
team,201210040ram,crd,Penalties-Yards,5-35,,,,,,
team,201210040ram,ram,Penalties-Yards,7-60,,,,,,
team,201210040ram,crd,Third Down Conv.,7-19,,,,,,
team,201210040ram,ram,Third Down Conv.,4-14,,,,,,
team,201210040ram,crd,Fourth Down Conv.,0-2,,,,,,
team,201210040ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201210040ram,crd,Time of Possession,34:22,,,,,,
team,201210040ram,ram,Time of Possession,25:38,,,,,,
player,201210040ram,crd,KolbKe00,pass_cmp,28,,,,,
player,201210040ram,crd,KolbKe00,pass_att,50,,,,,
player,201210040ram,crd,KolbKe00,pass_yds,289,,,,,
player,201210040ram,crd,KolbKe00,pass_td,0,,,,,
player,201210040ram,crd,KolbKe00,pass_int,0,,,,,
player,201210040ram,crd,KolbKe00,pass_sacked,9,,,,,
player,201210040ram,crd,KolbKe00,pass_sacked_yds,52,,,,,
player,201210040ram,crd,KolbKe00,pass_long,29,,,,,
player,201210040ram,crd,KolbKe00,pass_rating,72.8,,,,,
player,201210040ram,crd,KolbKe00,rush_att,1,,,,,
player,201210040ram,crd,KolbKe00,rush_yds,2,,,,,
player,201210040ram,crd,KolbKe00,rush_td,0,,,,,
player,201210040ram,crd,KolbKe00,rush_long,2,,,,,
player,201210040ram,crd,KolbKe00,targets,0,,,,,
player,201210040ram,crd,KolbKe00,rec,0,,,,,
