game,2012,14,20121209,201212090sfo,mia,"Miami Dolphins",13,sfo,"San Francisco 49ers",27
team,201212090sfo,mia,First Downs,17,,,,,,
team,201212090sfo,sfo,First Downs,20,,,,,,
team,201212090sfo,mia,Rush-Yds-TDs,22-94-0,,,,,,
team,201212090sfo,sfo,Rush-Yds-TDs,28-155-3,,,,,,
team,201212090sfo,mia,Cmp-Att-Yd-TD-INT,17-33-150-1-0,,,,,,
team,201212090sfo,sfo,Cmp-Att-Yd-TD-INT,18-23-185-0-0,,,,,,
team,201212090sfo,mia,Sacked-Yards,2-17,,,,,,
team,201212090sfo,sfo,Sacked-Yards,4-19,,,,,,
team,201212090sfo,mia,Net Pass Yards,133,,,,,,
team,201212090sfo,sfo,Net Pass Yards,166,,,,,,
team,201212090sfo,mia,Total Yards,227,,,,,,
team,201212090sfo,sfo,Total Yards,321,,,,,,
team,201212090sfo,mia,Fumbles-Lost,3-1,,,,,,
team,201212090sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201212090sfo,mia,Turnovers,1,,,,,,
team,201212090sfo,sfo,Turnovers,0,,,,,,
team,201212090sfo,mia,Penalties-Yards,5-43,,,,,,
team,201212090sfo,sfo,Penalties-Yards,6-45,,,,,,
team,201212090sfo,mia,Third Down Conv.,5-13,,,,,,
team,201212090sfo,sfo,Third Down Conv.,2-10,,,,,,
team,201212090sfo,mia,Fourth Down Conv.,1-3,,,,,,
team,201212090sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201212090sfo,mia,Time of Possession,29:28,,,,,,
team,201212090sfo,sfo,Time of Possession,30:32,,,,,,
player,201212090sfo,mia,TannRy00,pass_cmp,17,,,,,
player,201212090sfo,mia,TannRy00,pass_att,33,,,,,
player,201212090sfo,mia,TannRy00,pass_yds,150,,,,,
player,201212090sfo,mia,TannRy00,pass_td,1,,,,,
player,201212090sfo,mia,TannRy00,pass_int,0,,,,,
player,201212090sfo,mia,TannRy00,pass_sacked,2,,,,,
player,201212090sfo,mia,TannRy00,pass_sacked_yds,17,,,,,
player,201212090sfo,mia,TannRy00,pass_long,28,,,,,
player,201212090sfo,mia,TannRy00,pass_rating,74.1,,,,,
player,201212090sfo,mia,TannRy00,rush_att,3,,,,,
player,201212090sfo,mia,TannRy00,rush_yds,25,,,,,
player,201212090sfo,mia,TannRy00,rush_td,0,,,,,
player,201212090sfo,mia,TannRy00,rush_long,20,,,,,
player,201212090sfo,mia,TannRy00,targets,0,,,,,
player,201212090sfo,mia,TannRy00,rec,0,,,,,
player,201212090sfo,mia,TannRy00,rec_yds,0,,,,,
player,201212090sfo,mia,TannRy00,rec_td,0,,,,,
player,201212090sfo,mia,TannRy00,rec_long,0,,,,,
player,201212090sfo,mia,TannRy00,fumbles,0,,,,,
player,201212090sfo,mia,TannRy00,fumbles_lost,0,,,,,
player,201212090sfo,mia,BushRe00,pass_cmp,0,,,,,
player,201212090sfo,mia,BushRe00,pass_att,0,,,,,
player,201212090sfo,mia,BushRe00,pass_yds,0,,,,,
player,201212090sfo,mia,BushRe00,pass_td,0,,,,,
player,201212090sfo,mia,BushRe00,pass_int,0,,,,,
player,201212090sfo,mia,BushRe00,pass_sacked,0,,,,,
player,201212090sfo,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,BushRe00,pass_long,0,,,,,
player,201212090sfo,mia,BushRe00,pass_rating,,,,,,
player,201212090sfo,mia,BushRe00,rush_att,14,,,,,
player,201212090sfo,mia,BushRe00,rush_yds,65,,,,,
player,201212090sfo,mia,BushRe00,rush_td,0,,,,,
player,201212090sfo,mia,BushRe00,rush_long,17,,,,,
player,201212090sfo,mia,BushRe00,targets,7,,,,,
player,201212090sfo,mia,BushRe00,rec,5,,,,,
player,201212090sfo,mia,BushRe00,rec_yds,38,,,,,
player,201212090sfo,mia,BushRe00,rec_td,0,,,,,
player,201212090sfo,mia,BushRe00,rec_long,11,,,,,
player,201212090sfo,mia,BushRe00,fumbles,0,,,,,
player,201212090sfo,mia,BushRe00,fumbles_lost,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_cmp,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_att,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_yds,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_td,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_int,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_sacked,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_long,0,,,,,
player,201212090sfo,mia,ThomDa03,pass_rating,,,,,,
player,201212090sfo,mia,ThomDa03,rush_att,2,,,,,
player,201212090sfo,mia,ThomDa03,rush_yds,3,,,,,
player,201212090sfo,mia,ThomDa03,rush_td,0,,,,,
player,201212090sfo,mia,ThomDa03,rush_long,2,,,,,
player,201212090sfo,mia,ThomDa03,targets,0,,,,,
player,201212090sfo,mia,ThomDa03,rec,0,,,,,
player,201212090sfo,mia,ThomDa03,rec_yds,0,,,,,
player,201212090sfo,mia,ThomDa03,rec_td,0,,,,,
player,201212090sfo,mia,ThomDa03,rec_long,0,,,,,
player,201212090sfo,mia,ThomDa03,fumbles,0,,,,,
player,201212090sfo,mia,ThomDa03,fumbles_lost,0,,,,,
player,201212090sfo,mia,MillLa01,pass_cmp,0,,,,,
player,201212090sfo,mia,MillLa01,pass_att,0,,,,,
player,201212090sfo,mia,MillLa01,pass_yds,0,,,,,
player,201212090sfo,mia,MillLa01,pass_td,0,,,,,
player,201212090sfo,mia,MillLa01,pass_int,0,,,,,
player,201212090sfo,mia,MillLa01,pass_sacked,0,,,,,
player,201212090sfo,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,MillLa01,pass_long,0,,,,,
player,201212090sfo,mia,MillLa01,pass_rating,,,,,,
player,201212090sfo,mia,MillLa01,rush_att,3,,,,,
player,201212090sfo,mia,MillLa01,rush_yds,1,,,,,
player,201212090sfo,mia,MillLa01,rush_td,0,,,,,
player,201212090sfo,mia,MillLa01,rush_long,1,,,,,
player,201212090sfo,mia,MillLa01,targets,1,,,,,
player,201212090sfo,mia,MillLa01,rec,1,,,,,
player,201212090sfo,mia,MillLa01,rec_yds,8,,,,,
player,201212090sfo,mia,MillLa01,rec_td,0,,,,,
player,201212090sfo,mia,MillLa01,rec_long,8,,,,,
player,201212090sfo,mia,MillLa01,fumbles,0,,,,,
player,201212090sfo,mia,MillLa01,fumbles_lost,0,,,,,
player,201212090sfo,mia,BessDa00,pass_cmp,0,,,,,
player,201212090sfo,mia,BessDa00,pass_att,0,,,,,
player,201212090sfo,mia,BessDa00,pass_yds,0,,,,,
player,201212090sfo,mia,BessDa00,pass_td,0,,,,,
player,201212090sfo,mia,BessDa00,pass_int,0,,,,,
player,201212090sfo,mia,BessDa00,pass_sacked,0,,,,,
player,201212090sfo,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,BessDa00,pass_long,0,,,,,
player,201212090sfo,mia,BessDa00,pass_rating,,,,,,
player,201212090sfo,mia,BessDa00,rush_att,0,,,,,
player,201212090sfo,mia,BessDa00,rush_yds,0,,,,,
player,201212090sfo,mia,BessDa00,rush_td,0,,,,,
player,201212090sfo,mia,BessDa00,rush_long,0,,,,,
player,201212090sfo,mia,BessDa00,targets,8,,,,,
player,201212090sfo,mia,BessDa00,rec,5,,,,,
player,201212090sfo,mia,BessDa00,rec_yds,50,,,,,
player,201212090sfo,mia,BessDa00,rec_td,0,,,,,
player,201212090sfo,mia,BessDa00,rec_long,21,,,,,
player,201212090sfo,mia,BessDa00,fumbles,1,,,,,
player,201212090sfo,mia,BessDa00,fumbles_lost,0,,,,,
player,201212090sfo,mia,HartBr00,pass_cmp,0,,,,,
player,201212090sfo,mia,HartBr00,pass_att,0,,,,,
player,201212090sfo,mia,HartBr00,pass_yds,0,,,,,
player,201212090sfo,mia,HartBr00,pass_td,0,,,,,
player,201212090sfo,mia,HartBr00,pass_int,0,,,,,
player,201212090sfo,mia,HartBr00,pass_sacked,0,,,,,
player,201212090sfo,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,HartBr00,pass_long,0,,,,,
player,201212090sfo,mia,HartBr00,pass_rating,,,,,,
player,201212090sfo,mia,HartBr00,rush_att,0,,,,,
player,201212090sfo,mia,HartBr00,rush_yds,0,,,,,
player,201212090sfo,mia,HartBr00,rush_td,0,,,,,
player,201212090sfo,mia,HartBr00,rush_long,0,,,,,
player,201212090sfo,mia,HartBr00,targets,8,,,,,
player,201212090sfo,mia,HartBr00,rec,2,,,,,
player,201212090sfo,mia,HartBr00,rec_yds,34,,,,,
player,201212090sfo,mia,HartBr00,rec_td,0,,,,,
player,201212090sfo,mia,HartBr00,rec_long,28,,,,,
player,201212090sfo,mia,HartBr00,fumbles,0,,,,,
player,201212090sfo,mia,HartBr00,fumbles_lost,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_cmp,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_att,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_yds,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_td,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_int,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_sacked,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_long,0,,,,,
player,201212090sfo,mia,FasaAn00,pass_rating,,,,,,
player,201212090sfo,mia,FasaAn00,rush_att,0,,,,,
player,201212090sfo,mia,FasaAn00,rush_yds,0,,,,,
player,201212090sfo,mia,FasaAn00,rush_td,0,,,,,
player,201212090sfo,mia,FasaAn00,rush_long,0,,,,,
player,201212090sfo,mia,FasaAn00,targets,4,,,,,
player,201212090sfo,mia,FasaAn00,rec,2,,,,,
player,201212090sfo,mia,FasaAn00,rec_yds,9,,,,,
player,201212090sfo,mia,FasaAn00,rec_td,1,,,,,
player,201212090sfo,mia,FasaAn00,rec_long,6,,,,,
player,201212090sfo,mia,FasaAn00,fumbles,0,,,,,
player,201212090sfo,mia,FasaAn00,fumbles_lost,0,,,,,
player,201212090sfo,mia,MattRi00,pass_cmp,0,,,,,
player,201212090sfo,mia,MattRi00,pass_att,0,,,,,
player,201212090sfo,mia,MattRi00,pass_yds,0,,,,,
player,201212090sfo,mia,MattRi00,pass_td,0,,,,,
player,201212090sfo,mia,MattRi00,pass_int,0,,,,,
player,201212090sfo,mia,MattRi00,pass_sacked,0,,,,,
player,201212090sfo,mia,MattRi00,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,MattRi00,pass_long,0,,,,,
player,201212090sfo,mia,MattRi00,pass_rating,,,,,,
player,201212090sfo,mia,MattRi00,rush_att,0,,,,,
player,201212090sfo,mia,MattRi00,rush_yds,0,,,,,
player,201212090sfo,mia,MattRi00,rush_td,0,,,,,
player,201212090sfo,mia,MattRi00,rush_long,0,,,,,
