game,2012,1,20120909,201209090gnb,sfo,"San Francisco 49ers",30,gnb,"Green Bay Packers",22
team,201209090gnb,sfo,First Downs,22,,,,,,
team,201209090gnb,gnb,First Downs,21,,,,,,
team,201209090gnb,sfo,Rush-Yds-TDs,32-186-1,,,,,,
team,201209090gnb,gnb,Rush-Yds-TDs,14-45-0,,,,,,
team,201209090gnb,sfo,Cmp-Att-Yd-TD-INT,20-26-211-2-0,,,,,,
team,201209090gnb,gnb,Cmp-Att-Yd-TD-INT,30-44-303-2-1,,,,,,
team,201209090gnb,sfo,Sacked-Yards,4-20,,,,,,
team,201209090gnb,gnb,Sacked-Yards,3-24,,,,,,
team,201209090gnb,sfo,Net Pass Yards,191,,,,,,
team,201209090gnb,gnb,Net Pass Yards,279,,,,,,
team,201209090gnb,sfo,Total Yards,377,,,,,,
team,201209090gnb,gnb,Total Yards,324,,,,,,
team,201209090gnb,sfo,Fumbles-Lost,1-0,,,,,,
team,201209090gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201209090gnb,sfo,Turnovers,0,,,,,,
team,201209090gnb,gnb,Turnovers,1,,,,,,
team,201209090gnb,sfo,Penalties-Yards,8-66,,,,,,
team,201209090gnb,gnb,Penalties-Yards,10-77,,,,,,
team,201209090gnb,sfo,Third Down Conv.,2-9,,,,,,
team,201209090gnb,gnb,Third Down Conv.,6-13,,,,,,
team,201209090gnb,sfo,Fourth Down Conv.,0-0,,,,,,
team,201209090gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201209090gnb,sfo,Time of Possession,33:00,,,,,,
team,201209090gnb,gnb,Time of Possession,27:00,,,,,,
player,201209090gnb,sfo,SmitAl03,pass_cmp,20,,,,,
player,201209090gnb,sfo,SmitAl03,pass_att,26,,,,,
player,201209090gnb,sfo,SmitAl03,pass_yds,211,,,,,
player,201209090gnb,sfo,SmitAl03,pass_td,2,,,,,
player,201209090gnb,sfo,SmitAl03,pass_int,0,,,,,
player,201209090gnb,sfo,SmitAl03,pass_sacked,4,,,,,
player,201209090gnb,sfo,SmitAl03,pass_sacked_yds,20,,,,,
player,201209090gnb,sfo,SmitAl03,pass_long,29,,,,,
player,201209090gnb,sfo,SmitAl03,pass_rating,125.6,,,,,
player,201209090gnb,sfo,SmitAl03,rush_att,5,,,,,
player,201209090gnb,sfo,SmitAl03,rush_yds,13,,,,,
player,201209090gnb,sfo,SmitAl03,rush_td,0,,,,,
player,201209090gnb,sfo,SmitAl03,rush_long,5,,,,,
