game,2012,15,20121216,201212160cle,was,"Washington Redskins",38,cle,"Cleveland Browns",21
team,201212160cle,was,First Downs,25,,,,,,
team,201212160cle,cle,First Downs,13,,,,,,
team,201212160cle,was,Rush-Yds-TDs,35-122-3,,,,,,
team,201212160cle,cle,Rush-Yds-TDs,15-58-2,,,,,,
team,201212160cle,was,Cmp-Att-Yd-TD-INT,26-37-329-2-1,,,,,,
team,201212160cle,cle,Cmp-Att-Yd-TD-INT,21-35-244-1-2,,,,,,
team,201212160cle,was,Sacked-Yards,2-21,,,,,,
team,201212160cle,cle,Sacked-Yards,2-11,,,,,,
team,201212160cle,was,Net Pass Yards,308,,,,,,
team,201212160cle,cle,Net Pass Yards,233,,,,,,
team,201212160cle,was,Total Yards,430,,,,,,
team,201212160cle,cle,Total Yards,291,,,,,,
team,201212160cle,was,Fumbles-Lost,2-0,,,,,,
team,201212160cle,cle,Fumbles-Lost,1-0,,,,,,
team,201212160cle,was,Turnovers,1,,,,,,
team,201212160cle,cle,Turnovers,2,,,,,,
team,201212160cle,was,Penalties-Yards,6-45,,,,,,
team,201212160cle,cle,Penalties-Yards,5-30,,,,,,
team,201212160cle,was,Third Down Conv.,7-15,,,,,,
team,201212160cle,cle,Third Down Conv.,4-12,,,,,,
team,201212160cle,was,Fourth Down Conv.,1-1,,,,,,
team,201212160cle,cle,Fourth Down Conv.,0-2,,,,,,
team,201212160cle,was,Time of Possession,36:17,,,,,,
team,201212160cle,cle,Time of Possession,23:43,,,,,,
player,201212160cle,was,CousKi00,pass_cmp,26,,,,,
player,201212160cle,was,CousKi00,pass_att,37,,,,,
player,201212160cle,was,CousKi00,pass_yds,329,,,,,
player,201212160cle,was,CousKi00,pass_td,2,,,,,
player,201212160cle,was,CousKi00,pass_int,1,,,,,
player,201212160cle,was,CousKi00,pass_sacked,2,,,,,
player,201212160cle,was,CousKi00,pass_sacked_yds,21,,,,,
player,201212160cle,was,CousKi00,pass_long,54,,,,,
player,201212160cle,was,CousKi00,pass_rating,104.4,,,,,
player,201212160cle,was,CousKi00,rush_att,3,,,,,
player,201212160cle,was,CousKi00,rush_yds,22,,,,,
player,201212160cle,was,CousKi00,rush_td,0,,,,,
player,201212160cle,was,CousKi00,rush_long,17,,,,,
player,201212160cle,was,CousKi00,targets,0,,,,,
player,201212160cle,was,CousKi00,rec,0,,,,,
player,201212160cle,was,CousKi00,rec_yds,0,,,,,
player,201212160cle,was,CousKi00,rec_td,0,,,,,
player,201212160cle,was,CousKi00,rec_long,0,,,,,
player,201212160cle,was,CousKi00,fumbles,1,,,,,
player,201212160cle,was,CousKi00,fumbles_lost,0,,,,,
player,201212160cle,was,MorrAl00,pass_cmp,0,,,,,
player,201212160cle,was,MorrAl00,pass_att,0,,,,,
player,201212160cle,was,MorrAl00,pass_yds,0,,,,,
player,201212160cle,was,MorrAl00,pass_td,0,,,,,
player,201212160cle,was,MorrAl00,pass_int,0,,,,,
player,201212160cle,was,MorrAl00,pass_sacked,0,,,,,
player,201212160cle,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201212160cle,was,MorrAl00,pass_long,0,,,,,
player,201212160cle,was,MorrAl00,pass_rating,,,,,,
player,201212160cle,was,MorrAl00,rush_att,27,,,,,
player,201212160cle,was,MorrAl00,rush_yds,87,,,,,
player,201212160cle,was,MorrAl00,rush_td,2,,,,,
player,201212160cle,was,MorrAl00,rush_long,11,,,,,
player,201212160cle,was,MorrAl00,targets,2,,,,,
player,201212160cle,was,MorrAl00,rec,2,,,,,
player,201212160cle,was,MorrAl00,rec_yds,6,,,,,
player,201212160cle,was,MorrAl00,rec_td,0,,,,,
player,201212160cle,was,MorrAl00,rec_long,4,,,,,
player,201212160cle,was,MorrAl00,fumbles,0,,,,,
player,201212160cle,was,MorrAl00,fumbles_lost,0,,,,,
player,201212160cle,was,YounDa01,pass_cmp,0,,,,,
player,201212160cle,was,YounDa01,pass_att,0,,,,,
player,201212160cle,was,YounDa01,pass_yds,0,,,,,
player,201212160cle,was,YounDa01,pass_td,0,,,,,
player,201212160cle,was,YounDa01,pass_int,0,,,,,
player,201212160cle,was,YounDa01,pass_sacked,0,,,,,
player,201212160cle,was,YounDa01,pass_sacked_yds,0,,,,,
player,201212160cle,was,YounDa01,pass_long,0,,,,,
player,201212160cle,was,YounDa01,pass_rating,,,,,,
player,201212160cle,was,YounDa01,rush_att,3,,,,,
player,201212160cle,was,YounDa01,rush_yds,10,,,,,
player,201212160cle,was,YounDa01,rush_td,0,,,,,
player,201212160cle,was,YounDa01,rush_long,6,,,,,
player,201212160cle,was,YounDa01,targets,1,,,,,
player,201212160cle,was,YounDa01,rec,1,,,,,
player,201212160cle,was,YounDa01,rec_yds,8,,,,,
player,201212160cle,was,YounDa01,rec_td,0,,,,,
player,201212160cle,was,YounDa01,rec_long,8,,,,,
player,201212160cle,was,YounDa01,fumbles,0,,,,,
player,201212160cle,was,YounDa01,fumbles_lost,0,,,,,
player,201212160cle,was,RoysEv00,pass_cmp,0,,,,,
player,201212160cle,was,RoysEv00,pass_att,0,,,,,
player,201212160cle,was,RoysEv00,pass_yds,0,,,,,
player,201212160cle,was,RoysEv00,pass_td,0,,,,,
player,201212160cle,was,RoysEv00,pass_int,0,,,,,
player,201212160cle,was,RoysEv00,pass_sacked,0,,,,,
player,201212160cle,was,RoysEv00,pass_sacked_yds,0,,,,,
player,201212160cle,was,RoysEv00,pass_long,0,,,,,
player,201212160cle,was,RoysEv00,pass_rating,,,,,,
player,201212160cle,was,RoysEv00,rush_att,2,,,,,
player,201212160cle,was,RoysEv00,rush_yds,3,,,,,
player,201212160cle,was,RoysEv00,rush_td,1,,,,,
player,201212160cle,was,RoysEv00,rush_long,4,,,,,
player,201212160cle,was,RoysEv00,targets,4,,,,,
player,201212160cle,was,RoysEv00,rec,2,,,,,
player,201212160cle,was,RoysEv00,rec_yds,30,,,,,
player,201212160cle,was,RoysEv00,rec_td,0,,,,,
player,201212160cle,was,RoysEv00,rec_long,25,,,,,
player,201212160cle,was,RoysEv00,fumbles,0,,,,,
player,201212160cle,was,RoysEv00,fumbles_lost,0,,,,,
player,201212160cle,was,GarcPi00,pass_cmp,0,,,,,
player,201212160cle,was,GarcPi00,pass_att,0,,,,,
player,201212160cle,was,GarcPi00,pass_yds,0,,,,,
player,201212160cle,was,GarcPi00,pass_td,0,,,,,
