game,2012,9,20121105,201211050nor,phi,"Philadelphia Eagles",13,nor,"New Orleans Saints",28
player,201211050nor,phi,VickMi00,targets,0,,,,,
player,201211050nor,phi,VickMi00,rec,0,,,,,
player,201211050nor,phi,VickMi00,rec_yds,0,,,,,
player,201211050nor,phi,VickMi00,rec_td,0,,,,,
player,201211050nor,phi,VickMi00,rec_long,0,,,,,
player,201211050nor,phi,VickMi00,fumbles,1,,,,,
player,201211050nor,phi,VickMi00,fumbles_lost,0,,,,,
player,201211050nor,phi,McCoLe01,pass_cmp,0,,,,,
player,201211050nor,phi,McCoLe01,pass_att,0,,,,,
player,201211050nor,phi,McCoLe01,pass_yds,0,,,,,
player,201211050nor,phi,McCoLe01,pass_td,0,,,,,
player,201211050nor,phi,McCoLe01,pass_int,0,,,,,
player,201211050nor,phi,McCoLe01,pass_sacked,0,,,,,
player,201211050nor,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201211050nor,phi,McCoLe01,pass_long,0,,,,,
player,201211050nor,phi,McCoLe01,pass_rating,,,,,,
player,201211050nor,phi,McCoLe01,rush_att,19,,,,,
player,201211050nor,phi,McCoLe01,rush_yds,119,,,,,
player,201211050nor,phi,McCoLe01,rush_td,0,,,,,
player,201211050nor,phi,McCoLe01,rush_long,34,,,,,
player,201211050nor,phi,McCoLe01,targets,3,,,,,
player,201211050nor,phi,McCoLe01,rec,2,,,,,
player,201211050nor,phi,McCoLe01,rec_yds,14,,,,,
player,201211050nor,phi,McCoLe01,rec_td,0,,,,,
player,201211050nor,phi,McCoLe01,rec_long,14,,,,,
player,201211050nor,phi,McCoLe01,fumbles,0,,,,,
player,201211050nor,phi,McCoLe01,fumbles_lost,0,,,,,
player,201211050nor,phi,BrowBr02,pass_cmp,0,,,,,
player,201211050nor,phi,BrowBr02,pass_att,0,,,,,
player,201211050nor,phi,BrowBr02,pass_yds,0,,,,,
player,201211050nor,phi,BrowBr02,pass_td,0,,,,,
player,201211050nor,phi,BrowBr02,pass_int,0,,,,,
player,201211050nor,phi,BrowBr02,pass_sacked,0,,,,,
player,201211050nor,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201211050nor,phi,BrowBr02,pass_long,0,,,,,
player,201211050nor,phi,BrowBr02,pass_rating,,,,,,
player,201211050nor,phi,BrowBr02,rush_att,4,,,,,
player,201211050nor,phi,BrowBr02,rush_yds,49,,,,,
player,201211050nor,phi,BrowBr02,rush_td,0,,,,,
player,201211050nor,phi,BrowBr02,rush_long,40,,,,,
player,201211050nor,phi,BrowBr02,targets,0,,,,,
player,201211050nor,phi,BrowBr02,rec,0,,,,,
player,201211050nor,phi,BrowBr02,rec_yds,0,,,,,
player,201211050nor,phi,BrowBr02,rec_td,0,,,,,
player,201211050nor,phi,BrowBr02,rec_long,0,,,,,
player,201211050nor,phi,BrowBr02,fumbles,0,,,,,
player,201211050nor,phi,BrowBr02,fumbles_lost,0,,,,,
player,201211050nor,phi,JackDe00,pass_cmp,0,,,,,
player,201211050nor,phi,JackDe00,pass_att,0,,,,,
player,201211050nor,phi,JackDe00,pass_yds,0,,,,,
player,201211050nor,phi,JackDe00,pass_td,0,,,,,
player,201211050nor,phi,JackDe00,pass_int,0,,,,,
player,201211050nor,phi,JackDe00,pass_sacked,0,,,,,
player,201211050nor,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,JackDe00,pass_long,0,,,,,
player,201211050nor,phi,JackDe00,pass_rating,,,,,,
player,201211050nor,phi,JackDe00,rush_att,0,,,,,
player,201211050nor,phi,JackDe00,rush_yds,0,,,,,
player,201211050nor,phi,JackDe00,rush_td,0,,,,,
player,201211050nor,phi,JackDe00,rush_long,0,,,,,
player,201211050nor,phi,JackDe00,targets,7,,,,,
player,201211050nor,phi,JackDe00,rec,3,,,,,
player,201211050nor,phi,JackDe00,rec_yds,100,,,,,
player,201211050nor,phi,JackDe00,rec_td,1,,,,,
player,201211050nor,phi,JackDe00,rec_long,77,,,,,
player,201211050nor,phi,JackDe00,fumbles,0,,,,,
player,201211050nor,phi,JackDe00,fumbles_lost,0,,,,,
player,201211050nor,phi,AvanJa00,pass_cmp,0,,,,,
player,201211050nor,phi,AvanJa00,pass_att,0,,,,,
player,201211050nor,phi,AvanJa00,pass_yds,0,,,,,
player,201211050nor,phi,AvanJa00,pass_td,0,,,,,
player,201211050nor,phi,AvanJa00,pass_int,0,,,,,
player,201211050nor,phi,AvanJa00,pass_sacked,0,,,,,
player,201211050nor,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,AvanJa00,pass_long,0,,,,,
player,201211050nor,phi,AvanJa00,pass_rating,,,,,,
player,201211050nor,phi,AvanJa00,rush_att,0,,,,,
player,201211050nor,phi,AvanJa00,rush_yds,0,,,,,
player,201211050nor,phi,AvanJa00,rush_td,0,,,,,
player,201211050nor,phi,AvanJa00,rush_long,0,,,,,
player,201211050nor,phi,AvanJa00,targets,9,,,,,
player,201211050nor,phi,AvanJa00,rec,6,,,,,
player,201211050nor,phi,AvanJa00,rec_yds,56,,,,,
player,201211050nor,phi,AvanJa00,rec_td,0,,,,,
player,201211050nor,phi,AvanJa00,rec_long,13,,,,,
player,201211050nor,phi,AvanJa00,fumbles,0,,,,,
player,201211050nor,phi,AvanJa00,fumbles_lost,0,,,,,
player,201211050nor,phi,CeleBr00,pass_cmp,0,,,,,
player,201211050nor,phi,CeleBr00,pass_att,0,,,,,
player,201211050nor,phi,CeleBr00,pass_yds,0,,,,,
player,201211050nor,phi,CeleBr00,pass_td,0,,,,,
player,201211050nor,phi,CeleBr00,pass_int,0,,,,,
player,201211050nor,phi,CeleBr00,pass_sacked,0,,,,,
player,201211050nor,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,CeleBr00,pass_long,0,,,,,
player,201211050nor,phi,CeleBr00,pass_rating,,,,,,
player,201211050nor,phi,CeleBr00,rush_att,0,,,,,
player,201211050nor,phi,CeleBr00,rush_yds,0,,,,,
player,201211050nor,phi,CeleBr00,rush_td,0,,,,,
player,201211050nor,phi,CeleBr00,rush_long,0,,,,,
player,201211050nor,phi,CeleBr00,targets,9,,,,,
player,201211050nor,phi,CeleBr00,rec,5,,,,,
player,201211050nor,phi,CeleBr00,rec_yds,47,,,,,
player,201211050nor,phi,CeleBr00,rec_td,0,,,,,
player,201211050nor,phi,CeleBr00,rec_long,14,,,,,
player,201211050nor,phi,CeleBr00,fumbles,1,,,,,
player,201211050nor,phi,CeleBr00,fumbles_lost,1,,,,,
player,201211050nor,phi,MaclJe00,pass_cmp,0,,,,,
player,201211050nor,phi,MaclJe00,pass_att,0,,,,,
player,201211050nor,phi,MaclJe00,pass_yds,0,,,,,
player,201211050nor,phi,MaclJe00,pass_td,0,,,,,
player,201211050nor,phi,MaclJe00,pass_int,0,,,,,
player,201211050nor,phi,MaclJe00,pass_sacked,0,,,,,
player,201211050nor,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,MaclJe00,pass_long,0,,,,,
player,201211050nor,phi,MaclJe00,pass_rating,,,,,,
player,201211050nor,phi,MaclJe00,rush_att,0,,,,,
player,201211050nor,phi,MaclJe00,rush_yds,0,,,,,
player,201211050nor,phi,MaclJe00,rush_td,0,,,,,
player,201211050nor,phi,MaclJe00,rush_long,0,,,,,
player,201211050nor,phi,MaclJe00,targets,4,,,,,
player,201211050nor,phi,MaclJe00,rec,2,,,,,
player,201211050nor,phi,MaclJe00,rec_yds,28,,,,,
player,201211050nor,phi,MaclJe00,rec_td,0,,,,,
player,201211050nor,phi,MaclJe00,rec_long,22,,,,,
player,201211050nor,phi,MaclJe00,fumbles,0,,,,,
player,201211050nor,phi,MaclJe00,fumbles_lost,0,,,,,
player,201211050nor,phi,HarbCl00,pass_cmp,0,,,,,
player,201211050nor,phi,HarbCl00,pass_att,0,,,,,
player,201211050nor,phi,HarbCl00,pass_yds,0,,,,,
player,201211050nor,phi,HarbCl00,pass_td,0,,,,,
player,201211050nor,phi,HarbCl00,pass_int,0,,,,,
player,201211050nor,phi,HarbCl00,pass_sacked,0,,,,,
player,201211050nor,phi,HarbCl00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,HarbCl00,pass_long,0,,,,,
player,201211050nor,phi,HarbCl00,pass_rating,,,,,,
player,201211050nor,phi,HarbCl00,rush_att,0,,,,,
player,201211050nor,phi,HarbCl00,rush_yds,0,,,,,
player,201211050nor,phi,HarbCl00,rush_td,0,,,,,
player,201211050nor,phi,HarbCl00,rush_long,0,,,,,
player,201211050nor,phi,HarbCl00,targets,4,,,,,
player,201211050nor,phi,HarbCl00,rec,3,,,,,
player,201211050nor,phi,HarbCl00,rec_yds,20,,,,,
player,201211050nor,phi,HarbCl00,rec_td,0,,,,,
player,201211050nor,phi,HarbCl00,rec_long,12,,,,,
player,201211050nor,phi,HarbCl00,fumbles,0,,,,,
player,201211050nor,phi,HarbCl00,fumbles_lost,0,,,,,
player,201211050nor,phi,HaviSt00,pass_cmp,0,,,,,
player,201211050nor,phi,HaviSt00,pass_att,0,,,,,
player,201211050nor,phi,HaviSt00,pass_yds,0,,,,,
player,201211050nor,phi,HaviSt00,pass_td,0,,,,,
player,201211050nor,phi,HaviSt00,pass_int,0,,,,,
player,201211050nor,phi,HaviSt00,pass_sacked,0,,,,,
