game,2012,5,20121007,201210070was,atl,"Atlanta Falcons",24,was,"Washington Redskins",17
team,201210070was,atl,First Downs,28,,,,,,
team,201210070was,was,First Downs,12,,,,,,
team,201210070was,atl,Rush-Yds-TDs,28-83-1,,,,,,
team,201210070was,was,Rush-Yds-TDs,21-129-0,,,,,,
team,201210070was,atl,Cmp-Att-Yd-TD-INT,34-52-345-2-1,,,,,,
team,201210070was,was,Cmp-Att-Yd-TD-INT,15-24-202-1-2,,,,,,
team,201210070was,atl,Sacked-Yards,1-7,,,,,,
team,201210070was,was,Sacked-Yards,3-15,,,,,,
team,201210070was,atl,Net Pass Yards,338,,,,,,
team,201210070was,was,Net Pass Yards,187,,,,,,
team,201210070was,atl,Total Yards,421,,,,,,
team,201210070was,was,Total Yards,316,,,,,,
team,201210070was,atl,Fumbles-Lost,1-1,,,,,,
team,201210070was,was,Fumbles-Lost,0-0,,,,,,
team,201210070was,atl,Turnovers,2,,,,,,
team,201210070was,was,Turnovers,2,,,,,,
team,201210070was,atl,Penalties-Yards,2-13,,,,,,
team,201210070was,was,Penalties-Yards,4-20,,,,,,
team,201210070was,atl,Third Down Conv.,9-17,,,,,,
team,201210070was,was,Third Down Conv.,1-9,,,,,,
team,201210070was,atl,Fourth Down Conv.,0-0,,,,,,
team,201210070was,was,Fourth Down Conv.,0-0,,,,,,
team,201210070was,atl,Time of Possession,37:01,,,,,,
team,201210070was,was,Time of Possession,22:59,,,,,,
player,201210070was,atl,RyanMa00,pass_cmp,34,,,,,
player,201210070was,atl,RyanMa00,pass_att,52,,,,,
player,201210070was,atl,RyanMa00,pass_yds,345,,,,,
player,201210070was,atl,RyanMa00,pass_td,2,,,,,
player,201210070was,atl,RyanMa00,pass_int,1,,,,,
player,201210070was,atl,RyanMa00,pass_sacked,1,,,,,
player,201210070was,atl,RyanMa00,pass_sacked_yds,7,,,,,
player,201210070was,atl,RyanMa00,pass_long,29,,,,,
player,201210070was,atl,RyanMa00,pass_rating,89.0,,,,,
player,201210070was,atl,RyanMa00,rush_att,5,,,,,
player,201210070was,atl,RyanMa00,rush_yds,7,,,,,
player,201210070was,atl,RyanMa00,rush_td,0,,,,,
player,201210070was,atl,RyanMa00,rush_long,6,,,,,
player,201210070was,atl,RyanMa00,targets,0,,,,,
player,201210070was,atl,RyanMa00,rec,0,,,,,
player,201210070was,atl,RyanMa00,rec_yds,0,,,,,
player,201210070was,atl,RyanMa00,rec_td,0,,,,,
player,201210070was,atl,RyanMa00,rec_long,0,,,,,
player,201210070was,atl,RyanMa00,fumbles,1,,,,,
player,201210070was,atl,RyanMa00,fumbles_lost,1,,,,,
player,201210070was,atl,TurnMi00,pass_cmp,0,,,,,
player,201210070was,atl,TurnMi00,pass_att,0,,,,,
player,201210070was,atl,TurnMi00,pass_yds,0,,,,,
player,201210070was,atl,TurnMi00,pass_td,0,,,,,
player,201210070was,atl,TurnMi00,pass_int,0,,,,,
player,201210070was,atl,TurnMi00,pass_sacked,0,,,,,
player,201210070was,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201210070was,atl,TurnMi00,pass_long,0,,,,,
player,201210070was,atl,TurnMi00,pass_rating,,,,,,
player,201210070was,atl,TurnMi00,rush_att,17,,,,,
player,201210070was,atl,TurnMi00,rush_yds,64,,,,,
player,201210070was,atl,TurnMi00,rush_td,1,,,,,
player,201210070was,atl,TurnMi00,rush_long,13,,,,,
player,201210070was,atl,TurnMi00,targets,5,,,,,
player,201210070was,atl,TurnMi00,rec,2,,,,,
player,201210070was,atl,TurnMi00,rec_yds,2,,,,,
player,201210070was,atl,TurnMi00,rec_td,0,,,,,
player,201210070was,atl,TurnMi00,rec_long,5,,,,,
player,201210070was,atl,TurnMi00,fumbles,0,,,,,
player,201210070was,atl,TurnMi00,fumbles_lost,0,,,,,
player,201210070was,atl,DougHa00,pass_cmp,0,,,,,
player,201210070was,atl,DougHa00,pass_att,0,,,,,
player,201210070was,atl,DougHa00,pass_yds,0,,,,,
player,201210070was,atl,DougHa00,pass_td,0,,,,,
player,201210070was,atl,DougHa00,pass_int,0,,,,,
player,201210070was,atl,DougHa00,pass_sacked,0,,,,,
player,201210070was,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201210070was,atl,DougHa00,pass_long,0,,,,,
player,201210070was,atl,DougHa00,pass_rating,,,,,,
player,201210070was,atl,DougHa00,rush_att,1,,,,,
player,201210070was,atl,DougHa00,rush_yds,5,,,,,
player,201210070was,atl,DougHa00,rush_td,0,,,,,
player,201210070was,atl,DougHa00,rush_long,5,,,,,
player,201210070was,atl,DougHa00,targets,5,,,,,
player,201210070was,atl,DougHa00,rec,2,,,,,
player,201210070was,atl,DougHa00,rec_yds,34,,,,,
player,201210070was,atl,DougHa00,rec_td,0,,,,,
player,201210070was,atl,DougHa00,rec_long,19,,,,,
player,201210070was,atl,DougHa00,fumbles,0,,,,,
player,201210070was,atl,DougHa00,fumbles_lost,0,,,,,
player,201210070was,atl,RodgJa00,pass_cmp,0,,,,,
player,201210070was,atl,RodgJa00,pass_att,0,,,,,
player,201210070was,atl,RodgJa00,pass_yds,0,,,,,
player,201210070was,atl,RodgJa00,pass_td,0,,,,,
player,201210070was,atl,RodgJa00,pass_int,0,,,,,
player,201210070was,atl,RodgJa00,pass_sacked,0,,,,,
player,201210070was,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201210070was,atl,RodgJa00,pass_long,0,,,,,
player,201210070was,atl,RodgJa00,pass_rating,,,,,,
player,201210070was,atl,RodgJa00,rush_att,3,,,,,
player,201210070was,atl,RodgJa00,rush_yds,4,,,,,
player,201210070was,atl,RodgJa00,rush_td,0,,,,,
player,201210070was,atl,RodgJa00,rush_long,2,,,,,
player,201210070was,atl,RodgJa00,targets,2,,,,,
player,201210070was,atl,RodgJa00,rec,1,,,,,
player,201210070was,atl,RodgJa00,rec_yds,8,,,,,
player,201210070was,atl,RodgJa00,rec_td,0,,,,,
player,201210070was,atl,RodgJa00,rec_long,8,,,,,
player,201210070was,atl,RodgJa00,fumbles,0,,,,,
player,201210070was,atl,RodgJa00,fumbles_lost,0,,,,,
player,201210070was,atl,SnelJa00,pass_cmp,0,,,,,
player,201210070was,atl,SnelJa00,pass_att,0,,,,,
player,201210070was,atl,SnelJa00,pass_yds,0,,,,,
player,201210070was,atl,SnelJa00,pass_td,0,,,,,
player,201210070was,atl,SnelJa00,pass_int,0,,,,,
player,201210070was,atl,SnelJa00,pass_sacked,0,,,,,
player,201210070was,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201210070was,atl,SnelJa00,pass_long,0,,,,,
player,201210070was,atl,SnelJa00,pass_rating,,,,,,
player,201210070was,atl,SnelJa00,rush_att,1,,,,,
player,201210070was,atl,SnelJa00,rush_yds,2,,,,,
player,201210070was,atl,SnelJa00,rush_td,0,,,,,
player,201210070was,atl,SnelJa00,rush_long,2,,,,,
player,201210070was,atl,SnelJa00,targets,1,,,,,
player,201210070was,atl,SnelJa00,rec,1,,,,,
player,201210070was,atl,SnelJa00,rec_yds,9,,,,,
player,201210070was,atl,SnelJa00,rec_td,0,,,,,
player,201210070was,atl,SnelJa00,rec_long,9,,,,,
player,201210070was,atl,SnelJa00,fumbles,0,,,,,
player,201210070was,atl,SnelJa00,fumbles_lost,0,,,,,
player,201210070was,atl,JoneJu02,pass_cmp,0,,,,,
player,201210070was,atl,JoneJu02,pass_att,0,,,,,
player,201210070was,atl,JoneJu02,pass_yds,0,,,,,
player,201210070was,atl,JoneJu02,pass_td,0,,,,,
player,201210070was,atl,JoneJu02,pass_int,0,,,,,
player,201210070was,atl,JoneJu02,pass_sacked,0,,,,,
player,201210070was,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201210070was,atl,JoneJu02,pass_long,0,,,,,
player,201210070was,atl,JoneJu02,pass_rating,,,,,,
player,201210070was,atl,JoneJu02,rush_att,1,,,,,
player,201210070was,atl,JoneJu02,rush_yds,1,,,,,
player,201210070was,atl,JoneJu02,rush_td,0,,,,,
player,201210070was,atl,JoneJu02,rush_long,1,,,,,
player,201210070was,atl,JoneJu02,targets,15,,,,,
player,201210070was,atl,JoneJu02,rec,10,,,,,
player,201210070was,atl,JoneJu02,rec_yds,94,,,,,
player,201210070was,atl,JoneJu02,rec_td,1,,,,,
player,201210070was,atl,JoneJu02,rec_long,29,,,,,
player,201210070was,atl,JoneJu02,fumbles,0,,,,,
player,201210070was,atl,JoneJu02,fumbles_lost,0,,,,,
player,201210070was,atl,GonzTo00,pass_cmp,0,,,,,
player,201210070was,atl,GonzTo00,pass_att,0,,,,,
player,201210070was,atl,GonzTo00,pass_yds,0,,,,,
player,201210070was,atl,GonzTo00,pass_td,0,,,,,
player,201210070was,atl,GonzTo00,pass_int,0,,,,,
player,201210070was,atl,GonzTo00,pass_sacked,0,,,,,
player,201210070was,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201210070was,atl,GonzTo00,pass_long,0,,,,,
player,201210070was,atl,GonzTo00,pass_rating,,,,,,
player,201210070was,atl,GonzTo00,rush_att,0,,,,,
player,201210070was,atl,GonzTo00,rush_yds,0,,,,,
player,201210070was,atl,GonzTo00,rush_td,0,,,,,
player,201210070was,atl,GonzTo00,rush_long,0,,,,,
player,201210070was,atl,GonzTo00,targets,14,,,,,
player,201210070was,atl,GonzTo00,rec,13,,,,,
player,201210070was,atl,GonzTo00,rec_yds,123,,,,,
player,201210070was,atl,GonzTo00,rec_td,1,,,,,
player,201210070was,atl,GonzTo00,rec_long,21,,,,,
player,201210070was,atl,GonzTo00,fumbles,0,,,,,
player,201210070was,atl,GonzTo00,fumbles_lost,0,,,,,
player,201210070was,atl,WhitRo00,pass_cmp,0,,,,,
player,201210070was,atl,WhitRo00,pass_att,0,,,,,
player,201210070was,atl,WhitRo00,pass_yds,0,,,,,
player,201210070was,atl,WhitRo00,pass_td,0,,,,,
player,201210070was,atl,WhitRo00,pass_int,0,,,,,
player,201210070was,atl,WhitRo00,pass_sacked,0,,,,,
player,201210070was,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201210070was,atl,WhitRo00,pass_long,0,,,,,
player,201210070was,atl,WhitRo00,pass_rating,,,,,,
player,201210070was,atl,WhitRo00,rush_att,0,,,,,
player,201210070was,atl,WhitRo00,rush_yds,0,,,,,
player,201210070was,atl,WhitRo00,rush_td,0,,,,,
player,201210070was,atl,WhitRo00,rush_long,0,,,,,
player,201210070was,atl,WhitRo00,targets,6,,,,,
player,201210070was,atl,WhitRo00,rec,4,,,,,
player,201210070was,atl,WhitRo00,rec_yds,68,,,,,
