game,2012,1,20120909,201209090crd,sea,"Seattle Seahawks",16,crd,"Arizona Cardinals",20
team,201209090crd,sea,First Downs,18,,,,,,
team,201209090crd,crd,First Downs,18,,,,,,
team,201209090crd,sea,Rush-Yds-TDs,33-115-0,,,,,,
team,201209090crd,crd,Rush-Yds-TDs,20-43-1,,,,,,
team,201209090crd,sea,Cmp-Att-Yd-TD-INT,18-34-153-1-1,,,,,,
team,201209090crd,crd,Cmp-Att-Yd-TD-INT,20-36-215-1-1,,,,,,
team,201209090crd,sea,Sacked-Yards,3-14,,,,,,
team,201209090crd,crd,Sacked-Yards,1-5,,,,,,
team,201209090crd,sea,Net Pass Yards,139,,,,,,
team,201209090crd,crd,Net Pass Yards,210,,,,,,
team,201209090crd,sea,Total Yards,254,,,,,,
team,201209090crd,crd,Total Yards,253,,,,,,
team,201209090crd,sea,Fumbles-Lost,2-1,,,,,,
team,201209090crd,crd,Fumbles-Lost,2-1,,,,,,
team,201209090crd,sea,Turnovers,2,,,,,,
team,201209090crd,crd,Turnovers,2,,,,,,
team,201209090crd,sea,Penalties-Yards,13-90,,,,,,
team,201209090crd,crd,Penalties-Yards,10-102,,,,,,
team,201209090crd,sea,Third Down Conv.,5-16,,,,,,
team,201209090crd,crd,Third Down Conv.,3-10,,,,,,
team,201209090crd,sea,Fourth Down Conv.,0-1,,,,,,
team,201209090crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201209090crd,sea,Time of Possession,33:34,,,,,,
team,201209090crd,crd,Time of Possession,26:26,,,,,,
player,201209090crd,sea,WilsRu00,pass_cmp,18,,,,,
player,201209090crd,sea,WilsRu00,pass_att,34,,,,,
player,201209090crd,sea,WilsRu00,pass_yds,153,,,,,
player,201209090crd,sea,WilsRu00,pass_td,1,,,,,
player,201209090crd,sea,WilsRu00,pass_int,1,,,,,
player,201209090crd,sea,WilsRu00,pass_sacked,3,,,,,
player,201209090crd,sea,WilsRu00,pass_sacked_yds,14,,,,,
player,201209090crd,sea,WilsRu00,pass_long,27,,,,,
player,201209090crd,sea,WilsRu00,pass_rating,62.5,,,,,
player,201209090crd,sea,WilsRu00,rush_att,8,,,,,
player,201209090crd,sea,WilsRu00,rush_yds,20,,,,,
player,201209090crd,sea,WilsRu00,rush_td,0,,,,,
player,201209090crd,sea,WilsRu00,rush_long,5,,,,,
player,201209090crd,sea,WilsRu00,targets,0,,,,,
player,201209090crd,sea,WilsRu00,rec,0,,,,,
player,201209090crd,sea,WilsRu00,rec_yds,0,,,,,
player,201209090crd,sea,WilsRu00,rec_td,0,,,,,
player,201209090crd,sea,WilsRu00,rec_long,0,,,,,
player,201209090crd,sea,WilsRu00,fumbles,1,,,,,
player,201209090crd,sea,WilsRu00,fumbles_lost,1,,,,,
player,201209090crd,sea,LyncMa00,pass_cmp,0,,,,,
