game,2012,7,20121021,201210210htx,rav,"Baltimore Ravens",13,htx,"Houston Texans",43
team,201210210htx,rav,First Downs,12,,,,,,
team,201210210htx,htx,First Downs,27,,,,,,
team,201210210htx,rav,Rush-Yds-TDs,12-55-0,,,,,,
team,201210210htx,htx,Rush-Yds-TDs,37-181-2,,,,,,
team,201210210htx,rav,Cmp-Att-Yd-TD-INT,21-43-147-1-2,,,,,,
team,201210210htx,htx,Cmp-Att-Yd-TD-INT,23-37-256-2-0,,,,,,
team,201210210htx,rav,Sacked-Yards,4-26,,,,,,
team,201210210htx,htx,Sacked-Yards,2-17,,,,,,
team,201210210htx,rav,Net Pass Yards,121,,,,,,
team,201210210htx,htx,Net Pass Yards,239,,,,,,
team,201210210htx,rav,Total Yards,176,,,,,,
team,201210210htx,htx,Total Yards,420,,,,,,
team,201210210htx,rav,Fumbles-Lost,1-0,,,,,,
team,201210210htx,htx,Fumbles-Lost,1-0,,,,,,
team,201210210htx,rav,Turnovers,2,,,,,,
team,201210210htx,htx,Turnovers,0,,,,,,
team,201210210htx,rav,Penalties-Yards,5-56,,,,,,
team,201210210htx,htx,Penalties-Yards,5-60,,,,,,
team,201210210htx,rav,Third Down Conv.,4-15,,,,,,
team,201210210htx,htx,Third Down Conv.,8-15,,,,,,
team,201210210htx,rav,Fourth Down Conv.,0-1,,,,,,
team,201210210htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201210210htx,rav,Time of Possession,21:44,,,,,,
team,201210210htx,htx,Time of Possession,38:16,,,,,,
player,201210210htx,rav,FlacJo00,pass_cmp,21,,,,,
player,201210210htx,rav,FlacJo00,pass_att,43,,,,,
player,201210210htx,rav,FlacJo00,pass_yds,147,,,,,
player,201210210htx,rav,FlacJo00,pass_td,1,,,,,
player,201210210htx,rav,FlacJo00,pass_int,2,,,,,
player,201210210htx,rav,FlacJo00,pass_sacked,4,,,,,
player,201210210htx,rav,FlacJo00,pass_sacked_yds,26,,,,,
player,201210210htx,rav,FlacJo00,pass_long,15,,,,,
player,201210210htx,rav,FlacJo00,pass_rating,45.4,,,,,
player,201210210htx,rav,FlacJo00,rush_att,2,,,,,
player,201210210htx,rav,FlacJo00,rush_yds,7,,,,,
player,201210210htx,rav,FlacJo00,rush_td,0,,,,,
player,201210210htx,rav,FlacJo00,rush_long,5,,,,,
player,201210210htx,rav,FlacJo00,targets,0,,,,,
