game,2012,16,20121223,201212230crd,chi,"Chicago Bears",28,crd,"Arizona Cardinals",13
team,201212230crd,chi,First Downs,15,,,,,,
team,201212230crd,crd,First Downs,15,,,,,,
team,201212230crd,chi,Rush-Yds-TDs,33-152-1,,,,,,
team,201212230crd,crd,Rush-Yds-TDs,19-29-0,,,,,,
team,201212230crd,chi,Cmp-Att-Yd-TD-INT,12-26-146-1-0,,,,,,
team,201212230crd,crd,Cmp-Att-Yd-TD-INT,28-49-246-0-2,,,,,,
team,201212230crd,chi,Sacked-Yards,1-1,,,,,,
team,201212230crd,crd,Sacked-Yards,4-27,,,,,,
team,201212230crd,chi,Net Pass Yards,145,,,,,,
team,201212230crd,crd,Net Pass Yards,219,,,,,,
team,201212230crd,chi,Total Yards,297,,,,,,
team,201212230crd,crd,Total Yards,248,,,,,,
team,201212230crd,chi,Fumbles-Lost,2-1,,,,,,
team,201212230crd,crd,Fumbles-Lost,3-1,,,,,,
team,201212230crd,chi,Turnovers,1,,,,,,
team,201212230crd,crd,Turnovers,3,,,,,,
team,201212230crd,chi,Penalties-Yards,2-12,,,,,,
team,201212230crd,crd,Penalties-Yards,4-25,,,,,,
team,201212230crd,chi,Third Down Conv.,3-13,,,,,,
team,201212230crd,crd,Third Down Conv.,3-15,,,,,,
team,201212230crd,chi,Fourth Down Conv.,0-0,,,,,,
team,201212230crd,crd,Fourth Down Conv.,1-2,,,,,,
team,201212230crd,chi,Time of Possession,28:05,,,,,,
team,201212230crd,crd,Time of Possession,31:55,,,,,,
player,201212230crd,chi,CutlJa00,pass_cmp,12,,,,,
player,201212230crd,chi,CutlJa00,pass_att,26,,,,,
player,201212230crd,chi,CutlJa00,pass_yds,146,,,,,
player,201212230crd,chi,CutlJa00,pass_td,1,,,,,
player,201212230crd,chi,CutlJa00,pass_int,0,,,,,
player,201212230crd,chi,CutlJa00,pass_sacked,1,,,,,
player,201212230crd,chi,CutlJa00,pass_sacked_yds,1,,,,,
player,201212230crd,chi,CutlJa00,pass_long,35,,,,,
player,201212230crd,chi,CutlJa00,pass_rating,76.8,,,,,
player,201212230crd,chi,CutlJa00,rush_att,3,,,,,
player,201212230crd,chi,CutlJa00,rush_yds,8,,,,,
player,201212230crd,chi,CutlJa00,rush_td,0,,,,,
player,201212230crd,chi,CutlJa00,rush_long,10,,,,,
player,201212230crd,chi,CutlJa00,targets,0,,,,,
player,201212230crd,chi,CutlJa00,rec,0,,,,,
player,201212230crd,chi,CutlJa00,rec_yds,0,,,,,
player,201212230crd,chi,CutlJa00,rec_td,0,,,,,
player,201212230crd,chi,CutlJa00,rec_long,0,,,,,
player,201212230crd,chi,CutlJa00,fumbles,0,,,,,
player,201212230crd,chi,CutlJa00,fumbles_lost,0,,,,,
player,201212230crd,chi,FortMa00,pass_cmp,0,,,,,
player,201212230crd,chi,FortMa00,pass_att,0,,,,,
player,201212230crd,chi,FortMa00,pass_yds,0,,,,,
player,201212230crd,chi,FortMa00,pass_td,0,,,,,
