game,2012,4,20120930,201209300tam,was,"Washington Redskins",24,tam,"Tampa Bay Buccaneers",22
team,201209300tam,was,First Downs,27,,,,,,
team,201209300tam,tam,First Downs,16,,,,,,
team,201209300tam,was,Rush-Yds-TDs,31-153-2,,,,,,
team,201209300tam,tam,Rush-Yds-TDs,18-80-1,,,,,,
team,201209300tam,was,Cmp-Att-Yd-TD-INT,26-35-323-0-0,,,,,,
team,201209300tam,tam,Cmp-Att-Yd-TD-INT,24-39-299-1-1,,,,,,
team,201209300tam,was,Sacked-Yards,1-2,,,,,,
team,201209300tam,tam,Sacked-Yards,1-6,,,,,,
team,201209300tam,was,Net Pass Yards,321,,,,,,
team,201209300tam,tam,Net Pass Yards,293,,,,,,
team,201209300tam,was,Total Yards,474,,,,,,
team,201209300tam,tam,Total Yards,373,,,,,,
team,201209300tam,was,Fumbles-Lost,1-0,,,,,,
team,201209300tam,tam,Fumbles-Lost,0-0,,,,,,
team,201209300tam,was,Turnovers,0,,,,,,
team,201209300tam,tam,Turnovers,1,,,,,,
team,201209300tam,was,Penalties-Yards,8-73,,,,,,
team,201209300tam,tam,Penalties-Yards,10-107,,,,,,
team,201209300tam,was,Third Down Conv.,2-11,,,,,,
team,201209300tam,tam,Third Down Conv.,3-12,,,,,,
team,201209300tam,was,Fourth Down Conv.,1-1,,,,,,
team,201209300tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201209300tam,was,Time of Possession,32:19,,,,,,
team,201209300tam,tam,Time of Possession,27:41,,,,,,
player,201209300tam,was,GrifRo01,pass_cmp,26,,,,,
player,201209300tam,was,GrifRo01,pass_att,35,,,,,
player,201209300tam,was,GrifRo01,pass_yds,323,,,,,
player,201209300tam,was,GrifRo01,pass_td,0,,,,,
player,201209300tam,was,GrifRo01,pass_int,0,,,,,
player,201209300tam,was,GrifRo01,pass_sacked,1,,,,,
player,201209300tam,was,GrifRo01,pass_sacked_yds,2,,,,,
player,201209300tam,was,GrifRo01,pass_long,30,,,,,
player,201209300tam,was,GrifRo01,pass_rating,102.4,,,,,
player,201209300tam,was,GrifRo01,rush_att,8,,,,,
player,201209300tam,was,GrifRo01,rush_yds,36,,,,,
player,201209300tam,was,GrifRo01,rush_td,1,,,,,
player,201209300tam,was,GrifRo01,rush_long,15,,,,,
player,201209300tam,was,GrifRo01,targets,0,,,,,
player,201209300tam,was,GrifRo01,rec,0,,,,,
player,201209300tam,was,GrifRo01,rec_yds,0,,,,,
player,201209300tam,was,GrifRo01,rec_td,0,,,,,
player,201209300tam,was,GrifRo01,rec_long,0,,,,,
player,201209300tam,was,GrifRo01,fumbles,1,,,,,
player,201209300tam,was,GrifRo01,fumbles_lost,0,,,,,
player,201209300tam,was,MorrAl00,pass_cmp,0,,,,,
player,201209300tam,was,MorrAl00,pass_att,0,,,,,
player,201209300tam,was,MorrAl00,pass_yds,0,,,,,
