game,2012,2,20120916,201209160mia,rai,"Oakland Raiders",13,mia,"Miami Dolphins",35
player,201209160mia,rai,MoorDe02,fumbles_lost,0,,,,,
player,201209160mia,rai,HeywDa00,pass_cmp,0,,,,,
player,201209160mia,rai,HeywDa00,pass_att,0,,,,,
player,201209160mia,rai,HeywDa00,pass_yds,0,,,,,
player,201209160mia,rai,HeywDa00,pass_td,0,,,,,
player,201209160mia,rai,HeywDa00,pass_int,0,,,,,
player,201209160mia,rai,HeywDa00,pass_sacked,,,,,,
player,201209160mia,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,HeywDa00,pass_long,0,,,,,
player,201209160mia,rai,HeywDa00,pass_rating,,,,,,
player,201209160mia,rai,HeywDa00,rush_att,0,,,,,
player,201209160mia,rai,HeywDa00,rush_yds,0,,,,,
player,201209160mia,rai,HeywDa00,rush_td,0,,,,,
player,201209160mia,rai,HeywDa00,rush_long,0,,,,,
player,201209160mia,rai,HeywDa00,targets,8,,,,,
player,201209160mia,rai,HeywDa00,rec,4,,,,,
player,201209160mia,rai,HeywDa00,rec_yds,41,,,,,
player,201209160mia,rai,HeywDa00,rec_td,0,,,,,
player,201209160mia,rai,HeywDa00,rec_long,19,,,,,
player,201209160mia,rai,HeywDa00,fumbles,0,,,,,
player,201209160mia,rai,HeywDa00,fumbles_lost,0,,,,,
player,201209160mia,rai,AusbDa00,pass_cmp,0,,,,,
player,201209160mia,rai,AusbDa00,pass_att,0,,,,,
player,201209160mia,rai,AusbDa00,pass_yds,0,,,,,
player,201209160mia,rai,AusbDa00,pass_td,0,,,,,
player,201209160mia,rai,AusbDa00,pass_int,0,,,,,
player,201209160mia,rai,AusbDa00,pass_sacked,,,,,,
player,201209160mia,rai,AusbDa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,AusbDa00,pass_long,0,,,,,
player,201209160mia,rai,AusbDa00,pass_rating,,,,,,
player,201209160mia,rai,AusbDa00,rush_att,0,,,,,
player,201209160mia,rai,AusbDa00,rush_yds,0,,,,,
player,201209160mia,rai,AusbDa00,rush_td,0,,,,,
player,201209160mia,rai,AusbDa00,rush_long,0,,,,,
player,201209160mia,rai,AusbDa00,targets,3,,,,,
player,201209160mia,rai,AusbDa00,rec,1,,,,,
player,201209160mia,rai,AusbDa00,rec_yds,31,,,,,
player,201209160mia,rai,AusbDa00,rec_td,0,,,,,
player,201209160mia,rai,AusbDa00,rec_long,31,,,,,
player,201209160mia,rai,AusbDa00,fumbles,0,,,,,
player,201209160mia,rai,AusbDa00,fumbles_lost,0,,,,,
player,201209160mia,rai,StreRo00,pass_cmp,0,,,,,
player,201209160mia,rai,StreRo00,pass_att,0,,,,,
player,201209160mia,rai,StreRo00,pass_yds,0,,,,,
player,201209160mia,rai,StreRo00,pass_td,0,,,,,
player,201209160mia,rai,StreRo00,pass_int,0,,,,,
player,201209160mia,rai,StreRo00,pass_sacked,,,,,,
player,201209160mia,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,StreRo00,pass_long,0,,,,,
player,201209160mia,rai,StreRo00,pass_rating,,,,,,
player,201209160mia,rai,StreRo00,rush_att,0,,,,,
player,201209160mia,rai,StreRo00,rush_yds,0,,,,,
player,201209160mia,rai,StreRo00,rush_td,0,,,,,
player,201209160mia,rai,StreRo00,rush_long,0,,,,,
player,201209160mia,rai,StreRo00,targets,4,,,,,
player,201209160mia,rai,StreRo00,rec,2,,,,,
player,201209160mia,rai,StreRo00,rec_yds,19,,,,,
player,201209160mia,rai,StreRo00,rec_td,0,,,,,
player,201209160mia,rai,StreRo00,rec_long,13,,,,,
player,201209160mia,rai,StreRo00,fumbles,0,,,,,
player,201209160mia,rai,StreRo00,fumbles_lost,0,,,,,
player,201209160mia,rai,ReecMa00,pass_cmp,0,,,,,
player,201209160mia,rai,ReecMa00,pass_att,0,,,,,
player,201209160mia,rai,ReecMa00,pass_yds,0,,,,,
player,201209160mia,rai,ReecMa00,pass_td,0,,,,,
player,201209160mia,rai,ReecMa00,pass_int,0,,,,,
player,201209160mia,rai,ReecMa00,pass_sacked,,,,,,
player,201209160mia,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,ReecMa00,pass_long,0,,,,,
player,201209160mia,rai,ReecMa00,pass_rating,,,,,,
player,201209160mia,rai,ReecMa00,rush_att,0,,,,,
player,201209160mia,rai,ReecMa00,rush_yds,0,,,,,
player,201209160mia,rai,ReecMa00,rush_td,0,,,,,
player,201209160mia,rai,ReecMa00,rush_long,0,,,,,
player,201209160mia,rai,ReecMa00,targets,3,,,,,
player,201209160mia,rai,ReecMa00,rec,2,,,,,
player,201209160mia,rai,ReecMa00,rec_yds,17,,,,,
player,201209160mia,rai,ReecMa00,rec_td,0,,,,,
player,201209160mia,rai,ReecMa00,rec_long,14,,,,,
player,201209160mia,rai,ReecMa00,fumbles,0,,,,,
player,201209160mia,rai,ReecMa00,fumbles_lost,0,,,,,
player,201209160mia,rai,HagaDe00,pass_cmp,0,,,,,
player,201209160mia,rai,HagaDe00,pass_att,0,,,,,
player,201209160mia,rai,HagaDe00,pass_yds,0,,,,,
player,201209160mia,rai,HagaDe00,pass_td,0,,,,,
player,201209160mia,rai,HagaDe00,pass_int,0,,,,,
player,201209160mia,rai,HagaDe00,pass_sacked,,,,,,
player,201209160mia,rai,HagaDe00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,HagaDe00,pass_long,0,,,,,
player,201209160mia,rai,HagaDe00,pass_rating,,,,,,
player,201209160mia,rai,HagaDe00,rush_att,0,,,,,
player,201209160mia,rai,HagaDe00,rush_yds,0,,,,,
player,201209160mia,rai,HagaDe00,rush_td,0,,,,,
player,201209160mia,rai,HagaDe00,rush_long,0,,,,,
player,201209160mia,rai,HagaDe00,targets,2,,,,,
player,201209160mia,rai,HagaDe00,rec,1,,,,,
player,201209160mia,rai,HagaDe00,rec_yds,10,,,,,
player,201209160mia,rai,HagaDe00,rec_td,0,,,,,
player,201209160mia,rai,HagaDe00,rec_long,10,,,,,
player,201209160mia,rai,HagaDe00,fumbles,0,,,,,
player,201209160mia,rai,HagaDe00,fumbles_lost,0,,,,,
player,201209160mia,rai,GordRi00,pass_cmp,0,,,,,
player,201209160mia,rai,GordRi00,pass_att,0,,,,,
player,201209160mia,rai,GordRi00,pass_yds,0,,,,,
player,201209160mia,rai,GordRi00,pass_td,0,,,,,
player,201209160mia,rai,GordRi00,pass_int,0,,,,,
player,201209160mia,rai,GordRi00,pass_sacked,0,,,,,
player,201209160mia,rai,GordRi00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,GordRi00,pass_long,0,,,,,
player,201209160mia,rai,GordRi00,pass_rating,,,,,,
player,201209160mia,rai,GordRi00,rush_att,0,,,,,
player,201209160mia,rai,GordRi00,rush_yds,0,,,,,
player,201209160mia,rai,GordRi00,rush_td,0,,,,,
player,201209160mia,rai,GordRi00,rush_long,0,,,,,
player,201209160mia,rai,GordRi00,targets,4,,,,,
player,201209160mia,rai,GordRi00,rec,0,,,,,
player,201209160mia,rai,GordRi00,rec_yds,0,,,,,
player,201209160mia,rai,GordRi00,rec_td,0,,,,,
player,201209160mia,rai,GordRi00,rec_long,0,,,,,
player,201209160mia,rai,GordRi00,fumbles,0,,,,,
player,201209160mia,rai,GordRi00,fumbles_lost,0,,,,,
player,201209160mia,rai,GoodMi00,pass_cmp,0,,,,,
player,201209160mia,rai,GoodMi00,pass_att,0,,,,,
player,201209160mia,rai,GoodMi00,pass_yds,0,,,,,
player,201209160mia,rai,GoodMi00,pass_td,0,,,,,
player,201209160mia,rai,GoodMi00,pass_int,0,,,,,
player,201209160mia,rai,GoodMi00,pass_sacked,,,,,,
player,201209160mia,rai,GoodMi00,pass_sacked_yds,0,,,,,
player,201209160mia,rai,GoodMi00,pass_long,0,,,,,
player,201209160mia,rai,GoodMi00,pass_rating,,,,,,
player,201209160mia,rai,GoodMi00,rush_att,1,,,,,
player,201209160mia,rai,GoodMi00,rush_yds,-6,,,,,
player,201209160mia,rai,GoodMi00,rush_td,0,,,,,
player,201209160mia,rai,GoodMi00,rush_long,-6,,,,,
player,201209160mia,rai,GoodMi00,targets,3,,,,,
player,201209160mia,rai,GoodMi00,rec,3,,,,,
player,201209160mia,rai,GoodMi00,rec_yds,83,,,,,
player,201209160mia,rai,GoodMi00,rec_td,1,,,,,
player,201209160mia,rai,GoodMi00,rec_long,64,,,,,
player,201209160mia,rai,GoodMi00,fumbles,0,,,,,
player,201209160mia,rai,GoodMi00,fumbles_lost,0,,,,,
player,201209160mia,mia,TannRy00,pass_cmp,18,,,,,
player,201209160mia,mia,TannRy00,pass_att,30,,,,,
player,201209160mia,mia,TannRy00,pass_yds,200,,,,,
player,201209160mia,mia,TannRy00,pass_td,1,,,,,
player,201209160mia,mia,TannRy00,pass_int,0,,,,,
player,201209160mia,mia,TannRy00,pass_sacked,1,,,,,
player,201209160mia,mia,TannRy00,pass_sacked_yds,11,,,,,
player,201209160mia,mia,TannRy00,pass_long,25,,,,,
player,201209160mia,mia,TannRy00,pass_rating,91.0,,,,,
player,201209160mia,mia,TannRy00,rush_att,3,,,,,
player,201209160mia,mia,TannRy00,rush_yds,14,,,,,
player,201209160mia,mia,TannRy00,rush_td,1,,,,,
player,201209160mia,mia,TannRy00,rush_long,13,,,,,
player,201209160mia,mia,TannRy00,targets,0,,,,,
player,201209160mia,mia,TannRy00,rec,0,,,,,
player,201209160mia,mia,TannRy00,rec_yds,0,,,,,
player,201209160mia,mia,TannRy00,rec_td,0,,,,,
player,201209160mia,mia,TannRy00,rec_long,0,,,,,
player,201209160mia,mia,TannRy00,fumbles,0,,,,,
player,201209160mia,mia,TannRy00,fumbles_lost,0,,,,,
player,201209160mia,mia,BushRe00,pass_cmp,0,,,,,
player,201209160mia,mia,BushRe00,pass_att,0,,,,,
player,201209160mia,mia,BushRe00,pass_yds,0,,,,,
player,201209160mia,mia,BushRe00,pass_td,0,,,,,
player,201209160mia,mia,BushRe00,pass_int,0,,,,,
player,201209160mia,mia,BushRe00,pass_sacked,0,,,,,
player,201209160mia,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,BushRe00,pass_long,0,,,,,
player,201209160mia,mia,BushRe00,pass_rating,,,,,,
player,201209160mia,mia,BushRe00,rush_att,26,,,,,
player,201209160mia,mia,BushRe00,rush_yds,172,,,,,
player,201209160mia,mia,BushRe00,rush_td,2,,,,,
player,201209160mia,mia,BushRe00,rush_long,65,,,,,
player,201209160mia,mia,BushRe00,targets,4,,,,,
player,201209160mia,mia,BushRe00,rec,3,,,,,
player,201209160mia,mia,BushRe00,rec_yds,25,,,,,
player,201209160mia,mia,BushRe00,rec_td,0,,,,,
player,201209160mia,mia,BushRe00,rec_long,25,,,,,
player,201209160mia,mia,BushRe00,fumbles,0,,,,,
player,201209160mia,mia,BushRe00,fumbles_lost,0,,,,,
player,201209160mia,mia,MillLa01,pass_cmp,0,,,,,
player,201209160mia,mia,MillLa01,pass_att,0,,,,,
player,201209160mia,mia,MillLa01,pass_yds,0,,,,,
player,201209160mia,mia,MillLa01,pass_td,0,,,,,
player,201209160mia,mia,MillLa01,pass_int,0,,,,,
