game,2012,1,20120909,201209090min,jax,"Jacksonville Jaguars",23,min,"Minnesota Vikings",26
team,201209090min,jax,First Downs,22,,,,,,
team,201209090min,min,First Downs,20,,,,,,
team,201209090min,jax,Rush-Yds-TDs,34-113-0,,,,,,
team,201209090min,min,Rush-Yds-TDs,29-123-2,,,,,,
team,201209090min,jax,Cmp-Att-Yd-TD-INT,23-39-260-2-0,,,,,,
team,201209090min,min,Cmp-Att-Yd-TD-INT,20-27-270-0-0,,,,,,
team,201209090min,jax,Sacked-Yards,2-18,,,,,,
team,201209090min,min,Sacked-Yards,2-4,,,,,,
team,201209090min,jax,Net Pass Yards,242,,,,,,
team,201209090min,min,Net Pass Yards,266,,,,,,
team,201209090min,jax,Total Yards,355,,,,,,
team,201209090min,min,Total Yards,389,,,,,,
team,201209090min,jax,Fumbles-Lost,3-1,,,,,,
team,201209090min,min,Fumbles-Lost,1-1,,,,,,
team,201209090min,jax,Turnovers,1,,,,,,
team,201209090min,min,Turnovers,1,,,,,,
team,201209090min,jax,Penalties-Yards,4-25,,,,,,
team,201209090min,min,Penalties-Yards,5-47,,,,,,
team,201209090min,jax,Third Down Conv.,9-18,,,,,,
team,201209090min,min,Third Down Conv.,2-10,,,,,,
team,201209090min,jax,Fourth Down Conv.,1-2,,,,,,
team,201209090min,min,Fourth Down Conv.,0-0,,,,,,
team,201209090min,jax,Time of Possession,37:49,,,,,,
team,201209090min,min,Time of Possession,27:05,,,,,,
player,201209090min,jax,GabbBl00,pass_cmp,23,,,,,
player,201209090min,jax,GabbBl00,pass_att,39,,,,,
player,201209090min,jax,GabbBl00,pass_yds,260,,,,,
player,201209090min,jax,GabbBl00,pass_td,2,,,,,
player,201209090min,jax,GabbBl00,pass_int,0,,,,,
player,201209090min,jax,GabbBl00,pass_sacked,2,,,,,
player,201209090min,jax,GabbBl00,pass_sacked_yds,18,,,,,
player,201209090min,jax,GabbBl00,pass_long,39,,,,,
player,201209090min,jax,GabbBl00,pass_rating,96.1,,,,,
player,201209090min,jax,GabbBl00,rush_att,5,,,,,
player,201209090min,jax,GabbBl00,rush_yds,6,,,,,
player,201209090min,jax,GabbBl00,rush_td,0,,,,,
player,201209090min,jax,GabbBl00,rush_long,4,,,,,
player,201209090min,jax,GabbBl00,targets,0,,,,,
player,201209090min,jax,GabbBl00,rec,0,,,,,
player,201209090min,jax,GabbBl00,rec_yds,0,,,,,
player,201209090min,jax,GabbBl00,rec_td,0,,,,,
player,201209090min,jax,GabbBl00,rec_long,0,,,,,
player,201209090min,jax,GabbBl00,fumbles,1,,,,,
player,201209090min,jax,GabbBl00,fumbles_lost,1,,,,,
player,201209090min,jax,DrewMa00,pass_cmp,0,,,,,
player,201209090min,jax,DrewMa00,pass_att,0,,,,,
player,201209090min,jax,DrewMa00,pass_yds,0,,,,,
player,201209090min,jax,DrewMa00,pass_td,0,,,,,
player,201209090min,jax,DrewMa00,pass_int,0,,,,,
player,201209090min,jax,DrewMa00,pass_sacked,0,,,,,
player,201209090min,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201209090min,jax,DrewMa00,pass_long,0,,,,,
player,201209090min,jax,DrewMa00,pass_rating,,,,,,
player,201209090min,jax,DrewMa00,rush_att,19,,,,,
player,201209090min,jax,DrewMa00,rush_yds,77,,,,,
player,201209090min,jax,DrewMa00,rush_td,0,,,,,
player,201209090min,jax,DrewMa00,rush_long,11,,,,,
player,201209090min,jax,DrewMa00,targets,5,,,,,
player,201209090min,jax,DrewMa00,rec,3,,,,,
player,201209090min,jax,DrewMa00,rec_yds,18,,,,,
player,201209090min,jax,DrewMa00,rec_td,0,,,,,
player,201209090min,jax,DrewMa00,rec_long,8,,,,,
player,201209090min,jax,DrewMa00,fumbles,1,,,,,
player,201209090min,jax,DrewMa00,fumbles_lost,0,,,,,
player,201209090min,jax,JennRa00,pass_cmp,0,,,,,
player,201209090min,jax,JennRa00,pass_att,0,,,,,
player,201209090min,jax,JennRa00,pass_yds,0,,,,,
player,201209090min,jax,JennRa00,pass_td,0,,,,,
player,201209090min,jax,JennRa00,pass_int,0,,,,,
player,201209090min,jax,JennRa00,pass_sacked,0,,,,,
player,201209090min,jax,JennRa00,pass_sacked_yds,0,,,,,
player,201209090min,jax,JennRa00,pass_long,0,,,,,
player,201209090min,jax,JennRa00,pass_rating,,,,,,
player,201209090min,jax,JennRa00,rush_att,8,,,,,
player,201209090min,jax,JennRa00,rush_yds,31,,,,,
player,201209090min,jax,JennRa00,rush_td,0,,,,,
player,201209090min,jax,JennRa00,rush_long,10,,,,,
player,201209090min,jax,JennRa00,targets,1,,,,,
player,201209090min,jax,JennRa00,rec,1,,,,,
player,201209090min,jax,JennRa00,rec_yds,9,,,,,
player,201209090min,jax,JennRa00,rec_td,0,,,,,
player,201209090min,jax,JennRa00,rec_long,9,,,,,
player,201209090min,jax,JennRa00,fumbles,0,,,,,
player,201209090min,jax,JennRa00,fumbles_lost,0,,,,,
player,201209090min,jax,ShorCe00,pass_cmp,0,,,,,
player,201209090min,jax,ShorCe00,pass_att,0,,,,,
player,201209090min,jax,ShorCe00,pass_yds,0,,,,,
player,201209090min,jax,ShorCe00,pass_td,0,,,,,
player,201209090min,jax,ShorCe00,pass_int,0,,,,,
player,201209090min,jax,ShorCe00,pass_sacked,0,,,,,
player,201209090min,jax,ShorCe00,pass_sacked_yds,0,,,,,
player,201209090min,jax,ShorCe00,pass_long,0,,,,,
player,201209090min,jax,ShorCe00,pass_rating,,,,,,
player,201209090min,jax,ShorCe00,rush_att,0,,,,,
player,201209090min,jax,ShorCe00,rush_yds,0,,,,,
player,201209090min,jax,ShorCe00,rush_td,0,,,,,
player,201209090min,jax,ShorCe00,rush_long,0,,,,,
player,201209090min,jax,ShorCe00,targets,7,,,,,
player,201209090min,jax,ShorCe00,rec,4,,,,,
player,201209090min,jax,ShorCe00,rec_yds,74,,,,,
player,201209090min,jax,ShorCe00,rec_td,1,,,,,
player,201209090min,jax,ShorCe00,rec_long,39,,,,,
player,201209090min,jax,ShorCe00,fumbles,0,,,,,
player,201209090min,jax,ShorCe00,fumbles_lost,0,,,,,
player,201209090min,jax,RobiLa01,pass_cmp,0,,,,,
player,201209090min,jax,RobiLa01,pass_att,0,,,,,
player,201209090min,jax,RobiLa01,pass_yds,0,,,,,
player,201209090min,jax,RobiLa01,pass_td,0,,,,,
player,201209090min,jax,RobiLa01,pass_int,0,,,,,
player,201209090min,jax,RobiLa01,pass_sacked,0,,,,,
player,201209090min,jax,RobiLa01,pass_sacked_yds,0,,,,,
player,201209090min,jax,RobiLa01,pass_long,0,,,,,
player,201209090min,jax,RobiLa01,pass_rating,,,,,,
player,201209090min,jax,RobiLa01,rush_att,0,,,,,
player,201209090min,jax,RobiLa01,rush_yds,0,,,,,
player,201209090min,jax,RobiLa01,rush_td,0,,,,,
player,201209090min,jax,RobiLa01,rush_long,0,,,,,
