game,2012,2,20120916,201209160ram,was,"Washington Redskins",28,ram,"St. Louis Rams",31
team,201209160ram,was,First Downs,18,,,,,,
team,201209160ram,ram,First Downs,23,,,,,,
team,201209160ram,was,Rush-Yds-TDs,29-176-2,,,,,,
team,201209160ram,ram,Rush-Yds-TDs,27-151-0,,,,,,
team,201209160ram,was,Cmp-Att-Yd-TD-INT,20-29-206-1-1,,,,,,
team,201209160ram,ram,Cmp-Att-Yd-TD-INT,26-35-310-3-1,,,,,,
team,201209160ram,was,Sacked-Yards,1-9,,,,,,
team,201209160ram,ram,Sacked-Yards,2-9,,,,,,
team,201209160ram,was,Net Pass Yards,197,,,,,,
team,201209160ram,ram,Net Pass Yards,301,,,,,,
team,201209160ram,was,Total Yards,373,,,,,,
team,201209160ram,ram,Total Yards,452,,,,,,
team,201209160ram,was,Fumbles-Lost,0-0,,,,,,
team,201209160ram,ram,Fumbles-Lost,3-2,,,,,,
team,201209160ram,was,Turnovers,1,,,,,,
team,201209160ram,ram,Turnovers,3,,,,,,
team,201209160ram,was,Penalties-Yards,11-96,,,,,,
team,201209160ram,ram,Penalties-Yards,7-60,,,,,,
team,201209160ram,was,Third Down Conv.,4-13,,,,,,
team,201209160ram,ram,Third Down Conv.,7-12,,,,,,
team,201209160ram,was,Fourth Down Conv.,0-0,,,,,,
team,201209160ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201209160ram,was,Time of Possession,28:36,,,,,,
team,201209160ram,ram,Time of Possession,31:24,,,,,,
player,201209160ram,was,GrifRo01,pass_cmp,20,,,,,
player,201209160ram,was,GrifRo01,pass_att,29,,,,,
player,201209160ram,was,GrifRo01,pass_yds,206,,,,,
player,201209160ram,was,GrifRo01,pass_td,1,,,,,
player,201209160ram,was,GrifRo01,pass_int,1,,,,,
player,201209160ram,was,GrifRo01,pass_sacked,1,,,,,
player,201209160ram,was,GrifRo01,pass_sacked_yds,9,,,,,
player,201209160ram,was,GrifRo01,pass_long,68,,,,,
player,201209160ram,was,GrifRo01,pass_rating,86.3,,,,,
player,201209160ram,was,GrifRo01,rush_att,11,,,,,
player,201209160ram,was,GrifRo01,rush_yds,82,,,,,
player,201209160ram,was,GrifRo01,rush_td,2,,,,,
player,201209160ram,was,GrifRo01,rush_long,15,,,,,
player,201209160ram,was,GrifRo01,targets,0,,,,,
player,201209160ram,was,GrifRo01,rec,0,,,,,
player,201209160ram,was,GrifRo01,rec_yds,0,,,,,
player,201209160ram,was,GrifRo01,rec_td,0,,,,,
player,201209160ram,was,GrifRo01,rec_long,0,,,,,
player,201209160ram,was,GrifRo01,fumbles,0,,,,,
player,201209160ram,was,GrifRo01,fumbles_lost,0,,,,,
player,201209160ram,was,MorrAl00,pass_cmp,0,,,,,
player,201209160ram,was,MorrAl00,pass_att,0,,,,,
player,201209160ram,was,MorrAl00,pass_yds,0,,,,,
player,201209160ram,was,MorrAl00,pass_td,0,,,,,
player,201209160ram,was,MorrAl00,pass_int,0,,,,,
player,201209160ram,was,MorrAl00,pass_sacked,0,,,,,
player,201209160ram,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201209160ram,was,MorrAl00,pass_long,0,,,,,
player,201209160ram,was,MorrAl00,pass_rating,,,,,,
player,201209160ram,was,MorrAl00,rush_att,16,,,,,
player,201209160ram,was,MorrAl00,rush_yds,89,,,,,
player,201209160ram,was,MorrAl00,rush_td,0,,,,,
player,201209160ram,was,MorrAl00,rush_long,29,,,,,
player,201209160ram,was,MorrAl00,targets,0,,,,,
player,201209160ram,was,MorrAl00,rec,0,,,,,
player,201209160ram,was,MorrAl00,rec_yds,0,,,,,
player,201209160ram,was,MorrAl00,rec_td,0,,,,,
player,201209160ram,was,MorrAl00,rec_long,0,,,,,
player,201209160ram,was,MorrAl00,fumbles,0,,,,,
player,201209160ram,was,MorrAl00,fumbles_lost,0,,,,,
