game,2012,13,20121202,201212020kan,car,"Carolina Panthers",21,kan,"Kansas City Chiefs",27
team,201212020kan,car,First Downs,19,,,,,,
team,201212020kan,kan,First Downs,23,,,,,,
team,201212020kan,car,Rush-Yds-TDs,22-165-0,,,,,,
team,201212020kan,kan,Rush-Yds-TDs,43-158-1,,,,,,
team,201212020kan,car,Cmp-Att-Yd-TD-INT,15-27-232-3-0,,,,,,
team,201212020kan,kan,Cmp-Att-Yd-TD-INT,19-23-201-2-0,,,,,,
team,201212020kan,car,Sacked-Yards,2-12,,,,,,
team,201212020kan,kan,Sacked-Yards,1-4,,,,,,
team,201212020kan,car,Net Pass Yards,220,,,,,,
team,201212020kan,kan,Net Pass Yards,197,,,,,,
team,201212020kan,car,Total Yards,385,,,,,,
team,201212020kan,kan,Total Yards,355,,,,,,
team,201212020kan,car,Fumbles-Lost,1-0,,,,,,
team,201212020kan,kan,Fumbles-Lost,0-0,,,,,,
team,201212020kan,car,Turnovers,0,,,,,,
team,201212020kan,kan,Turnovers,0,,,,,,
team,201212020kan,car,Penalties-Yards,7-45,,,,,,
team,201212020kan,kan,Penalties-Yards,1-5,,,,,,
team,201212020kan,car,Third Down Conv.,6-10,,,,,,
team,201212020kan,kan,Third Down Conv.,6-14,,,,,,
team,201212020kan,car,Fourth Down Conv.,0-0,,,,,,
team,201212020kan,kan,Fourth Down Conv.,3-3,,,,,,
team,201212020kan,car,Time of Possession,22:47,,,,,,
team,201212020kan,kan,Time of Possession,37:13,,,,,,
player,201212020kan,car,NewtCa00,pass_cmp,15,,,,,
player,201212020kan,car,NewtCa00,pass_att,27,,,,,
player,201212020kan,car,NewtCa00,pass_yds,232,,,,,
player,201212020kan,car,NewtCa00,pass_td,3,,,,,
player,201212020kan,car,NewtCa00,pass_int,0,,,,,
player,201212020kan,car,NewtCa00,pass_sacked,2,,,,,
player,201212020kan,car,NewtCa00,pass_sacked_yds,12,,,,,
player,201212020kan,car,NewtCa00,pass_long,53,,,,,
player,201212020kan,car,NewtCa00,pass_rating,121.2,,,,,
player,201212020kan,car,NewtCa00,rush_att,7,,,,,
player,201212020kan,car,NewtCa00,rush_yds,78,,,,,
player,201212020kan,car,NewtCa00,rush_td,0,,,,,
player,201212020kan,car,NewtCa00,rush_long,28,,,,,
player,201212020kan,car,NewtCa00,targets,0,,,,,
player,201212020kan,car,NewtCa00,rec,0,,,,,
player,201212020kan,car,NewtCa00,rec_yds,0,,,,,
player,201212020kan,car,NewtCa00,rec_td,0,,,,,
player,201212020kan,car,NewtCa00,rec_long,0,,,,,
player,201212020kan,car,NewtCa00,fumbles,0,,,,,
player,201212020kan,car,NewtCa00,fumbles_lost,0,,,,,
player,201212020kan,car,WillDe02,pass_cmp,0,,,,,
player,201212020kan,car,WillDe02,pass_att,0,,,,,
player,201212020kan,car,WillDe02,pass_yds,0,,,,,
player,201212020kan,car,WillDe02,pass_td,0,,,,,
player,201212020kan,car,WillDe02,pass_int,0,,,,,
player,201212020kan,car,WillDe02,pass_sacked,0,,,,,
player,201212020kan,car,WillDe02,pass_sacked_yds,0,,,,,
player,201212020kan,car,WillDe02,pass_long,0,,,,,
player,201212020kan,car,WillDe02,pass_rating,,,,,,
player,201212020kan,car,WillDe02,rush_att,12,,,,,
player,201212020kan,car,WillDe02,rush_yds,67,,,,,
player,201212020kan,car,WillDe02,rush_td,0,,,,,
player,201212020kan,car,WillDe02,rush_long,13,,,,,
player,201212020kan,car,WillDe02,targets,1,,,,,
player,201212020kan,car,WillDe02,rec,1,,,,,
player,201212020kan,car,WillDe02,rec_yds,1,,,,,
player,201212020kan,car,WillDe02,rec_td,0,,,,,
player,201212020kan,car,WillDe02,rec_long,1,,,,,
player,201212020kan,car,WillDe02,fumbles,0,,,,,
