game,2012,3,20120923,201209230chi,ram,"St. Louis Rams",6,chi,"Chicago Bears",23
team,201209230chi,ram,First Downs,12,,,,,,
team,201209230chi,chi,First Downs,20,,,,,,
team,201209230chi,ram,Rush-Yds-TDs,17-59-0,,,,,,
team,201209230chi,chi,Rush-Yds-TDs,34-103-1,,,,,,
team,201209230chi,ram,Cmp-Att-Yd-TD-INT,18-35-152-0-2,,,,,,
team,201209230chi,chi,Cmp-Att-Yd-TD-INT,17-31-183-0-1,,,,,,
team,201209230chi,ram,Sacked-Yards,6-51,,,,,,
team,201209230chi,chi,Sacked-Yards,2-12,,,,,,
team,201209230chi,ram,Net Pass Yards,101,,,,,,
team,201209230chi,chi,Net Pass Yards,171,,,,,,
team,201209230chi,ram,Total Yards,160,,,,,,
team,201209230chi,chi,Total Yards,274,,,,,,
team,201209230chi,ram,Fumbles-Lost,0-0,,,,,,
team,201209230chi,chi,Fumbles-Lost,0-0,,,,,,
team,201209230chi,ram,Turnovers,2,,,,,,
team,201209230chi,chi,Turnovers,1,,,,,,
team,201209230chi,ram,Penalties-Yards,4-40,,,,,,
team,201209230chi,chi,Penalties-Yards,6-45,,,,,,
team,201209230chi,ram,Third Down Conv.,3-13,,,,,,
team,201209230chi,chi,Third Down Conv.,4-14,,,,,,
team,201209230chi,ram,Fourth Down Conv.,0-1,,,,,,
team,201209230chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201209230chi,ram,Time of Possession,26:04,,,,,,
team,201209230chi,chi,Time of Possession,33:56,,,,,,
player,201209230chi,ram,BradSa00,pass_cmp,18,,,,,
player,201209230chi,ram,BradSa00,pass_att,35,,,,,
player,201209230chi,ram,BradSa00,pass_yds,152,,,,,
player,201209230chi,ram,BradSa00,pass_td,0,,,,,
player,201209230chi,ram,BradSa00,pass_int,2,,,,,
player,201209230chi,ram,BradSa00,pass_sacked,6,,,,,
player,201209230chi,ram,BradSa00,pass_sacked_yds,51,,,,,
player,201209230chi,ram,BradSa00,pass_long,30,,,,,
player,201209230chi,ram,BradSa00,pass_rating,39.2,,,,,
player,201209230chi,ram,BradSa00,rush_att,2,,,,,
player,201209230chi,ram,BradSa00,rush_yds,14,,,,,
player,201209230chi,ram,BradSa00,rush_td,0,,,,,
player,201209230chi,ram,BradSa00,rush_long,10,,,,,
player,201209230chi,ram,BradSa00,targets,0,,,,,
player,201209230chi,ram,BradSa00,rec,0,,,,,
player,201209230chi,ram,BradSa00,rec_yds,0,,,,,
player,201209230chi,ram,BradSa00,rec_td,0,,,,,
player,201209230chi,ram,BradSa00,rec_long,0,,,,,
player,201209230chi,ram,BradSa00,fumbles,0,,,,,
player,201209230chi,ram,BradSa00,fumbles_lost,0,,,,,
