game,2012,6,20121014,201210140htx,gnb,"Green Bay Packers",42,htx,"Houston Texans",24
player,201210140htx,htx,SchaMa00,rec,0,,,,,
player,201210140htx,htx,SchaMa00,rec_yds,0,,,,,
player,201210140htx,htx,SchaMa00,rec_td,0,,,,,
player,201210140htx,htx,SchaMa00,rec_long,0,,,,,
player,201210140htx,htx,SchaMa00,fumbles,1,,,,,
player,201210140htx,htx,SchaMa00,fumbles_lost,0,,,,,
player,201210140htx,htx,YateT.00,pass_cmp,2,,,,,
player,201210140htx,htx,YateT.00,pass_att,5,,,,,
player,201210140htx,htx,YateT.00,pass_yds,23,,,,,
player,201210140htx,htx,YateT.00,pass_td,0,,,,,
player,201210140htx,htx,YateT.00,pass_int,1,,,,,
player,201210140htx,htx,YateT.00,pass_sacked,0,,,,,
player,201210140htx,htx,YateT.00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,YateT.00,pass_long,12,,,,,
player,201210140htx,htx,YateT.00,pass_rating,15.0,,,,,
player,201210140htx,htx,YateT.00,rush_att,0,,,,,
player,201210140htx,htx,YateT.00,rush_yds,0,,,,,
player,201210140htx,htx,YateT.00,rush_td,0,,,,,
player,201210140htx,htx,YateT.00,rush_long,0,,,,,
player,201210140htx,htx,YateT.00,targets,0,,,,,
player,201210140htx,htx,YateT.00,rec,0,,,,,
player,201210140htx,htx,YateT.00,rec_yds,0,,,,,
player,201210140htx,htx,YateT.00,rec_td,0,,,,,
player,201210140htx,htx,YateT.00,rec_long,0,,,,,
player,201210140htx,htx,YateT.00,fumbles,0,,,,,
player,201210140htx,htx,YateT.00,fumbles_lost,0,,,,,
player,201210140htx,htx,ForsJu00,pass_cmp,0,,,,,
player,201210140htx,htx,ForsJu00,pass_att,0,,,,,
player,201210140htx,htx,ForsJu00,pass_yds,0,,,,,
player,201210140htx,htx,ForsJu00,pass_td,0,,,,,
player,201210140htx,htx,ForsJu00,pass_int,0,,,,,
player,201210140htx,htx,ForsJu00,pass_sacked,0,,,,,
player,201210140htx,htx,ForsJu00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,ForsJu00,pass_long,0,,,,,
player,201210140htx,htx,ForsJu00,pass_rating,,,,,,
player,201210140htx,htx,ForsJu00,rush_att,7,,,,,
player,201210140htx,htx,ForsJu00,rush_yds,47,,,,,
player,201210140htx,htx,ForsJu00,rush_td,0,,,,,
player,201210140htx,htx,ForsJu00,rush_long,17,,,,,
player,201210140htx,htx,ForsJu00,targets,1,,,,,
player,201210140htx,htx,ForsJu00,rec,1,,,,,
player,201210140htx,htx,ForsJu00,rec_yds,18,,,,,
player,201210140htx,htx,ForsJu00,rec_td,0,,,,,
player,201210140htx,htx,ForsJu00,rec_long,18,,,,,
player,201210140htx,htx,ForsJu00,fumbles,0,,,,,
player,201210140htx,htx,ForsJu00,fumbles_lost,0,,,,,
player,201210140htx,htx,FostAr00,pass_cmp,0,,,,,
player,201210140htx,htx,FostAr00,pass_att,0,,,,,
player,201210140htx,htx,FostAr00,pass_yds,0,,,,,
player,201210140htx,htx,FostAr00,pass_td,0,,,,,
player,201210140htx,htx,FostAr00,pass_int,0,,,,,
player,201210140htx,htx,FostAr00,pass_sacked,0,,,,,
player,201210140htx,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,FostAr00,pass_long,0,,,,,
player,201210140htx,htx,FostAr00,pass_rating,,,,,,
player,201210140htx,htx,FostAr00,rush_att,17,,,,,
player,201210140htx,htx,FostAr00,rush_yds,29,,,,,
player,201210140htx,htx,FostAr00,rush_td,2,,,,,
player,201210140htx,htx,FostAr00,rush_long,5,,,,,
player,201210140htx,htx,FostAr00,targets,3,,,,,
player,201210140htx,htx,FostAr00,rec,1,,,,,
player,201210140htx,htx,FostAr00,rec_yds,12,,,,,
player,201210140htx,htx,FostAr00,rec_td,0,,,,,
player,201210140htx,htx,FostAr00,rec_long,12,,,,,
player,201210140htx,htx,FostAr00,fumbles,0,,,,,
player,201210140htx,htx,FostAr00,fumbles_lost,0,,,,,
player,201210140htx,htx,TateBe00,pass_cmp,0,,,,,
player,201210140htx,htx,TateBe00,pass_att,0,,,,,
player,201210140htx,htx,TateBe00,pass_yds,0,,,,,
player,201210140htx,htx,TateBe00,pass_td,0,,,,,
player,201210140htx,htx,TateBe00,pass_int,0,,,,,
player,201210140htx,htx,TateBe00,pass_sacked,0,,,,,
player,201210140htx,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,TateBe00,pass_long,0,,,,,
player,201210140htx,htx,TateBe00,pass_rating,,,,,,
player,201210140htx,htx,TateBe00,rush_att,3,,,,,
player,201210140htx,htx,TateBe00,rush_yds,14,,,,,
player,201210140htx,htx,TateBe00,rush_td,0,,,,,
player,201210140htx,htx,TateBe00,rush_long,10,,,,,
player,201210140htx,htx,TateBe00,targets,0,,,,,
player,201210140htx,htx,TateBe00,rec,0,,,,,
player,201210140htx,htx,TateBe00,rec_yds,0,,,,,
player,201210140htx,htx,TateBe00,rec_td,0,,,,,
player,201210140htx,htx,TateBe00,rec_long,0,,,,,
player,201210140htx,htx,TateBe00,fumbles,0,,,,,
player,201210140htx,htx,TateBe00,fumbles_lost,0,,,,,
player,201210140htx,htx,JohnAn02,pass_cmp,0,,,,,
player,201210140htx,htx,JohnAn02,pass_att,0,,,,,
player,201210140htx,htx,JohnAn02,pass_yds,0,,,,,
player,201210140htx,htx,JohnAn02,pass_td,0,,,,,
player,201210140htx,htx,JohnAn02,pass_int,0,,,,,
player,201210140htx,htx,JohnAn02,pass_sacked,0,,,,,
player,201210140htx,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201210140htx,htx,JohnAn02,pass_long,0,,,,,
player,201210140htx,htx,JohnAn02,pass_rating,,,,,,
player,201210140htx,htx,JohnAn02,rush_att,0,,,,,
player,201210140htx,htx,JohnAn02,rush_yds,0,,,,,
player,201210140htx,htx,JohnAn02,rush_td,0,,,,,
player,201210140htx,htx,JohnAn02,rush_long,0,,,,,
player,201210140htx,htx,JohnAn02,targets,12,,,,,
player,201210140htx,htx,JohnAn02,rec,8,,,,,
player,201210140htx,htx,JohnAn02,rec_yds,75,,,,,
player,201210140htx,htx,JohnAn02,rec_td,0,,,,,
player,201210140htx,htx,JohnAn02,rec_long,15,,,,,
player,201210140htx,htx,JohnAn02,fumbles,0,,,,,
player,201210140htx,htx,JohnAn02,fumbles_lost,0,,,,,
player,201210140htx,htx,DaniOw00,pass_cmp,0,,,,,
player,201210140htx,htx,DaniOw00,pass_att,0,,,,,
player,201210140htx,htx,DaniOw00,pass_yds,0,,,,,
player,201210140htx,htx,DaniOw00,pass_td,0,,,,,
player,201210140htx,htx,DaniOw00,pass_int,0,,,,,
player,201210140htx,htx,DaniOw00,pass_sacked,0,,,,,
player,201210140htx,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,DaniOw00,pass_long,0,,,,,
player,201210140htx,htx,DaniOw00,pass_rating,,,,,,
player,201210140htx,htx,DaniOw00,rush_att,0,,,,,
player,201210140htx,htx,DaniOw00,rush_yds,0,,,,,
player,201210140htx,htx,DaniOw00,rush_td,0,,,,,
player,201210140htx,htx,DaniOw00,rush_long,0,,,,,
player,201210140htx,htx,DaniOw00,targets,5,,,,,
player,201210140htx,htx,DaniOw00,rec,3,,,,,
player,201210140htx,htx,DaniOw00,rec_yds,46,,,,,
player,201210140htx,htx,DaniOw00,rec_td,0,,,,,
player,201210140htx,htx,DaniOw00,rec_long,27,,,,,
player,201210140htx,htx,DaniOw00,fumbles,0,,,,,
player,201210140htx,htx,DaniOw00,fumbles_lost,0,,,,,
player,201210140htx,htx,WaltKe00,pass_cmp,0,,,,,
player,201210140htx,htx,WaltKe00,pass_att,0,,,,,
player,201210140htx,htx,WaltKe00,pass_yds,0,,,,,
player,201210140htx,htx,WaltKe00,pass_td,0,,,,,
player,201210140htx,htx,WaltKe00,pass_int,0,,,,,
player,201210140htx,htx,WaltKe00,pass_sacked,0,,,,,
player,201210140htx,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,WaltKe00,pass_long,0,,,,,
player,201210140htx,htx,WaltKe00,pass_rating,,,,,,
player,201210140htx,htx,WaltKe00,rush_att,0,,,,,
player,201210140htx,htx,WaltKe00,rush_yds,0,,,,,
player,201210140htx,htx,WaltKe00,rush_td,0,,,,,
player,201210140htx,htx,WaltKe00,rush_long,0,,,,,
player,201210140htx,htx,WaltKe00,targets,3,,,,,
player,201210140htx,htx,WaltKe00,rec,2,,,,,
player,201210140htx,htx,WaltKe00,rec_yds,28,,,,,
player,201210140htx,htx,WaltKe00,rec_td,0,,,,,
player,201210140htx,htx,WaltKe00,rec_long,16,,,,,
player,201210140htx,htx,WaltKe00,fumbles,0,,,,,
player,201210140htx,htx,WaltKe00,fumbles_lost,0,,,,,
player,201210140htx,htx,CaseJa00,pass_cmp,0,,,,,
player,201210140htx,htx,CaseJa00,pass_att,0,,,,,
player,201210140htx,htx,CaseJa00,pass_yds,0,,,,,
player,201210140htx,htx,CaseJa00,pass_td,0,,,,,
player,201210140htx,htx,CaseJa00,pass_int,0,,,,,
player,201210140htx,htx,CaseJa00,pass_sacked,0,,,,,
player,201210140htx,htx,CaseJa00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,CaseJa00,pass_long,0,,,,,
player,201210140htx,htx,CaseJa00,pass_rating,,,,,,
player,201210140htx,htx,CaseJa00,rush_att,0,,,,,
player,201210140htx,htx,CaseJa00,rush_yds,0,,,,,
player,201210140htx,htx,CaseJa00,rush_td,0,,,,,
player,201210140htx,htx,CaseJa00,rush_long,0,,,,,
player,201210140htx,htx,CaseJa00,targets,2,,,,,
player,201210140htx,htx,CaseJa00,rec,2,,,,,
player,201210140htx,htx,CaseJa00,rec_yds,27,,,,,
player,201210140htx,htx,CaseJa00,rec_td,0,,,,,
player,201210140htx,htx,CaseJa00,rec_long,15,,,,,
player,201210140htx,htx,CaseJa00,fumbles,0,,,,,
player,201210140htx,htx,CaseJa00,fumbles_lost,0,,,,,
player,201210140htx,htx,GrahGa00,pass_cmp,0,,,,,
player,201210140htx,htx,GrahGa00,pass_att,0,,,,,
player,201210140htx,htx,GrahGa00,pass_yds,0,,,,,
player,201210140htx,htx,GrahGa00,pass_td,0,,,,,
player,201210140htx,htx,GrahGa00,pass_int,0,,,,,
player,201210140htx,htx,GrahGa00,pass_sacked,0,,,,,
player,201210140htx,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,GrahGa00,pass_long,0,,,,,
player,201210140htx,htx,GrahGa00,pass_rating,,,,,,
player,201210140htx,htx,GrahGa00,rush_att,0,,,,,
player,201210140htx,htx,GrahGa00,rush_yds,0,,,,,
player,201210140htx,htx,GrahGa00,rush_td,0,,,,,
player,201210140htx,htx,GrahGa00,rush_long,0,,,,,
player,201210140htx,htx,GrahGa00,targets,5,,,,,
player,201210140htx,htx,GrahGa00,rec,3,,,,,
player,201210140htx,htx,GrahGa00,rec_yds,25,,,,,
player,201210140htx,htx,GrahGa00,rec_td,0,,,,,
player,201210140htx,htx,GrahGa00,rec_long,11,,,,,
player,201210140htx,htx,GrahGa00,fumbles,0,,,,,
player,201210140htx,htx,GrahGa00,fumbles_lost,0,,,,,
player,201210140htx,htx,MartKe01,pass_cmp,0,,,,,
player,201210140htx,htx,MartKe01,pass_att,0,,,,,
player,201210140htx,htx,MartKe01,pass_yds,0,,,,,
player,201210140htx,htx,MartKe01,pass_td,0,,,,,
player,201210140htx,htx,MartKe01,pass_int,0,,,,,
player,201210140htx,htx,MartKe01,pass_sacked,0,,,,,
player,201210140htx,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201210140htx,htx,MartKe01,pass_long,0,,,,,
player,201210140htx,htx,MartKe01,pass_rating,,,,,,
player,201210140htx,htx,MartKe01,rush_att,0,,,,,
player,201210140htx,htx,MartKe01,rush_yds,0,,,,,
player,201210140htx,htx,MartKe01,rush_td,0,,,,,
player,201210140htx,htx,MartKe01,rush_long,0,,,,,
player,201210140htx,htx,MartKe01,targets,6,,,,,
player,201210140htx,htx,MartKe01,rec,2,,,,,
player,201210140htx,htx,MartKe01,rec_yds,24,,,,,
player,201210140htx,htx,MartKe01,rec_td,0,,,,,
player,201210140htx,htx,MartKe01,rec_long,12,,,,,
player,201210140htx,htx,MartKe01,fumbles,0,,,,,
player,201210140htx,htx,MartKe01,fumbles_lost,0,,,,,
player,201210140htx,htx,PoseDe00,pass_cmp,0,,,,,
player,201210140htx,htx,PoseDe00,pass_att,0,,,,,
player,201210140htx,htx,PoseDe00,pass_yds,0,,,,,
player,201210140htx,htx,PoseDe00,pass_td,0,,,,,
player,201210140htx,htx,PoseDe00,pass_int,0,,,,,
player,201210140htx,htx,PoseDe00,pass_sacked,0,,,,,
player,201210140htx,htx,PoseDe00,pass_sacked_yds,0,,,,,
player,201210140htx,htx,PoseDe00,pass_long,0,,,,,
player,201210140htx,htx,PoseDe00,pass_rating,,,,,,
player,201210140htx,htx,PoseDe00,rush_att,0,,,,,
player,201210140htx,htx,PoseDe00,rush_yds,0,,,,,
player,201210140htx,htx,PoseDe00,rush_td,0,,,,,
player,201210140htx,htx,PoseDe00,rush_long,0,,,,,
player,201210140htx,htx,PoseDe00,targets,1,,,,,
player,201210140htx,htx,PoseDe00,rec,0,,,,,
player,201210140htx,htx,PoseDe00,rec_yds,0,,,,,
player,201210140htx,htx,PoseDe00,rec_td,0,,,,,
player,201210140htx,htx,PoseDe00,rec_long,0,,,,,
player,201210140htx,htx,PoseDe00,fumbles,0,,,,,
player,201210140htx,htx,PoseDe00,fumbles_lost,0,,,,,
player,201210140htx,gnb,HaywCa00,def_int,2,,,,,
player,201210140htx,gnb,HaywCa00,def_int_yds,37,,,,,
player,201210140htx,gnb,HaywCa00,def_int_td,0,,,,,
player,201210140htx,gnb,HaywCa00,def_int_long,20,,,,,
