game,2012,16,20121223,201212230gnb,oti,"Tennessee Titans",7,gnb,"Green Bay Packers",55
team,201212230gnb,oti,First Downs,10,,,,,,
team,201212230gnb,gnb,First Downs,28,,,,,,
team,201212230gnb,oti,Rush-Yds-TDs,22-79-0,,,,,,
team,201212230gnb,gnb,Rush-Yds-TDs,35-117-4,,,,,,
team,201212230gnb,oti,Cmp-Att-Yd-TD-INT,13-30-140-1-2,,,,,,
team,201212230gnb,gnb,Cmp-Att-Yd-TD-INT,28-40-351-3-0,,,,,,
team,201212230gnb,oti,Sacked-Yards,7-39,,,,,,
team,201212230gnb,gnb,Sacked-Yards,1-8,,,,,,
team,201212230gnb,oti,Net Pass Yards,101,,,,,,
team,201212230gnb,gnb,Net Pass Yards,343,,,,,,
team,201212230gnb,oti,Total Yards,180,,,,,,
team,201212230gnb,gnb,Total Yards,460,,,,,,
team,201212230gnb,oti,Fumbles-Lost,0-0,,,,,,
team,201212230gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201212230gnb,oti,Turnovers,2,,,,,,
team,201212230gnb,gnb,Turnovers,0,,,,,,
team,201212230gnb,oti,Penalties-Yards,5-35,,,,,,
team,201212230gnb,gnb,Penalties-Yards,1-10,,,,,,
team,201212230gnb,oti,Third Down Conv.,4-15,,,,,,
team,201212230gnb,gnb,Third Down Conv.,2-11,,,,,,
team,201212230gnb,oti,Fourth Down Conv.,0-2,,,,,,
team,201212230gnb,gnb,Fourth Down Conv.,2-3,,,,,,
team,201212230gnb,oti,Time of Possession,25:36,,,,,,
team,201212230gnb,gnb,Time of Possession,34:24,,,,,,
player,201212230gnb,oti,LockJa00,pass_cmp,13,,,,,
player,201212230gnb,oti,LockJa00,pass_att,30,,,,,
player,201212230gnb,oti,LockJa00,pass_yds,140,,,,,
player,201212230gnb,oti,LockJa00,pass_td,1,,,,,
player,201212230gnb,oti,LockJa00,pass_int,2,,,,,
player,201212230gnb,oti,LockJa00,pass_sacked,7,,,,,
player,201212230gnb,oti,LockJa00,pass_sacked_yds,39,,,,,
player,201212230gnb,oti,LockJa00,pass_long,39,,,,,
player,201212230gnb,oti,LockJa00,pass_rating,41.0,,,,,
player,201212230gnb,oti,LockJa00,rush_att,4,,,,,
player,201212230gnb,oti,LockJa00,rush_yds,32,,,,,
player,201212230gnb,oti,LockJa00,rush_td,0,,,,,
player,201212230gnb,oti,LockJa00,rush_long,22,,,,,
player,201212230gnb,oti,LockJa00,targets,0,,,,,
player,201212230gnb,oti,LockJa00,rec,0,,,,,
player,201212230gnb,oti,LockJa00,rec_yds,0,,,,,
player,201212230gnb,oti,LockJa00,rec_td,0,,,,,
player,201212230gnb,oti,LockJa00,rec_long,0,,,,,
player,201212230gnb,oti,LockJa00,fumbles,0,,,,,
player,201212230gnb,oti,LockJa00,fumbles_lost,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_cmp,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_att,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_yds,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_td,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_int,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_sacked,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_long,0,,,,,
player,201212230gnb,oti,JohnCh04,pass_rating,,,,,,
player,201212230gnb,oti,JohnCh04,rush_att,11,,,,,
player,201212230gnb,oti,JohnCh04,rush_yds,28,,,,,
player,201212230gnb,oti,JohnCh04,rush_td,0,,,,,
player,201212230gnb,oti,JohnCh04,rush_long,8,,,,,
player,201212230gnb,oti,JohnCh04,targets,4,,,,,
player,201212230gnb,oti,JohnCh04,rec,2,,,,,
player,201212230gnb,oti,JohnCh04,rec_yds,13,,,,,
player,201212230gnb,oti,JohnCh04,rec_td,0,,,,,
player,201212230gnb,oti,JohnCh04,rec_long,8,,,,,
player,201212230gnb,oti,JohnCh04,fumbles,0,,,,,
player,201212230gnb,oti,JohnCh04,fumbles_lost,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_cmp,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_att,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_yds,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_td,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_int,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_sacked,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_long,0,,,,,
player,201212230gnb,oti,HarpJa01,pass_rating,,,,,,
player,201212230gnb,oti,HarpJa01,rush_att,6,,,,,
player,201212230gnb,oti,HarpJa01,rush_yds,19,,,,,
player,201212230gnb,oti,HarpJa01,rush_td,0,,,,,
player,201212230gnb,oti,HarpJa01,rush_long,13,,,,,
player,201212230gnb,oti,HarpJa01,targets,0,,,,,
player,201212230gnb,oti,HarpJa01,rec,0,,,,,
player,201212230gnb,oti,HarpJa01,rec_yds,0,,,,,
player,201212230gnb,oti,HarpJa01,rec_td,0,,,,,
player,201212230gnb,oti,HarpJa01,rec_long,0,,,,,
player,201212230gnb,oti,HarpJa01,fumbles,0,,,,,
player,201212230gnb,oti,HarpJa01,fumbles_lost,0,,,,,
player,201212230gnb,oti,BritKe00,pass_cmp,0,,,,,
player,201212230gnb,oti,BritKe00,pass_att,0,,,,,
player,201212230gnb,oti,BritKe00,pass_yds,0,,,,,
player,201212230gnb,oti,BritKe00,pass_td,0,,,,,
player,201212230gnb,oti,BritKe00,pass_int,0,,,,,
player,201212230gnb,oti,BritKe00,pass_sacked,0,,,,,
player,201212230gnb,oti,BritKe00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,BritKe00,pass_long,0,,,,,
player,201212230gnb,oti,BritKe00,pass_rating,,,,,,
player,201212230gnb,oti,BritKe00,rush_att,0,,,,,
player,201212230gnb,oti,BritKe00,rush_yds,0,,,,,
player,201212230gnb,oti,BritKe00,rush_td,0,,,,,
player,201212230gnb,oti,BritKe00,rush_long,0,,,,,
player,201212230gnb,oti,BritKe00,targets,6,,,,,
player,201212230gnb,oti,BritKe00,rec,2,,,,,
player,201212230gnb,oti,BritKe00,rec_yds,41,,,,,
player,201212230gnb,oti,BritKe00,rec_td,1,,,,,
player,201212230gnb,oti,BritKe00,rec_long,39,,,,,
player,201212230gnb,oti,BritKe00,fumbles,0,,,,,
player,201212230gnb,oti,BritKe00,fumbles_lost,0,,,,,
player,201212230gnb,oti,WillDa04,pass_cmp,0,,,,,
player,201212230gnb,oti,WillDa04,pass_att,0,,,,,
player,201212230gnb,oti,WillDa04,pass_yds,0,,,,,
player,201212230gnb,oti,WillDa04,pass_td,0,,,,,
player,201212230gnb,oti,WillDa04,pass_int,0,,,,,
player,201212230gnb,oti,WillDa04,pass_sacked,0,,,,,
player,201212230gnb,oti,WillDa04,pass_sacked_yds,0,,,,,
