game,2012,10,20121111,201211110tam,sdg,"San Diego Chargers",24,tam,"Tampa Bay Buccaneers",34
team,201211110tam,sdg,First Downs,23,,,,,,
team,201211110tam,tam,First Downs,12,,,,,,
team,201211110tam,sdg,Rush-Yds-TDs,26-103-0,,,,,,
team,201211110tam,tam,Rush-Yds-TDs,22-74-0,,,,,,
team,201211110tam,sdg,Cmp-Att-Yd-TD-INT,29-37-337-3-2,,,,,,
team,201211110tam,tam,Cmp-Att-Yd-TD-INT,14-20-210-2-0,,,,,,
team,201211110tam,sdg,Sacked-Yards,2-14,,,,,,
team,201211110tam,tam,Sacked-Yards,1-5,,,,,,
team,201211110tam,sdg,Net Pass Yards,323,,,,,,
team,201211110tam,tam,Net Pass Yards,205,,,,,,
team,201211110tam,sdg,Total Yards,426,,,,,,
team,201211110tam,tam,Total Yards,279,,,,,,
team,201211110tam,sdg,Fumbles-Lost,0-0,,,,,,
team,201211110tam,tam,Fumbles-Lost,0-0,,,,,,
team,201211110tam,sdg,Turnovers,2,,,,,,
team,201211110tam,tam,Turnovers,0,,,,,,
team,201211110tam,sdg,Penalties-Yards,1-5,,,,,,
team,201211110tam,tam,Penalties-Yards,1-5,,,,,,
team,201211110tam,sdg,Third Down Conv.,10-15,,,,,,
team,201211110tam,tam,Third Down Conv.,3-9,,,,,,
team,201211110tam,sdg,Fourth Down Conv.,0-0,,,,,,
team,201211110tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201211110tam,sdg,Time of Possession,36:41,,,,,,
team,201211110tam,tam,Time of Possession,23:19,,,,,,
player,201211110tam,sdg,RivePh00,pass_cmp,29,,,,,
player,201211110tam,sdg,RivePh00,pass_att,37,,,,,
player,201211110tam,sdg,RivePh00,pass_yds,337,,,,,
player,201211110tam,sdg,RivePh00,pass_td,3,,,,,
player,201211110tam,sdg,RivePh00,pass_int,2,,,,,
player,201211110tam,sdg,RivePh00,pass_sacked,2,,,,,
player,201211110tam,sdg,RivePh00,pass_sacked_yds,14,,,,,
player,201211110tam,sdg,RivePh00,pass_long,80,,,,,
player,201211110tam,sdg,RivePh00,pass_rating,109.1,,,,,
player,201211110tam,sdg,RivePh00,rush_att,2,,,,,
player,201211110tam,sdg,RivePh00,rush_yds,5,,,,,
player,201211110tam,sdg,RivePh00,rush_td,0,,,,,
player,201211110tam,sdg,RivePh00,rush_long,4,,,,,
player,201211110tam,sdg,RivePh00,targets,0,,,,,
player,201211110tam,sdg,RivePh00,rec,0,,,,,
player,201211110tam,sdg,RivePh00,rec_yds,0,,,,,
player,201211110tam,sdg,RivePh00,rec_td,0,,,,,
player,201211110tam,sdg,RivePh00,rec_long,0,,,,,
player,201211110tam,sdg,RivePh00,fumbles,0,,,,,
player,201211110tam,sdg,RivePh00,fumbles_lost,0,,,,,
player,201211110tam,sdg,MathRy00,pass_cmp,0,,,,,
player,201211110tam,sdg,MathRy00,pass_att,0,,,,,
player,201211110tam,sdg,MathRy00,pass_yds,0,,,,,
player,201211110tam,sdg,MathRy00,pass_td,0,,,,,
player,201211110tam,sdg,MathRy00,pass_int,0,,,,,
player,201211110tam,sdg,MathRy00,pass_sacked,0,,,,,
player,201211110tam,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,MathRy00,pass_long,0,,,,,
player,201211110tam,sdg,MathRy00,pass_rating,,,,,,
player,201211110tam,sdg,MathRy00,rush_att,17,,,,,
player,201211110tam,sdg,MathRy00,rush_yds,54,,,,,
player,201211110tam,sdg,MathRy00,rush_td,0,,,,,
player,201211110tam,sdg,MathRy00,rush_long,10,,,,,
player,201211110tam,sdg,MathRy00,targets,6,,,,,
player,201211110tam,sdg,MathRy00,rec,5,,,,,
player,201211110tam,sdg,MathRy00,rec_yds,22,,,,,
player,201211110tam,sdg,MathRy00,rec_td,0,,,,,
player,201211110tam,sdg,MathRy00,rec_long,8,,,,,
player,201211110tam,sdg,MathRy00,fumbles,0,,,,,
player,201211110tam,sdg,MathRy00,fumbles_lost,0,,,,,
player,201211110tam,sdg,BattJa00,pass_cmp,0,,,,,
player,201211110tam,sdg,BattJa00,pass_att,0,,,,,
player,201211110tam,sdg,BattJa00,pass_yds,0,,,,,
player,201211110tam,sdg,BattJa00,pass_td,0,,,,,
player,201211110tam,sdg,BattJa00,pass_int,0,,,,,
player,201211110tam,sdg,BattJa00,pass_sacked,0,,,,,
player,201211110tam,sdg,BattJa00,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,BattJa00,pass_long,0,,,,,
player,201211110tam,sdg,BattJa00,pass_rating,,,,,,
player,201211110tam,sdg,BattJa00,rush_att,1,,,,,
player,201211110tam,sdg,BattJa00,rush_yds,21,,,,,
player,201211110tam,sdg,BattJa00,rush_td,0,,,,,
player,201211110tam,sdg,BattJa00,rush_long,21,,,,,
player,201211110tam,sdg,BattJa00,targets,0,,,,,
player,201211110tam,sdg,BattJa00,rec,0,,,,,
player,201211110tam,sdg,BattJa00,rec_yds,0,,,,,
player,201211110tam,sdg,BattJa00,rec_td,0,,,,,
player,201211110tam,sdg,BattJa00,rec_long,0,,,,,
player,201211110tam,sdg,BattJa00,fumbles,0,,,,,
player,201211110tam,sdg,BattJa00,fumbles_lost,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_cmp,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_att,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_yds,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_td,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_int,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_sacked,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_long,0,,,,,
player,201211110tam,sdg,BrowRo05,pass_rating,,,,,,
player,201211110tam,sdg,BrowRo05,rush_att,4,,,,,
player,201211110tam,sdg,BrowRo05,rush_yds,18,,,,,
player,201211110tam,sdg,BrowRo05,rush_td,0,,,,,
player,201211110tam,sdg,BrowRo05,rush_long,16,,,,,
player,201211110tam,sdg,BrowRo05,targets,3,,,,,
player,201211110tam,sdg,BrowRo05,rec,3,,,,,
player,201211110tam,sdg,BrowRo05,rec_yds,6,,,,,
player,201211110tam,sdg,BrowRo05,rec_td,0,,,,,
player,201211110tam,sdg,BrowRo05,rec_long,5,,,,,
player,201211110tam,sdg,BrowRo05,fumbles,0,,,,,
player,201211110tam,sdg,BrowRo05,fumbles_lost,0,,,,,
player,201211110tam,sdg,McClLe00,pass_cmp,0,,,,,
player,201211110tam,sdg,McClLe00,pass_att,0,,,,,
player,201211110tam,sdg,McClLe00,pass_yds,0,,,,,
player,201211110tam,sdg,McClLe00,pass_td,0,,,,,
player,201211110tam,sdg,McClLe00,pass_int,0,,,,,
player,201211110tam,sdg,McClLe00,pass_sacked,0,,,,,
player,201211110tam,sdg,McClLe00,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,McClLe00,pass_long,0,,,,,
player,201211110tam,sdg,McClLe00,pass_rating,,,,,,
player,201211110tam,sdg,McClLe00,rush_att,2,,,,,
player,201211110tam,sdg,McClLe00,rush_yds,5,,,,,
player,201211110tam,sdg,McClLe00,rush_td,0,,,,,
player,201211110tam,sdg,McClLe00,rush_long,6,,,,,
player,201211110tam,sdg,McClLe00,targets,0,,,,,
player,201211110tam,sdg,McClLe00,rec,0,,,,,
player,201211110tam,sdg,McClLe00,rec_yds,0,,,,,
player,201211110tam,sdg,McClLe00,rec_td,0,,,,,
player,201211110tam,sdg,McClLe00,rec_long,0,,,,,
player,201211110tam,sdg,McClLe00,fumbles,0,,,,,
player,201211110tam,sdg,McClLe00,fumbles_lost,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_cmp,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_att,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_yds,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_td,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_int,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_sacked,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_long,0,,,,,
player,201211110tam,sdg,AlexDa00,pass_rating,,,,,,
player,201211110tam,sdg,AlexDa00,rush_att,0,,,,,
player,201211110tam,sdg,AlexDa00,rush_yds,0,,,,,
player,201211110tam,sdg,AlexDa00,rush_td,0,,,,,
player,201211110tam,sdg,AlexDa00,rush_long,0,,,,,
player,201211110tam,sdg,AlexDa00,targets,7,,,,,
player,201211110tam,sdg,AlexDa00,rec,5,,,,,
player,201211110tam,sdg,AlexDa00,rec_yds,134,,,,,
player,201211110tam,sdg,AlexDa00,rec_td,1,,,,,
player,201211110tam,sdg,AlexDa00,rec_long,80,,,,,
player,201211110tam,sdg,AlexDa00,fumbles,0,,,,,
player,201211110tam,sdg,AlexDa00,fumbles_lost,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_cmp,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_att,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_yds,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_td,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_int,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_sacked,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_long,0,,,,,
player,201211110tam,sdg,FloyMa00,pass_rating,,,,,,
player,201211110tam,sdg,FloyMa00,rush_att,0,,,,,
player,201211110tam,sdg,FloyMa00,rush_yds,0,,,,,
player,201211110tam,sdg,FloyMa00,rush_td,0,,,,,
player,201211110tam,sdg,FloyMa00,rush_long,0,,,,,
player,201211110tam,sdg,FloyMa00,targets,7,,,,,
player,201211110tam,sdg,FloyMa00,rec,6,,,,,
player,201211110tam,sdg,FloyMa00,rec_yds,63,,,,,
player,201211110tam,sdg,FloyMa00,rec_td,1,,,,,
player,201211110tam,sdg,FloyMa00,rec_long,22,,,,,
player,201211110tam,sdg,FloyMa00,fumbles,0,,,,,
player,201211110tam,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201211110tam,sdg,GateAn00,pass_cmp,0,,,,,
player,201211110tam,sdg,GateAn00,pass_att,0,,,,,
player,201211110tam,sdg,GateAn00,pass_yds,0,,,,,
player,201211110tam,sdg,GateAn00,pass_td,0,,,,,
player,201211110tam,sdg,GateAn00,pass_int,0,,,,,
player,201211110tam,sdg,GateAn00,pass_sacked,0,,,,,
player,201211110tam,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201211110tam,sdg,GateAn00,pass_long,0,,,,,
player,201211110tam,sdg,GateAn00,pass_rating,,,,,,
player,201211110tam,sdg,GateAn00,rush_att,0,,,,,
player,201211110tam,sdg,GateAn00,rush_yds,0,,,,,
player,201211110tam,sdg,GateAn00,rush_td,0,,,,,
player,201211110tam,sdg,GateAn00,rush_long,0,,,,,
player,201211110tam,sdg,GateAn00,targets,5,,,,,
player,201211110tam,sdg,GateAn00,rec,4,,,,,
player,201211110tam,sdg,GateAn00,rec_yds,57,,,,,
player,201211110tam,sdg,GateAn00,rec_td,1,,,,,
player,201211110tam,sdg,GateAn00,rec_long,33,,,,,
