game,2012,1,20120909,201209090tam,car,"Carolina Panthers",10,tam,"Tampa Bay Buccaneers",16
team,201209090tam,car,First Downs,16,,,,,,
team,201209090tam,tam,First Downs,18,,,,,,
team,201209090tam,car,Rush-Yds-TDs,13-10-0,,,,,,
team,201209090tam,tam,Rush-Yds-TDs,36-130-0,,,,,,
team,201209090tam,car,Cmp-Att-Yd-TD-INT,23-33-303-1-2,,,,,,
team,201209090tam,tam,Cmp-Att-Yd-TD-INT,16-24-138-1-0,,,,,,
team,201209090tam,car,Sacked-Yards,3-12,,,,,,
team,201209090tam,tam,Sacked-Yards,2-10,,,,,,
team,201209090tam,car,Net Pass Yards,291,,,,,,
team,201209090tam,tam,Net Pass Yards,128,,,,,,
team,201209090tam,car,Total Yards,301,,,,,,
team,201209090tam,tam,Total Yards,258,,,,,,
team,201209090tam,car,Fumbles-Lost,2-0,,,,,,
team,201209090tam,tam,Fumbles-Lost,0-0,,,,,,
team,201209090tam,car,Turnovers,2,,,,,,
team,201209090tam,tam,Turnovers,0,,,,,,
team,201209090tam,car,Penalties-Yards,6-65,,,,,,
team,201209090tam,tam,Penalties-Yards,4-35,,,,,,
team,201209090tam,car,Third Down Conv.,2-10,,,,,,
team,201209090tam,tam,Third Down Conv.,5-14,,,,,,
team,201209090tam,car,Fourth Down Conv.,0-0,,,,,,
team,201209090tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201209090tam,car,Time of Possession,22:33,,,,,,
team,201209090tam,tam,Time of Possession,37:27,,,,,,
player,201209090tam,car,NewtCa00,pass_cmp,23,,,,,
player,201209090tam,car,NewtCa00,pass_att,33,,,,,
player,201209090tam,car,NewtCa00,pass_yds,303,,,,,
player,201209090tam,car,NewtCa00,pass_td,1,,,,,
player,201209090tam,car,NewtCa00,pass_int,2,,,,,
player,201209090tam,car,NewtCa00,pass_sacked,3,,,,,
player,201209090tam,car,NewtCa00,pass_sacked_yds,12,,,,,
player,201209090tam,car,NewtCa00,pass_long,51,,,,,
player,201209090tam,car,NewtCa00,pass_rating,83.3,,,,,
player,201209090tam,car,NewtCa00,rush_att,5,,,,,
player,201209090tam,car,NewtCa00,rush_yds,4,,,,,
player,201209090tam,car,NewtCa00,rush_td,0,,,,,
player,201209090tam,car,NewtCa00,rush_long,4,,,,,
player,201209090tam,car,NewtCa00,targets,0,,,,,
player,201209090tam,car,NewtCa00,rec,0,,,,,
player,201209090tam,car,NewtCa00,rec_yds,0,,,,,
player,201209090tam,car,NewtCa00,rec_td,0,,,,,
player,201209090tam,car,NewtCa00,rec_long,0,,,,,
player,201209090tam,car,NewtCa00,fumbles,1,,,,,
player,201209090tam,car,NewtCa00,fumbles_lost,0,,,,,
player,201209090tam,car,PilaKe00,pass_cmp,0,,,,,
player,201209090tam,car,PilaKe00,pass_att,0,,,,,
player,201209090tam,car,PilaKe00,pass_yds,0,,,,,
player,201209090tam,car,PilaKe00,pass_td,0,,,,,
player,201209090tam,car,PilaKe00,pass_int,0,,,,,
player,201209090tam,car,PilaKe00,pass_sacked,0,,,,,
player,201209090tam,car,PilaKe00,pass_sacked_yds,0,,,,,
player,201209090tam,car,PilaKe00,pass_long,0,,,,,
player,201209090tam,car,PilaKe00,pass_rating,,,,,,
player,201209090tam,car,PilaKe00,rush_att,1,,,,,
player,201209090tam,car,PilaKe00,rush_yds,5,,,,,
player,201209090tam,car,PilaKe00,rush_td,0,,,,,
player,201209090tam,car,PilaKe00,rush_long,5,,,,,
player,201209090tam,car,PilaKe00,targets,1,,,,,
player,201209090tam,car,PilaKe00,rec,0,,,,,
player,201209090tam,car,PilaKe00,rec_yds,0,,,,,
player,201209090tam,car,PilaKe00,rec_td,0,,,,,
player,201209090tam,car,PilaKe00,rec_long,0,,,,,
player,201209090tam,car,PilaKe00,fumbles,0,,,,,
player,201209090tam,car,PilaKe00,fumbles_lost,0,,,,,
player,201209090tam,car,TolbMi00,pass_cmp,0,,,,,
player,201209090tam,car,TolbMi00,pass_att,0,,,,,
player,201209090tam,car,TolbMi00,pass_yds,0,,,,,
player,201209090tam,car,TolbMi00,pass_td,0,,,,,
player,201209090tam,car,TolbMi00,pass_int,0,,,,,
player,201209090tam,car,TolbMi00,pass_sacked,0,,,,,
player,201209090tam,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201209090tam,car,TolbMi00,pass_long,0,,,,,
player,201209090tam,car,TolbMi00,pass_rating,,,,,,
player,201209090tam,car,TolbMi00,rush_att,1,,,,,
player,201209090tam,car,TolbMi00,rush_yds,2,,,,,
player,201209090tam,car,TolbMi00,rush_td,0,,,,,
player,201209090tam,car,TolbMi00,rush_long,2,,,,,
player,201209090tam,car,TolbMi00,targets,3,,,,,
player,201209090tam,car,TolbMi00,rec,3,,,,,
player,201209090tam,car,TolbMi00,rec_yds,8,,,,,
player,201209090tam,car,TolbMi00,rec_td,0,,,,,
player,201209090tam,car,TolbMi00,rec_long,20,,,,,
player,201209090tam,car,TolbMi00,fumbles,0,,,,,
player,201209090tam,car,TolbMi00,fumbles_lost,0,,,,,
player,201209090tam,car,SmitSt01,pass_cmp,0,,,,,
player,201209090tam,car,SmitSt01,pass_att,0,,,,,
player,201209090tam,car,SmitSt01,pass_yds,0,,,,,
player,201209090tam,car,SmitSt01,pass_td,0,,,,,
player,201209090tam,car,SmitSt01,pass_int,0,,,,,
player,201209090tam,car,SmitSt01,pass_sacked,0,,,,,
player,201209090tam,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201209090tam,car,SmitSt01,pass_long,0,,,,,
player,201209090tam,car,SmitSt01,pass_rating,,,,,,
player,201209090tam,car,SmitSt01,rush_att,0,,,,,
player,201209090tam,car,SmitSt01,rush_yds,0,,,,,
player,201209090tam,car,SmitSt01,rush_td,0,,,,,
player,201209090tam,car,SmitSt01,rush_long,0,,,,,
player,201209090tam,car,SmitSt01,targets,11,,,,,
player,201209090tam,car,SmitSt01,rec,7,,,,,
player,201209090tam,car,SmitSt01,rec_yds,106,,,,,
player,201209090tam,car,SmitSt01,rec_td,0,,,,,
player,201209090tam,car,SmitSt01,rec_long,32,,,,,
player,201209090tam,car,SmitSt01,fumbles,0,,,,,
player,201209090tam,car,SmitSt01,fumbles_lost,0,,,,,
player,201209090tam,car,LaFeBr00,pass_cmp,0,,,,,
player,201209090tam,car,LaFeBr00,pass_att,0,,,,,
player,201209090tam,car,LaFeBr00,pass_yds,0,,,,,
player,201209090tam,car,LaFeBr00,pass_td,0,,,,,
player,201209090tam,car,LaFeBr00,pass_int,0,,,,,
player,201209090tam,car,LaFeBr00,pass_sacked,0,,,,,
player,201209090tam,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201209090tam,car,LaFeBr00,pass_long,0,,,,,
player,201209090tam,car,LaFeBr00,pass_rating,,,,,,
player,201209090tam,car,LaFeBr00,rush_att,0,,,,,
player,201209090tam,car,LaFeBr00,rush_yds,0,,,,,
player,201209090tam,car,LaFeBr00,rush_td,0,,,,,
player,201209090tam,car,LaFeBr00,rush_long,0,,,,,
player,201209090tam,car,LaFeBr00,targets,5,,,,,
player,201209090tam,car,LaFeBr00,rec,3,,,,,
player,201209090tam,car,LaFeBr00,rec_yds,65,,,,,
player,201209090tam,car,LaFeBr00,rec_td,1,,,,,
player,201209090tam,car,LaFeBr00,rec_long,24,,,,,
player,201209090tam,car,LaFeBr00,fumbles,0,,,,,
player,201209090tam,car,LaFeBr00,fumbles_lost,0,,,,,
player,201209090tam,car,MurpLo00,pass_cmp,0,,,,,
player,201209090tam,car,MurpLo00,pass_att,0,,,,,
player,201209090tam,car,MurpLo00,pass_yds,0,,,,,
player,201209090tam,car,MurpLo00,pass_td,0,,,,,
player,201209090tam,car,MurpLo00,pass_int,0,,,,,
player,201209090tam,car,MurpLo00,pass_sacked,0,,,,,
player,201209090tam,car,MurpLo00,pass_sacked_yds,0,,,,,
player,201209090tam,car,MurpLo00,pass_long,0,,,,,
