game,2016,17,20170101,201701010den,rai,"Oakland Raiders",6,den,"Denver Broncos",24
team,201701010den,rai,First Downs,11,,,,,,
team,201701010den,den,First Downs,18,,,,,,
team,201701010den,rai,Rush-Yds-TDs,16-57-0,,,,,,
team,201701010den,den,Rush-Yds-TDs,40-143-1,,,,,,
team,201701010den,rai,Cmp-Att-Yd-TD-INT,20-32-171-1-1,,,,,,
team,201701010den,den,Cmp-Att-Yd-TD-INT,17-27-206-2-1,,,,,,
team,201701010den,rai,Sacked-Yards,2-7,,,,,,
team,201701010den,den,Sacked-Yards,0-0,,,,,,
team,201701010den,rai,Net Pass Yards,164,,,,,,
team,201701010den,den,Net Pass Yards,206,,,,,,
team,201701010den,rai,Total Yards,221,,,,,,
team,201701010den,den,Total Yards,349,,,,,,
team,201701010den,rai,Fumbles-Lost,3-2,,,,,,
team,201701010den,den,Fumbles-Lost,1-0,,,,,,
team,201701010den,rai,Turnovers,3,,,,,,
team,201701010den,den,Turnovers,1,,,,,,
team,201701010den,rai,Penalties-Yards,13-125,,,,,,
team,201701010den,den,Penalties-Yards,5-43,,,,,,
team,201701010den,rai,Third Down Conv.,2-11,,,,,,
team,201701010den,den,Third Down Conv.,5-15,,,,,,
team,201701010den,rai,Fourth Down Conv.,0-1,,,,,,
team,201701010den,den,Fourth Down Conv.,1-3,,,,,,
team,201701010den,rai,Time of Possession,24:35,,,,,,
team,201701010den,den,Time of Possession,35:25,,,,,,
player,201701010den,rai,CookCo00,pass_cmp,14,,,,,
player,201701010den,rai,CookCo00,pass_att,21,,,,,
player,201701010den,rai,CookCo00,pass_yds,150,,,,,
player,201701010den,rai,CookCo00,pass_td,1,,,,,
player,201701010den,rai,CookCo00,pass_int,1,,,,,
player,201701010den,rai,CookCo00,pass_sacked,2,,,,,
player,201701010den,rai,CookCo00,pass_sacked_yds,7,,,,,
player,201701010den,rai,CookCo00,pass_long,32,,,,,
player,201701010den,rai,CookCo00,pass_rating,83.4,,,,,
player,201701010den,rai,CookCo00,rush_att,0,,,,,
player,201701010den,rai,CookCo00,rush_yds,0,,,,,
player,201701010den,rai,CookCo00,rush_td,0,,,,,
player,201701010den,rai,CookCo00,rush_long,0,,,,,
player,201701010den,rai,CookCo00,targets,0,,,,,
player,201701010den,rai,CookCo00,rec,0,,,,,
player,201701010den,rai,CookCo00,rec_yds,0,,,,,
player,201701010den,rai,CookCo00,rec_td,0,,,,,
player,201701010den,rai,CookCo00,rec_long,0,,,,,
player,201701010den,rai,CookCo00,fumbles,2,,,,,
player,201701010den,rai,CookCo00,fumbles_lost,1,,,,,
player,201701010den,rai,McGlMa01,pass_cmp,6,,,,,
player,201701010den,rai,McGlMa01,pass_att,11,,,,,
player,201701010den,rai,McGlMa01,pass_yds,21,,,,,
player,201701010den,rai,McGlMa01,pass_td,0,,,,,
player,201701010den,rai,McGlMa01,pass_int,0,,,,,
player,201701010den,rai,McGlMa01,pass_sacked,0,,,,,
player,201701010den,rai,McGlMa01,pass_sacked_yds,0,,,,,
player,201701010den,rai,McGlMa01,pass_long,12,,,,,
player,201701010den,rai,McGlMa01,pass_rating,60.0,,,,,
player,201701010den,rai,McGlMa01,rush_att,0,,,,,
player,201701010den,rai,McGlMa01,rush_yds,0,,,,,
player,201701010den,rai,McGlMa01,rush_td,0,,,,,
player,201701010den,rai,McGlMa01,rush_long,0,,,,,
player,201701010den,rai,McGlMa01,targets,0,,,,,
player,201701010den,rai,McGlMa01,rec,0,,,,,
player,201701010den,rai,McGlMa01,rec_yds,0,,,,,
player,201701010den,rai,McGlMa01,rec_td,0,,,,,
player,201701010den,rai,McGlMa01,rec_long,0,,,,,
player,201701010den,rai,McGlMa01,fumbles,0,,,,,
player,201701010den,rai,McGlMa01,fumbles_lost,0,,,,,
player,201701010den,rai,WashDe00,pass_cmp,0,,,,,
