game,2016,14,20161211,201612110gnb,sea,"Seattle Seahawks",10,gnb,"Green Bay Packers",38
player,201612110gnb,sea,LockTy00,rec_td,0,,,,,
player,201612110gnb,sea,LockTy00,rec_long,15,,,,,
player,201612110gnb,sea,LockTy00,fumbles,0,,,,,
player,201612110gnb,sea,LockTy00,fumbles_lost,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_cmp,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_att,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_yds,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_td,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_int,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_sacked,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_long,0,,,,,
player,201612110gnb,sea,PopeTr00,pass_rating,,,,,,
player,201612110gnb,sea,PopeTr00,rush_att,1,,,,,
player,201612110gnb,sea,PopeTr00,rush_yds,12,,,,,
player,201612110gnb,sea,PopeTr00,rush_td,0,,,,,
player,201612110gnb,sea,PopeTr00,rush_long,12,,,,,
player,201612110gnb,sea,PopeTr00,targets,1,,,,,
player,201612110gnb,sea,PopeTr00,rec,0,,,,,
player,201612110gnb,sea,PopeTr00,rec_yds,0,,,,,
player,201612110gnb,sea,PopeTr00,rec_td,0,,,,,
player,201612110gnb,sea,PopeTr00,rec_long,0,,,,,
player,201612110gnb,sea,PopeTr00,fumbles,0,,,,,
player,201612110gnb,sea,PopeTr00,fumbles_lost,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_cmp,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_att,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_yds,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_td,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_int,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_sacked,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_long,0,,,,,
player,201612110gnb,sea,BaldDo00,pass_rating,,,,,,
player,201612110gnb,sea,BaldDo00,rush_att,0,,,,,
player,201612110gnb,sea,BaldDo00,rush_yds,0,,,,,
player,201612110gnb,sea,BaldDo00,rush_td,0,,,,,
player,201612110gnb,sea,BaldDo00,rush_long,0,,,,,
player,201612110gnb,sea,BaldDo00,targets,11,,,,,
player,201612110gnb,sea,BaldDo00,rec,6,,,,,
player,201612110gnb,sea,BaldDo00,rec_yds,46,,,,,
player,201612110gnb,sea,BaldDo00,rec_td,0,,,,,
player,201612110gnb,sea,BaldDo00,rec_long,10,,,,,
player,201612110gnb,sea,BaldDo00,fumbles,0,,,,,
player,201612110gnb,sea,BaldDo00,fumbles_lost,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_cmp,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_att,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_yds,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_td,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_int,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_sacked,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_long,0,,,,,
player,201612110gnb,sea,McEvTa01,pass_rating,,,,,,
player,201612110gnb,sea,McEvTa01,rush_att,0,,,,,
player,201612110gnb,sea,McEvTa01,rush_yds,0,,,,,
player,201612110gnb,sea,McEvTa01,rush_td,0,,,,,
player,201612110gnb,sea,McEvTa01,rush_long,0,,,,,
player,201612110gnb,sea,McEvTa01,targets,3,,,,,
player,201612110gnb,sea,McEvTa01,rec,3,,,,,
player,201612110gnb,sea,McEvTa01,rec_yds,41,,,,,
player,201612110gnb,sea,McEvTa01,rec_td,1,,,,,
player,201612110gnb,sea,McEvTa01,rec_long,21,,,,,
player,201612110gnb,sea,McEvTa01,fumbles,0,,,,,
player,201612110gnb,sea,McEvTa01,fumbles_lost,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_cmp,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_att,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_yds,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_td,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_int,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_sacked,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_long,0,,,,,
player,201612110gnb,sea,ReecMa00,pass_rating,,,,,,
player,201612110gnb,sea,ReecMa00,rush_att,0,,,,,
player,201612110gnb,sea,ReecMa00,rush_yds,0,,,,,
player,201612110gnb,sea,ReecMa00,rush_td,0,,,,,
player,201612110gnb,sea,ReecMa00,rush_long,0,,,,,
player,201612110gnb,sea,ReecMa00,targets,2,,,,,
player,201612110gnb,sea,ReecMa00,rec,2,,,,,
player,201612110gnb,sea,ReecMa00,rec_yds,38,,,,,
player,201612110gnb,sea,ReecMa00,rec_td,0,,,,,
player,201612110gnb,sea,ReecMa00,rec_long,31,,,,,
