game,2016,16,20161224,201612240cle,sdg,"San Diego Chargers",17,cle,"Cleveland Browns",20
team,201612240cle,sdg,First Downs,19,,,,,,
team,201612240cle,cle,First Downs,23,,,,,,
team,201612240cle,sdg,Rush-Yds-TDs,19-34-0,,,,,,
team,201612240cle,cle,Rush-Yds-TDs,29-124-2,,,,,,
team,201612240cle,sdg,Cmp-Att-Yd-TD-INT,23-46-322-2-1,,,,,,
team,201612240cle,cle,Cmp-Att-Yd-TD-INT,19-28-175-0-0,,,,,,
team,201612240cle,sdg,Sacked-Yards,0-0,,,,,,
team,201612240cle,cle,Sacked-Yards,9-48,,,,,,
team,201612240cle,sdg,Net Pass Yards,322,,,,,,
team,201612240cle,cle,Net Pass Yards,127,,,,,,
team,201612240cle,sdg,Total Yards,356,,,,,,
team,201612240cle,cle,Total Yards,251,,,,,,
team,201612240cle,sdg,Fumbles-Lost,1-0,,,,,,
team,201612240cle,cle,Fumbles-Lost,0-0,,,,,,
team,201612240cle,sdg,Turnovers,1,,,,,,
team,201612240cle,cle,Turnovers,0,,,,,,
team,201612240cle,sdg,Penalties-Yards,9-92,,,,,,
team,201612240cle,cle,Penalties-Yards,4-44,,,,,,
team,201612240cle,sdg,Third Down Conv.,5-15,,,,,,
team,201612240cle,cle,Third Down Conv.,6-15,,,,,,
team,201612240cle,sdg,Fourth Down Conv.,2-2,,,,,,
team,201612240cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201612240cle,sdg,Time of Possession,27:31,,,,,,
team,201612240cle,cle,Time of Possession,32:29,,,,,,
player,201612240cle,sdg,RivePh00,pass_cmp,23,,,,,
player,201612240cle,sdg,RivePh00,pass_att,46,,,,,
player,201612240cle,sdg,RivePh00,pass_yds,322,,,,,
player,201612240cle,sdg,RivePh00,pass_td,2,,,,,
player,201612240cle,sdg,RivePh00,pass_int,1,,,,,
player,201612240cle,sdg,RivePh00,pass_sacked,0,,,,,
player,201612240cle,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,RivePh00,pass_long,50,,,,,
player,201612240cle,sdg,RivePh00,pass_rating,78.4,,,,,
player,201612240cle,sdg,RivePh00,rush_att,1,,,,,
player,201612240cle,sdg,RivePh00,rush_yds,0,,,,,
player,201612240cle,sdg,RivePh00,rush_td,0,,,,,
player,201612240cle,sdg,RivePh00,rush_long,0,,,,,
player,201612240cle,sdg,RivePh00,targets,0,,,,,
player,201612240cle,sdg,RivePh00,rec,0,,,,,
player,201612240cle,sdg,RivePh00,rec_yds,0,,,,,
player,201612240cle,sdg,RivePh00,rec_td,0,,,,,
player,201612240cle,sdg,RivePh00,rec_long,0,,,,,
player,201612240cle,sdg,RivePh00,fumbles,1,,,,,
player,201612240cle,sdg,RivePh00,fumbles_lost,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_cmp,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_att,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_yds,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_td,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_int,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_sacked,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_long,0,,,,,
player,201612240cle,sdg,FarrKe02,pass_rating,,,,,,
player,201612240cle,sdg,FarrKe02,rush_att,9,,,,,
player,201612240cle,sdg,FarrKe02,rush_yds,28,,,,,
player,201612240cle,sdg,FarrKe02,rush_td,0,,,,,
player,201612240cle,sdg,FarrKe02,rush_long,9,,,,,
player,201612240cle,sdg,FarrKe02,targets,4,,,,,
player,201612240cle,sdg,FarrKe02,rec,4,,,,,
player,201612240cle,sdg,FarrKe02,rec_yds,29,,,,,
player,201612240cle,sdg,FarrKe02,rec_td,0,,,,,
player,201612240cle,sdg,FarrKe02,rec_long,16,,,,,
player,201612240cle,sdg,FarrKe02,fumbles,0,,,,,
player,201612240cle,sdg,FarrKe02,fumbles_lost,0,,,,,
player,201612240cle,sdg,HillRo00,pass_cmp,0,,,,,
player,201612240cle,sdg,HillRo00,pass_att,0,,,,,
player,201612240cle,sdg,HillRo00,pass_yds,0,,,,,
player,201612240cle,sdg,HillRo00,pass_td,0,,,,,
player,201612240cle,sdg,HillRo00,pass_int,0,,,,,
player,201612240cle,sdg,HillRo00,pass_sacked,0,,,,,
player,201612240cle,sdg,HillRo00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,HillRo00,pass_long,0,,,,,
player,201612240cle,sdg,HillRo00,pass_rating,,,,,,
player,201612240cle,sdg,HillRo00,rush_att,9,,,,,
player,201612240cle,sdg,HillRo00,rush_yds,6,,,,,
player,201612240cle,sdg,HillRo00,rush_td,0,,,,,
player,201612240cle,sdg,HillRo00,rush_long,3,,,,,
player,201612240cle,sdg,HillRo00,targets,2,,,,,
player,201612240cle,sdg,HillRo00,rec,0,,,,,
player,201612240cle,sdg,HillRo00,rec_yds,0,,,,,
player,201612240cle,sdg,HillRo00,rec_td,0,,,,,
player,201612240cle,sdg,HillRo00,rec_long,0,,,,,
player,201612240cle,sdg,HillRo00,fumbles,0,,,,,
player,201612240cle,sdg,HillRo00,fumbles_lost,0,,,,,
player,201612240cle,sdg,GateAn00,pass_cmp,0,,,,,
player,201612240cle,sdg,GateAn00,pass_att,0,,,,,
player,201612240cle,sdg,GateAn00,pass_yds,0,,,,,
player,201612240cle,sdg,GateAn00,pass_td,0,,,,,
player,201612240cle,sdg,GateAn00,pass_int,0,,,,,
player,201612240cle,sdg,GateAn00,pass_sacked,0,,,,,
player,201612240cle,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,GateAn00,pass_long,0,,,,,
player,201612240cle,sdg,GateAn00,pass_rating,,,,,,
player,201612240cle,sdg,GateAn00,rush_att,0,,,,,
player,201612240cle,sdg,GateAn00,rush_yds,0,,,,,
player,201612240cle,sdg,GateAn00,rush_td,0,,,,,
player,201612240cle,sdg,GateAn00,rush_long,0,,,,,
player,201612240cle,sdg,GateAn00,targets,13,,,,,
player,201612240cle,sdg,GateAn00,rec,8,,,,,
player,201612240cle,sdg,GateAn00,rec_yds,94,,,,,
player,201612240cle,sdg,GateAn00,rec_td,1,,,,,
player,201612240cle,sdg,GateAn00,rec_long,25,,,,,
player,201612240cle,sdg,GateAn00,fumbles,0,,,,,
player,201612240cle,sdg,GateAn00,fumbles_lost,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_cmp,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_att,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_yds,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_td,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_int,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_sacked,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_long,0,,,,,
player,201612240cle,sdg,BenjTr00,pass_rating,,,,,,
player,201612240cle,sdg,BenjTr00,rush_att,0,,,,,
player,201612240cle,sdg,BenjTr00,rush_yds,0,,,,,
player,201612240cle,sdg,BenjTr00,rush_td,0,,,,,
player,201612240cle,sdg,BenjTr00,rush_long,0,,,,,
player,201612240cle,sdg,BenjTr00,targets,4,,,,,
player,201612240cle,sdg,BenjTr00,rec,3,,,,,
player,201612240cle,sdg,BenjTr00,rec_yds,75,,,,,
player,201612240cle,sdg,BenjTr00,rec_td,0,,,,,
player,201612240cle,sdg,BenjTr00,rec_long,50,,,,,
player,201612240cle,sdg,BenjTr00,fumbles,0,,,,,
player,201612240cle,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201612240cle,sdg,WillTy00,pass_cmp,0,,,,,
player,201612240cle,sdg,WillTy00,pass_att,0,,,,,
player,201612240cle,sdg,WillTy00,pass_yds,0,,,,,
player,201612240cle,sdg,WillTy00,pass_td,0,,,,,
player,201612240cle,sdg,WillTy00,pass_int,0,,,,,
player,201612240cle,sdg,WillTy00,pass_sacked,0,,,,,
player,201612240cle,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,WillTy00,pass_long,0,,,,,
player,201612240cle,sdg,WillTy00,pass_rating,,,,,,
player,201612240cle,sdg,WillTy00,rush_att,0,,,,,
player,201612240cle,sdg,WillTy00,rush_yds,0,,,,,
player,201612240cle,sdg,WillTy00,rush_td,0,,,,,
player,201612240cle,sdg,WillTy00,rush_long,0,,,,,
player,201612240cle,sdg,WillTy00,targets,9,,,,,
player,201612240cle,sdg,WillTy00,rec,4,,,,,
player,201612240cle,sdg,WillTy00,rec_yds,64,,,,,
player,201612240cle,sdg,WillTy00,rec_td,1,,,,,
player,201612240cle,sdg,WillTy00,rec_long,27,,,,,
player,201612240cle,sdg,WillTy00,fumbles,0,,,,,
player,201612240cle,sdg,WillTy00,fumbles_lost,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_cmp,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_att,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_yds,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_td,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_int,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_sacked,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_long,0,,,,,
player,201612240cle,sdg,InmaDo00,pass_rating,,,,,,
player,201612240cle,sdg,InmaDo00,rush_att,0,,,,,
player,201612240cle,sdg,InmaDo00,rush_yds,0,,,,,
player,201612240cle,sdg,InmaDo00,rush_td,0,,,,,
player,201612240cle,sdg,InmaDo00,rush_long,0,,,,,
player,201612240cle,sdg,InmaDo00,targets,10,,,,,
player,201612240cle,sdg,InmaDo00,rec,3,,,,,
player,201612240cle,sdg,InmaDo00,rec_yds,44,,,,,
player,201612240cle,sdg,InmaDo00,rec_td,0,,,,,
player,201612240cle,sdg,InmaDo00,rec_long,19,,,,,
player,201612240cle,sdg,InmaDo00,fumbles,0,,,,,
player,201612240cle,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201612240cle,sdg,WattDe00,pass_cmp,0,,,,,
player,201612240cle,sdg,WattDe00,pass_att,0,,,,,
player,201612240cle,sdg,WattDe00,pass_yds,0,,,,,
player,201612240cle,sdg,WattDe00,pass_td,0,,,,,
player,201612240cle,sdg,WattDe00,pass_int,0,,,,,
player,201612240cle,sdg,WattDe00,pass_sacked,0,,,,,
player,201612240cle,sdg,WattDe00,pass_sacked_yds,0,,,,,
player,201612240cle,sdg,WattDe00,pass_long,0,,,,,
player,201612240cle,sdg,WattDe00,pass_rating,,,,,,
player,201612240cle,sdg,WattDe00,rush_att,0,,,,,
player,201612240cle,sdg,WattDe00,rush_yds,0,,,,,
player,201612240cle,sdg,WattDe00,rush_td,0,,,,,
player,201612240cle,sdg,WattDe00,rush_long,0,,,,,
player,201612240cle,sdg,WattDe00,targets,1,,,,,
player,201612240cle,sdg,WattDe00,rec,1,,,,,
player,201612240cle,sdg,WattDe00,rec_yds,16,,,,,
player,201612240cle,sdg,WattDe00,rec_td,0,,,,,
player,201612240cle,sdg,WattDe00,rec_long,16,,,,,
