game,2016,3,20160925,201609250tam,ram,"Los Angeles Rams",37,tam,"Tampa Bay Buccaneers",32
team,201609250tam,ram,First Downs,18,,,,,,
team,201609250tam,tam,First Downs,30,,,,,,
team,201609250tam,ram,Rush-Yds-TDs,33-137-2,,,,,,
team,201609250tam,tam,Rush-Yds-TDs,22-83-1,,,,,,
team,201609250tam,ram,Cmp-Att-Yd-TD-INT,14-26-190-2-1,,,,,,
team,201609250tam,tam,Cmp-Att-Yd-TD-INT,36-58-405-3-1,,,,,,
team,201609250tam,ram,Sacked-Yards,1-7,,,,,,
team,201609250tam,tam,Sacked-Yards,2-16,,,,,,
team,201609250tam,ram,Net Pass Yards,183,,,,,,
team,201609250tam,tam,Net Pass Yards,389,,,,,,
team,201609250tam,ram,Total Yards,320,,,,,,
team,201609250tam,tam,Total Yards,472,,,,,,
team,201609250tam,ram,Fumbles-Lost,1-1,,,,,,
team,201609250tam,tam,Fumbles-Lost,2-1,,,,,,
team,201609250tam,ram,Turnovers,2,,,,,,
team,201609250tam,tam,Turnovers,2,,,,,,
team,201609250tam,ram,Penalties-Yards,8-69,,,,,,
team,201609250tam,tam,Penalties-Yards,9-80,,,,,,
team,201609250tam,ram,Third Down Conv.,6-13,,,,,,
team,201609250tam,tam,Third Down Conv.,8-16,,,,,,
team,201609250tam,ram,Fourth Down Conv.,0-0,,,,,,
team,201609250tam,tam,Fourth Down Conv.,2-2,,,,,,
team,201609250tam,ram,Time of Possession,26:24,,,,,,
team,201609250tam,tam,Time of Possession,33:36,,,,,,
player,201609250tam,ram,KeenCa00,pass_cmp,14,,,,,
player,201609250tam,ram,KeenCa00,pass_att,26,,,,,
player,201609250tam,ram,KeenCa00,pass_yds,190,,,,,
player,201609250tam,ram,KeenCa00,pass_td,2,,,,,
player,201609250tam,ram,KeenCa00,pass_int,1,,,,,
player,201609250tam,ram,KeenCa00,pass_sacked,1,,,,,
player,201609250tam,ram,KeenCa00,pass_sacked_yds,7,,,,,
player,201609250tam,ram,KeenCa00,pass_long,44,,,,,
player,201609250tam,ram,KeenCa00,pass_rating,87.0,,,,,
player,201609250tam,ram,KeenCa00,rush_att,2,,,,,
player,201609250tam,ram,KeenCa00,rush_yds,1,,,,,
player,201609250tam,ram,KeenCa00,rush_td,0,,,,,
player,201609250tam,ram,KeenCa00,rush_long,5,,,,,
player,201609250tam,ram,KeenCa00,targets,0,,,,,
player,201609250tam,ram,KeenCa00,rec,0,,,,,
player,201609250tam,ram,KeenCa00,rec_yds,0,,,,,
player,201609250tam,ram,KeenCa00,rec_td,0,,,,,
player,201609250tam,ram,KeenCa00,rec_long,0,,,,,
player,201609250tam,ram,KeenCa00,fumbles,0,,,,,
player,201609250tam,ram,KeenCa00,fumbles_lost,0,,,,,
player,201609250tam,ram,GurlTo01,pass_cmp,0,,,,,
player,201609250tam,ram,GurlTo01,pass_att,0,,,,,
player,201609250tam,ram,GurlTo01,pass_yds,0,,,,,
player,201609250tam,ram,GurlTo01,pass_td,0,,,,,
player,201609250tam,ram,GurlTo01,pass_int,0,,,,,
player,201609250tam,ram,GurlTo01,pass_sacked,0,,,,,
player,201609250tam,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201609250tam,ram,GurlTo01,pass_long,0,,,,,
player,201609250tam,ram,GurlTo01,pass_rating,,,,,,
player,201609250tam,ram,GurlTo01,rush_att,27,,,,,
player,201609250tam,ram,GurlTo01,rush_yds,85,,,,,
player,201609250tam,ram,GurlTo01,rush_td,2,,,,,
player,201609250tam,ram,GurlTo01,rush_long,16,,,,,
player,201609250tam,ram,GurlTo01,targets,2,,,,,
player,201609250tam,ram,GurlTo01,rec,1,,,,,
player,201609250tam,ram,GurlTo01,rec_yds,-5,,,,,
player,201609250tam,ram,GurlTo01,rec_td,0,,,,,
player,201609250tam,ram,GurlTo01,rec_long,-5,,,,,
player,201609250tam,ram,GurlTo01,fumbles,0,,,,,
player,201609250tam,ram,GurlTo01,fumbles_lost,0,,,,,
player,201609250tam,ram,CunnBe01,pass_cmp,0,,,,,
player,201609250tam,ram,CunnBe01,pass_att,0,,,,,
player,201609250tam,ram,CunnBe01,pass_yds,0,,,,,
player,201609250tam,ram,CunnBe01,pass_td,0,,,,,
player,201609250tam,ram,CunnBe01,pass_int,0,,,,,
player,201609250tam,ram,CunnBe01,pass_sacked,0,,,,,
player,201609250tam,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201609250tam,ram,CunnBe01,pass_long,0,,,,,
player,201609250tam,ram,CunnBe01,pass_rating,,,,,,
player,201609250tam,ram,CunnBe01,rush_att,2,,,,,
player,201609250tam,ram,CunnBe01,rush_yds,29,,,,,
player,201609250tam,ram,CunnBe01,rush_td,0,,,,,
player,201609250tam,ram,CunnBe01,rush_long,22,,,,,
player,201609250tam,ram,CunnBe01,targets,1,,,,,
player,201609250tam,ram,CunnBe01,rec,1,,,,,
player,201609250tam,ram,CunnBe01,rec_yds,10,,,,,
player,201609250tam,ram,CunnBe01,rec_td,0,,,,,
player,201609250tam,ram,CunnBe01,rec_long,10,,,,,
player,201609250tam,ram,CunnBe01,fumbles,0,,,,,
player,201609250tam,ram,CunnBe01,fumbles_lost,0,,,,,
player,201609250tam,ram,AustTa00,pass_cmp,0,,,,,
player,201609250tam,ram,AustTa00,pass_att,0,,,,,
player,201609250tam,ram,AustTa00,pass_yds,0,,,,,
player,201609250tam,ram,AustTa00,pass_td,0,,,,,
player,201609250tam,ram,AustTa00,pass_int,0,,,,,
player,201609250tam,ram,AustTa00,pass_sacked,0,,,,,
player,201609250tam,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201609250tam,ram,AustTa00,pass_long,0,,,,,
player,201609250tam,ram,AustTa00,pass_rating,,,,,,
player,201609250tam,ram,AustTa00,rush_att,2,,,,,
player,201609250tam,ram,AustTa00,rush_yds,22,,,,,
player,201609250tam,ram,AustTa00,rush_td,0,,,,,
player,201609250tam,ram,AustTa00,rush_long,14,,,,,
player,201609250tam,ram,AustTa00,targets,8,,,,,
player,201609250tam,ram,AustTa00,rec,5,,,,,
player,201609250tam,ram,AustTa00,rec_yds,82,,,,,
player,201609250tam,ram,AustTa00,rec_td,1,,,,,
player,201609250tam,ram,AustTa00,rec_long,43,,,,,
player,201609250tam,ram,AustTa00,fumbles,0,,,,,
player,201609250tam,ram,AustTa00,fumbles_lost,0,,,,,
player,201609250tam,ram,QuicBr00,pass_cmp,0,,,,,
player,201609250tam,ram,QuicBr00,pass_att,0,,,,,
player,201609250tam,ram,QuicBr00,pass_yds,0,,,,,
player,201609250tam,ram,QuicBr00,pass_td,0,,,,,
player,201609250tam,ram,QuicBr00,pass_int,0,,,,,
player,201609250tam,ram,QuicBr00,pass_sacked,0,,,,,
player,201609250tam,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201609250tam,ram,QuicBr00,pass_long,0,,,,,
