game,2016,2,20160918,201609180ram,sea,"Seattle Seahawks",3,ram,"Los Angeles Rams",9
team,201609180ram,sea,First Downs,17,,,,,,
team,201609180ram,ram,First Downs,17,,,,,,
team,201609180ram,sea,Rush-Yds-TDs,24-67-0,,,,,,
team,201609180ram,ram,Rush-Yds-TDs,25-64-0,,,,,,
team,201609180ram,sea,Cmp-Att-Yd-TD-INT,22-35-254-0-0,,,,,,
team,201609180ram,ram,Cmp-Att-Yd-TD-INT,18-30-239-0-0,,,,,,
team,201609180ram,sea,Sacked-Yards,2-15,,,,,,
team,201609180ram,ram,Sacked-Yards,3-20,,,,,,
team,201609180ram,sea,Net Pass Yards,239,,,,,,
team,201609180ram,ram,Net Pass Yards,219,,,,,,
team,201609180ram,sea,Total Yards,306,,,,,,
team,201609180ram,ram,Total Yards,283,,,,,,
team,201609180ram,sea,Fumbles-Lost,3-1,,,,,,
team,201609180ram,ram,Fumbles-Lost,0-0,,,,,,
team,201609180ram,sea,Turnovers,1,,,,,,
team,201609180ram,ram,Turnovers,0,,,,,,
team,201609180ram,sea,Penalties-Yards,10-114,,,,,,
team,201609180ram,ram,Penalties-Yards,9-78,,,,,,
team,201609180ram,sea,Third Down Conv.,4-13,,,,,,
team,201609180ram,ram,Third Down Conv.,3-12,,,,,,
team,201609180ram,sea,Fourth Down Conv.,0-0,,,,,,
team,201609180ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201609180ram,sea,Time of Possession,30:03,,,,,,
team,201609180ram,ram,Time of Possession,29:57,,,,,,
player,201609180ram,sea,WilsRu00,pass_cmp,22,,,,,
player,201609180ram,sea,WilsRu00,pass_att,35,,,,,
player,201609180ram,sea,WilsRu00,pass_yds,254,,,,,
player,201609180ram,sea,WilsRu00,pass_td,0,,,,,
player,201609180ram,sea,WilsRu00,pass_int,0,,,,,
player,201609180ram,sea,WilsRu00,pass_sacked,2,,,,,
player,201609180ram,sea,WilsRu00,pass_sacked_yds,15,,,,,
player,201609180ram,sea,WilsRu00,pass_long,53,,,,,
player,201609180ram,sea,WilsRu00,pass_rating,84.7,,,,,
player,201609180ram,sea,WilsRu00,rush_att,5,,,,,
player,201609180ram,sea,WilsRu00,rush_yds,14,,,,,
player,201609180ram,sea,WilsRu00,rush_td,0,,,,,
player,201609180ram,sea,WilsRu00,rush_long,8,,,,,
player,201609180ram,sea,WilsRu00,targets,0,,,,,
player,201609180ram,sea,WilsRu00,rec,0,,,,,
player,201609180ram,sea,WilsRu00,rec_yds,0,,,,,
player,201609180ram,sea,WilsRu00,rec_td,0,,,,,
player,201609180ram,sea,WilsRu00,rec_long,0,,,,,
player,201609180ram,sea,WilsRu00,fumbles,1,,,,,
player,201609180ram,sea,WilsRu00,fumbles_lost,0,,,,,
player,201609180ram,sea,MichCh00,pass_cmp,0,,,,,
player,201609180ram,sea,MichCh00,pass_att,0,,,,,
player,201609180ram,sea,MichCh00,pass_yds,0,,,,,
player,201609180ram,sea,MichCh00,pass_td,0,,,,,
player,201609180ram,sea,MichCh00,pass_int,0,,,,,
player,201609180ram,sea,MichCh00,pass_sacked,0,,,,,
player,201609180ram,sea,MichCh00,pass_sacked_yds,0,,,,,
player,201609180ram,sea,MichCh00,pass_long,0,,,,,
player,201609180ram,sea,MichCh00,pass_rating,,,,,,
player,201609180ram,sea,MichCh00,rush_att,10,,,,,
player,201609180ram,sea,MichCh00,rush_yds,60,,,,,
player,201609180ram,sea,MichCh00,rush_td,0,,,,,
player,201609180ram,sea,MichCh00,rush_long,16,,,,,
player,201609180ram,sea,MichCh00,targets,4,,,,,
player,201609180ram,sea,MichCh00,rec,3,,,,,
player,201609180ram,sea,MichCh00,rec_yds,26,,,,,
player,201609180ram,sea,MichCh00,rec_td,0,,,,,
player,201609180ram,sea,MichCh00,rec_long,13,,,,,
player,201609180ram,sea,MichCh00,fumbles,1,,,,,
player,201609180ram,sea,MichCh00,fumbles_lost,1,,,,,
player,201609180ram,sea,LockTy00,pass_cmp,0,,,,,
player,201609180ram,sea,LockTy00,pass_att,0,,,,,
player,201609180ram,sea,LockTy00,pass_yds,0,,,,,
player,201609180ram,sea,LockTy00,pass_td,0,,,,,
player,201609180ram,sea,LockTy00,pass_int,0,,,,,
player,201609180ram,sea,LockTy00,pass_sacked,0,,,,,
player,201609180ram,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201609180ram,sea,LockTy00,pass_long,0,,,,,
player,201609180ram,sea,LockTy00,pass_rating,,,,,,
player,201609180ram,sea,LockTy00,rush_att,0,,,,,
player,201609180ram,sea,LockTy00,rush_yds,0,,,,,
player,201609180ram,sea,LockTy00,rush_td,0,,,,,
player,201609180ram,sea,LockTy00,rush_long,0,,,,,
player,201609180ram,sea,LockTy00,targets,4,,,,,
player,201609180ram,sea,LockTy00,rec,4,,,,,
player,201609180ram,sea,LockTy00,rec_yds,99,,,,,
player,201609180ram,sea,LockTy00,rec_td,0,,,,,
player,201609180ram,sea,LockTy00,rec_long,53,,,,,
player,201609180ram,sea,LockTy00,fumbles,0,,,,,
player,201609180ram,sea,LockTy00,fumbles_lost,0,,,,,
player,201609180ram,sea,GrahJi00,pass_cmp,0,,,,,
player,201609180ram,sea,GrahJi00,pass_att,0,,,,,
player,201609180ram,sea,GrahJi00,pass_yds,0,,,,,
player,201609180ram,sea,GrahJi00,pass_td,0,,,,,
player,201609180ram,sea,GrahJi00,pass_int,0,,,,,
player,201609180ram,sea,GrahJi00,pass_sacked,0,,,,,
player,201609180ram,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201609180ram,sea,GrahJi00,pass_long,0,,,,,
player,201609180ram,sea,GrahJi00,pass_rating,,,,,,
player,201609180ram,sea,GrahJi00,rush_att,0,,,,,
player,201609180ram,sea,GrahJi00,rush_yds,0,,,,,
player,201609180ram,sea,GrahJi00,rush_td,0,,,,,
player,201609180ram,sea,GrahJi00,rush_long,0,,,,,
player,201609180ram,sea,GrahJi00,targets,4,,,,,
player,201609180ram,sea,GrahJi00,rec,3,,,,,
player,201609180ram,sea,GrahJi00,rec_yds,42,,,,,
player,201609180ram,sea,GrahJi00,rec_td,0,,,,,
player,201609180ram,sea,GrahJi00,rec_long,17,,,,,
player,201609180ram,sea,GrahJi00,fumbles,0,,,,,
player,201609180ram,sea,GrahJi00,fumbles_lost,0,,,,,
player,201609180ram,sea,RichPa01,pass_cmp,0,,,,,
player,201609180ram,sea,RichPa01,pass_att,0,,,,,
player,201609180ram,sea,RichPa01,pass_yds,0,,,,,
player,201609180ram,sea,RichPa01,pass_td,0,,,,,
player,201609180ram,sea,RichPa01,pass_int,0,,,,,
player,201609180ram,sea,RichPa01,pass_sacked,0,,,,,
player,201609180ram,sea,RichPa01,pass_sacked_yds,0,,,,,
player,201609180ram,sea,RichPa01,pass_long,0,,,,,
player,201609180ram,sea,RichPa01,pass_rating,,,,,,
player,201609180ram,sea,RichPa01,rush_att,0,,,,,
player,201609180ram,sea,RichPa01,rush_yds,0,,,,,
