game,2016,2,20160918,201609180was,dal,"Dallas Cowboys",27,was,"Washington Redskins",23
team,201609180was,dal,First Downs,24,,,,,,
team,201609180was,was,First Downs,24,,,,,,
team,201609180was,dal,Rush-Yds-TDs,30-102-3,,,,,,
team,201609180was,was,Rush-Yds-TDs,17-82-1,,,,,,
team,201609180was,dal,Cmp-Att-Yd-TD-INT,22-30-292-0-0,,,,,,
team,201609180was,was,Cmp-Att-Yd-TD-INT,28-46-364-1-1,,,,,,
team,201609180was,dal,Sacked-Yards,4-14,,,,,,
team,201609180was,was,Sacked-Yards,2-14,,,,,,
team,201609180was,dal,Net Pass Yards,278,,,,,,
team,201609180was,was,Net Pass Yards,350,,,,,,
team,201609180was,dal,Total Yards,380,,,,,,
team,201609180was,was,Total Yards,432,,,,,,
team,201609180was,dal,Fumbles-Lost,2-1,,,,,,
team,201609180was,was,Fumbles-Lost,0-0,,,,,,
team,201609180was,dal,Turnovers,1,,,,,,
team,201609180was,was,Turnovers,1,,,,,,
team,201609180was,dal,Penalties-Yards,6-39,,,,,,
team,201609180was,was,Penalties-Yards,8-51,,,,,,
team,201609180was,dal,Third Down Conv.,6-12,,,,,,
team,201609180was,was,Third Down Conv.,5-12,,,,,,
team,201609180was,dal,Fourth Down Conv.,1-1,,,,,,
team,201609180was,was,Fourth Down Conv.,0-1,,,,,,
team,201609180was,dal,Time of Possession,32:51,,,,,,
team,201609180was,was,Time of Possession,27:09,,,,,,
player,201609180was,dal,PresDa01,pass_cmp,22,,,,,
player,201609180was,dal,PresDa01,pass_att,30,,,,,
player,201609180was,dal,PresDa01,pass_yds,292,,,,,
player,201609180was,dal,PresDa01,pass_td,0,,,,,
player,201609180was,dal,PresDa01,pass_int,0,,,,,
player,201609180was,dal,PresDa01,pass_sacked,4,,,,,
player,201609180was,dal,PresDa01,pass_sacked_yds,14,,,,,
player,201609180was,dal,PresDa01,pass_long,29,,,,,
player,201609180was,dal,PresDa01,pass_rating,103.7,,,,,
player,201609180was,dal,PresDa01,rush_att,1,,,,,
player,201609180was,dal,PresDa01,rush_yds,6,,,,,
player,201609180was,dal,PresDa01,rush_td,1,,,,,
player,201609180was,dal,PresDa01,rush_long,6,,,,,
player,201609180was,dal,PresDa01,targets,0,,,,,
player,201609180was,dal,PresDa01,rec,0,,,,,
player,201609180was,dal,PresDa01,rec_yds,0,,,,,
